SN1: c:-0.0028898886056834654 mwebv:0.236595535179219 t0:58794.20270321094 x0:9.724119223233389e-05 x1:-1.7260620150590635 z:0.14979546875820857 
SN2: c:0.14378101573285604 mwebv:0.3209386398802147 t0:58850.000076060416 x0:0.0002444456017534773 x1:1.6588930741774828 z:0.11117253729255044 
SN3: c:0.06937417327214677 mwebv:0.1866271343214442 t0:58860.24818413192 x0:0.00013874892013320743 x1:0.6186324642591957 z:0.14989142330037045 
SN4: c:0.029020775522840433 mwebv:0.014632137521651338 t0:58709.87045533134 x0:0.00019967560175715419 x1:-0.024336120439832236 z:0.1405805723536127 
SN5: c:0.07128091998738233 mwebv:0.01722577659667255 t0:58637.76475000021 x0:0.00020326687254448254 x1:-0.2908323525300171 z:0.14405825205707756 
SN6: c:-0.05261212979600825 mwebv:0.18644204296275846 t0:58681.6749310891 x0:0.0002883227174497342 x1:0.4196143508045985 z:0.11063333382453111 
SN7: c:-0.007843667714012641 mwebv:0.008484541032309783 t0:58841.49146736529 x0:0.00020184154358342919 x1:-0.011455294847399036 z:0.1424550069869665 
SN8: c:0.0007679193777486385 mwebv:0.12533654299483268 t0:58766.767388977445 x0:0.00019384016890465106 x1:0.8620359178574855 z:0.1389061562964878 
SN9: c:0.08558497696848581 mwebv:0.07521364514530904 t0:58603.38834298058 x0:0.0001561341467131363 x1:-0.8624120304852732 z:0.14201796928651908 
SN10: c:-0.05686953963040578 mwebv:0.1830059949768864 t0:58778.80298464101 x0:0.00019926144436723027 x1:-1.4113943869459495 z:0.1253765079343939 
SN11: c:-0.049575826158746256 mwebv:0.019872776650269857 t0:58874.56305185252 x0:0.00030692496718086885 x1:0.372705113492974 z:0.12822107762105045 
SN12: c:0.13057321463579755 mwebv:0.03863703257963945 t0:58683.475879916296 x0:0.000685964166931057 x1:0.17779654114283813 z:0.06897004058002923 
SN13: c:0.003120812434438215 mwebv:2.161285434012703 t0:58825.330173141054 x0:0.0005699529982007228 x1:0.3038449863926243 z:0.09670644846445883 
SN14: c:-0.052032316677045005 mwebv:0.0943235156311691 t0:58737.508447306296 x0:0.0005516690849427773 x1:0.7054447372810964 z:0.11090464580701606 
SN15: c:-0.044276894870806646 mwebv:0.009794310951121665 t0:58611.19927740705 x0:0.0002963384976822166 x1:0.20599453798836848 z:0.1422677889035076 
SN16: c:-0.015317899956856501 mwebv:2.6018342357297444 t0:58816.69824352364 x0:0.0002577307050163549 x1:-0.3699582219999223 z:0.14443009957113565 
SN17: c:0.03291218251756593 mwebv:0.5359126502995025 t0:58937.45011105275 x0:0.00016496930686617423 x1:0.8193661182364199 z:0.12360844373358948 
SN18: c:-0.057232269804679596 mwebv:0.07329670063876075 t0:58814.47477118473 x0:0.00035012688254979207 x1:-0.624969668442025 z:0.10590674501925793 
SN19: c:-0.02421099571554055 mwebv:0.0417660617887253 t0:58870.70293064709 x0:0.0003776883919314872 x1:-1.0913842447756814 z:0.09640501272602442 
SN20: c:0.056585107714265885 mwebv:0.14550850753165612 t0:58851.34952091373 x0:0.00022854372310847696 x1:-1.496354593301804 z:0.12653892348836013 
SN21: c:0.027906641251670652 mwebv:0.0744323919615287 t0:58664.678251651916 x0:0.00027422761095693927 x1:-0.30415319105154776 z:0.1037101611805668 
SN22: c:-0.040960644080188575 mwebv:0.13078713898740452 t0:58917.78821669327 x0:0.0002738798168079903 x1:-1.0568574501944719 z:0.1484009891699605 
SN23: c:-0.05173174788281579 mwebv:0.0126652244078666 t0:58850.88014926928 x0:0.0002594938303358072 x1:1.4996014261604855 z:0.13586242833108564 
SN24: c:-0.008381695519603062 mwebv:0.03331985824701332 t0:58656.25778241002 x0:0.00018230004608986206 x1:0.898371691202977 z:0.1352027377638692 
