@c 0.05429105024013836
@x1 -0.4644349809454935
@mwebv 0.2233682314331813
@t0 58887.9117386918
@x0 0.0002674585433142982
@z 0.132364708262
time band flux fluxerr zp zpsys
58872.9117386918 kst 18.939774421259166 4.832294967959173 25.47 ab
58873.1617386918 kst 22.56128784733323 5.060742646710349 25.47 ab
58873.4117386918 kst 38.10884279526963 5.28478198832726 25.47 ab
58873.6617386918 kst 25.90629706833472 5.506343047603744 25.47 ab
58873.9117386918 kst 37.180077762121016 5.724522723286431 25.47 ab
58874.1617386918 kst 42.492014454478316 5.938516617964803 25.47 ab
58874.4117386918 kst 37.055120791005876 6.14770459621138 25.47 ab
58874.6617386918 kst 44.898422531132205 6.352819375121344 25.47 ab
58874.9117386918 kst 38.537524605666825 6.554778890677772 25.47 ab
58875.1617386918 kst 35.78813816569974 6.754241117963274 25.47 ab
58875.4117386918 kst 63.504910986930525 6.951785291109299 25.47 ab
58875.6617386918 kst 50.35966707877349 7.147523230241211 25.47 ab
58875.9117386918 kst 58.8479086293998 7.341251032796205 25.47 ab
58876.1617386918 kst 61.67072317741812 7.533528686200415 25.47 ab
58876.4117386918 kst 64.69861476724195 7.724876728907201 25.47 ab
58876.6617386918 kst 64.79225523557034 7.915718917401066 25.47 ab
58876.9117386918 kst 54.67641160206128 8.105721580876306 25.47 ab
58877.1617386918 kst 57.299854312478004 8.294978427835726 25.47 ab
58877.4117386918 kst 75.07694621681914 8.483811992448246 25.47 ab
58877.6617386918 kst 68.74335963837474 8.672516612305138 25.47 ab
58877.9117386918 kst 100.0096036106294 8.862708704847385 25.47 ab
58878.1617386918 kst 96.62809148337249 9.05542831898124 25.47 ab
58878.4117386918 kst 105.30983968918068 9.246810668933353 25.47 ab
58878.6617386918 kst 76.98372531048668 9.433147189270695 25.47 ab
58878.9117386918 kst 82.49748802500409 9.611254139602062 25.47 ab
58879.1617386918 kst 84.81249125491516 9.784201415736932 25.47 ab
58879.4117386918 kst 106.00028898751101 9.952649887195332 25.47 ab
58879.6617386918 kst 97.62563146767036 10.114945628006554 25.47 ab
58879.9117386918 kst 113.03395233214484 10.269529921393486 25.47 ab
58880.1617386918 kst 105.9610981415724 10.415808765520369 25.47 ab
58880.4117386918 kst 113.33185521906837 10.55554413299091 25.47 ab
58880.6617386918 kst 111.88905751778113 10.688835206801482 25.47 ab
58880.9117386918 kst 115.1332770556247 10.815637997767443 25.47 ab
58881.1617386918 kst 124.8976112143796 10.935915392776382 25.47 ab
58881.4117386918 kst 122.26995120800382 11.050240262546891 25.47 ab
58881.6617386918 kst 123.67495225474006 11.158747808942712 25.47 ab
58881.9117386918 kst 137.74609757404 11.261199483416629 25.47 ab
58882.1617386918 kst 104.60107441655128 11.357355907155325 25.47 ab
58882.4117386918 kst 119.8153125604567 11.447021323100453 25.47 ab
58882.6617386918 kst 119.21898520072784 11.530451195624092 25.47 ab
58882.9117386918 kst 111.94292968395807 11.608137593308697 25.47 ab
58883.1617386918 kst 144.7136394898566 11.680552762548597 25.47 ab
58883.4117386918 kst 150.7922038977285 11.74813565826054 25.47 ab
58883.6617386918 kst 146.63292924158915 11.81023703199742 25.47 ab
58883.9117386918 kst 146.38880462899047 11.867073728901534 25.47 ab
58884.1617386918 kst 153.8296045861135 11.919714067645097 25.47 ab
58884.4117386918 kst 129.96214602115592 11.969202315004788 25.47 ab
58884.6617386918 kst 149.54764480062602 12.016324908062872 25.47 ab
58884.9117386918 kst 144.27892061630686 12.060565359951092 25.47 ab
58885.1617386918 kst 132.98982456984317 12.101641128980514 25.47 ab
58885.4117386918 kst 158.0351785336011 12.139352139937282 25.47 ab
58885.6617386918 kst 145.0937079853309 12.17349919736641 25.47 ab
58885.9117386918 kst 137.2283628974162 12.204236455702292 25.47 ab
58886.1617386918 kst 147.0451496467559 12.23167696407235 25.47 ab
58886.4117386918 kst 148.94015994969607 12.255662881380552 25.47 ab
58886.6617386918 kst 147.35878696956897 12.276034770485877 25.47 ab
58886.9117386918 kst 157.44765748740647 12.292608446137143 25.47 ab
58887.1617386918 kst 156.08984004170807 12.30530435281744 25.47 ab
58887.4117386918 kst 161.32615368008922 12.31444498432618 25.47 ab
58887.6617386918 kst 146.76893317528112 12.320385937632963 25.47 ab
58887.9117386918 kst 156.2604074847887 12.32347943678038 25.47 ab
58888.1617386918 kst 160.82536049325748 12.323559731253807 25.47 ab
58888.4117386918 kst 137.11593059639236 12.320448386964573 25.47 ab
58888.6617386918 kst 165.41613888580434 12.314474993196933 25.47 ab
58888.9117386918 kst 130.14362535746326 12.305967620123017 25.47 ab
58889.1617386918 kst 132.38077245514086 12.29517442633991 25.47 ab
58889.4117386918 kst 167.99176022806782 12.281809160050448 25.47 ab
58889.6617386918 kst 128.38163273160058 12.265891863603308 25.47 ab
58889.9117386918 kst 135.7366784526394 12.247531593859835 25.47 ab
58890.1617386918 kst 149.1201006965579 12.226836553834934 25.47 ab
58890.4117386918 kst 127.3976610133613 12.203742993818322 25.47 ab
58890.6617386918 kst 151.73088735411957 12.178155413600642 25.47 ab
58890.9117386918 kst 151.8019819676996 12.150199336225832 25.47 ab
58891.1617386918 kst 139.07975703564762 12.120000692791237 25.47 ab
58891.4117386918 kst 153.909140558629 12.087676637715976 25.47 ab
58891.6617386918 kst 163.81931325205474 12.053196872604595 25.47 ab
58891.9117386918 kst 131.886561493476 12.016442091656048 25.47 ab
58892.1617386918 kst 149.00493440974583 11.977294388356766 25.47 ab
58892.4117386918 kst 129.31303714603393 11.935632916179484 25.47 ab
58892.6617386918 kst 141.44903044054922 11.891350381235174 25.47 ab
58892.9117386918 kst 127.71029615407907 11.844468247496318 25.47 ab
58893.1617386918 kst 168.09572889609404 11.795065643433146 25.47 ab
58893.4117386918 kst 148.27696293661083 11.743221553541828 25.47 ab
58893.6617386918 kst 132.140685749265 11.688990737361118 25.47 ab
58893.9117386918 kst 115.99039580092084 11.632179710342173 25.47 ab
58894.1617386918 kst 118.57377316554337 11.57281528584355 25.47 ab
58894.4117386918 kst 140.7401094676235 11.51100800217293 25.47 ab
58894.6617386918 kst 136.70157476111004 11.44686917281329 25.47 ab
58894.9117386918 kst 145.55270176661907 11.380375193615311 25.47 ab
58895.1617386918 kst 131.79088799328989 11.311350913697023 25.47 ab
58895.4117386918 kst 130.59006568817364 11.23985048676685 25.47 ab
58895.6617386918 kst 91.22558540229258 11.165933923920718 25.47 ab
58895.9117386918 kst 120.38389574661312 11.089559005277021 25.47 ab
58896.1617386918 kst 125.34734043101312 11.00950207024509 25.47 ab
58896.4117386918 kst 113.97463123613247 10.926538284473175 25.47 ab
58896.6617386918 kst 120.99456902875147 10.842190868423499 25.47 ab
58896.9117386918 kst 122.17198492384327 10.758029672033723 25.47 ab
58897.1617386918 kst 119.93134792636577 10.674500428324894 25.47 ab
58897.4117386918 kst 83.83427677621754 10.590133911623226 25.47 ab
58897.6617386918 kst 104.6000769001169 10.505748620836973 25.47 ab
58897.9117386918 kst 112.86613893753601 10.42229727583654 25.47 ab
58898.1617386918 kst 130.18822179929617 10.340726193853014 25.47 ab
58898.4117386918 kst 112.80271849956704 10.260850669986807 25.47 ab
58898.6617386918 kst 75.64561659532842 10.182288985229174 25.47 ab
58898.9117386918 kst 86.43009015844117 10.10493982771376 25.47 ab
58899.1617386918 kst 106.5039832878351 10.028698294663347 25.47 ab
58899.4117386918 kst 100.59404821475387 9.953544060733911 25.47 ab
58899.6617386918 kst 113.35567667363695 9.879638913384616 25.47 ab
58899.9117386918 kst 87.02812062851719 9.806930035587474 25.47 ab
58900.1617386918 kst 117.83913665860112 9.735347435004678 25.47 ab
58900.4117386918 kst 72.94770589913223 9.66482264267182 25.47 ab
58900.6617386918 kst 110.91873502603939 9.595454649545939 25.47 ab
58900.9117386918 kst 89.50716124661847 9.527281009991688 25.47 ab
58901.1617386918 kst 73.43387551060339 9.460252948442784 25.47 ab
58901.4117386918 kst 91.95742960143973 9.394319866049987 25.47 ab
58901.6617386918 kst 85.7003820755752 9.32949350221646 25.47 ab
58901.9117386918 kst 74.05237518401256 9.265918518246243 25.47 ab
58902.1617386918 kst 76.37639753831905 9.203503313289493 25.47 ab
58902.4117386918 kst 78.12048424363985 9.142132449572848 25.47 ab
58902.6617386918 kst 72.01082281593668 9.081688453550752 25.47 ab
58902.9117386918 kst 77.54838196330836 9.022209131670405 25.47 ab
58903.1617386918 kst 76.20811881835343 8.963781352235955 25.47 ab
58903.4117386918 kst 70.15952627267947 8.906427168327264 25.47 ab
58903.6617386918 kst 99.31038297861664 8.850168819279316 25.47 ab
58903.9117386918 kst 80.42397148532535 8.795012219553715 25.47 ab
58904.1617386918 kst 77.7250972024753 8.740937651740472 25.47 ab
58904.4117386918 kst 82.71403976720842 8.68802688812802 25.47 ab
58904.6617386918 kst 86.0140573005724 8.636373536568888 25.47 ab
58904.9117386918 kst 69.12348028394051 8.586072478957654 25.47 ab
58905.1617386918 kst 56.36987549112518 8.537077310975635 25.47 ab
58905.4117386918 kst 74.93105391912198 8.48939200297044 25.47 ab
58905.6617386918 kst 66.16139812746277 8.443145763953243 25.47 ab
58905.9117386918 kst 71.63261299389409 8.398469951440058 25.47 ab
58906.1617386918 kst 72.57940032016252 8.355581110115837 25.47 ab
58906.4117386918 kst 65.99603123640651 8.314793298077035 25.47 ab
58906.6617386918 kst 70.90379942854187 8.27564134435687 25.47 ab
