SN1: c:0.04786752335162969 t0:1.1979554373776253 x0:0.00021111544203315409 x1:0.5048417621383151 
SN2: c:0.1523892770476309 t0:5.534718909932471 x0:0.0001336235223939651 x1:0.6922520316476412 
SN3: c:0.06102272204721439 t0:0.5584137431119307 x0:3.493180969510631e-05 x1:0.7941409263584571 
SN4: c:1.1278303853359903 t0:2.9745263302218947 x0:2.325837015789749e-05 x1:0.7815828859968273 
SN5: c:0.06450611302340228 t0:7.975699276346483 x0:7.330663478823548e-05 x1:0.739237585499854 
SN6: c:0.02437807393190902 t0:0.7114105964871663 x0:1.6617717081117948e-05 x1:0.5639314150831717 
SN7: c:0.03539871437519075 t0:2.51891121499275 x0:5.425824858425659e-06 x1:0.6729020934850203 
SN8: c:1.018471022430975 t0:2.9436437581168464 x0:5.175008304506826 x1:0.7214212311223656 
SN9: c:0.08710504760553806 t0:22.72721398604934 x0:0.0006324693883809522 x1:0.7568711229919242 
SN10: c:0.07257181266886706 t0:6.924057984398762 x0:0.00024909287709352516 x1:0.535984609501087 
SN11: c:0.0838264270152578 t0:1.8996900899383282 x0:8.402634232809793e-05 x1:0.703701456411561 
SN12: c:0.057152561457439584 t0:4.292342099460426 x0:0.00011590848474393515 x1:0.6427448243694311 
SN13: c:0.22695319886579188 t0:11.167697450517336 x0:0.0007222002150259148 x1:1.1665793571922511 
SN14: c:0.07908629058580904 t0:7.6942979306043835 x0:8.31900317853175e-05 x1:0.8232525697973367 
SN15: c:0.0636436152093209 t0:8.520034658061343 x0:0.00034371978596700175 x1:0.7038575397995183 
SN16: c:0.08233100650818342 t0:6.620371619655836 x0:0.00012356399433292834 x1:0.7262210722882572 
SN17: c:0.04777418905262582 t0:2.3902788554232512 x0:3.848402475090583e-05 x1:0.566345076943402 
SN18: c:0.07198433527366925 t0:4.808173363938368 x0:3.4064285821032374e-05 x1:0.7112349160836351 
SN19: c:0.06057732094376974 t0:1.476240051642434 x0:3.0532030019499e-05 x1:0.6587208653224759 
SN20: c:0.05013454362701132 t0:0.8164431616732072 x0:3.601362355815367e-05 x1:0.5246466314295263 
SN21: c:0.07596824577078908 t0:5.196146109150949 x0:5.36667407472624e-05 x1:0.7415942366948051 
SN22: c:0.05505962636396679 t0:4.103534929402143 x0:2.0891831355245137e-05 x1:0.7257181932134966 
SN23: c:0.022394320568868722 t0:0.7515743959156463 x0:2.5480384828192384e-05 x1:0.5311698895620521 
SN24: c:0.019070941843734122 t0:0.18311406280921846 x0:3.807297706427804e-05 x1:0.22394898300863006 
SN25: c:0.09994706592512012 t0:11.169062259507587 x0:0.00015885260175630967 x1:0.7615314561425963 
SN26: c:0.07164935917954907 t0:1.7287034785566042 x0:2.1160946949648948e-05 x1:0.6110012437028763 
SN27: c:0.016748896680953928 t0:0.2159535257266249 x0:4.580777702418e-05 x1:0.2134144922343752 
SN28: c:0.054356109344153664 t0:2.4102990476170896 x0:1.5245065030950238e-05 x1:0.7974818242605949 
SN29: c:0.5056636594019036 t0:12.489985160143586 x0:0.0004222062508405501 x1:0.7306696506074312 
SN30: c:0 t0:0 x0:0 x1:0 
SN31: c:0.0274354224545919 t0:0.8027184695938202 x0:4.034553536877858e-05 x1:0.37540428058871983 
SN32: c:0.028220472553931814 t0:0.4126913985536357 x0:5.015502637905607e-05 x1:0.39224086416596643 
SN33: c:0.04652344609791857 t0:0.9835505485766887 x0:1.6520328851206673e-05 x1:0.68599537221948 
