@c 0.254333015234
@x1 0.782021408323
@mwebv 0.0774223854799
@t0 58788.6632682
@x0 0.000156110627493
@z 0.149788002377
time band flux fluxerr zp zpsys
58773.66326818883 smg -216.03589655551627 1105.8338452216753 26.697708802885902 ab
58774.66326818883 smg -1770.0944371600424 2622.8970514265034 25.49844511403714 ab
58776.66326818883 smg 908.2097672197848 671.1174102203306 26.921666374761816 ab
58778.66326818883 smg -2177.9765650074805 1438.416324337782 26.75607403636536 ab
58780.66326818883 smg 1190.1876574126982 999.5277268937265 28.699736329267 ab
58781.66326818883 smg 2303.1818316337626 1794.774136497854 27.554965082945444 ab
58782.66326818883 smg -542.3250264473784 1003.5521947544163 26.383946619101998 ab
58783.66326818883 smg -2195.950071719245 2929.118268231509 26.36102337915149 ab
58785.66326818883 smg 5714.379079479897 3014.7223457726463 26.978072830849367 ab
58787.66326818883 smg 2128.890103124457 820.4409547762207 27.627315016373178 ab
58789.66326818883 smg -613.4789664788066 622.3399840292844 26.452577818030047 ab
58791.66326818883 smg 412.1511440437238 3210.120820753369 25.469022710512228 ab
58792.66326818883 smg 718.3600390587046 227.31847639117632 26.387061633011417 ab
58794.66326818883 smg 1693.7268753553917 923.4564205951676 27.552061838863246 ab
58796.66326818883 smg -707.9249051180418 907.3484807295262 28.061414506857226 ab
58798.66326818883 smg 366.0902691793235 842.9753996306148 25.331558677051824 ab
58799.66326818883 smg -528.838854899131 5181.3143611485775 27.62003086736263 ab
58800.66326818883 smg -375.3056699650833 1229.7682580917299 26.147986237116555 ab
58801.66326818883 smg -1018.8818998797915 1225.7150845912413 27.105913779813072 ab
58803.66326818883 smg 207.3536066185629 37.47108853318002 26.849187475145207 ab
58773.66340707771 smr -13.341930205149783 1105.800919430713 24.567009599537492 ab
58774.66340707771 smr -2599.9490981416534 2622.900285906085 25.59843591432985 ab
58776.66340707771 smr 527.3638832397098 670.9987421969854 25.213205038096465 ab
58778.66340707771 smr -744.4963748306749 1438.3534290693492 25.09280229462237 ab
58780.66340707771 smr -2420.0594091441694 998.6260607258395 24.83881738213408 ab
58781.66340707771 smr 918.1701724701829 1794.5975480351551 24.811103337831124 ab
58782.66340707771 smr 670.8691200796159 1003.4793731971428 25.193440754057317 ab
58783.66340707771 smr -1532.0576731080619 2929.100242535489 25.52505512902081 ab
58785.66340707771 smr 1386.725841346834 3014.6620215159223 25.19783697004066 ab
58787.66340707771 smr -631.664884058791 819.951655392737 24.909268306017005 ab
58789.66340707771 smr -573.957656688052 622.2434900585512 25.53998799559145 ab
58791.66340707771 smr -695.5941099548977 3210.1164945723667 24.777204412772726 ab
58792.66340707771 smr 124.50088687661744 226.96617375912018 24.945074350688714 ab
58794.66340707771 smr 557.2594366132282 923.1790808604677 25.707448533306742 ab
58796.66340707771 smr -187.42477736835434 906.8427617026422 25.19664202618021 ab
58798.66340707771 smr -1081.4037582118303 842.9935769063519 25.179986801295815 ab
58799.66340707771 smr 145.01019783773958 5181.269696450686 25.33949143474487 ab
58800.66340707771 smr 14.128748264765598 1229.734048168128 24.587546899279268 ab
58801.66340707771 smr -668.903405293846 1225.6529944155268 25.80453202244641 ab
58803.66340707771 smr 142.59019936888015 35.650638333101796 25.13958321805983 ab
58773.66354596659 smi -248.954624099253 1105.8567357708193 26.696654792319865 ab
58774.66354596659 smi 3413.082804473084 2622.9232340486 26.674243602147026 ab
58776.66354596659 smi 410.3077972631296 671.1523645138707 26.723546239549897 ab
58778.66354596659 smi 86.55601043322729 1438.3638044647416 25.371703553969894 ab
58780.66354596659 smi 1382.8672502861937 998.8809857868372 27.085203661340085 ab
58781.66354596659 smi 941.8914443001925 1794.9872032922076 28.03182522862457 ab
58782.66354596659 smi 581.0793248860477 1003.6724146645653 26.80529568825389 ab
58783.66354596659 smi 1839.9619748427187 2929.110907839812 25.887812061317106 ab
58785.66354596659 smi 902.8796346810892 3014.7097062931684 26.556156405873534 ab
58787.66354596659 smi 2127.193565593321 821.1176173281123 28.26261972478966 ab
58789.66354596659 smi 516.0423211947113 622.3096081399592 26.03307974298773 ab
58791.66354596659 smi 4150.722333368173 3210.146948218004 26.123961269826722 ab
58792.66354596659 smi 521.1242163868012 227.8822775826366 26.788213068165444 ab
58794.66354596659 smi 2110.184685951842 923.420281673679 27.06543638138823 ab
58796.66354596659 smi 991.6168862867316 907.1098649893255 27.08008265899627 ab
