SN1: c:0.016193779674930506 mwebv:0.08303448713757162 t0:58586.00111012568 x0:0.0003215309414305879 x1:-0.26459494878210166 z:0.10934182943223578 
SN2: c:0.010957126753430569 mwebv:0.12633430783820754 t0:58881.6504591558 x0:0.00025563266239564533 x1:-0.051954231857355856 z:0.14369413622828456 
SN3: c:-0.001815300824923296 mwebv:0.2629791708849671 t0:58798.05659142448 x0:0.00041728879255186635 x1:-0.09113687866004956 z:0.13675396875398496 
SN4: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN5: c:0.03609572752298338 mwebv:0.05778120400872569 t0:58661.48736459093 x0:0.0021054351659281502 x1:-0.00497304440375883 z:0.07032776043031394 
SN6: c:-0.008882858254041606 mwebv:0.06260603176780129 t0:58600.25966116349 x0:0.0001870551138505379 x1:0.16811164771293993 z:0.1451718622499919 
SN7: c:0.03699641651554829 mwebv:0.14637433216787263 t0:58610.370944038776 x0:0.0003558839377345543 x1:0.2706442241271836 z:0.12394550481929159 
SN8: c:0.023521580042008026 mwebv:0.05813304526360084 t0:58624.735236333596 x0:0.00030196819147512157 x1:-0.01241283245598692 z:0.12032138356938579 
SN9: c:0.030262915602995606 mwebv:0.08688626587299814 t0:58563.420030027686 x0:0.0004641543777844422 x1:-0.012021356062814499 z:0.10960091610409399 
SN10: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN11: c:-0.885401515632797 mwebv:0.015423750075406261 t0:58706.92308844979 x0:0.0002217827681731596 x1:-1.046734324446432 z:0.12982486881008737 
SN12: c:0.016474540924345246 mwebv:0.07037036331696313 t0:58772.4803137524 x0:0.00031033402236996255 x1:0.22583064936863534 z:0.1402391920024997 
SN13: c:0.012716143940729322 mwebv:0.15806088662619794 t0:58785.13133431472 x0:0.0003972341238647975 x1:0.17244864954611425 z:0.11757186176169895 
SN14: c:0.03419499823017257 mwebv:0.025004930737634993 t0:58555.17887272155 x0:0.0003656335013778634 x1:-0.27781982308681835 z:0.1407358056832627 
SN15: c:-0.3459037405002606 mwebv:0.04102846486990216 t0:58780.129030257296 x0:0.0004675697945631816 x1:-0.828702388942601 z:0.11058961064435999 
SN16: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN17: c:0.0542273010412075 mwebv:0.33724203560487265 t0:58877.16969312079 x0:0.0009258462821591692 x1:-0.49541523246185715 z:0.08973233502598685 
SN18: c:0.032743193885695 mwebv:0.039476542562622556 t0:58592.61458757331 x0:0.0006918086344348887 x1:-0.820406243023442 z:0.13471635878644328 
SN19: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN20: c:0.08928445251931219 mwebv:0.05130174250782822 t0:58902.211539336655 x0:0.0013908796368973914 x1:-0.7319508094636265 z:0.05309672929560958 
SN21: c:0.019463096353863178 mwebv:0.10517955157364065 t0:58728.35567154889 x0:0.00040246829609095363 x1:-0.21137585691588348 z:0.12464024306737666 
SN22: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN23: c:0.04391673485305256 mwebv:0.03256682390337403 t0:58787.24756699007 x0:0.0003889841832076675 x1:-0.4147804616691755 z:0.13256928339047083 
SN24: c:0.0920893311876525 mwebv:0.008119417773807022 t0:58782.573447951865 x0:0.00042268655991666726 x1:-0.1468192819813295 z:0.08452477500755032 
SN25: c:0.008127103756647922 mwebv:0.03349405484340438 t0:58795.49825660436 x0:0.0010446455969752425 x1:-1.611914205008448 z:0.07348834520409918 
SN26: c:0.040010431449610306 mwebv:0.18945556518992435 t0:58579.18393802114 x0:0.0004989474171383083 x1:-0.31176173098080245 z:0.12748282090654997 
SN27: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN28: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN29: c:0.05140214162441796 mwebv:0.08016040917928052 t0:58733.10581593827 x0:0.00016318628679391978 x1:-0.3217366524893752 z:0.14286386243193078 
SN30: c:0.0013193599926348597 mwebv:0.11417020978375056 t0:58632.5277681584 x0:0.00030050047574657276 x1:0.9364358868013777 z:0.10106374911785584 
SN31: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN32: c:-0.04362760549427332 mwebv:0.016169150545555743 t0:58616.55906667493 x0:0.0010577385987803002 x1:-0.5752504943980503 z:0.07256655605759546 
SN33: c:0.0201406214944099 mwebv:0.04637339246451161 t0:58750.00719242194 x0:0.0006910985000184558 x1:-0.2738248288405312 z:0.11094394712164923 
SN34: c:0.03214320987835882 mwebv:0.05600923877879805 t0:58848.285752211705 x0:0.0017609497623675022 x1:-0.5504199069740023 z:0.05743227154173601 
SN35: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN36: c:0.04268424599403736 mwebv:0.02178770965907455 t0:58638.77601094195 x0:0.0007010997778083732 x1:0.6524105670227912 z:0.09273938400147694 
SN37: c:-0.07608250031821834 mwebv:0.06778376240851841 t0:58770.2215218963 x0:0.00033227119199804727 x1:0.14154822206581863 z:0.1370091626905927 
SN38: c:0.028471375393760236 mwebv:0.07396960252566724 t0:58722.790395345066 x0:0.00016637790350754577 x1:-0.16271385367035568 z:0.1276186160450598 
SN39: c:0.06449232298277893 mwebv:0.010788258409640166 t0:58576.97879536842 x0:0.00044892449027122223 x1:-0.13746564453395788 z:0.1099210382166728 
SN40: c:-0.05844387712536552 mwebv:0.13479941527496303 t0:58555.36321865678 x0:0.0004864291119721731 x1:-0.8487480469397857 z:0.13690552327267197 
SN41: c:0 mwebv:0 t0:0 x0:0 x1:0 z:0 
SN42: c:-0.0414287707684434 mwebv:0.007479050231944536 t0:58767.01079818108 x0:0.000286602255101941 x1:-0.9348614856736481 z:0.12844398974698643 
