@c 0.218634778894
@x1 1.23890828003
@mwebv 0.246167974638
@t0 58816.1828245
@x0 0.00218728458906
@z 0.0454801879904
time band flux fluxerr zp zpsys
58808.18282454713 smg 4580.608958885802 502.3490786604084 27.518621094743967 ab
58810.18282454713 smg 4142.760186294599 1758.9178778274634 26.3408130154883 ab
58811.18282454713 smg 6509.052461997509 396.4498697659701 27.536678285185797 ab
58812.18282454713 smg -2286.1532845245756 15818.270232952293 27.542471661122196 ab
58814.18282454713 smg 337.9088240389592 3155.9222433169693 26.652000278506673 ab
58816.18282454713 smg 3388.0902190688957 1461.8187082790305 26.22137943821151 ab
58817.18282454713 smg 3775.5192360942197 2412.872509645865 26.875990770440342 ab
58819.18282454713 smg 3282.0106158877643 1013.036086528468 27.050465919730712 ab
58820.18282454713 smg 4830.074297174959 538.3119501237006 27.04573608529235 ab
58821.18282454713 smg 10967.147660161017 8745.288940623845 26.807563979053583 ab
58823.18282454713 smg 3835.0498667047987 987.980712779043 27.328554765269246 ab
58825.18282454713 smg -1015.9619950817768 3682.834808445277 24.78367069766177 ab
58826.18282454713 smg 4781.30120001336 1328.2089220633536 27.555690597663602 ab
58828.18282454713 smg 1392.378080185991 623.8116390546222 26.36837393674513 ab
58830.18282454713 smg 6645.300483933722 1018.4676039038295 28.16720972339272 ab
58832.18282454713 smg 5830.299524661003 701.973217233572 28.04087662768078 ab
58808.18296343601 smr -268.5769169102886 497.9817909242425 24.679760072241432 ab
58810.18296343601 smr 1761.3087357173667 1758.6774033523602 25.383283415611512 ab
58811.18296343601 smr 1759.334361365435 390.44987147606247 25.61737919410092 ab
58812.18296343601 smr 20341.46747719308 15818.10783451767 25.45404998157827 ab
58814.18296343601 smr 4756.101514755038 3155.5512304112704 24.579424852981955 ab
58816.18296343601 smr 930.2264877375458 1461.4297704506812 24.928091930332954 ab
58817.18296343601 smr 3885.193336525215 2412.3757672263755 25.30751014243095 ab
58819.18296343601 smr 88.38998359658024 1011.4967636988779 25.09915379902148 ab
58820.18296343601 smr -508.11276400853546 535.1699164752794 24.611551902443054 ab
58821.18296343601 smr 9903.237098660566 8745.14713936855 24.646834014357278 ab
58823.18296343601 smr 318.59815067653074 986.0275563785672 25.0125535481317 ab
58825.18296343601 smr 571.5396128265585 3682.8703477733466 24.864778500767862 ab
58826.18296343601 smr 960.3946924621777 1326.5279909391027 24.77003896320972 ab
58828.18296343601 smr 805.0370693572108 623.4432765210015 25.51715830741589 ab
58830.18296343601 smr -239.8697889666605 1015.470002388556 25.307745726569436 ab
58832.18296343601 smr 1265.2140137736656 698.6792346176318 25.288755486288995 ab
58808.183102324896 smi 1530.5078953747857 499.2251195168383 26.08571659558409 ab
58810.183102324896 smi 5519.696141431054 1759.0200222206258 26.284614484085285 ab
58811.183102324896 smi 2461.520908592511 391.27988495875167 26.156062443490253 ab
58812.183102324896 smi -16706.061025085255 15818.104553362706 25.540460233438793 ab
58814.183102324896 smi 6404.363390501579 3155.9714939776127 26.680357118388958 ab
58816.183102324896 smi 2290.7741601705975 1461.5664987281305 25.704077486710226 ab
58817.183102324896 smi 1173.9804383032163 2412.4055248704926 25.827247038070414 ab
58819.183102324896 smi 6674.366841554698 1014.280432051151 27.578080110427585 ab
58820.183102324896 smi 3108.151643544188 537.1944752960394 26.658580844448522 ab
58821.183102324896 smi -529.0419699536233 8745.172974069766 25.663722657917646 ab
58823.183102324896 smi 2519.078261970428 986.2547751807709 25.924586685171878 ab
58825.183102324896 smi 1348.0998005223787 3683.073454911713 26.606636450708844 ab
58826.183102324896 smi 8692.284175055744 1328.2805589610095 27.630660844613764 ab
58828.183102324896 smi 406.2753084854013 623.4812626358249 26.0641099085846 ab
58830.183102324896 smi 511.15655207976306 1015.3405689108334 25.36040723136923 ab
58832.183102324896 smi 559.5980331163718 699.0944852598493 26.437770296193957 ab
58800.18282454713 kst 123.91072421364754 11.028232535731531 25.47 ab
58800.43282454713 kst 150.6091634948276 11.82048176968029 25.47 ab
58800.68282454713 kst 175.47146330541574 12.608941212688 25.47 ab
58800.93282454713 kst 174.68103813998468 13.403978567715907 25.47 ab
58801.18282454713 kst 211.23734153471588 14.1974389201464 25.47 ab
58801.43282454713 kst 225.91822876144607 14.982001742431397 25.47 ab
58801.68282454713 kst 216.24646667980312 15.756250043545307 25.47 ab
58801.93282454713 kst 279.88190417035094 16.53295759211059 25.47 ab
58802.18282454713 kst 337.5274518719089 17.30097364112498 25.47 ab
58802.43282454713 kst 319.26652131725086 18.048127831640038 25.47 ab
58802.68282454713 kst 381.0310246724874 18.766487328277798 25.47 ab
58802.93282454713 kst 382.4458780139921 19.47189071201176 25.47 ab
58803.18282454713 kst 433.8629016661077 20.160661250866852 25.47 ab
58803.43282454713 kst 395.9926220200923 20.82318141165941 25.47 ab
58803.68282454713 kst 484.6962104962624 21.45115991054654 25.47 ab
58803.93282454713 kst 496.19134431370156 22.04802804371568 25.47 ab
58804.18282454713 kst 555.1902438063511 22.621103312436702 25.47 ab
58804.43282454713 kst 521.1068099538343 23.174285121175785 25.47 ab
58804.68282454713 kst 573.2188368813154 23.711051724515375 25.47 ab
58804.93282454713 kst 555.4059651854393 24.23194944510972 25.47 ab
58805.18282454713 kst 648.3101268556835 24.737131538792415 25.47 ab
58805.43282454713 kst 681.7398004344227 25.229021665037727 25.47 ab
58805.68282454713 kst 679.5922029567622 25.709834652393866 25.47 ab
58805.93282454713 kst 667.0538100749785 26.1805174783071 25.47 ab
58806.18282454713 kst 733.7768174318244 26.640588368416466 25.47 ab
58806.43282454713 kst 753.9360548855195 27.091289241449072 25.47 ab
58806.68282454713 kst 798.0789879385678 27.53381729835759 25.47 ab
58806.93282454713 kst 751.7967313138629 27.970683926052306 25.47 ab
58807.18282454713 kst 842.2967518479686 28.404504637373062 25.47 ab
58807.43282454713 kst 836.1087961873362 28.829407775095238 25.47 ab
58807.68282454713 kst 851.4404420253057 29.239265960753983 25.47 ab
58807.93282454713 kst 940.3138375874107 29.629778624454172 25.47 ab
58808.18282454713 kst 932.501435968313 30.00703393310621 25.47 ab
58808.43282454713 kst 924.5728946845103 30.36989639442191 25.47 ab
58808.68282454713 kst 959.2431796456398 30.71531804569797 25.47 ab
58808.93282454713 kst 972.9814629857204 31.04060483517551 25.47 ab
58809.18282454713 kst 1004.7008061604603 31.348094801260974 25.47 ab
58809.43282454713 kst 978.9037141520339 31.63879603211164 25.47 ab
58809.68282454713 kst 1009.0235141245706 31.91218846114576 25.47 ab
58809.93282454713 kst 1045.6789068040332 32.167756026542705 25.47 ab
58810.18282454713 kst 1006.1219691782194 32.40676988498173 25.47 ab
58810.43282454713 kst 1045.1461570380857 32.6296149916157 25.47 ab
58810.68282454713 kst 1092.149152017947 32.835261870120235 25.47 ab
58810.93282454713 kst 1075.6162578574595 33.022680857866696 25.47 ab
58811.18282454713 kst 1099.4897749928657 33.190731751026334 25.47 ab
58811.43282454713 kst 1115.178571082708 33.34044163821977 25.47 ab
58811.68282454713 kst 1086.0809351251833 33.47435482625 25.47 ab
58811.93282454713 kst 1100.8770721460523 33.59495614423098 25.47 ab
58812.18282454713 kst 1137.9199008200999 33.702040887098256 25.47 ab
58812.43282454713 kst 1129.1175962287516 33.792628414972704 25.47 ab
58812.68282454713 kst 1088.6141083246575 33.87181353854059 25.47 ab
58812.93282454713 kst 1187.5632896491884 33.94503250260531 25.47 ab
58813.18282454713 kst 1214.2117327192866 34.01648485907569 25.47 ab
58813.43282454713 kst 1188.0649748691442 34.08330257925116 25.47 ab
58813.68282454713 kst 1140.6135248087578 34.14450373587 25.47 ab
58813.93282454713 kst 1153.4433070792309 34.19973059579265 25.47 ab
