SN1: c:0.06577683358814135 t0:0.05703500873445526 x0:3.647666942436148e-05 x1:0.07946708827550703 
SN2: c:0.05462539943222061 t0:0.0657745417086001 x0:8.376832465142309e-06 x1:0.0806310106497014 
SN3: c:0.05156122097305152 t0:0.146488915553043 x0:1.4878397166409856e-05 x1:0.10571797221370136 
SN4: c:0.04572410693475839 t0:0.06149417426976875 x0:1.76191210372682e-05 x1:0.09994991386753942 
SN5: c:0.06392255873307735 t0:0.067582694934929 x0:4.682650587609426e-06 x1:0.1716884750573314 
SN6: c:0.037770624787410716 t0:0.05189770985757298 x0:5.4828489593369545e-06 x1:0.045066237505910274 
SN7: c:0.06275046044695237 t0:0.0705087231333205 x0:9.168427244265693e-06 x1:0.15188347432859164 
SN8: c:0.028508596362353113 t0:0.04274212154767138 x0:7.181115405013737e-06 x1:0.09395478455464762 
SN9: c:0.04495505078600853 t0:0.061048300205887404 x0:9.505472866943579e-06 x1:0.08873418174566149 
SN10: c:0.0835701794383872 t0:0.7056091529247506 x0:9.392897774395043e-05 x1:0.8114565200514896 
SN11: c:0.06307975444877356 t0:0.1486053068496843 x0:2.0990712045169118e-05 x1:0.3198105667852397 
SN12: c:0.03873854221365498 t0:0.05426929646144739 x0:1.5417704641724965e-05 x1:0.0451838939104737 
SN13: c:0.06055880876167562 t0:0.06313653337491773 x0:1.3442981156927864e-05 x1:0.10610882708988209 
SN14: c:0.067920841442097 t0:0.07078275421359584 x0:8.625750409005491e-06 x1:0.1135015231662593 
SN15: c:0.047496678144752676 t0:0.051621821158010124 x0:8.226740189095204e-06 x1:0.14549331512110564 
SN16: c:0.05832161027711811 t0:0.05767780301886312 x0:6.7905520395146335e-06 x1:0.12609648841135085 
SN17: c:0.038222928871263204 t0:0.06563797365190166 x0:5.291941214180447e-06 x1:0.11627215222694173 
SN18: c:0.06205455279985634 t0:0.05625358212750504 x0:1.4885146587249098e-05 x1:0.13728430592789145 
SN19: c:0.047360855696526524 t0:0.05560885451473959 x0:2.0701185970753795e-05 x1:0.07063317216909004 
SN20: c:0.11178838305040122 t0:0.45266403755278645 x0:0.00019437251682493008 x1:0.7640567235290557 
SN21: c:0.04084872041933755 t0:0.12260833017685925 x0:6.6580243994211496e-06 x1:0.09494025841576294 
SN22: c:0.05444695321829771 t0:0.07664122222650163 x0:6.358893832767158e-06 x1:0.09259574109200135 
SN23: c:0.06305314370455042 t0:0.1644067816560965 x0:6.504826604251068e-06 x1:0.3039250007666994 
SN24: c:0.06722822239821893 t0:0.05696092013551731 x0:9.32808654344156e-06 x1:0.10508253256885633 
SN25: c:0.08338858746384101 t0:0.07867544483205509 x0:1.242667882876165e-05 x1:0.17217172708409748 
SN26: c:0.06402734114099375 t0:0.1179158964153617 x0:8.444957553382163e-06 x1:0.11107830186705733 
SN27: c:0.038579460000771 t0:0.06192632342572652 x0:1.5166684923671758e-05 x1:0.0938737780989759 
SN28: c:0.045208270411542 t0:0.13173797735271756 x0:3.4793820664263376e-05 x1:0.15419928734811675 
SN29: c:0.04481524524612437 t0:0.05961842953654973 x0:6.993587561206474e-06 x1:0.049326271004510015 
SN30: c:0.05849716027040375 t0:0.06845253797045961 x0:1.0041728355903316e-05 x1:0.08925412994900385 
SN31: c:0.06330044854709918 t0:0.3720608199996976 x0:0.00038147408929973734 x1:0.057899996262971556 
SN32: c:0.08410545255790626 t0:16.08735787597913 x0:4.2682044853345636e-05 x1:1.207646539755117 
SN33: c:0.045675728618480425 t0:0.12610206247292857 x0:7.813899130192603e-06 x1:0.10541446317786052 
SN34: c:0.05926280500131153 t0:0.2507473031237861 x0:7.590853659160648e-05 x1:0.11268165797440771 
SN35: c:0.04372839475813846 t0:0.054278497162382325 x0:1.6815260578062722e-05 x1:0.10309274999500202 
SN36: c:0.06038544315752836 t0:0.05900119929410317 x0:1.991664971637392e-05 x1:0.0965330955948965 
SN37: c:0.0591398762155202 t0:0.15548606342751428 x0:2.4331416748334553e-05 x1:0.11400944204317892 
SN38: c:0.06225704014752008 t0:0.06619835676487432 x0:1.713626326500262e-05 x1:0.08574299638631505 
SN39: c:0.04675298692521252 t0:0.04837475036752822 x0:2.375878551823625e-05 x1:0.07334681107919713 
SN40: c:0.05256984023327416 t0:0.10254377362441006 x0:1.4181936332541385e-05 x1:1.6760648767633142 
SN41: c:0.039637424309868746 t0:0.10127525121038827 x0:1.4966830691988417e-05 x1:0.039630762963192005 
SN42: c:0.04740372007069227 t0:0.03727895379635384 x0:3.4887109714415565e-05 x1:0.07972561857119236 
SN43: c:0.036696246744690464 t0:0.06598774055085552 x0:1.0015241641972851e-05 x1:0.1489535582464691 
SN44: c:0.07324626113514872 t0:0.0685066159438808 x0:8.913124118794382e-06 x1:0.12890274233007956 
SN45: c:0.03176357376414192 t0:0.03228949398018969 x0:4.832440541482542e-05 x1:0.03291608510102455 
SN46: c:0.08114717894811767 t0:0.171035600722417 x0:0.00018182579178878844 x1:0.244056304116307 
SN47: c:0.0410718159314171 t0:0.05242306707597115 x0:2.6666415689416342e-05 x1:0.05164019454058732 
SN48: c:0.05663535896190691 t0:0.06544559769105794 x0:1.9516221150892505e-05 x1:0.10400150852652193 
SN49: c:0.08541281142754763 t0:0.38002228368776536 x0:2.173163937720504e-05 x1:0.5872156321321877 
SN50: c:0.0766575402107627 t0:0.11692912054392723 x0:1.6021809805457993e-05 x1:0.23851495302788667 
SN51: c:0.038832741327735384 t0:0.05734493426256742 x0:1.2119986718293434e-05 x1:0.1134180056265042 
SN52: c:0.0462084971773423 t0:0.06637646141415911 x0:1.4097192951934079e-05 x1:0.11238863999612504 
SN53: c:0.04441829944615245 t0:0.049289122921572684 x0:2.9194009614315405e-05 x1:0.059223052202933744 
SN54: c:0.035996329087737595 t0:0.06333816807927495 x0:7.692887085214042e-06 x1:0.1258489161196132 
SN55: c:0.04676351597422005 t0:0.06239844794386214 x0:1.0345133935727213e-05 x1:0.0854429902388378 
SN56: c:0.05880078461266567 t0:0.07058903212729127 x0:1.0919387970565571e-05 x1:0.1174294939204489 
SN57: c:0.03427871362741584 t0:0.04140641049395506 x0:4.038386979543564e-05 x1:0.03682932665081662 
SN58: c:0.0651264117362283 t0:0.06528474426834195 x0:2.013035697512391e-05 x1:0.12591117713542221 
SN59: c:0.05815060263367604 t0:0.06224695240942666 x0:1.4793572741676682e-05 x1:0.09065625807675304 
SN60: c:0.04601255690844871 t0:0.046816990468497355 x0:5.2171088755852405e-05 x1:0.08780060311933043 
SN61: c:0.041379626354055635 t0:0.07515374753109888 x0:1.0583865418502946e-05 x1:0.07740353025929014 
SN62: c:0.05201047930698574 t0:0.12884655785029006 x0:5.556945693261128e-06 x1:0.12407251462599427 
SN63: c:0.052501912819332267 t0:0.07866282727400359 x0:5.831605502357608e-06 x1:0.13109660388454938 
SN64: c:0.06575237254718468 t0:0.061441316047286657 x0:1.3949164280664374e-05 x1:0.14028099650363746 
SN65: c:0.05219773272509016 t0:0.09489871954064802 x0:2.2167044524230036e-05 x1:0.08858236310617257 
SN66: c:0.024744215195921182 t0:0.024527929788820724 x0:0.00011306458442005174 x1:0.026631198207125024 
SN67: c:0.04481802585914079 t0:0.06302629569088015 x0:4.482858370405666e-06 x1:0.12280599107699516 
SN68: c:0.036101482024909884 t0:0.05832551745715165 x0:1.5521024912281953e-05 x1:0.07485839819898749 
SN69: c:0.09614469222347724 t0:0.16755168917634491 x0:3.8413303757143726e-05 x1:0.11335118989683954 
SN70: c:0.038858463548820624 t0:0.053221514109581494 x0:2.3142888052190947e-05 x1:0.05879556992990882 
SN71: c:0.048219345046986356 t0:0.06586365664677492 x0:9.296968863135845e-06 x1:0.13597133971882405 
SN72: c:0.05487598825485282 t0:0.03212966693948491 x0:1.325123712509662e-05 x1:0.05177850727972929 
SN73: c:0.07190068252849176 t0:0.06535407940981942 x0:2.330579043313475e-05 x1:0.15723295453376837 
SN74: c:0.059679534933017975 t0:0.06449566521612397 x0:9.701003985541351e-06 x1:0.1273619842579811 
SN75: c:0.04480141277785834 t0:0.03234094509257408 x0:2.3834077686355313e-05 x1:0.07623126098546926 
SN76: c:0.03771041212565626 t0:0.061934740636174754 x0:1.0421051715123214e-05 x1:0.1213034725039709 
SN77: c:0.04677292546407126 t0:0.09906814260022119 x0:8.11578175913414e-06 x1:0.10944264979752653 
SN78: c:0.07853322120505624 t0:0.15818209764888694 x0:1.78306735540524e-05 x1:0.17012044365656637 
SN79: c:0.08813480766119615 t0:0.31986271412382705 x0:0.0001118294285216433 x1:0.32853402689743866 
SN80: c:0.0645773345576671 t0:0.15022417783563063 x0:1.1573671981402657e-05 x1:0.13098791093210696 
SN81: c:0.07486048192068713 t0:0.10261679107590817 x0:1.3412763049936828e-05 x1:0.09860771659544111 
SN82: c:0.07905164339176882 t0:0.20704417366551595 x0:1.509609335468182e-05 x1:0.21633357094584874 
SN83: c:0.08089255875245673 t0:0.09577901751205062 x0:1.2764622786060585e-05 x1:0.2303944345579925 
SN84: c:0.05023839261551356 t0:0.06881946909030418 x0:6.40090906977589e-06 x1:0.15706600479359184 
SN85: c:0.053694068504080414 t0:0.1154690456990429 x0:4.954421004062749e-05 x1:0.23894376236400117 
SN86: c:0.04285082507855604 t0:0.036737851579260336 x0:1.3182677325057725e-05 x1:0.032523768271228964 
SN87: c:0.06788468803309276 t0:0.14605138910290524 x0:1.4782637985491857e-05 x1:0.11815827419174876 
SN88: c:0.06535850424166169 t0:0.07572509212243887 x0:5.983005830256301e-06 x1:0.1593326019613974 
SN89: c:0.05214664177630196 t0:0.06314575794030675 x0:8.25481466029177e-06 x1:0.09261914197815639 
SN90: c:0.06025579498672742 t0:0.061349579677271275 x0:2.9939566127236225e-05 x1:0.07681276546288414 
SN91: c:0.06485482922087997 t0:0.07589685754950674 x0:7.779598740541392e-06 x1:0.15025976372642855 
SN92: c:0.04352194287562315 t0:0.06670166068427648 x0:6.992787148730657e-06 x1:0.12486404474832234 
SN93: c:0.040888744543620355 t0:0.04948122336280499 x0:2.420690869805919e-05 x1:0.03837237239343461 
SN94: c:0.039045103269074365 t0:0.05643907198974549 x0:1.7262085414979267e-05 x1:0.08058010096545858 
SN95: c:0.061861741952488544 t0:0.0625026273854732 x0:9.637461322563957e-06 x1:0.0637970555086385 
SN96: c:0.07415600258180731 t0:0.07663762960176755 x0:1.5512934800752173e-05 x1:0.3043938908344133 
SN97: c:0.06639201273581116 t0:0.06570384715058582 x0:6.41701357069247e-06 x1:0.10807106077160057 
SN98: c:0.04480152999285141 t0:0.10906605879792634 x0:3.700873644101939e-05 x1:0.39552901607855323 
SN99: c:0.06479149412616979 t0:0.078465802356502 x0:2.0582401950184857e-05 x1:0.14060064526096205 
SN100: c:0.04918640967511001 t0:0.06555795253647728 x0:1.0115290398167636e-05 x1:0.11515156388953246 
SN101: c:0.052074450862209555 t0:0.04311180220215348 x0:2.0429593087157206e-05 x1:0.09615595863785432 
SN102: c:0.04186420918575941 t0:0.10888618773045235 x0:1.1453837594391706e-05 x1:0.08721799745114321 
SN103: c:0.042293627340238164 t0:0.05812708252704718 x0:1.9297864588327115e-05 x1:0.07808226669651155 
SN104: c:0.06659513505071914 t0:0.12227986858736944 x0:1.1203927157391993e-05 x1:0.13189156714048636 
SN105: c:0.059208006181908086 t0:0.06576580235441573 x0:8.79765732030296e-06 x1:0.10986530526689635 
SN106: c:0.06319278009727519 t0:0.12178203751982336 x0:7.318724030234644e-06 x1:0.17233524461994632 
SN107: c:0.04482898363707258 t0:0.06033678187743018 x0:1.1885838955882774e-05 x1:0.07851322841019821 
SN108: c:0.065304459372512 t0:0.060745225085363924 x0:2.671020525045777e-05 x1:0.14734642589631983 
SN109: c:0.06507995845178169 t0:0.08948823493057065 x0:7.469064400566113e-06 x1:0.2091353164468019 
SN110: c:0.07141233010872455 t0:0.06851807449192573 x0:1.66156865767366e-05 x1:0.11427199025192546 
SN111: c:0.05306685108175976 t0:0.15964783440423702 x0:1.0047461733418929e-05 x1:0.12751814312197157 
SN112: c:0.048870777443898485 t0:0.11910733714086365 x0:9.64005147223802e-06 x1:0.11125885380544545 
SN113: c:0.03182411336413057 t0:0.05441192698048756 x0:1.3508018483666481e-05 x1:0.09293466364125326 
SN114: c:0.05009715645056057 t0:0.07053483172780378 x0:8.698962790050763e-06 x1:0.09262645423478542 
SN115: c:0.06599241930469611 t0:0.07363819820151979 x0:2.025314222922641e-05 x1:0.15376898952705445 
SN116: c:0.0482468034465892 t0:0.06213860568318571 x0:1.6941306797445432e-05 x1:0.09494632585919835 
SN117: c:0.06444791002776973 t0:0.06618860788803742 x0:1.5233959129921313e-05 x1:0.12383628122268381 
SN118: c:0.06004934482345761 t0:0.08616412924802383 x0:9.400697139537538e-06 x1:0.10372675948807922 
SN119: c:0.02563487249273782 t0:0.050966537441676354 x0:1.6528137594729876e-05 x1:0.05418533820656095 
SN120: c:0.03514134122525385 t0:0.03339270075535689 x0:3.2755269099937755e-05 x1:0.028669114050291464 
SN121: c:0.04404094536024239 t0:0.1959396104274163 x0:0.00018678141993606106 x1:0.13388101398492566 
SN122: c:0.04497480207560289 t0:0.06830949027452488 x0:9.149417476304333e-06 x1:0.07783414042021483 
SN123: c:0.07690377208996448 t0:0.08596287448630613 x0:1.0393237282272974e-05 x1:0.15239315769197137 
SN124: c:0.05324026614820873 t0:0.05082536366056284 x0:2.750482482536931e-05 x1:0.041855464010451204 
SN125: c:0.0568124217279332 t0:0.05848827949819928 x0:1.7324734892815834e-05 x1:0.09511026283838021 
SN126: c:0.05420005167770356 t0:0.13129839418236208 x0:5.8706710828455755e-06 x1:0.15788732199645364 
