@c 0.02607665335823217
@x1 0.3382994488110125
@mwebv 0.01927100997385961
@t0 58913.07499191439
@x0 0.0005224351672072956
@z 0.0926264678353
time band flux fluxerr zp zpsys
58896.07499191439 kst 22.16997942847281 5.183249139426437 25.47 ab
58896.32499191439 kst 24.432499757482308 5.621061747393332 25.47 ab
58896.57499191439 kst 28.941446852721427 6.0604004006706385 25.47 ab
58896.82499191439 kst 30.827913992068304 6.497115856545083 25.47 ab
58897.07499191439 kst 47.272442459420766 6.938194229332345 25.47 ab
58897.32499191439 kst 49.678498972253024 7.3797620481232515 25.47 ab
58897.57499191439 kst 55.23775227654126 7.817450310424684 25.47 ab
58897.82499191439 kst 63.80592583377656 8.248068637517196 25.47 ab
58898.07499191439 kst 78.38586502552491 8.677399359381985 25.47 ab
58898.32499191439 kst 80.39640789891004 9.104728361946018 25.47 ab
58898.57499191439 kst 101.01724417220039 9.525116732834643 25.47 ab
58898.82499191439 kst 93.69028506421412 9.934451476914964 25.47 ab
58899.07499191439 kst 114.71370596804056 10.33367500929061 25.47 ab
58899.32499191439 kst 108.19482805657219 10.727923710152805 25.47 ab
58899.57499191439 kst 111.80361818186883 11.114018078325424 25.47 ab
58899.82499191439 kst 144.53742660158852 11.488994187300255 25.47 ab
58900.07499191439 kst 168.1938350645579 11.850696281705108 25.47 ab
58900.32499191439 kst 137.43084821005962 12.20166350710296 25.47 ab
58900.57499191439 kst 177.2619451076945 12.544162981129807 25.47 ab
58900.82499191439 kst 174.4795688377866 12.879767266840911 25.47 ab
58901.07499191439 kst 156.7442253492742 13.20986932955627 25.47 ab
58901.32499191439 kst 177.43499476129074 13.534324387063098 25.47 ab
58901.57499191439 kst 178.50738046207354 13.853318639444877 25.47 ab
58901.82499191439 kst 208.34453879775714 14.16801140140612 25.47 ab
58902.07499191439 kst 224.74090832549678 14.479456587821328 25.47 ab
58902.32499191439 kst 207.68618012074953 14.788149359023059 25.47 ab
58902.57499191439 kst 239.88610971325298 15.093569668352375 25.47 ab
58902.82499191439 kst 254.6612124779076 15.396308262158483 25.47 ab
58903.07499191439 kst 258.7086901591669 15.696982106704574 25.47 ab
58903.32499191439 kst 265.3101513939538 15.996565573519815 25.47 ab
58903.57499191439 kst 275.7120373924787 16.298841467477992 25.47 ab
58903.82499191439 kst 259.6975157234771 16.59996857914437 25.47 ab
58904.07499191439 kst 300.7471806212786 16.89441846141329 25.47 ab
58904.32499191439 kst 273.6128250266028 17.177036479145322 25.47 ab
58904.57499191439 kst 302.57374276611773 17.44900643827435 25.47 ab
58904.82499191439 kst 296.3072840181847 17.713880946269743 25.47 ab
58905.07499191439 kst 322.76113595049753 17.969130810639207 25.47 ab
58905.32499191439 kst 349.72096985383183 18.212348177837963 25.47 ab
58905.57499191439 kst 321.1089246672521 18.44216110156661 25.47 ab
58905.82499191439 kst 387.3422065815034 18.66112133685633 25.47 ab
58906.07499191439 kst 353.7134693497005 18.869443708299727 25.47 ab
58906.32499191439 kst 379.3336277924035 19.066953525190986 25.47 ab
58906.57499191439 kst 377.2079124655803 19.253511270530094 25.47 ab
58906.82499191439 kst 392.3276772698512 19.430092654952947 25.47 ab
58907.07499191439 kst 387.15479688727487 19.596789357267532 25.47 ab
58907.32499191439 kst 349.59269688883217 19.753106456451086 25.47 ab
58907.57499191439 kst 427.0992163956836 19.898548844492918 25.47 ab
58907.82499191439 kst 370.553294211917 20.032705615756925 25.47 ab
58908.07499191439 kst 420.88897804359544 20.156142529707232 25.47 ab
58908.32499191439 kst 438.76553479233195 20.269928570385822 25.47 ab
58908.57499191439 kst 412.71028210226075 20.375097278980945 25.47 ab
58908.82499191439 kst 443.4463627888806 20.472148101576366 25.47 ab
58909.07499191439 kst 449.51595107054106 20.559342364252714 25.47 ab
