@c 0.18685264381442312
@x1 -0.3356520470169233
@mwebv 0.09808896018432106
@t0 58898.3750611245
@x0 0.0005883935138538219
@z 0.0906569678207
time band flux fluxerr zp zpsys
58883.3750611245 kst 60.23269086519793 7.877216824116018 25.47 ab
58883.6250611245 kst 73.60023220848544 8.323691424484878 25.47 ab
58883.8750611245 kst 59.28508783831873 8.763513747775947 25.47 ab
58884.1250611245 kst 85.20261448689027 9.193282174655183 25.47 ab
58884.3750611245 kst 89.03795140939216 9.61296494562947 25.47 ab
58884.6250611245 kst 106.71817861347216 10.02767123000539 25.47 ab
58884.8750611245 kst 120.28860097810637 10.43545760143706 25.47 ab
58885.1250611245 kst 133.61334105774725 10.834277863363392 25.47 ab
58885.3750611245 kst 133.9563171264952 11.222550937977237 25.47 ab
58885.6250611245 kst 126.74819239080547 11.601954190830469 25.47 ab
58885.8750611245 kst 141.56115964235545 11.9745284487527 25.47 ab
58886.1250611245 kst 144.66834000154796 12.341687190559687 25.47 ab
58886.3750611245 kst 186.69067300519512 12.704672213307761 25.47 ab
58886.6250611245 kst 135.19161738673216 13.063440140982745 25.47 ab
58886.8750611245 kst 199.28363532797513 13.417984943772915 25.47 ab
58887.1250611245 kst 191.90465640553785 13.769473399549998 25.47 ab
58887.3750611245 kst 195.10747577941328 14.11895364906309 25.47 ab
58887.6250611245 kst 214.02830423082327 14.466972530467576 25.47 ab
58887.8750611245 kst 211.81844505569265 14.812855111354972 25.47 ab
58888.1250611245 kst 199.68460852391485 15.157156160060113 25.47 ab
58888.3750611245 kst 217.17814641596823 15.50050796840175 25.47 ab
58888.6250611245 kst 242.02905160555127 15.843831368312644 25.47 ab
58888.8750611245 kst 262.3193797071344 16.192178352654405 25.47 ab
58889.1250611245 kst 283.76998437563356 16.541032613053325 25.47 ab
58889.3750611245 kst 294.0819893567829 16.883027799396526 25.47 ab
58889.6250611245 kst 313.21878853687747 17.211377575701878 25.47 ab
58889.8750611245 kst 297.0726557251594 17.526582204866035 25.47 ab
58890.1250611245 kst 309.83441204293456 17.834044577603887 25.47 ab
58890.3750611245 kst 366.8042632979167 18.1305856830733 25.47 ab
58890.6250611245 kst 343.1794818137077 18.41314209996201 25.47 ab
58890.8750611245 kst 337.9109025075884 18.679756790364614 25.47 ab
58891.1250611245 kst 356.05545434083166 18.93358857016062 25.47 ab
