@c 0.06122755530420232
@x1 -0.8074458900638306
@mwebv 0.07138461609016293
@t0 58837.19298241204
@x0 0.00020997782152484373
@z 0.13410968786
time band flux fluxerr zp zpsys
58821.19298241204 kst 9.959448086247596 3.787872318891484 25.47 ab
58821.44298241204 kst 22.653318307368387 4.048475795522134 25.47 ab
58821.69298241204 kst 16.55138933232443 4.306946104667012 25.47 ab
58821.94298241204 kst 20.838864394936376 4.562558786901481 25.47 ab
58822.19298241204 kst 25.178655961701747 4.814011392411751 25.47 ab
58822.44298241204 kst 32.51086422222592 5.060251907621395 25.47 ab
58822.69298241204 kst 22.42880940029071 5.302299745986372 25.47 ab
58822.94298241204 kst 20.858527664984045 5.5416217816076845 25.47 ab
58823.19298241204 kst 40.54967283500512 5.777743650663133 25.47 ab
58823.44298241204 kst 31.500814586115883 6.010259746488127 25.47 ab
58823.69298241204 kst 39.22112614740541 6.23888854832634 25.47 ab
58823.94298241204 kst 38.51838354437692 6.464215664930593 25.47 ab
58824.19298241204 kst 29.326998599587775 6.686983959982877 25.47 ab
58824.44298241204 kst 41.98362910717942 6.907787371759352 25.47 ab
58824.69298241204 kst 50.088624824564135 7.127144234533267 25.47 ab
58824.94298241204 kst 72.76359259498842 7.345032902532579 25.47 ab
58825.19298241204 kst 60.43829956135459 7.561315655239102 25.47 ab
58825.44298241204 kst 45.80478393475336 7.77657690164535 25.47 ab
58825.69298241204 kst 69.39076346450527 7.991343049039188 25.47 ab
58825.94298241204 kst 77.84191491359807 8.20600757908655 25.47 ab
58826.19298241204 kst 61.313442328649074 8.420135795917178 25.47 ab
58826.44298241204 kst 80.86196808007423 8.633866043566602 25.47 ab
58826.69298241204 kst 74.33028584013711 8.84753612341304 25.47 ab
58826.94298241204 kst 73.89516414887872 9.061451957031917 25.47 ab
58827.19298241204 kst 90.82771495783646 9.277740108370079 25.47 ab
58827.44298241204 kst 73.79235429010933 9.497145569144543 25.47 ab
58827.69298241204 kst 93.95130168942097 9.71498456512878 25.47 ab
58827.94298241204 kst 109.17554446920307 9.926884929630976 25.47 ab
58828.19298241204 kst 103.36239161080408 10.129272174508397 25.47 ab
58828.44298241204 kst 110.85429528590765 10.32612961099602 25.47 ab
58828.69298241204 kst 106.98173035731233 10.517870807758989 25.47 ab
58828.94298241204 kst 105.08914275399053 10.702582227288275 25.47 ab
58829.19298241204 kst 148.92491365537586 10.878468805043305 25.47 ab
58829.44298241204 kst 135.30749400068464 11.045009479396608 25.47 ab
58829.69298241204 kst 129.27221115448413 11.204236950226015 25.47 ab
58829.94298241204 kst 128.7602200836171 11.356259221654522 25.47 ab
58830.19298241204 kst 135.1477820957579 11.501063234457842 25.47 ab
58830.44298241204 kst 133.59958019310687 11.638649790233497 25.47 ab
58830.69298241204 kst 144.9709282936643 11.769681458827089 25.47 ab
58830.94298241204 kst 154.05305529484528 11.89428371194284 25.47 ab
58831.19298241204 kst 146.33202487608708 12.012221719969103 25.47 ab
58831.44298241204 kst 146.35144524308876 12.123259054684409 25.47 ab
58831.69298241204 kst 137.59967890492297 12.227245027734254 25.47 ab
58831.94298241204 kst 169.5128726437114 12.3245369075972 25.47 ab
58832.19298241204 kst 151.74124988869275 12.415577192461688 25.47 ab
58832.44298241204 kst 137.8059449625919 12.500778532680057 25.47 ab
58832.69298241204 kst 166.5762300347049 12.580515603698196 25.47 ab
58832.94298241204 kst 146.928878261565 12.654228882884846 25.47 ab
58833.19298241204 kst 182.08703792664474 12.722202180905766 25.47 ab
58833.44298241204 kst 166.11349618826574 12.785395597393773 25.47 ab
58833.69298241204 kst 173.93300478682403 12.8447442155622 25.47 ab
58833.94298241204 kst 188.69908149521333 12.900957461100816 25.47 ab
58834.19298241204 kst 148.88713017437402 12.953630786849098 25.47 ab
58834.44298241204 kst 161.30731655676027 13.002468322034334 25.47 ab
58834.69298241204 kst 155.0505659735486 13.0472296333684 25.47 ab
58834.94298241204 kst 182.65282146021173 13.087675921657402 25.47 ab
58835.19298241204 kst 164.46026150151494 13.124005920640363 25.47 ab
58835.44298241204 kst 157.8774194587275 13.156352332011044 25.47 ab
58835.69298241204 kst 161.59630408330838 13.184529666380936 25.47 ab
58835.94298241204 kst 170.4887740048858 13.208350183892145 25.47 ab
58836.19298241204 kst 166.2697363488809 13.227586093676912 25.47 ab
58836.44298241204 kst 188.81646032867465 13.242117159323769 25.47 ab
58836.69298241204 kst 173.45021910666887 13.252371503472725 25.47 ab
58836.94298241204 kst 190.30162881915402 13.258823508462267 25.47 ab
58837.19298241204 kst 191.73341907971377 13.261943073971649 25.47 ab
58837.44298241204 kst 188.20282887685835 13.26151521269726 25.47 ab
58837.69298241204 kst 180.44610126511176 13.257299004041702 25.47 ab
58837.94298241204 kst 170.2190148373717 13.2497208344582 25.47 ab
58838.19298241204 kst 171.8862199729421 13.23920527516858 25.47 ab
58838.44298241204 kst 164.96223944125467 13.226078802673731 25.47 ab
58838.69298241204 kst 185.26408077224778 13.209981611542947 25.47 ab
58838.94298241204 kst 180.99544961215042 13.190924758228448 25.47 ab
58839.19298241204 kst 162.2797597456715 13.16903411068095 25.47 ab
58839.44298241204 kst 159.97390046226528 13.144434487049065 25.47 ab
58839.69298241204 kst 181.46538240340652 13.11705085101914 25.47 ab
58839.94298241204 kst 162.2692085115139 13.086763479148516 25.47 ab
58840.19298241204 kst 184.7610200789347 13.053725906787129 25.47 ab
58840.44298241204 kst 144.60042011975023 13.018092688625128 25.47 ab
58840.69298241204 kst 171.84779776615704 12.979996449227455 25.47 ab
58840.94298241204 kst 170.61975369213667 12.939321425841788 25.47 ab
58841.19298241204 kst 161.91023753441496 12.895999814771015 25.47 ab
58841.44298241204 kst 148.2058845913554 12.85000432697624 25.47 ab
58841.69298241204 kst 148.83251916228568 12.801305617038617 25.47 ab
58841.94298241204 kst 161.28065592260984 12.749807664799844 25.47 ab
58842.19298241204 kst 142.40560835586763 12.6954486286 25.47 ab
58842.44298241204 kst 187.48051563150858 12.638335293219637 25.47 ab
58842.69298241204 kst 160.03626510614316 12.578576951508762 25.47 ab
58842.94298241204 kst 159.12784535751433 12.516260066311537 25.47 ab
58843.19298241204 kst 156.49843371301415 12.451166311191924 25.47 ab
58843.44298241204 kst 176.16549409749337 12.38330166409057 25.47 ab
58843.69298241204 kst 153.90337392045402 12.312779729451867 25.47 ab
58843.94298241204 kst 136.92660942594452 12.239714948849551 25.47 ab
58844.19298241204 kst 158.77781256975007 12.164093031262624 25.47 ab
58844.44298241204 kst 121.81304796292923 12.085714553980416 25.47 ab
58844.69298241204 kst 149.97775860901876 12.00462838376771 25.47 ab
58844.94298241204 kst 142.9211062113412 11.920892815084486 25.47 ab
58845.19298241204 kst 136.5172590192912 11.834484837874868 25.47 ab
58845.44298241204 kst 125.08056910635251 11.74402283008459 25.47 ab
58845.69298241204 kst 133.12491092281772 11.650261441492434 25.47 ab
58845.94298241204 kst 130.55737967912995 11.554926953753531 25.47 ab
58846.19298241204 kst 124.4575027376776 11.459801710844276 25.47 ab
58846.44298241204 kst 134.4336976644243 11.365582510809588 25.47 ab
58846.69298241204 kst 125.13636316849067 11.270512258108885 25.47 ab
58846.94298241204 kst 103.14749867083228 11.175460456898572 25.47 ab
58847.19298241204 kst 123.78110746817336 11.081513904588327 25.47 ab
58847.44298241204 kst 124.71588486215704 10.989774058360787 25.47 ab
58847.69298241204 kst 128.4351782214078 10.900139167983678 25.47 ab
58847.94298241204 kst 113.64861608939174 10.812132054783836 25.47 ab
58848.19298241204 kst 117.74957626566903 10.725642204794942 25.47 ab
58848.44298241204 kst 121.95999553397326 10.640554829163616 25.47 ab
58848.69298241204 kst 122.48936365460337 10.556831596117199 25.47 ab
58848.94298241204 kst 112.1815739085898 10.474667529731802 25.47 ab
58849.19298241204 kst 108.13243096815043 10.394019255101735 25.47 ab
58849.44298241204 kst 129.32902208244542 10.314815295045108 25.47 ab
58849.69298241204 kst 95.98199921860555 10.236982926940794 25.47 ab
58849.94298241204 kst 94.27926893057035 10.160638183932786 25.47 ab
58850.19298241204 kst 89.25032037257934 10.085839901292742 25.47 ab
58850.44298241204 kst 104.17272102526782 10.012513219793696 25.47 ab
58850.69298241204 kst 105.57887200296169 9.94058039511858 25.47 ab
58850.94298241204 kst 107.01891934753806 9.870067376089647 25.47 ab
58851.19298241204 kst 93.50656178846333 9.801294307919497 25.47 ab
58851.44298241204 kst 106.27787466567793 9.734000847774707 25.47 ab
58851.69298241204 kst 101.54692913160154 9.667844666877995 25.47 ab
58851.94298241204 kst 90.84203987888192 9.602473727720664 25.47 ab
58852.19298241204 kst 105.86310970417188 9.537924374633857 25.47 ab
58852.44298241204 kst 89.22605304518164 9.474421525547735 25.47 ab
58852.69298241204 kst 85.00714758516965 9.411937432770221 25.47 ab
58852.94298241204 kst 94.45540177232978 9.35044326779887 25.47 ab
58853.19298241204 kst 75.48978596082407 9.289908447435087 25.47 ab
58853.44298241204 kst 69.73072902845887 9.230340669804564 25.47 ab
58853.69298241204 kst 81.11593471726259 9.171819530814732 25.47 ab
58853.94298241204 kst 88.10265778933785 9.1144321632604 25.47 ab
58854.19298241204 kst 86.33121592553185 9.058267503257007 25.47 ab
58854.44298241204 kst 102.81827804162523 9.00330319855223 25.47 ab
58854.69298241204 kst 81.05723116666313 8.94951674950526 25.47 ab
58854.94298241204 kst 74.07662645299904 8.89703482799255 25.47 ab
58855.19298241204 kst 86.00060497832538 8.845986858462883 25.47 ab
58855.44298241204 kst 90.49850079646932 8.79654570501468 25.47 ab
58855.69298241204 kst 72.89661327369723 8.749004213179614 25.47 ab
58855.94298241204 kst 68.14079441773207 8.703030147938534 25.47 ab
58856.19298241204 kst 73.21572312159958 8.658168255532509 25.47 ab
58856.44298241204 kst 75.63037527856983 8.61395322586602 25.47 ab
58856.69298241204 kst 58.143887489879816 8.570389870707071 25.47 ab
58856.94298241204 kst 71.46144374061248 8.527865005581075 25.47 ab
58857.19298241204 kst 84.84291537549156 8.486102708545838 25.47 ab
58857.44298241204 kst 79.29145943289939 8.444812823260358 25.47 ab
58857.69298241204 kst 84.30824448481953 8.403721293398872 25.47 ab
58857.94298241204 kst 87.06388569740902 8.362914866572236 25.47 ab
58858.19298241204 kst 77.3498399348931 8.322538422136786 25.47 ab
58858.44298241204 kst 66.98672039150355 8.282687204757249 25.47 ab
58858.69298241204 kst 64.56054162593063 8.243458211500394 25.47 ab
58858.94298241204 kst 67.97544118716529 8.204872761872426 25.47 ab
58859.19298241204 kst 74.76120858263279 8.166858863442084 25.47 ab
58859.44298241204 kst 60.087301117140335 8.129483089525547 25.47 ab
58859.69298241204 kst 70.44316404687875 8.092817380428054 25.47 ab
58859.94298241204 kst 58.31141667720965 8.05696576324104 25.47 ab
58860.19298241204 kst 66.31281253098317 8.022395878536138 25.47 ab
58860.44298241204 kst 78.56908627880536 7.988745625492359 25.47 ab
58860.69298241204 kst 66.15356860506445 7.955354883517384 25.47 ab
58860.94298241204 kst 63.986289827023825 7.921552278161899 25.47 ab
58861.19298241204 kst 66.51019715641685 7.887085069406096 25.47 ab
58861.44298241204 kst 66.02285461551868 7.852557309543338 25.47 ab
58861.69298241204 kst 59.800267385941254 7.817699735387301 25.47 ab
58861.94298241204 kst 51.121029226742564 7.782185706029296 25.47 ab
58862.19298241204 kst 74.7275569918664 7.745689008487027 25.47 ab
58862.44298241204 kst 53.15825375048468 7.708198180637366 25.47 ab
58862.69298241204 kst 55.515230576088406 7.66988274532751 25.47 ab
58862.94298241204 kst 53.6840069180237 7.630855419925558 25.47 ab
58863.19298241204 kst 58.07626748644514 7.5912310166745 25.47 ab
58863.44298241204 kst 53.62014932270718 7.551047596092602 25.47 ab
58863.69298241204 kst 56.623704338283076 7.510153074277021 25.47 ab
58863.94298241204 kst 58.5491056404513 7.4686260306764165 25.47 ab
58864.19298241204 kst 72.92614820652 7.4265672558100535 25.47 ab
58864.44298241204 kst 50.342172900314594 7.384076148460331 25.47 ab
58864.69298241204 kst 51.12517464374057 7.340997061142596 25.47 ab
58864.94298241204 kst 60.12445678241125 7.297325986831744 25.47 ab
58865.19298241204 kst 51.89644577957389 7.253244598448932 25.47 ab
58865.44298241204 kst 51.94228168956134 7.208938917186885 25.47 ab
58865.69298241204 kst 57.89944234026028 7.164484895280938 25.47 ab
58865.94298241204 kst 50.23793781269308 7.119605401384515 25.47 ab
