@c 0.197599919661
@x1 3.17781589921
@x0 0.00038307360582
@z 0.0964783936911
@t0 58040.4482919
time band flux fluxerr zp zpsys
58037.4482919 smg 1071.95859391 42.6634301764 26.5758575797 ab
58042.4482919 smg 922.439515861 40.5967919915 26.4411497543 ab
58047.4482919 smg 230.02686787 30.001601792 25.1691254612 ab
58052.4482919 smg 3715.81691316 66.845314466 28.2101332734 ab
58057.4482919 smg 619.299140013 35.7278982769 26.5355201868 ab
58062.4482919 smg 777.585713593 38.5799828826 27.1962931693 ab
58067.4482919 smg 245.861440338 31.1412510868 26.4937908866 ab
58072.4482919 smg 791.507328505 39.8708519667 27.9875279289 ab
58077.4482919 smg 68.2995605531 27.3933610018 25.873791941 ab
58082.4482919 smg 103.606888353 29.2404618841 26.7347377625 ab
58087.4482919 smg 123.034631488 30.110937564 27.1018246104 ab
58092.4482919 smg 160.263979995 29.4052510888 26.9500040918 ab
58097.4482919 smg 13.0197029558 26.9483434875 26.9483434875 ab
58037.4484308 smr 468.031647076 33.123374088 25.4720954113 ab
58042.4484308 smr 415.461405519 31.7471015124 25.2397630479 ab
58047.4484308 smr 307.58864271 30.4628740659 25.0629906331 ab
58052.4484308 smr 529.373916023 33.8502208357 25.7420823335 ab
58057.4484308 smr 112.84188771 27.8370862644 24.8315145987 ab
58062.4484308 smr 157.081226397 28.4284668782 25.0807872571 ab
58067.4484308 smr 158.2858341 27.7346693684 24.9283692475 ab
58072.4484308 smr 152.053696819 29.114617903 25.3726481814 ab
58077.4484308 smr 191.956548453 28.0885997241 25.2832695066 ab
58082.4484308 smr 67.0162050033 27.2539973057 25.2156225841 ab
58087.4484308 smr 145.130491819 28.5014603287 25.8246632186 ab
58092.4484308 smr 65.9707972764 25.6069828188 24.7072677704 ab
58097.4484308 smr -0.433540530192 24.8545857839 24.8545857839 ab
58037.4485697 smi 1959.17789938 51.208647892 27.5218021791 ab
58042.4485697 smi 2624.29026069 59.7188445201 27.9116697688 ab
58047.4485697 smi 395.039075501 33.0941510495 25.8911218965 ab
58052.4485697 smi 242.631842817 29.3112169208 25.4049247181 ab
58057.4485697 smi 311.460792793 32.9929867762 26.5304125326 ab
58062.4485697 smi 333.465606308 31.9276918002 26.2901238965 ab
58067.4485697 smi 354.60680346 31.7833304099 26.0708611144 ab
58072.4485697 smi 709.457539707 36.8508815262 26.5669016494 ab
58077.4485697 smi 292.461092357 29.7006292063 25.5623597359 ab
58082.4485697 smi 224.680445928 29.0691968269 25.6287126936 ab
58087.4485697 smi 340.811979739 31.8965521562 26.5152739698 ab
58092.4485697 smi 367.116591483 32.0621924916 26.7488225407 ab
58097.4485697 smi -32.9216809467 26.3871352483 26.3871352483 ab
58024.4482919 kst 102.009483211 9.86563625813 25.47 ab
58024.6982919 kst 101.70754155 10.3148403798 25.47 ab
58024.9482919 kst 96.1486141624 10.758509298 25.47 ab
58025.1982919 kst 122.33826224 11.1957754667 25.47 ab
58025.4482919 kst 154.067506032 11.634271073 25.47 ab
58025.6982919 kst 152.044181768 12.0687440681 25.47 ab
58025.9482919 kst 135.107387222 12.4917758772 25.47 ab
58026.1982919 kst 174.422919412 12.8969029994 25.47 ab
58026.4482919 kst 190.134651218 13.2897506782 25.47 ab
58026.6982919 kst 165.390975762 13.6742853945 25.47 ab
58026.9482919 kst 207.087078047 14.0438512979 25.47 ab
58027.1982919 kst 207.192216004 14.3924402444 25.47 ab
58027.4482919 kst 242.254491265 14.7165253642 25.47 ab
58027.6982919 kst 244.812570245 15.0216410318 25.47 ab
58027.9482919 kst 243.715160886 15.3107225417 25.47 ab
58028.1982919 kst 245.005387756 15.5859694039 25.47 ab
58028.4482919 kst 240.698918214 15.8492972427 25.47 ab
58028.6982919 kst 271.8191464 16.1003829557 25.47 ab
58028.9482919 kst 248.758287527 16.3397338406 25.47 ab
58029.1982919 kst 312.876873715 16.5685774234 25.47 ab
58029.4482919 kst 253.929875607 16.7880529439 25.47 ab
58029.6982919 kst 284.379710107 16.998646663 25.47 ab
58029.9482919 kst 299.470692096 17.2001825748 25.47 ab
58030.1982919 kst 306.055762793 17.393243732 25.47 ab
58030.4482919 kst 320.149183745 17.5783884246 25.47 ab
58030.6982919 kst 290.736725022 17.7561581344 25.47 ab
58030.9482919 kst 352.818654651 17.9268973849 25.47 ab
58031.1982919 kst 316.700739757 18.0904052961 25.47 ab
58031.4482919 kst 323.138313735 18.2464252554 25.47 ab
58031.6982919 kst 313.997459186 18.3947055674 25.47 ab
58031.9482919 kst 319.082595058 18.5357594889 25.47 ab
58032.1982919 kst 344.584310944 18.6698389754 25.47 ab
58032.4482919 kst 352.061787509 18.7966259607 25.47 ab
58032.6982919 kst 324.552348131 18.9158027115 25.47 ab
58032.9482919 kst 360.745895532 19.0273849626 25.47 ab
58033.1982919 kst 370.401836429 19.1320018882 25.47 ab
58033.4482919 kst 379.575892734 19.2293627378 25.47 ab
58033.6982919 kst 374.693409956 19.3191148548 25.47 ab
58033.9482919 kst 348.804125713 19.4009816526 25.47 ab
58034.1982919 kst 395.496648148 19.4756772539 25.47 ab
58034.4482919 kst 419.867605643 19.5430401715 25.47 ab
58034.6982919 kst 407.037666582 19.6025256848 25.47 ab
58034.9482919 kst 394.286148817 19.6535866174 25.47 ab
58035.1982919 kst 364.146095783 19.6953254715 25.47 ab
58035.4482919 kst 360.760080588 19.7281342923 25.47 ab
58035.6982919 kst 413.320096137 19.7536928213 25.47 ab
58035.9482919 kst 367.597912935 19.7736666045 25.47 ab
58036.1982919 kst 381.043949091 19.7886393116 25.47 ab
58036.4482919 kst 437.053003209 19.7956067399 25.47 ab
58036.6982919 kst 348.321045526 19.7973072676 25.47 ab
58036.9482919 kst 357.024912027 19.797291888 25.47 ab
58037.1982919 kst 402.178831771 19.7990424682 25.47 ab
58037.4482919 kst 372.271900483 19.8018915257 25.47 ab
58037.6982919 kst 405.854197198 19.8043644131 25.47 ab
58037.9482919 kst 352.669182226 19.8064935531 25.47 ab
58038.1982919 kst 373.245423542 19.8083113357 25.47 ab
58038.4482919 kst 391.03218385 19.8098405163 25.47 ab
58038.6982919 kst 397.559677978 19.811064652 25.47 ab
58038.9482919 kst 389.025736052 19.8119641191 25.47 ab
58039.1982919 kst 386.549740042 19.8125196743 25.47 ab
58039.4482919 kst 396.982298928 19.8127640891 25.47 ab
58039.6982919 kst 395.257321021 19.8130388117 25.47 ab
58039.9482919 kst 364.606467056 19.81300484 25.47 ab
58040.1982919 kst 406.41209123 19.8121611343 25.47 ab
58040.4482919 kst 368.437627539 19.8100064981 25.47 ab
58040.6982919 kst 380.618701635 19.8066676811 25.47 ab
58040.9482919 kst 434.376364733 19.8023945988 25.47 ab
58041.1982919 kst 410.054309019 19.7968702313 25.47 ab
58041.4482919 kst 397.11146484 19.7897770022 25.47 ab
58041.6982919 kst 383.654406779 19.7808773024 25.47 ab
58041.9482919 kst 374.780962984 19.7703396114 25.47 ab
58042.1982919 kst 432.128622303 19.7582626464 25.47 ab
58042.4482919 kst 401.765556888 19.7447228841 25.47 ab
58042.6982919 kst 394.781542231 19.7297918223 25.47 ab
58042.9482919 kst 387.883121484 19.7134113158 25.47 ab
58043.1982919 kst 396.183607047 19.6955719063 25.47 ab
58043.4482919 kst 407.913097189 19.6763161649 25.47 ab
58043.6982919 kst 379.208042004 19.6556865172 25.47 ab
58043.9482919 kst 373.57241201 19.6339325859 25.47 ab
58044.1982919 kst 381.134105851 19.6111220481 25.47 ab
58044.4482919 kst 397.222857304 19.5866960722 25.47 ab
58044.6982919 kst 377.270039622 19.5600828722 25.47 ab
58044.9482919 kst 373.420674973 19.5308039515 25.47 ab
58045.1982919 kst 345.894657341 19.4991739625 25.47 ab
58045.4482919 kst 399.898817948 19.4652789976 25.47 ab
58045.6982919 kst 409.507663043 19.4290939097 25.47 ab
58045.9482919 kst 362.696814115 19.3905920576 25.47 ab
58046.1982919 kst 388.109138831 19.3496638596 25.47 ab
58046.4482919 kst 358.605292206 19.3063368512 25.47 ab
58046.6982919 kst 364.269351812 19.2607500514 25.47 ab
58046.9482919 kst 347.026521964 19.2130429675 25.47 ab
58047.1982919 kst 368.124049661 19.163266908 25.47 ab
58047.4482919 kst 386.940245037 19.1112603161 25.47 ab
58047.6982919 kst 386.524135412 19.0570812051 25.47 ab
58047.9482919 kst 374.106162196 19.0008054835 25.47 ab
58048.1982919 kst 351.351546757 18.9425297779 25.47 ab
58048.4482919 kst 328.498396173 18.8825057258 25.47 ab
