@c -0.0550006772027
@x1 -3.92156420916
@x0 0.00222578925225
@z 0.0416216724096
@t0 57982.1786778
time band flux fluxerr zp zpsys
57978.1786778 smg 8758.39284481 96.9869709864 27.2382658216 ab
57983.1786778 smg 11284.3638329 109.930458507 27.3123674303 ab
57988.1786778 smg 3736.1973583 66.6456097718 26.3994981739 ab
57993.1786778 smg 3753.42733961 66.2946120169 26.9843921926 ab
57998.1786778 smg 477.519755628 32.9798598648 25.4099875062 ab
57978.1788167 smr 1535.48808831 47.010369776 25.4482805772 ab
57983.1788167 smr 1094.8032953 42.3081457964 24.9394671864 ab
57988.1788167 smr 870.581028822 38.8965575416 24.8061323297 ab
57993.1788167 smr 492.203030375 33.4222113148 24.6712137492 ab
57998.1788167 smr 930.847519241 40.0012362423 25.4366369321 ab
57978.1789556 smi 7479.9399381 90.853276202 27.4416708623 ab
57983.1789556 smi 3202.91995982 63.0639354704 26.4929049405 ab
57988.1789556 smi 14527.1388037 123.717105835 28.356470655 ab
57993.1789556 smi 5610.82247424 79.4589687546 27.8657356085 ab
57998.1789556 smi 3208.01520716 62.7159130348 27.0708899926 ab
57965.1786778 kst -112.882298119 10.4959268897 25.47 ab
57965.4286778 kst -108.363021832 10.9440145236 25.47 ab
57965.6786778 kst -134.46435065 11.2448772708 25.47 ab
57965.9286778 kst -135.500418116 11.4453026526 25.47 ab
57966.1786778 kst -138.672644277 11.5638596889 25.47 ab
57966.4286778 kst -134.730685311 11.6127441969 25.47 ab
57966.6786778 kst -148.514664019 11.5989923701 25.47 ab
57966.9286778 kst -139.8132041 11.5110411541 25.47 ab
57967.1786778 kst -113.78038562 11.3547390476 25.47 ab
57967.4286778 kst -109.066874301 11.1387583089 25.47 ab
57967.6786778 kst -104.857862925 10.8715635084 25.47 ab
57967.9286778 kst -99.8023427413 10.5553731192 25.47 ab
57968.1786778 kst -98.9242533219 10.171023541 25.47 ab
57968.4286778 kst -81.3447080634 9.6918677549 25.47 ab
57968.6786778 kst -91.1534905482 9.0840968366 25.47 ab
57968.9286778 kst -63.7555142093 8.34394283963 25.47 ab
57969.1786778 kst -40.5584166245 7.42542734301 25.47 ab
57969.4286778 kst -31.4510602898 6.20493684236 25.47 ab
57969.6786778 kst -18.6973778141 4.37582570721 25.47 ab
57969.9286778 kst 4.73087637556 1.74587754773 25.47 ab
57970.1786778 kst 26.697797631 5.26692301104 25.47 ab
57970.4286778 kst 61.3408545138 7.40971353078 25.47 ab
57970.6786778 kst 90.6119218519 9.19199414491 25.47 ab
57970.9286778 kst 134.477504485 10.7917194063 25.47 ab
57971.1786778 kst 166.871285237 12.2811659005 25.47 ab
57971.4286778 kst 222.372421838 13.6988736181 25.47 ab
57971.6786778 kst 238.068024484 15.0674144728 25.47 ab
57971.9286778 kst 283.633308255 16.39980294 25.47 ab
57972.1786778 kst 316.547628247 17.7020656918 25.47 ab
57972.4286778 kst 375.140435182 18.9823078978 25.47 ab
57972.6786778 kst 417.148641671 20.2467906128 25.47 ab
57972.9286778 kst 470.066271358 21.506806522 25.47 ab
57973.1786778 kst 481.906149563 22.7854840722 25.47 ab
57973.4286778 kst 595.798890899 24.046787815 25.47 ab
57973.6786778 kst 668.246257338 25.2544941725 25.47 ab
57973.9286778 kst 694.358918126 26.3831953541 25.47 ab
57974.1786778 kst 749.996002363 27.4676018545 25.47 ab
57974.4286778 kst 741.91233278 28.5104565504 25.47 ab
57974.6786778 kst 866.801089693 29.4991608199 25.47 ab
57974.9286778 kst 913.156658202 30.4228582306 25.47 ab
57975.1786778 kst 928.407793308 31.2906117192 25.47 ab
57975.4286778 kst 1035.61298087 32.1123885926 25.47 ab
57975.6786778 kst 1074.5285104 32.8902084516 25.47 ab
57975.9286778 kst 1190.10808622 33.6257262426 25.47 ab
57976.1786778 kst 1148.87084929 34.3226269493 25.47 ab
57976.4286778 kst 1244.95375765 34.9836324927 25.47 ab
57976.6786778 kst 1272.29255291 35.6086230911 25.47 ab
57976.9286778 kst 1310.82853881 36.1973799701 25.47 ab
57977.1786778 kst 1364.42574728 36.7509226495 25.47 ab
57977.4286778 kst 1454.12718671 37.27214214 25.47 ab
57977.6786778 kst 1388.79987747 37.7620532709 25.47 ab
57977.9286778 kst 1485.5314107 38.2214958905 25.47 ab
57978.1786778 kst 1514.38419131 38.6510308697 25.47 ab
57978.4286778 kst 1438.69817822 39.0514400658 25.47 ab
57978.6786778 kst 1557.63499042 39.4246576899 25.47 ab
57978.9286778 kst 1547.32907234 39.7725544092 25.47 ab
57979.1786778 kst 1702.75903543 40.096971323 25.47 ab
57979.4286778 kst 1642.76777787 40.3989382821 25.47 ab
57979.6786778 kst 1647.89068637 40.6772364017 25.47 ab
57979.9286778 kst 1647.68988221 40.9304309571 25.47 ab
57980.1786778 kst 1714.89652723 41.1573371548 25.47 ab
57980.4286778 kst 1773.04486735 41.3599901389 25.47 ab
57980.6786778 kst 1682.89353494 41.5383350449 25.47 ab
57980.9286778 kst 1799.74742008 41.6912859458 25.47 ab
57981.1786778 kst 1696.93871669 41.8176915482 25.47 ab
57981.4286778 kst 1793.47978693 41.9158343856 25.47 ab
57981.6786778 kst 1814.39592999 41.9879048176 25.47 ab
57981.9286778 kst 1768.79220069 42.0374921206 25.47 ab
57982.1786778 kst 1732.62305541 42.0681284567 25.47 ab
57982.4286778 kst 1786.48057073 42.0787237164 25.47 ab
57982.6786778 kst 1747.89226317 42.067895177 25.47 ab
57982.9286778 kst 1795.55075305 42.0386819233 25.47 ab
57983.1786778 kst 1769.21135342 41.9941044697 25.47 ab
57983.4286778 kst 1756.35147382 41.9350953457 25.47 ab
57983.6786778 kst 1794.38057057 41.8595564734 25.47 ab
57983.9286778 kst 1736.47718421 41.7681270388 25.47 ab
57984.1786778 kst 1774.7669914 41.6615062209 25.47 ab
57984.4286778 kst 1785.94123707 41.5397985921 25.47 ab
57984.6786778 kst 1634.80046231 41.4019308802 25.47 ab
57984.9286778 kst 1691.43458972 41.2487355228 25.47 ab
57985.1786778 kst 1679.84404074 41.0811931086 25.47 ab
57985.4286778 kst 1665.24350307 40.8998601445 25.47 ab
57985.6786778 kst 1678.8779676 40.7032157162 25.47 ab
57985.9286778 kst 1642.84743942 40.4919160335 25.47 ab
57986.1786778 kst 1608.88382551 40.2670497318 25.47 ab
57986.4286778 kst 1598.97987641 40.0295268096 25.47 ab
57986.6786778 kst 1620.71568481 39.7779276179 25.47 ab
57986.9286778 kst 1538.05073371 39.5123429981 25.47 ab
57987.1786778 kst 1472.00042757 39.233597581 25.47 ab
57987.4286778 kst 1498.9464869 38.942488313 25.47 ab
57987.6786778 kst 1562.22042199 38.6380699458 25.47 ab
57987.9286778 kst 1465.37201013 38.3199261592 25.47 ab
57988.1786778 kst 1420.15592582 37.9885185967 25.47 ab
57988.4286778 kst 1381.17272792 37.6443108058 25.47 ab
57988.6786778 kst 1334.06698144 37.2867462914 25.47 ab
57988.9286778 kst 1317.57953753 36.9150844236 25.47 ab
57989.1786778 kst 1335.54647952 36.5295020478 25.47 ab
57989.4286778 kst 1289.35516496 36.1301673312 25.47 ab
57989.6786778 kst 1312.36166819 35.7116874823 25.47 ab
57989.9286778 kst 1220.479253 35.2709812498 25.47 ab
57990.1786778 kst 1241.7453877 34.8206906515 25.47 ab
57990.4286778 kst 1231.99962676 34.3743876689 25.47 ab
57990.6786778 kst 1159.23268067 33.9391242223 25.47 ab
57990.9286778 kst 1153.01655753 33.5031996907 25.47 ab
57991.1786778 kst 1177.16231532 33.0733479343 25.47 ab
57991.4286778 kst 1034.06108905 32.6583977244 25.47 ab
57991.6786778 kst 1118.43031893 32.2660593186 25.47 ab
57991.9286778 kst 1028.96847197 31.8929055078 25.47 ab
57992.1786778 kst 999.930007753 31.5374942128 25.47 ab
57992.4286778 kst 982.809417149 31.1994637808 25.47 ab
57992.6786778 kst 955.951647122 30.878520882 25.47 ab
57992.9286778 kst 986.999263153 30.5758583691 25.47 ab
57993.1786778 kst 885.604027656 30.2919930173 25.47 ab
57993.4286778 kst 905.942259795 30.0270062199 25.47 ab
57993.6786778 kst 880.687533269 29.7809914323 25.47 ab
57993.9286778 kst 872.549212566 29.5556767613 25.47 ab
57994.1786778 kst 871.213477217 29.3509076155 25.47 ab
57994.4286778 kst 803.246954674 29.1651982986 25.47 ab
57994.6786778 kst 843.802824618 28.9969854903 25.47 ab
57994.9286778 kst 894.375067429 28.8534300159 25.47 ab
57995.1786778 kst 793.837388594 28.7339964355 25.47 ab
57995.4286778 kst 892.10663048 28.6254487763 25.47 ab
57995.6786778 kst 833.387254367 28.514320803 25.47 ab
57995.9286778 kst 788.203490861 28.3959540877 25.47 ab
57996.1786778 kst 773.799533084 28.2792222722 25.47 ab
57996.4286778 kst 753.785997843 28.1616535084 25.47 ab
57996.6786778 kst 746.229653924 28.0404306542 25.47 ab
57996.9286778 kst 788.128203055 27.9137667069 25.47 ab
57997.1786778 kst 799.901742117 27.7834543546 25.47 ab
57997.4286778 kst 703.207974024 27.6494194136 25.47 ab
57997.6786778 kst 760.877065368 27.5113647099 25.47 ab
57997.9286778 kst 713.431539573 27.3690535878 25.47 ab
57998.1786778 kst 766.505090422 27.222623726 25.47 ab
57998.4286778 kst 719.547432466 27.0719386393 25.47 ab
57998.6786778 kst 732.614024393 26.9167936825 25.47 ab
57998.9286778 kst 723.223431181 26.7566674691 25.47 ab
57999.1786778 kst 715.090824221 26.5887189705 25.47 ab
57999.4286778 kst 691.756971854 26.4157433389 25.47 ab
57999.6786778 kst 656.842770048 26.2421798972 25.47 ab
57999.9286778 kst 631.390415298 26.072425561 25.47 ab
58000.1786778 kst 625.127529326 25.90372734 25.47 ab
58000.4286778 kst 626.95263131 25.7357830318 25.47 ab
58000.6786778 kst 654.15406258 25.5720359665 25.47 ab
58000.9286778 kst 646.402045159 25.4160167741 25.47 ab
58001.1786778 kst 672.607808477 25.2680724151 25.47 ab
58001.4286778 kst 610.48091947 25.126584921 25.47 ab
58001.6786778 kst 666.770050002 24.9921536019 25.47 ab
58001.9286778 kst 607.0588836 24.8653850468 25.47 ab
58002.1786778 kst 614.720373816 24.7466021563 25.47 ab
58002.4286778 kst 573.083352307 24.6356102606 25.47 ab
58002.6786778 kst 572.439084196 24.5325078994 25.47 ab
58002.9286778 kst 570.315877045 24.4373966333 25.47 ab
58003.1786778 kst 638.938690788 24.3536701898 25.47 ab
58003.4286778 kst 607.417442404 24.286188141 25.47 ab
58003.6786778 kst 633.088396283 24.2234521517 25.47 ab
58003.9286778 kst 579.409032042 24.152796562 25.47 ab
58004.1786778 kst 592.753604567 24.0648664454 25.47 ab
58004.4286778 kst 556.654787949 23.9697477156 25.47 ab
58004.6786778 kst 596.408709585 23.8643114146 25.47 ab
58004.9286778 kst 609.879081908 23.7422306114 25.47 ab
58005.1786778 kst 561.518059658 23.5974055468 25.47 ab
58005.4286778 kst 507.98451587 23.430560039 25.47 ab
58005.6786778 kst 569.28786068 23.2441595205 25.47 ab
58005.9286778 kst 544.8900332 23.0397859086 25.47 ab
58006.1786778 kst 520.433495298 22.8189471046 25.47 ab
58006.4286778 kst 484.661704856 22.5794702643 25.47 ab
58006.6786778 kst 495.864294282 22.3208846455 25.47 ab
58006.9286778 kst 484.621264846 22.0447463329 25.47 ab
58007.1786778 kst 522.482285107 21.7526451908 25.47 ab
58007.4286778 kst 414.508381342 21.4403612816 25.47 ab
58007.6786778 kst 438.460966386 21.1068662754 25.47 ab
58007.9286778 kst 416.188103031 20.7586538415 25.47 ab
58008.1786778 kst 407.588066556 20.4026176794 25.47 ab
58008.4286778 kst 399.247567813 20.0370004066 25.47 ab
58008.6786778 kst 384.716986405 19.6546137928 25.47 ab
58008.9286778 kst 403.143577087 19.2662872464 25.47 ab
58009.1786778 kst 345.05823414 18.8841034668 25.47 ab
58009.4286778 kst 334.45331747 18.5167807817 25.47 ab
58009.6786778 kst 349.368243324 18.1574703024 25.47 ab
58009.9286778 kst 327.418079405 17.8048125695 25.47 ab
58010.1786778 kst 323.105449089 17.4581758678 25.47 ab
58010.4286778 kst 305.44062633 17.1172864896 25.47 ab
58010.6786778 kst 298.889873124 16.7838101332 25.47 ab
58010.9286778 kst 245.863035429 16.4572441051 25.47 ab
58011.1786778 kst 246.619523554 16.1365994456 25.47 ab
58011.4286778 kst 255.331878682 15.8210119331 25.47 ab
58011.6786778 kst 235.86935984 15.512130802 25.47 ab
58011.9286778 kst 223.614693031 15.2099271486 25.47 ab
58012.1786778 kst 216.403019572 14.913516477 25.47 ab
58012.4286778 kst 208.841611571 14.6219841539 25.47 ab
58012.6786778 kst 207.410499046 14.3365251588 25.47 ab
58012.9286778 kst 207.922423456 14.057552904 25.47 ab
58013.1786778 kst 182.147264665 13.7843230717 25.47 ab
58013.4286778 kst 180.995171619 13.5160231719 25.47 ab
58013.6786778 kst 169.939377721 13.2523521881 25.47 ab
58013.9286778 kst 184.96159163 12.994351268 25.47 ab
58014.1786778 kst 157.485819181 12.7432398534 25.47 ab
58014.4286778 kst 180.480058699 12.5003252065 25.47 ab
58014.6786778 kst 146.089499751 12.2663668964 25.47 ab
58014.9286778 kst 144.92563862 12.0412720163 25.47 ab
58015.1786778 kst 140.906919083 11.8257983135 25.47 ab
58015.4286778 kst 126.269644692 11.6207588666 25.47 ab
58015.6786778 kst 145.023667682 11.4271952285 25.47 ab
58015.9286778 kst 145.145031062 11.2459516426 25.47 ab
58016.1786778 kst 141.511193081 11.0765308207 25.47 ab
58016.4286778 kst 110.967653525 10.9182894687 25.47 ab
58016.6786778 kst 107.106403857 10.7709130663 25.47 ab
58016.9286778 kst 110.837368403 10.636085161 25.47 ab
58017.1786778 kst 81.2488586051 10.5136148522 25.47 ab
58017.4286778 kst 111.378243851 10.4028675009 25.47 ab
58017.6786778 kst 82.8716046456 10.3033031511 25.47 ab
58017.9286778 kst 106.96991823 10.2162699063 25.47 ab
58018.1786778 kst 107.617379842 10.1417435977 25.47 ab
58018.4286778 kst 78.7251840866 10.079029696 25.47 ab
58018.6786778 kst 90.8304127496 10.0274115899 25.47 ab
58018.9286778 kst 111.683694975 9.98777334527 25.47 ab
58019.1786778 kst 93.3183491072 9.96024950913 25.47 ab
58019.4286778 kst 83.4902661599 9.94405029949 25.47 ab
58019.6786778 kst 106.85823623 9.9383402597 25.47 ab
58019.9286778 kst 98.3421990562 9.94346455351 25.47 ab
58020.1786778 kst 116.152682581 9.95974610442 25.47 ab
58020.4286778 kst 87.5718709518 9.98630920348 25.47 ab
58020.6786778 kst 109.508074719 10.0222539098 25.47 ab
58020.9286778 kst 88.3467615109 10.0678901035 25.47 ab
58021.1786778 kst 99.0705881771 10.1238550883 25.47 ab
58021.4286778 kst 99.4700279562 10.1881445636 25.47 ab
58021.6786778 kst 98.677702264 10.2587323753 25.47 ab
58021.9286778 kst 96.3459990331 10.3365192846 25.47 ab
58022.1786778 kst 121.04583285 10.4255777118 25.47 ab
58022.4286778 kst 103.774840858 10.5181928564 25.47 ab
58022.6786778 kst 107.246928282 10.6061316307 25.47 ab
58022.9286778 kst 118.508752347 10.6832203332 25.47 ab
58023.1786778 kst 90.215236759 10.7546781263 25.47 ab
58023.4286778 kst 116.022259825 10.8209121806 25.47 ab
58023.6786778 kst 130.475545217 10.8809244878 25.47 ab
58023.9286778 kst 127.469452006 10.9337884386 25.47 ab
58024.1786778 kst 110.512660684 10.979727328 25.47 ab
58024.4286778 kst 107.68337557 11.0194139165 25.47 ab
58024.6786778 kst 121.821230801 11.0533934341 25.47 ab
58024.9286778 kst 126.117792393 11.0821752585 25.47 ab
58025.1786778 kst 125.716067836 11.1054340007 25.47 ab
58025.4286778 kst 119.857011654 11.1232230245 25.47 ab
58025.6786778 kst 130.028947401 11.1360284796 25.47 ab
58025.9286778 kst 114.829991115 11.1443271033 25.47 ab
