@c -0.501843063734
@x1 -0.227332118577
@x0 0.00229669325593
@z 0.040992905183
@t0 57825.883081
time band flux fluxerr zp zpsys
57815.883081 smg 2752.73313587 477.485003609 26.5410298164 ab
57820.883081 smg 2598.61991936 477.944051991 25.9976047884 ab
57825.883081 smg 7412.76430883 483.341600323 26.9931086352 ab
57830.883081 smg 4139.71003937 478.643798212 26.2243995245 ab
57835.883081 smg 4251.07700106 479.628517206 26.8216603816 ab
57840.883081 smg 3020.85325601 477.191225041 26.4396361983 ab
57845.883081 smg 3493.38981809 478.898712333 27.5504414496 ab
57850.883081 smg 1940.96820083 476.37426756 26.796448542 ab
57815.8832199 smr 2786.48579408 345.211964964 27.2437281314 ab
57820.8832199 smr 4956.96588585 348.489286357 27.2590624558 ab
57825.8832199 smr 596.49609423 342.884381103 25.1603152089 ab
57830.8832199 smr 2766.26321945 345.877967093 26.5863689221 ab
57835.8832199 smr 776.534064944 343.13599998 25.7083311202 ab
57840.8832199 smr 2438.58636253 345.865630401 27.1346694053 ab
57845.8832199 smr 224.447974293 342.876591463 25.8743637798 ab
57850.8832199 smr 1560.32990742 344.569600792 26.9934601613 ab
57815.8833588 smi 1971.04172231 235.095889859 27.5949198735 ab
57820.8833588 smi 1381.4884987 232.947314065 26.3529627486 ab
57825.8833588 smi 726.644396316 231.7563039 25.6807359677 ab
57830.8833588 smi 935.915459401 232.195594277 26.1224114996 ab
57835.8833588 smi 1409.49616789 233.496272167 27.0900964759 ab
57840.8833588 smi 466.08200991 231.327431793 25.9481054318 ab
57845.8833588 smi 636.627671593 231.857205853 26.3915973505 ab
57850.8833588 smi 508.035387377 231.816136972 26.3313585341 ab
57815.8834977 smv 757.060885372 155.691141508 25.13035444 ab
57820.8834977 smv 2352.50755626 160.622257226 25.580685672 ab
57809.883081 kst 41.6365502714 7.45752432077 25.47 ab
57810.133081 kst 71.7158638185 8.2062038196 25.47 ab
57810.383081 kst 84.4743844126 8.94797890556 25.47 ab
57810.633081 kst 106.77561828 9.69648649792 25.47 ab
57810.883081 kst 103.420576352 10.4450435408 25.47 ab
57811.133081 kst 131.153406168 11.1848525895 25.47 ab
57811.383081 kst 115.594254366 11.9103487823 25.47 ab
57811.633081 kst 160.312853558 12.6321360071 25.47 ab
57811.883081 kst 192.733992994 13.3479747574 25.47 ab
57812.133081 kst 191.982130505 14.0509064557 25.47 ab
57812.383081 kst 203.177353457 14.7354357058 25.47 ab
57812.633081 kst 233.189132509 15.4080654507 25.47 ab
57812.883081 kst 266.824806927 16.0711935749 25.47 ab
57813.133081 kst 305.010573354 16.7208620566 25.47 ab
57813.383081 kst 284.472760464 17.3536795072 25.47 ab
57813.633081 kst 307.615046189 17.969718694 25.47 ab
57813.883081 kst 339.601697756 18.573305562 25.47 ab
57814.133081 kst 396.07804002 19.1670556234 25.47 ab
57814.383081 kst 358.486107207 19.753250192 25.47 ab
57814.633081 kst 396.622606775 20.3326024421 25.47 ab
57814.883081 kst 425.884297533 20.9045510723 25.47 ab
57815.133081 kst 423.266322337 21.4711065865 25.47 ab
57815.383081 kst 441.57975038 22.0341401838 25.47 ab
57815.633081 kst 526.472958486 22.5946260845 25.47 ab
57815.883081 kst 543.559807823 23.1514889892 25.47 ab
57816.133081 kst 584.610098499 23.7057427849 25.47 ab
57816.383081 kst 581.134204494 24.2585085813 25.47 ab
57816.633081 kst 593.117649124 24.8124845516 25.47 ab
57816.883081 kst 649.694217755 25.3743375769 25.47 ab
57817.133081 kst 644.498725429 25.9334823026 25.47 ab
57817.383081 kst 652.102745078 26.4777090663 25.47 ab
57817.633081 kst 731.886635205 26.9970603984 25.47 ab
57817.883081 kst 720.243385528 27.5011596419 25.47 ab
57818.133081 kst 740.159397076 27.9901963434 25.47 ab
57818.383081 kst 780.391479457 28.4588116894 25.47 ab
57818.633081 kst 849.588062177 28.9020670445 25.47 ab
57818.883081 kst 857.574477552 29.322426547 25.47 ab
57819.133081 kst 918.51584495 29.7228383016 25.47 ab
57819.383081 kst 869.289065089 30.1031470766 25.47 ab
57819.633081 kst 937.442883367 30.4631657974 25.47 ab
57819.883081 kst 920.762495454 30.8041687145 25.47 ab
57820.133081 kst 953.601430348 31.1271271331 25.47 ab
57820.383081 kst 1034.46277211 31.4312214325 25.47 ab
57820.633081 kst 1016.69975645 31.7156303079 25.47 ab
57820.883081 kst 1001.35184099 31.9798848097 25.47 ab
57821.133081 kst 1013.10101044 32.2251450831 25.47 ab
57821.383081 kst 1031.66786667 32.4528895515 25.47 ab
57821.633081 kst 1101.34753701 32.6645214013 25.47 ab
57821.883081 kst 1069.94750811 32.8602487661 25.47 ab
57822.133081 kst 1081.73448772 33.0385116048 25.47 ab
57822.383081 kst 1164.79030143 33.202302097 25.47 ab
57822.633081 kst 1064.26326101 33.3548794818 25.47 ab
57822.883081 kst 1095.90678771 33.4989872241 25.47 ab
57823.133081 kst 1147.36853774 33.6335852097 25.47 ab
57823.383081 kst 1151.41778662 33.7576348005 25.47 ab
57823.633081 kst 1137.13780381 33.8704048793 25.47 ab
57823.883081 kst 1066.54856492 33.971276187 25.47 ab
57824.133081 kst 1206.15888556 34.0610769472 25.47 ab
57824.383081 kst 1170.15139663 34.1397019909 25.47 ab
57824.633081 kst 1161.5747896 34.2065795827 25.47 ab
57824.883081 kst 1149.64744195 34.2611196183 25.47 ab
57825.133081 kst 1186.32419328 34.3026513039 25.47 ab
57825.383081 kst 1169.66289866 34.3320232799 25.47 ab
57825.633081 kst 1196.90984342 34.350585222 25.47 ab
57825.883081 kst 1245.06996177 34.3596727841 25.47 ab
57826.133081 kst 1089.52902073 34.3588228509 25.47 ab
57826.383081 kst 1148.88681799 34.3475123122 25.47 ab
57826.633081 kst 1189.22838359 34.3269727902 25.47 ab
57826.883081 kst 1188.02852031 34.2984307004 25.47 ab
57827.133081 kst 1179.46749974 34.262221224 25.47 ab
57827.383081 kst 1140.15058159 34.2174815127 25.47 ab
57827.633081 kst 1164.58640234 34.1645726441 25.47 ab
57827.883081 kst 1177.33438859 34.1038825569 25.47 ab
57828.133081 kst 1106.13309108 34.0354951794 25.47 ab
57828.383081 kst 1105.17014397 33.9588884605 25.47 ab
57828.633081 kst 1146.56291076 33.8744898765 25.47 ab
