@c 0.236550861343
@x1 -3.57302407924
@x0 0.00233905988439
@z 0.0406306722427
@t0 57823.7168418
time band flux fluxerr zp zpsys
57807.7168418 kst -171.437662794 12.5826397707 25.47 ab
57807.9668418 kst -158.729131144 12.5203516948 25.47 ab
57808.2168418 kst -161.1499398 12.3712229448 25.47 ab
57808.4668418 kst -150.477411919 12.1155629403 25.47 ab
57808.7168418 kst -134.902753095 11.7559210393 25.47 ab
57808.9668418 kst -141.650500781 11.2995145763 25.47 ab
57809.2168418 kst -119.002146816 10.7519061276 25.47 ab
57809.4668418 kst -99.5236056518 10.1044815904 25.47 ab
57809.7168418 kst -69.9210977689 9.3184690964 25.47 ab
57809.9668418 kst -76.1988009907 8.33182938314 25.47 ab
57810.2168418 kst -43.3701195019 7.034357645 25.47 ab
57810.4668418 kst -25.9468971047 5.23876828374 25.47 ab
57810.7168418 kst -2.78380626014 1.80248528608 25.47 ab
57810.9668418 kst 21.7292492715 4.87705010451 25.47 ab
57811.2168418 kst 55.9950661625 7.36746938113 25.47 ab
57811.4668418 kst 81.3559320545 9.40348465359 25.47 ab
57811.7168418 kst 115.067024611 11.2181585591 25.47 ab
57811.9668418 kst 146.976992474 12.9035405518 25.47 ab
57812.2168418 kst 245.496585784 14.5033266122 25.47 ab
57812.4668418 kst 261.998989636 16.0413484378 25.47 ab
57812.7168418 kst 269.769020735 17.5339620489 25.47 ab
57812.9668418 kst 354.105745384 18.9946199375 25.47 ab
57813.2168418 kst 419.519189684 20.4327826435 25.47 ab
57813.4668418 kst 443.693575834 21.8539466531 25.47 ab
57813.7168418 kst 497.923559838 23.2587489313 25.47 ab
57813.9668418 kst 592.276041072 24.6519316104 25.47 ab
57814.2168418 kst 679.562297479 26.0376228355 25.47 ab
57814.4668418 kst 742.83703966 27.425360558 25.47 ab
57814.7168418 kst 871.31176883 28.8407849732 25.47 ab
57814.9668418 kst 852.086166815 30.2445750657 25.47 ab
57815.2168418 kst 1006.16030565 31.5948670456 25.47 ab
57815.4668418 kst 1091.67440116 32.8605480233 25.47 ab
57815.7168418 kst 1141.52669957 34.0777903043 25.47 ab
57815.9668418 kst 1186.80192057 35.2505302668 25.47 ab
57816.2168418 kst 1331.14778845 36.3636492125 25.47 ab
57816.4668418 kst 1383.27904949 37.4038669323 25.47 ab
57816.7168418 kst 1444.44982677 38.3801891926 25.47 ab
57816.9668418 kst 1509.47508784 39.3040178767 25.47 ab
57817.2168418 kst 1598.26144502 40.1771248637 25.47 ab
57817.4668418 kst 1648.42791003 41.0009384046 25.47 ab
57817.7168418 kst 1780.4986507 41.7794445401 25.47 ab
57817.9668418 kst 1761.33618675 42.5158360017 25.47 ab
57818.2168418 kst 1903.79492662 43.2095875527 25.47 ab
57818.4668418 kst 1959.12855788 43.8600819803 25.47 ab
57818.7168418 kst 1941.51252009 44.4677700753 25.47 ab
57818.9668418 kst 2058.15323608 45.03587282 25.47 ab
57819.2168418 kst 2139.26389314 45.566624308 25.47 ab
57819.4668418 kst 2029.51296919 46.0620205179 25.47 ab
57819.7168418 kst 2125.13095374 46.5227707118 25.47 ab
57819.9668418 kst 2253.45043506 46.9480607491 25.47 ab
57820.2168418 kst 2319.48816602 47.3419718701 25.47 ab
57820.4668418 kst 2240.9075065 47.7087557458 25.47 ab
57820.7168418 kst 2352.89252651 48.0521487026 25.47 ab
57820.9668418 kst 2377.82449029 48.3719583674 25.47 ab
57821.2168418 kst 2324.38728668 48.6664815495 25.47 ab
57821.4668418 kst 2370.2819672 48.9341441866 25.47 ab
57821.7168418 kst 2343.58938396 49.1736265717 25.47 ab
57821.9668418 kst 2440.61717828 49.3870307051 25.47 ab
57822.2168418 kst 2472.8113452 49.5742699171 25.47 ab
