SN1: c:-0.440310666028 t0:57850.0791257 x0:0.274050080016 x1:1.35205708871 z:0.00420148918762 
SN2: c:-0.404002948332 t0:58046.7367403 x0:0.0217025359264 x1:1.95442886502 z:0.0153023896369 
SN3: c:-0.337534032259 t0:58003.7092141 x0:0.00369192838914 x1:-5.09835607998 z:0.0382495187019 
SN4: c:0.0587301770039 t0:58051.2936059 x0:0.000429672005812 x1:-2.1698032866 z:0.0965719744542 
SN5: c:0.14163385712 t0:57885.5527034 x0:0.00791493237834 x1:-3.48358088123 z:0.022896896256 
SN6: c:-0.184853280416 t0:57855.9551164 x0:0.00643711002343 x1:-2.66325082573 z:0.0315066779837 
SN7: c:-0.230785302865 t0:57958.941597 x0:2.8337487425 x1:-0.887895681461 z:0.0014262624489 
SN8: c:-0.2446911142 t0:57989.2455219 x0:0.00474245933397 x1:-3.76974776744 z:0.0301726450111 
SN9: c:0.240190519577 t0:57880.7618047 x0:0.0620846236537 x1:-1.86620925668 z:0.011754483307 
SN10: c:0.457975558937 t0:57862.2917356 x0:0.000574505389736 x1:2.2924656835 z:0.0838524730912 
SN11: c:0.196842252053 t0:57769.8355675 x0:0.00277741240155 x1:-1.36282083967 z:0.0411951202145 
SN12: c:-0.761981165337 t0:58060.0484015 x0:0.0327000259851 x1:3.38500440823 z:0.0351024703287 
SN13: c:-0.082100446009 t0:57785.1792308 x0:0.405533241507 x1:3.5487662873 z:0.00641785612167 
SN14: c:-0.145602798584 t0:57809.5488396 x0:0.00188534199746 x1:0.582943977135 z:0.0483814956943 
SN15: c:0.0729569421104 t0:57994.3111772 x0:0.00103473700176 x1:-1.33144815641 z:0.0888926748492 
SN16: c:-0.535055607226 t0:57768.2971935 x0:0.0012932458853 x1:1.5920177085 z:0.0545389733109 
SN17: c:0.11569723792 t0:58026.2406412 x0:0.014038617642 x1:-4.96043638019 z:0.0175698868971 
SN18: c:-0.420437271568 t0:57953.1261679 x0:0.000891872957118 x1:-3.02644296988 z:0.0692759360166 
SN19: c:0.210035511784 t0:58046.1198223 x0:0.000652039193411 x1:1.14229511916 z:0.0884830632676 
SN20: c:-0.437072551265 t0:57859.7220483 x0:1.64126818601 x1:0.722810207677 z:0.00198967785765 
SN21: c:0 t0:0 x0:0 x1:0 z:0 
SN22: c:-0.659913727308 t0:58041.0006597 x0:0.00980839882975 x1:3.75834271423 z:0.0964783936911 
SN23: c:-0.0509890377748 t0:57795.7517532 x0:0.0208830506449 x1:3.46193994141 z:0.0287788635735 
SN24: c:0.253514639492 t0:57883.3469247 x0:0.00194543621308 x1:-5.16319334951 z:0.0489573694389 
SN25: c:0.0672976479714 t0:58009.5105987 x0:0.00282984743392 x1:-0.0373597885458 z:0.0379366767264 
SN26: c:-0.357935399593 t0:57755.083027 x0:0.000571948538241 x1:0.0950285356879 z:0.0805229508351 
SN27: c:-0.169925000188 t0:58060.7508003 x0:0.000765480069761 x1:-1.50638518943 z:0.0801286436346 
SN28: c:0.180091427632 t0:57841.8391267 x0:0.0114411799655 x1:-1.90446734668 z:0.0240995097319 
SN29: c:-0.886949280459 t0:58085.9111106 x0:0.0106502391792 x1:-4.16883211936 z:0.0674336033052 
SN30: c:0.0728145502188 t0:57865.3495376 x0:0.000543974840836 x1:2.03546077969 z:0.0846183953329 
SN31: c:-0.0761712326405 t0:57790.2270383 x0:0.125229765774 x1:-0.693439598335 z:0.00696722546914 
SN32: c:0.136924365501 t0:57904.6133279 x0:0.000582506974923 x1:0.299318394753 z:0.0831890346845 
SN33: c:0.0552163199696 t0:58113.4055828 x0:0.00666620562159 x1:-0.0585518299261 z:0.0288239220846 
SN34: c:0.175803638117 t0:58111.4485986 x0:0.0337561906011 x1:5.98587842148 z:0.0159530127717 
SN35: c:-0.458427850393 t0:57774.2801506 x0:0.016401405557 x1:-3.16514092652 z:0.0169429604139 
SN36: c:-0.786216177146 t0:58032.1632673 x0:0.0063191386071 x1:-2.05125105139 z:0.0767282537627 
SN37: c:-0.600919358401 t0:57825.846623 x0:0.00314988022794 x1:-0.466985156628 z:0.040992905183 
SN38: c:0.47837981817 t0:57935.6881204 x0:0.0010386546708 x1:-3.21265766469 z:0.071595068416 
SN39: c:-0.155369529311 t0:57791.6491289 x0:0.0024183800675 x1:-8.78614919194 z:0.0422413711411 
SN40: c:-0.21170434219 t0:57878.8512266 x0:0.000748829577646 x1:-3.62769570176 z:0.0823578960221 
SN41: c:0.0503602195894 t0:57854.6690485 x0:0.000509411605802 x1:-0.679166373612 z:0.0864451590667 
SN42: c:0.293911818704 t0:57953.6568763 x0:0.00395110640984 x1:-3.63019519243 z:0.0318798640388 
SN43: c:-0.543783952911 t0:57827.3632682 x0:0.0136712904207 x1:-4.69788671057 z:0.0319900386474 
SN44: c:-0.210888117293 t0:57827.3818318 x0:0.0139171087102 x1:1.46243920439 z:0.0184168977414 
SN45: c:-0.253953863879 t0:57848.1871327 x0:0.000391667024063 x1:-3.24673193079 z:0.0991623543454 
SN46: c:0.207205834575 t0:57893.1387533 x0:0.000718178341139 x1:-0.846243595825 z:0.0748906113129 
SN47: c:-0.29596557366 t0:58002.4361219 x0:0.00431525502403 x1:-1.16551011283 z:0.0433576989546 
SN48: c:-0.255905607476 t0:57866.6168671 x0:0.000630321458912 x1:-3.83888446407 z:0.0796162133269 
SN49: c:0.0502562027687 t0:57822.9344667 x0:0.00133042739854 x1:3.33924386364 z:0.0533452810595 
SN50: c:-2.16811383284 t0:57945.4905841 x0:0.993871646281 x1:-0.604161225001 z:0.0554127710853 
SN51: c:-0.00887712418385 t0:57998.8729057 x0:0.00210214928257 x1:1.75506725004 z:0.0443135203564 
SN52: c:-0.7117751544 t0:57774.5546417 x0:0.0286799989174 x1:-1.82115880804 z:0.045645937136 
SN53: c:0.087233033281 t0:57958.6921994 x0:0.0021457596561 x1:-2.82354110704 z:0.0452869040555 
SN54: c:-0.357585721763 t0:57891.2063092 x0:0.00091392634992 x1:2.54580291898 z:0.0741103135795 
SN55: c:-0.175661214671 t0:57886.771696 x0:0.0468569536814 x1:3.31699496832 z:0.0108223066527 
SN56: c:-0.239291993216 t0:57936.5582497 x0:0.0011251510363 x1:5.79587024349 z:0.0770002937857 
SN57: c:0.0773201490901 t0:57867.7456637 x0:0.00062099860943 x1:1.41807716958 z:0.0793958312277 
SN58: c:-0.121527977747 t0:57758.0427987 x0:0.0221592377076 x1:-0.967644119464 z:0.0464666025805 
SN59: c:-0.413781519676 t0:57948.4282474 x0:0.000807285003325 x1:-1.38326039389 z:0.0874219382452 
SN60: c:-0.308227017668 t0:57829.4809729 x0:0.00160533515163 x1:0.116386486877 z:0.0950940837419 
SN61: c:0.147756968371 t0:57823.7348132 x0:0.00320915268358 x1:-3.58330134576 z:0.0406306722427 
SN62: c:0.00194905833013 t0:57793.9618528 x0:0.00420880397274 x1:7.16357767249 z:0.0536686171489 
SN63: c:-0.356702897749 t0:58046.6192842 x0:0.00081639351783 x1:0.768918148003 z:0.0784865919309 
SN64: c:0.205198075399 t0:57770.8088507 x0:0.000553098627678 x1:-1.80648222932 z:0.092859338566 
SN65: c:-0.586525049893 t0:57872.4854668 x0:0.140322898074 x1:3.25964946327 z:0.0257103386954 
SN66: c:-0.148651987534 t0:57953.3372726 x0:0.00110347662614 x1:-2.05821556052 z:0.0825021302474 
SN67: c:-0.253240935481 t0:57885.0907341 x0:0.00273113810043 x1:1.72804315367 z:0.0384390052986 
SN68: c:-0.387744515135 t0:58041.7107427 x0:0.00116493067111 x1:0.786423738568 z:0.0616533048923 
SN69: c:-0.470555581918 t0:57825.5416129 x0:0.000992475980617 x1:-2.19943623291 z:0.0650228497642 
SN70: c:0.34272330825 t0:57827.2554335 x0:0.000852585176323 x1:-3.46964327446 z:0.0781914969805 
SN71: c:-0.340695030078 t0:57788.6546762 x0:0.00403876723411 x1:6.11321367782 z:0.0381926793457 
SN72: c:-0.277247550423 t0:57781.1195704 x0:0.0484163991859 x1:-0.387253442841 z:0.00928862285159 
SN73: c:0.213330335411 t0:57940.2831777 x0:0.0063900161969 x1:-0.508250634816 z:0.0376520128126 
SN74: c:-0.365800986043 t0:57800.8580678 x0:0.456529069124 x1:-0.354198643344 z:0.0066744247128 
SN75: c:0.183987540157 t0:58079.8855596 x0:0.00755729995642 x1:-0.911688077302 z:0.0240213948507 
SN76: c:-0.12554634215 t0:57760.6101545 x0:0.00901231529787 x1:-2.64887477696 z:0.0221420598482 
SN77: c:-0.424576857987 t0:57954.0319591 x0:0.000987199937197 x1:-2.08719526022 z:0.0678529118206 
SN78: c:-0.22926069044 t0:57957.0785838 x0:0.000809065569484 x1:-1.4204646265 z:0.0700243886898 
SN79: c:-0.0576640895879 t0:57982.1644233 x0:0.00228422814442 x1:-3.67124168494 z:0.0416216724096 
SN80: c:0.0543533894587 t0:58086.8127072 x0:0.000407480281104 x1:-0.484934686432 z:0.0968084489469 
SN81: c:0.252418537124 t0:57797.4144124 x0:0.000679069719097 x1:-1.21422641481 z:0.0794724884358 
SN82: c:-0.130925990254 t0:57796.975943 x0:0.0033240087134 x1:-1.14834796438 z:0.0435243124542 
SN83: c:0.064212690755 t0:58026.686703 x0:0.00608942628791 x1:4.78473992777 z:0.0314548827763 
SN84: c:-0.21985628865 t0:58036.8896976 x0:0.0152810159332 x1:0.115864074604 z:0.0180078965148 
SN85: c:-0.284056084444 t0:57813.5447184 x0:0.00302410467032 x1:5.15708838665 z:0.0380774304765 
SN86: c:0.0383349221084 t0:57908.6038605 x0:0.00229042155407 x1:-5.10305391113 z:0.0578210934039 
SN87: c:-0.090302517592 t0:57935.8720472 x0:0.000875403397428 x1:-2.02046234755 z:0.0757059320849 
SN88: c:0.0029674817767 t0:58116.4790157 x0:0.000766921765388 x1:1.68239588842 z:0.0717436571524 
SN89: c:-0.58165574518 t0:57919.4731069 x0:0.00700471509236 x1:4.42485420442 z:0.0264430701784 
SN90: c:-0.472617250126 t0:57957.8073213 x0:0.00608331153862 x1:0.762521563069 z:0.0309621731827 
SN91: c:0.0600373303169 t0:57828.4116308 x0:0.00536592262483 x1:8.97319408343 z:0.0356376305608 
SN92: c:-0.18590808336 t0:57882.0644648 x0:0.0574068485749 x1:-3.24267135125 z:0.00969551523995 
SN93: c:0.272818988786 t0:57890.3049538 x0:0.00544988460236 x1:4.18575532 z:0.0274643497879 
SN94: c:0.00978684681309 t0:57851.2464925 x0:0.00310606248494 x1:-3.49614913824 z:0.0431150520014 
