@c 0.136683713591
@x1 -4.96226245004
@x0 0.0129393857967
@z 0.0175698868971
@t0 58026.2386938
time band flux fluxerr zp zpsys
58019.2386938 smg 7029.86656595 88.1589364574 25.8777198353 ab
58024.2386938 smg 70926.9491126 267.829398828 27.4113928258 ab
58029.2386938 smg 31965.6670653 180.528862573 26.5467822694 ab
58034.2386938 smg 20962.4100484 147.64673896 26.5578490888 ab
58039.2386938 smg 30661.6379447 176.745032686 27.6499646222 ab
58044.2386938 smg 5471.52228339 77.7112537755 26.615566327 ab
58049.2386938 smg 1003.30257087 39.6899163149 25.370138593 ab
58054.2386938 smg 347.312638696 31.8294884593 26.0149712235 ab
58059.2386938 smg 1194.3801255 44.2017511262 27.2457159938 ab
58064.2386938 smg 421.30012585 33.2217031255 25.4938305988 ab
58019.2388327 smr 11502.5450849 109.548901845 25.9055941181 ab
58024.2388327 smr 8743.19407099 97.0681483189 25.0093548388 ab
58029.2388327 smr 12643.0315784 115.041895574 25.3885912095 ab
58034.2388327 smr 6715.16100552 84.6272540311 25.0958915743 ab
58039.2388327 smr 4032.223965 68.4620656018 24.9293849156 ab
58044.2388327 smr 6844.88843398 86.5621420412 25.5297047235 ab
58049.2388327 smr 1549.21578521 45.9871172051 24.1451926725 ab
58054.2388327 smr 1243.51029057 44.0314507406 25.0288375542 ab
58059.2388327 smr 33.7425398237 25.6060970215 24.9575075671 ab
58064.2388327 smr 6.94132703413 25.3447062586 24.9777612209 ab
58019.2389716 smi 12573.4048129 114.937281996 26.1759685828 ab
58024.2389716 smi 75888.8490727 276.758172717 27.7760983094 ab
58029.2389716 smi 18015.7240074 136.237688919 26.2391998978 ab
58034.2389716 smi 4691.61489078 72.6980503142 25.2249102158 ab
58039.2389716 smi 17367.6986971 134.33229313 26.8148131565 ab
58044.2389716 smi 19475.9742114 141.855871656 26.6935443541 ab
58049.2389716 smi 36893.2851342 193.286344344 27.2828645337 ab
58054.2389716 smi 10043.1748358 104.228287433 26.604576109 ab
58059.2389716 smi 3784.72857187 67.4237819131 26.8816611675 ab
58064.2389716 smi 371.943696355 32.3400116549 25.5761838294 ab
