@c -0.154271618546
@x1 -2.167763969
@x0 0.000622749339098
@z 0.0767282537627
@t0 58032.182724
time band flux fluxerr zp zpsys
58023.182724 smg 1683.82504936 49.3911041975 27.5592653451 ab
58028.182724 smg 1173.97015328 42.3425986779 26.2689582513 ab
58033.182724 smg 1736.88122765 50.3142158639 26.6833369932 ab
58038.182724 smg 727.950866801 38.3908736244 26.0389799001 ab
58043.182724 smg 953.962491463 40.5551881793 26.702182048 ab
58048.182724 smg 288.549518122 30.599032816 25.9371914653 ab
58053.182724 smg 469.155196656 33.8976844011 27.0515702316 ab
58058.182724 smg 533.104778666 35.6725385494 27.6799289418 ab
58063.182724 smg 1065.62723181 43.254466547 28.9123027841 ab
58068.182724 smg 55.2628038237 27.6960598129 26.2437797503 ab
58073.182724 smg 207.541195253 30.8749053455 27.372916914 ab
58078.182724 smg 56.2083164676 27.7266685543 26.3696180073 ab
58083.182724 smg 708.588829663 39.5803867611 28.99494135 ab
58023.1828629 smr 204.964973236 29.0548774782 25.415984426 ab
58028.1828629 smr 213.625460306 28.601973139 24.7127012835 ab
58033.1828629 smr 433.284791834 32.2853550221 25.24734515 ab
58038.1828629 smr 699.087019753 36.8816424588 25.9264503283 ab
58043.1828629 smr 246.296852473 28.7924072437 24.9624067403 ab
58048.1828629 smr 289.911602269 31.3245403312 25.6658745756 ab
58053.1828629 smr 91.2331643277 26.2691300828 24.4972222636 ab
58058.1828629 smr 165.729197274 29.4902220017 25.7250913377 ab
58063.1828629 smr 115.822068478 26.2638385373 24.9559511223 ab
58068.1828629 smr 109.539425815 27.4206744377 25.6665263971 ab
58073.1828629 smr 54.6201534911 26.7273894104 25.459086007 ab
58078.1828629 smr 3.43169744116 26.0988871564 25.1709944431 ab
58083.1828629 smr 96.8882041472 27.130446085 25.7505159481 ab
58023.1830018 smi 123.068792512 28.0298084137 25.2219999164 ab
58028.1830018 smi 4407.80557113 71.5948414896 28.2871692168 ab
58033.1830018 smi 740.407262833 37.3756360242 26.3366778928 ab
58038.1830018 smi 1081.05766377 42.2762924084 26.9531139972 ab
58043.1830018 smi 351.596735621 31.9274893262 26.1795184008 ab
58048.1830018 smi 642.159401915 37.1342843124 26.8731755969 ab
58053.1830018 smi 922.435526027 40.7371807082 27.1597599281 ab
58058.1830018 smi 883.996431941 40.5845706769 27.2113954557 ab
58063.1830018 smi 294.33187772 31.7852061409 26.4584713604 ab
58068.1830018 smi 101.126800971 28.0918348184 25.9441990281 ab
58073.1830018 smi 416.43523948 34.0072155535 27.583431962 ab
58078.1830018 smi 74.0017938622 27.9291790557 26.163891326 ab
58083.1830018 smi 51.6749925282 26.2507448918 25.4689726754 ab
