@c 0.0913535290737
@x1 1.9943693822
@x0 0.000506346256987
@z 0.0846183953329
@t0 57865.2727267
time band flux fluxerr zp zpsys
57861.2727267 smg 696.900544164 476.010113213 26.0789562849 ab
57866.2727267 smg 3668.93103792 478.718904709 27.5536201017 ab
57871.2727267 smg 784.237389656 475.839728396 25.9755801417 ab
57876.2727267 smg 1443.25642024 476.071420828 26.4888098399 ab
57881.2727267 smg 627.360002281 475.565591686 26.0789543923 ab
57886.2727267 smg 1027.10392349 475.69244545 26.7128205993 ab
57891.2727267 smg 427.848081523 475.391752669 26.4086304668 ab
57896.2727267 smg 31.8964532502 475.269167259 26.1748959278 ab
57901.2727267 smg -18.7702147168 475.564932155 27.5530750826 ab
57906.2727267 smg 690.962391011 475.46736127 27.5745412351 ab
57911.2727267 smg -162.490705077 475.206023696 26.5126213958 ab
57916.2727267 smg 456.136184478 475.281500745 27.1155332517 ab
57921.2727267 smg 124.172831746 475.079180898 27.0934202956 ab
57861.2728656 smr 1049.17549555 342.866793555 25.9793584789 ab
57866.2728656 smr 85.9442462513 342.062366051 24.6114276409 ab
57871.2728656 smr 443.09726656 342.960686533 26.0363137359 ab
57876.2728656 smr 545.686669523 342.878243312 26.1416634054 ab
57881.2728656 smr -9.95710861948 342.075699741 25.1672350573 ab
57886.2728656 smr -235.134709072 341.94086662 24.8181719037 ab
57891.2728656 smr 445.00151169 342.606062773 26.3804293651 ab
57896.2728656 smr 606.601143282 341.894998076 24.7780272394 ab
57901.2728656 smr 299.482758831 342.874403542 27.0281523304 ab
57906.2728656 smr 477.855716263 342.48574259 26.8673635765 ab
57911.2728656 smr -16.2512914215 342.119861812 26.4320035657 ab
57916.2728656 smr 751.888036844 341.74924086 24.0517828654 ab
57921.2728656 smr 66.4248421419 341.709776294 24.7095980149 ab
57861.2730045 smi 1978.87813124 234.310038968 27.2883388969 ab
57866.2730045 smi 1844.97940567 234.651625787 27.4253595994 ab
57871.2730045 smi 1825.81040567 232.968651408 26.9127128528 ab
57876.2730045 smi 2471.75287445 235.583661283 27.940059148 ab
57881.2730045 smi 1929.60636173 233.871250557 27.8918615386 ab
57886.2730045 smi 227.145044085 230.91604422 25.7474801534 ab
57891.2730045 smi 948.352753802 232.249877747 27.0596682192 ab
57896.2730045 smi 332.869362498 231.420288793 26.2162805314 ab
57901.2730045 smi 440.290195883 231.428956072 26.3550133124 ab
57906.2730045 smi 494.367262766 231.945590157 27.0726502372 ab
57911.2730045 smi -62.7565912027 230.944912277 26.2372501758 ab
57916.2730045 smi 375.761693844 231.21366409 26.9352798408 ab
57921.2730045 smi -135.871092886 230.42325477 26.3313953243 ab
57861.2731434 smv 47.3567167069 154.200228575 25.0567720131 ab
57866.2731434 smv 327.648010973 154.324985374 25.4063631356 ab
