@c -0.501843063734
@x1 -0.227332118577
@x0 0.00229669325593
@z 0.040992905183
@t0 57825.883081
time band flux fluxerr zp zpsys
57815.883081 smg 2752.73313587 477.485003609 26.5410298164 ab
57820.883081 smg 2598.61991936 477.944051991 25.9976047884 ab
57825.883081 smg 7412.76430883 483.341600323 26.9931086352 ab
57830.883081 smg 4139.71003937 478.643798212 26.2243995245 ab
57835.883081 smg 4251.07700106 479.628517206 26.8216603816 ab
57840.883081 smg 3020.85325601 477.191225041 26.4396361983 ab
57845.883081 smg 3493.38981809 478.898712333 27.5504414496 ab
57850.883081 smg 1940.96820083 476.37426756 26.796448542 ab
57815.8832199 smr 2786.48579408 345.211964964 27.2437281314 ab
57820.8832199 smr 4956.96588585 348.489286357 27.2590624558 ab
57825.8832199 smr 596.49609423 342.884381103 25.1603152089 ab
57830.8832199 smr 2766.26321945 345.877967093 26.5863689221 ab
57835.8832199 smr 776.534064944 343.13599998 25.7083311202 ab
57840.8832199 smr 2438.58636253 345.865630401 27.1346694053 ab
57845.8832199 smr 224.447974293 342.876591463 25.8743637798 ab
57850.8832199 smr 1560.32990742 344.569600792 26.9934601613 ab
57815.8833588 smi 1971.04172231 235.095889859 27.5949198735 ab
57820.8833588 smi 1381.4884987 232.947314065 26.3529627486 ab
57825.8833588 smi 726.644396316 231.7563039 25.6807359677 ab
57830.8833588 smi 935.915459401 232.195594277 26.1224114996 ab
57835.8833588 smi 1409.49616789 233.496272167 27.0900964759 ab
57840.8833588 smi 466.08200991 231.327431793 25.9481054318 ab
57845.8833588 smi 636.627671593 231.857205853 26.3915973505 ab
57850.8833588 smi 508.035387377 231.816136972 26.3313585341 ab
57815.8834977 smv 757.060885372 155.691141508 25.13035444 ab
57820.8834977 smv 2352.50755626 160.622257226 25.580685672 ab
