@c 0.0406098116926
@x1 -2.03140617502
@x0 0.000534249556164
@z 0.0825021302474
@t0 57953.3263627
time band flux fluxerr zp zpsys
57940.3263627 smg -278.029833332 475.221364941 26.581587863 ab
57945.3263627 smg 922.654944293 475.787274036 26.4052630061 ab
57950.3263627 smg 4284.96834011 479.61500843 27.8156460253 ab
57955.3263627 smg 4711.15604832 479.670621279 27.7947761875 ab
57960.3263627 smg -111.343462956 475.833808565 26.1266384782 ab
57965.3263627 smg 226.896880398 475.479889837 25.9412213463 ab
57940.3265016 smr -260.775027107 341.781216072 25.1246400138 ab
57945.3265016 smr 834.568412349 342.260968118 25.7696153452 ab
57950.3265016 smr 830.342287531 342.895673131 26.0373380727 ab
57955.3265016 smr 412.900756818 342.908988269 25.9265088122 ab
57960.3265016 smr 595.785232513 342.527863424 25.6668903817 ab
57965.3265016 smr 1298.95065974 342.578443123 26.0766850167 ab
57940.3266405 smi 106.135127843 230.714892691 26.1092714934 ab
57945.3266405 smi 852.709579647 231.870006864 26.4153623148 ab
57950.3266405 smi 2572.31365397 235.435987378 27.3909386705 ab
57955.3266405 smi 3103.86897823 237.083100269 27.7722954937 ab
57960.3266405 smi 993.582814272 231.686903606 26.164642701 ab
57965.3266405 smi 267.825808821 231.424669633 26.3475124635 ab
57940.3267793 smv -89.2346653977 153.455399621 24.1468863038 ab
57945.3267793 smv 66.2630704991 154.076391654 25.8164756318 ab
