@c -0.343884087432
@x1 0.709878710948
@x0 0.000985478714787
@z 0.0616533048923
@t0 58041.9596493
time band flux fluxerr zp zpsys
58035.9596493 smg 2634.35736012 478.192809741 26.9258505097 ab
58040.9596493 smg 3591.82295207 477.754710651 26.5882353358 ab
58045.9596493 smg 3543.66913531 478.505817183 26.9503543631 ab
58050.9596493 smg 1657.38250268 476.99027005 26.5648269489 ab
58055.9596493 smg 484.030512121 475.919247065 26.0518485702 ab
58060.9596493 smg 958.926385369 475.757823602 26.2557790187 ab
58035.9597882 smr 795.67301474 343.312527848 26.3690737633 ab
58040.9597882 smr 1103.928813 343.154474811 26.0486177205 ab
58045.9597882 smr 1016.21957766 342.696466551 25.6274996487 ab
58050.9597882 smr 1038.49352723 342.684694178 25.7992273538 ab
58055.9597882 smr 701.481778894 342.730251261 26.1212409434 ab
58060.9597882 smr 512.662638491 342.108191755 25.2819504776 ab
58035.959927 smi 569.881788215 232.110272348 26.4953740128 ab
58040.959927 smi 736.722609073 231.231334769 25.7031034043 ab
58045.959927 smi 797.434137611 232.885763231 26.9956252322 ab
58050.959927 smi 387.634662059 231.590681914 26.4276171551 ab
58055.959927 smi 769.996375224 231.744007017 26.885829322 ab
58060.959927 smi 49.6899733414 231.048048274 26.1129070621 ab
58035.9600659 smv 353.596944072 154.907671513 24.7140324774 ab
58040.9600659 smv 523.516657128 154.832300166 24.5644769761 ab
