SN1: c:0.0034441701961 t0:0.0184048623077 x0:5.49353953365e-06 x1:0.0177186096484 
SN2: c:0.0688268945065 t0:0.192556070271 x0:0.00150208088467 x1:1.36006178912 
SN3: c:0.000506861149604 t0:0.00355054334222 x0:7.5650226523e-05 x1:0.00475926050812 
SN4: c:0.00594678517241 t0:0.03251593794 x0:2.32298467878e-05 x1:0.0237354883635 
SN5: c:0.00275524669972 t0:0.0111491030229 x0:1.02030701552e-05 x1:0.00969584677953 
SN6: c:0.00456445947663 t0:0.0226374720341 x0:1.24051554835e-05 x1:0.042974012827 
SN7: c:0.0103977347952 t0:0.0210544982614 x0:9.36681453725e-06 x1:0.0194827291087 
SN8: c:0.00385888590392 t0:0.0296221585564 x0:8.77514481593e-06 x1:0.0305289735882 
SN9: c:0.0060298585793 t0:0.033666393238 x0:3.67679424866e-06 x1:0.0461034871128 
SN10: c:0.00135604449408 t0:0.0037235686899 x0:2.25024086171e-05 x1:0.000749525461491 
SN11: c:0.00208573441281 t0:0.0124993872819 x0:7.94822515306e-05 x1:0.0121194314813 
SN12: c:0.00611911907491 t0:0.0281850802673 x0:2.21425695783e-05 x1:0.0236837811962 
SN13: c:0.00495497678232 t0:0.0313380574394 x0:5.60478505373e-06 x1:0.0449173640593 
SN14: c:0.00729199692174 t0:0.0122841753191 x0:5.35343145209e-06 x1:0.00580406028448 
SN15: c:0.00125254811249 t0:0.00820320708392 x0:4.01067571218e-05 x1:0.00923898550627 
SN16: c:0.005546997236 t0:0.0283654202688 x0:7.2425515825e-06 x1:0.0459664213358 
SN17: c:0.0007889234074 t0:0.00372561912867 x0:4.50977004742e-05 x1:0.00794383617782 
SN18: c:0.0135444090366 t0:0.0903967099952 x0:1.91926002321e-05 x1:0.0130623467514 
SN19: c:0.127785175445 t0:0.969237496447 x0:0.00457192743266 x1:0.53133309595 
SN20: c:0.00213083390911 t0:0.00751546530874 x0:1.24381478571e-05 x1:0.00627664332094 
SN21: c:0.00424645758748 t0:0.0228449950639 x0:1.4979248305e-05 x1:0.0260096368129 
SN22: c:0.00385891356043 t0:0.0166656367567 x0:6.84366869354e-06 x1:0.0130817661036 
SN23: c:0.00139898803539 t0:0.00923306959751 x0:2.38478526649e-05 x1:0.011621304866 
SN24: c:0.00281369524834 t0:0.0792651811146 x0:0.000105327444868 x1:0.00653339045986 
SN25: c:0.00327602375328 t0:0.0202716143801 x0:9.51009536835e-06 x1:0.0213228917189 
SN26: c:0.00156003851257 t0:0.00792164797443 x0:2.7600444024e-05 x1:0.00659207100664 
SN27: c:0.000138728729375 t0:0.000886093176094 x0:0.000178413455522 x1:0.000854662335163 
SN28: c:0.00290745714496 t0:0.0158049234243 x0:7.5935232353e-06 x1:0.0134394941233 
SN29: c:0.00556469326269 t0:0.0402510052216 x0:4.79751264277e-06 x1:0.0509756666876 
SN30: c:0.00735924657837 t0:0.0522030144044 x0:2.91876774169e-06 x1:0.0939488682358 
SN31: c:0.00674525955751 t0:0.039460399315 x0:1.23581214275e-05 x1:0.0398089630131 
SN32: c:0.110807242482 t0:0.373752990179 x0:0.000353362574193 x1:1.56213038215 
