@c 0.014799622635
@x1 3.30257829467
@x0 0.00158545576281
@z 0.0490505964515
@t0 57867.3216117
time band flux fluxerr zp zpsys
57853.3216117 smg 2988.79222042 61.1176637697 27.2444479196 ab
57854.3216117 smg 2890.338801 60.0163682139 26.9247831278 ab
57855.3216117 smg 1677.7853182 47.87714074 26.0917021019 ab
57856.3216117 smg 2233.1281716 54.1644149942 26.2983162204 ab
57857.3216117 smg 3674.88313454 66.7058354452 26.7325382022 ab
57859.3216117 smg 5291.56732667 77.8076994595 26.9428656987 ab
57861.3216117 smg 1162.8046321 43.6029732656 25.276099346 ab
57863.3216117 smg 5400.30295901 78.5844524789 26.8290425738 ab
57865.3216117 smg 2658.70772257 57.7374711805 26.0488258872 ab
57866.3216117 smg 11049.9006986 108.600728324 27.5984547059 ab
57868.3216117 smg 5869.81447868 81.5731717439 26.9369190367 ab
57870.3216117 smg 2255.1232612 54.0073585461 25.9083122714 ab
57871.3216117 smg 4642.58660158 72.9617184125 26.7065528357 ab
57872.3216117 smg 4712.82679535 72.9293517511 26.7253021247 ab
57874.3216117 smg 2150.62858134 52.3166686331 25.9034900826 ab
57876.3216117 smg 5546.018646 78.9958921222 27.028556703 ab
57878.3216117 smg 13901.1108357 120.636064079 28.1061263914 ab
57879.3216117 smg 10792.7937564 107.389501828 27.8923275296 ab
57881.3216117 smg 2682.14562592 58.9955671035 26.5567132017 ab
57883.3216117 smg 10491.5243888 107.027383422 28.1554155173 ab
57884.3216117 smg 1722.89215518 49.4097222172 26.2579432188 ab
57886.3216117 smg 2970.68035434 61.5503112687 26.9845350441 ab
57887.3216117 smg 3125.42161734 62.8429115159 27.1082286556 ab
57888.3216117 smg 2706.18701728 58.4548102757 26.9932176629 ab
57889.3216117 smg 1980.12332291 50.8354247924 26.6883638729 ab
57891.3216117 smg 1321.89123718 44.9184192897 26.4712609416 ab
57892.3216117 smg 2995.55033911 61.1502185814 27.4275178843 ab
57894.3216117 smg 1102.89774669 43.2662790767 26.5111544185 ab
57895.3216117 smg 2236.90150724 54.1401590229 27.2423018953 ab
57897.3216117 smg 499.639292223 34.3295759418 25.7862324169 ab
57898.3216117 smg 672.45264123 36.3763663237 26.0968706702 ab
57900.3216117 smg 2462.60011043 56.2217375293 27.6804477214 ab
57902.3216117 smg 789.78997854 38.4643439521 26.6034065741 ab
57903.3216117 smg 5370.74480191 78.9266349396 28.786078866 ab
57905.3216117 smg 3383.55382355 64.9557685309 28.4150417725 ab
57907.3216117 smg 303.33812733 31.2128344331 25.8968543146 ab
57853.3217506 smr 427.30360402 32.1713369786 25.2175465353 ab
57854.3217506 smr 554.815787394 34.2595536998 25.2843668208 ab
57855.3217506 smr 339.353302141 31.7658484524 24.7687485116 ab
57856.3217506 smr 781.630297376 37.8120327589 25.3695901423 ab
57857.3217506 smr 601.472235199 35.3914706905 25.0075117473 ab
57859.3217506 smr 811.455676827 37.7721287251 25.0904960016 ab
57861.3217506 smr 1340.83507549 44.0929974016 25.5012089627 ab
57863.3217506 smr 1337.73521779 44.851639706 25.4971370475 ab
57865.3217506 smr 732.011709203 36.0724352241 24.7282000848 ab
57866.3217506 smr 1107.89434386 40.935413854 25.1623039999 ab
57868.3217506 smr 1042.57402377 41.2538948926 25.1661089824 ab
57870.3217506 smr 1236.62763491 42.7802815685 25.2825195651 ab
57871.3217506 smr 1381.0534858 44.771485096 25.432183882 ab
57872.3217506 smr 1101.06765907 42.7827915111 25.3019982654 ab
57874.3217506 smr 1505.48497891 46.1649278613 25.5774806139 ab
57876.3217506 smr 1166.47439262 42.6473498281 25.3899990167 ab
57878.3217506 smr 763.523961645 37.1553232833 25.0023914566 ab
57879.3217506 smr 962.534052864 39.0298166756 25.2364420441 ab
57881.3217506 smr 787.524309734 37.4152831437 25.2253840119 ab
57883.3217506 smr 944.179079163 39.3759175682 25.5249896939 ab
57884.3217506 smr 396.359197616 32.5075872652 24.7900983945 ab
57886.3217506 smr 742.613931232 36.3168872682 25.2792767307 ab
57887.3217506 smr 477.925162758 33.1369162841 24.9023866961 ab
57888.3217506 smr 388.281327953 31.6467699627 24.6908621252 ab
57889.3217506 smr 548.913211236 34.6307540593 25.0985717995 ab
57891.3217506 smr 537.272890867 34.2124142191 25.0373494388 ab
57892.3217506 smr 576.228886238 35.217028928 25.1453573628 ab
57894.3217506 smr 1243.89565517 43.7785823774 25.8902021303 ab
57895.3217506 smr 507.610573266 33.3465093363 24.878885466 ab
57897.3217506 smr 699.804417248 37.7793807106 25.4075518474 ab
57898.3217506 smr 521.579300307 34.5204336307 25.0801807851 ab
57900.3217506 smr 321.699606404 31.1912567296 24.6914077044 ab
57902.3217506 smr 716.367278188 37.2360563686 25.55678694 ab
57903.3217506 smr 756.817064632 37.8072298266 25.6651821633 ab
57905.3217506 smr 329.862405113 30.6278861957 24.8323490598 ab
57907.3217506 smr 399.081717671 32.3044576293 25.218310003 ab
57853.3218895 smi 373.378504559 30.4729703554 25.1671846703 ab
57854.3218895 smi 1972.65299975 51.6288352924 26.9030634518 ab
57855.3218895 smi 2451.12294109 56.66056553 26.9625879286 ab
57856.3218895 smi 3251.17398834 62.5420082925 27.0944160478 ab
57857.3218895 smi 2380.83449049 55.2099838826 26.6703849738 ab
57859.3218895 smi 1070.63361019 42.8334735656 25.8320508874 ab
57861.3218895 smi 2248.89102293 54.3203003324 26.5303304208 ab
57863.3218895 smi 1443.8955139 46.8353197038 26.1500716004 ab
57865.3218895 smi 2415.18893569 55.7206767862 26.7363615135 ab
57866.3218895 smi 1894.70895148 52.0790458205 26.5855185715 ab
57868.3218895 smi 4247.37086904 70.6475468283 27.4611232418 ab
57870.3218895 smi 2277.48226148 55.504835856 26.8510074336 ab
57871.3218895 smi 6514.45221282 85.4698344978 27.9529615976 ab
57872.3218895 smi 2255.61894698 55.5682007409 26.8528687946 ab
57874.3218895 smi 1465.4263914 47.1582829245 26.400468879 ab
57876.3218895 smi 2514.39582519 57.3835520722 27.0165069499 ab
57878.3218895 smi 1936.67647544 51.3966451028 26.817055207 ab
57879.3218895 smi 5502.40237227 80.6442610175 28.0878805523 ab
