@c -0.209190240428
@x1 2.28683407545
@x0 0.00141834120678
@z 0.0517584337242
@t0 58059.8240992
time band flux fluxerr zp zpsys
58053.8240992 smg 2190.4937676 53.7973129123 26.1166777331 ab
58055.8240992 smg 9699.16206757 102.358074597 27.6581354407 ab
58056.8240992 smg 1315.08186125 44.105824332 25.460087838 ab
58057.8240992 smg 6033.5974445 82.5278897871 27.1288839114 ab
58058.8240992 smg 2581.42886303 57.7932140481 26.2268943982 ab
58060.8240992 smg 14385.4143944 122.052549246 28.0543168462 ab
58062.8240992 smg 6313.07497768 83.8196800638 27.2095759162 ab
58063.8240992 smg 4631.52004271 72.7330918508 26.886556781 ab
58064.8240992 smg 4903.83489534 75.4800651083 27.0053721171 ab
58066.8240992 smg 16129.541478 129.938849664 28.3459591929 ab
58068.8240992 smg 2264.43350474 53.6062216822 26.2583168367 ab
58070.8240992 smg 1313.29836963 43.887434137 25.7640887621 ab
58071.8240992 smg 3735.44267696 67.4349870462 27.0268138943 ab
58073.8240992 smg 1797.84795851 50.2034464958 26.3737118408 ab
58075.8240992 smg 3084.44324757 61.4440280265 27.0814306641 ab
58077.8240992 smg 1046.05011119 41.9544104762 26.0969917686 ab
58079.8240992 smg 4111.37741872 69.86483845 27.6971663426 ab
58081.8240992 smg 2364.96815076 55.8061329462 27.2718928182 ab
58083.8240992 smg 705.153355322 37.4561426667 26.1476377389 ab
58084.8240992 smg 9359.30918826 101.250878718 29.0121303198 ab
58085.8240992 smg 894.724298296 40.2033000683 26.540405058 ab
58053.824238 smr 1014.71505659 41.5270027832 25.7339582112 ab
58055.824238 smr 680.233411443 36.0528620621 25.1475250259 ab
58056.824238 smr 398.175851989 32.4393079473 24.679509923 ab
58057.824238 smr 609.305325539 35.2713827952 25.0197527853 ab
58058.824238 smr 548.321148353 33.5552260774 24.7961186504 ab
58060.824238 smr 1151.37672595 42.8853534508 25.6824128389 ab
58062.824238 smr 1274.63769843 43.8346998517 25.7545765045 ab
58063.824238 smr 491.255584795 33.280033594 24.7511715871 ab
58064.824238 smr 1485.8796817 45.9463607161 25.9258930174 ab
58066.824238 smr 680.825498582 36.0930514221 25.1480861218 ab
58068.824238 smr 425.523443531 31.7539707506 24.6644292053 ab
58070.824238 smr 669.977409253 35.5814240262 25.2523307713 ab
58071.824238 smr 567.853411967 35.8696339551 25.3377951623 ab
58073.824238 smr 750.551660378 37.6851652338 25.6534712288 ab
58075.824238 smr 362.843019293 31.3330466449 24.947669721 ab
58077.824238 smr 565.562434064 35.5424918975 25.5755077573 ab
58079.824238 smr 437.510780667 31.87783693 25.1046611475 ab
58081.824238 smr 482.85730612 34.2866065823 25.4627789905 ab
58083.824238 smr 321.885983969 31.7562060698 25.111121091 ab
58084.824238 smr 520.01612206 34.1480137183 25.4545919386 ab
58085.824238 smr 402.018541895 32.6412410967 25.2453732174 ab
58053.8243769 smi 723.500999405 37.4858401232 25.8424297196 ab
58055.8243769 smi 559.35616647 35.5863333614 25.6532029702 ab
58056.8243769 smi 2783.17211899 59.5717493747 27.3436537485 ab
58057.8243769 smi 1197.44191553 43.9501487865 26.4808146189 ab
58058.8243769 smi 941.698031279 40.3282305005 26.2160539016 ab
58060.8243769 smi 1717.8041281 48.0528471803 26.8350856919 ab
58062.8243769 smi 552.452299021 34.3718597293 25.6564651134 ab
58063.8243769 smi 1627.50134559 48.0924282225 26.8697439821 ab
58064.8243769 smi 759.745770595 39.0838192237 26.189518796 ab
58066.8243769 smi 217.367839323 29.6493058628 24.9495817919 ab
58068.8243769 smi 838.13589786 38.9844668844 26.3075716074 ab
58070.8243769 smi 1780.18314478 49.3569852125 27.2094617581 ab
58071.8243769 smi 743.996693068 37.4117608653 26.3371805448 ab
58073.8243769 smi 474.506721319 33.4032025899 26.01763613 ab
58075.8243769 smi 1106.02313075 43.79203007 27.2359595627 ab
58077.8243769 smi 1086.29767186 41.8908476123 27.1071351361 ab
58079.8243769 smi 396.799108367 32.9190829379 26.0749616066 ab
58081.8243769 smi 698.603761003 37.3785086928 26.6422665457 ab
58083.8243769 smi 314.938684599 30.6144660712 25.607739081 ab
58084.8243769 smi 949.66064738 40.8230378001 26.8573671381 ab
58085.8243769 smi 202.331834441 28.6492292496 25.0534160034 ab
58042.8240992 kst 79.2472869644 9.05062352572 25.47 ab
58043.0740992 kst 77.9450249855 9.71282333985 25.47 ab
58043.3240992 kst 98.0907065618 10.4090752629 25.47 ab
58043.5740992 kst 102.865483493 11.1219458584 25.47 ab
58043.8240992 kst 151.944705034 11.8381864503 25.47 ab
58044.0740992 kst 128.079785715 12.5476797217 25.47 ab
58044.3240992 kst 179.287165836 13.2560092611 25.47 ab
58044.5740992 kst 211.269574691 13.9652150214 25.47 ab
58044.8240992 kst 218.921508096 14.6692842106 25.47 ab
58045.0740992 kst 261.777002293 15.3633028077 25.47 ab
58045.3240992 kst 251.216087589 16.0530867126 25.47 ab
58045.5740992 kst 313.658452506 16.7429749193 25.47 ab
58045.8240992 kst 267.239634807 17.4202636363 25.47 ab
58046.0740992 kst 315.91343137 18.0740105872 25.47 ab
58046.3240992 kst 319.571921516 18.7028197584 25.47 ab
58046.5740992 kst 373.459241265 19.3207935606 25.47 ab
58046.8240992 kst 391.916417054 19.9189982421 25.47 ab
58047.0740992 kst 466.616167428 20.488026612 25.47 ab
58047.3240992 kst 418.670251236 21.0210605212 25.47 ab
58047.5740992 kst 470.383177769 21.5252807945 25.47 ab
58047.8240992 kst 471.776733586 22.0060377203 25.47 ab
58048.0740992 kst 493.756314259 22.4669095826 25.47 ab
58048.3240992 kst 509.674938577 22.9109441951 25.47 ab
58048.5740992 kst 557.172182098 23.3376214003 25.47 ab
58048.8240992 kst 563.89697499 23.748016936 25.47 ab
58049.0740992 kst 585.611529661 24.1442264932 25.47 ab
58049.3240992 kst 577.366593284 24.5281767002 25.47 ab
58049.5740992 kst 608.598667303 24.9000906185 25.47 ab
58049.8240992 kst 668.079770775 25.2600803254 25.47 ab
58050.0740992 kst 637.574093049 25.6092228993 25.47 ab
58050.3240992 kst 707.400225642 25.9485229012 25.47 ab
58050.5740992 kst 738.138034462 26.2798532384 25.47 ab
58050.8240992 kst 706.203259968 26.6035038032 25.47 ab
58051.0740992 kst 746.475828093 26.916766302 25.47 ab
58051.3240992 kst 724.224815692 27.217013486 25.47 ab
58051.5740992 kst 723.108586095 27.5032292684 25.47 ab
58051.8240992 kst 825.622734536 27.7784512379 25.47 ab
58052.0740992 kst 734.780759551 28.0415383485 25.47 ab
58052.3240992 kst 789.819104125 28.2909943529 25.47 ab
58052.5740992 kst 888.479174234 28.525744931 25.47 ab
58052.8240992 kst 829.705591015 28.7475444573 25.47 ab
58053.0740992 kst 878.875744361 28.9564135488 25.47 ab
58053.3240992 kst 877.16847437 29.1518344707 25.47 ab
58053.5740992 kst 865.58890696 29.3333627214 25.47 ab
58053.8240992 kst 933.064181931 29.5021816302 25.47 ab
58054.0740992 kst 840.833117358 29.6581896977 25.47 ab
58054.3240992 kst 858.994495096 29.8004944928 25.47 ab
58054.5740992 kst 930.041379141 29.9282016189 25.47 ab
58054.8240992 kst 939.216847097 30.0402106345 25.47 ab
58055.0740992 kst 931.347758311 30.137664779 25.47 ab
58055.3240992 kst 893.051057964 30.2228458575 25.47 ab
58055.5740992 kst 951.046894229 30.297993079 25.47 ab
58055.8240992 kst 883.42470663 30.3622018276 25.47 ab
58056.0740992 kst 880.984648414 30.4133798625 25.47 ab
58056.3240992 kst 974.718807213 30.4563085931 25.47 ab
58056.5740992 kst 945.015202905 30.4958793051 25.47 ab
58056.8240992 kst 923.852974676 30.5354973535 25.47 ab
58057.0740992 kst 965.459463758 30.5722439127 25.47 ab
58057.3240992 kst 880.387837291 30.6055018686 25.47 ab
58057.5740992 kst 949.45857325 30.6350758178 25.47 ab
58057.8240992 kst 968.958091664 30.6608188355 25.47 ab
58058.0740992 kst 952.127129483 30.6829603871 25.47 ab
58058.3240992 kst 947.44489988 30.7014057276 25.47 ab
58058.5740992 kst 917.874975076 30.7159614231 25.47 ab
58058.8240992 kst 963.10872091 30.7264334179 25.47 ab
58059.0740992 kst 977.485667501 30.7327379567 25.47 ab
58059.3240992 kst 932.85063859 30.7350468549 25.47 ab
58059.5740992 kst 882.482312233 30.7335662813 25.47 ab
58059.8240992 kst 975.959324204 30.7285009899 25.47 ab
58060.0740992 kst 944.626682806 30.7197346467 25.47 ab
58060.3240992 kst 920.264785655 30.7071893224 25.47 ab
58060.5740992 kst 990.492282399 30.6911257391 25.47 ab
58060.8240992 kst 891.128667615 30.6718038922 25.47 ab
58061.0740992 kst 908.083189611 30.6492783561 25.47 ab
58061.3240992 kst 987.584967113 30.6233306603 25.47 ab
58061.5740992 kst 950.101828324 30.5941227722 25.47 ab
58061.8240992 kst 969.694898898 30.5618296255 25.47 ab
58062.0740992 kst 962.842190902 30.5265524513 25.47 ab
