@c -0.150543862092
@x1 -0.400509065271
@x0 0.00140872960676
@z 0.0519283347436
@t0 57981.8279555
time band flux fluxerr zp zpsys
57965.8279555 kst 34.8533610133 6.93438674796 25.47 ab
57966.0779555 kst 66.5357347797 7.62995102632 25.47 ab
57966.3279555 kst 58.2754548711 8.32670234074 25.47 ab
57966.5779555 kst 84.6873218352 9.02605107241 25.47 ab
57966.8279555 kst 85.697865175 9.71891018276 25.47 ab
57967.0779555 kst 96.5022046674 10.3986060418 25.47 ab
57967.3279555 kst 111.069815472 11.068926553 25.47 ab
57967.5779555 kst 147.825631289 11.7359933056 25.47 ab
57967.8279555 kst 142.096771816 12.3933484075 25.47 ab
57968.0779555 kst 180.087130052 13.0357436534 25.47 ab
57968.3279555 kst 204.641408676 13.6628122487 25.47 ab
57968.5779555 kst 217.605736681 14.2821014021 25.47 ab
57968.8279555 kst 250.792977282 14.8908613534 25.47 ab
57969.0779555 kst 246.168108369 15.4861427066 25.47 ab
57969.3279555 kst 268.612675821 16.0659674869 25.47 ab
57969.5779555 kst 290.623198814 16.6333526476 25.47 ab
57969.8279555 kst 285.115298517 17.1911423831 25.47 ab
57970.0779555 kst 340.510274425 17.7414720737 25.47 ab
57970.3279555 kst 346.213471789 18.286059231 25.47 ab
57970.5779555 kst 356.445199148 18.8241092521 25.47 ab
57970.8279555 kst 360.585517011 19.35662925 25.47 ab
57971.0779555 kst 368.255979293 19.8854013926 25.47 ab
57971.3279555 kst 421.361272185 20.412010924 25.47 ab
57971.5779555 kst 452.645206461 20.9360665695 25.47 ab
57971.8279555 kst 423.522509229 21.4574200162 25.47 ab
57972.0779555 kst 465.364784406 21.9771354832 25.47 ab
57972.3279555 kst 520.138372246 22.4961782828 25.47 ab
57972.5779555 kst 494.183133451 23.0201662074 25.47 ab
57972.8279555 kst 595.122690959 23.54949251 25.47 ab
57973.0779555 kst 545.965418257 24.0719596908 25.47 ab
57973.3279555 kst 641.849491046 24.5762667869 25.47 ab
57973.5779555 kst 595.092798202 25.0576724982 25.47 ab
57973.8279555 kst 666.258441743 25.5270315837 25.47 ab
57974.0779555 kst 673.753530896 25.9804209303 25.47 ab
57974.3279555 kst 742.904767088 26.4128518076 25.47 ab
57974.5779555 kst 732.574043882 26.8206512175 25.47 ab
57974.8279555 kst 733.476186561 27.2083636372 25.47 ab
57975.0779555 kst 724.94679633 27.5771592905 25.47 ab
57975.3279555 kst 793.747685974 27.9268958814 25.47 ab
57975.5779555 kst 828.853391718 28.2574925095 25.47 ab
57975.8279555 kst 837.633763184 28.5707018356 25.47 ab
57976.0779555 kst 859.858896882 28.8666844369 25.47 ab
57976.3279555 kst 884.392229806 29.1446809172 25.47 ab
57976.5779555 kst 839.05839789 29.4039286579 25.47 ab
57976.8279555 kst 889.202901871 29.6441997374 25.47 ab
57977.0779555 kst 857.272928196 29.8668086591 25.47 ab
