@c 0.0683084047622
@x1 -0.607652825704
@x0 0.00113252844507
@z 0.0576760378895
@t0 58056.5121881
time band flux fluxerr zp zpsys
58040.5121881 kst 27.8865727803 6.62722314236 25.47 ab
58040.7621881 kst 42.0592634083 7.33471811062 25.47 ab
58041.0121881 kst 74.5833385712 8.04544669499 25.47 ab
58041.2621881 kst 72.8910009074 8.75339328931 25.47 ab
58041.5121881 kst 82.1495199177 9.45049092864 25.47 ab
58041.7621881 kst 103.006958499 10.1314605014 25.47 ab
58042.0121881 kst 108.512867336 10.8060455385 25.47 ab
58042.2621881 kst 130.928859508 11.4743665218 25.47 ab
58042.5121881 kst 144.848498089 12.1309959992 25.47 ab
58042.7621881 kst 165.030100038 12.7715982595 25.47 ab
58043.0121881 kst 186.78372472 13.3998856994 25.47 ab
58043.2621881 kst 193.488468854 14.0200413977 25.47 ab
58043.5121881 kst 208.838805173 14.6293979346 25.47 ab
58043.7621881 kst 210.053820186 15.2256952465 25.47 ab
58044.0121881 kst 236.729861227 15.8082421758 25.47 ab
58044.2621881 kst 265.624001107 16.380341051 25.47 ab
58044.5121881 kst 265.722951025 16.944291581 25.47 ab
58044.7621881 kst 311.767045089 17.5020179886 25.47 ab
58045.0121881 kst 327.42955435 18.054689317 25.47 ab
58045.2621881 kst 339.49507811 18.6013946818 25.47 ab
58045.5121881 kst 371.326728995 19.1436368923 25.47 ab
58045.7621881 kst 377.06411211 19.6831056915 25.47 ab
58046.0121881 kst 404.423583311 20.2211589052 25.47 ab
58046.2621881 kst 427.930234278 20.756856812 25.47 ab
58046.5121881 kst 448.657947839 21.2905746759 25.47 ab
58046.7621881 kst 512.079951259 21.8233323579 25.47 ab
58047.0121881 kst 512.211062548 22.3561032939 25.47 ab
58047.2621881 kst 546.672169003 22.8967678124 25.47 ab
58047.5121881 kst 560.920533444 23.4409490341 25.47 ab
58047.7621881 kst 598.246271125 23.9757885976 25.47 ab
58048.0121881 kst 580.579648572 24.4895438163 25.47 ab
58048.2621881 kst 633.00693573 24.9813246747 25.47 ab
58048.5121881 kst 666.735598746 25.460856958 25.47 ab
58048.7621881 kst 693.515370446 25.9229213639 25.47 ab
58049.0121881 kst 738.92360549 26.3623437124 25.47 ab
58049.2621881 kst 753.497883767 26.7762885029 25.47 ab
58049.5121881 kst 770.66417578 27.1700389076 25.47 ab
58049.7621881 kst 797.992247629 27.5441965928 25.47 ab
58050.0121881 kst 779.413255414 27.8986375575 25.47 ab
58050.2621881 kst 814.516217911 28.2334331689 25.47 ab
58050.5121881 kst 793.084483572 28.5505134064 25.47 ab
58050.7621881 kst 802.817911072 28.8497463635 25.47 ab
58051.0121881 kst 843.810910873 29.1303721088 25.47 ab
58051.2621881 kst 849.821931284 29.3916276682 25.47 ab
58051.5121881 kst 885.197523534 29.6334219096 25.47 ab
58051.7621881 kst 868.824658729 29.8572288091 25.47 ab
58052.0121881 kst 867.935290026 30.064672597 25.47 ab
58052.2621881 kst 923.824624268 30.2573045695 25.47 ab
58052.5121881 kst 917.544539624 30.4341545045 25.47 ab
58052.7621881 kst 917.844835188 30.5947327686 25.47 ab
58053.0121881 kst 979.736399703 30.7425981146 25.47 ab
58053.2621881 kst 949.696591583 30.8812411507 25.47 ab
58053.5121881 kst 949.988782604 31.0129937805 25.47 ab
58053.7621881 kst 945.419573715 31.1360877769 25.47 ab
58054.0121881 kst 978.997017844 31.2497416615 25.47 ab
58054.2621881 kst 1003.57895969 31.3533266856 25.47 ab
58054.5121881 kst 1047.2724649 31.4464116745 25.47 ab
58054.7621881 kst 1010.76358394 31.529808987 25.47 ab
58055.0121881 kst 1028.56231559 31.6032831686 25.47 ab
58055.2621881 kst 992.719993219 31.6663304017 25.47 ab
58055.5121881 kst 994.32887111 31.7184293373 25.47 ab
58055.7621881 kst 1019.81210608 31.7591555789 25.47 ab
58056.0121881 kst 999.967676008 31.7892352749 25.47 ab
58056.2621881 kst 1011.13349792 31.8096600822 25.47 ab
58056.5121881 kst 1026.54354023 31.8214096909 25.47 ab
58056.7621881 kst 967.649241902 31.8241029163 25.47 ab
58057.0121881 kst 1036.35184876 31.8173469209 25.47 ab
58057.2621881 kst 1027.84081831 31.8020909694 25.47 ab
58057.5121881 kst 945.021279285 31.7792787929 25.47 ab
58057.7621881 kst 990.543671944 31.749248595 25.47 ab
58058.0121881 kst 1060.35706435 31.7112568894 25.47 ab
58058.2621881 kst 978.708698276 31.6656089583 25.47 ab
58058.5121881 kst 993.119398071 31.6126554215 25.47 ab
58058.7621881 kst 995.840445573 31.5525709512 25.47 ab
58059.0121881 kst 1004.54231541 31.4848399473 25.47 ab
58059.2621881 kst 1033.51337764 31.4097571757 25.47 ab
58059.5121881 kst 998.868418189 31.3277459926 25.47 ab
58059.7621881 kst 962.057575219 31.2392044617 25.47 ab
58060.0121881 kst 990.598769833 31.1440000979 25.47 ab
58060.2621881 kst 941.163349517 31.0418440748 25.47 ab
