@c 0.0517661012794
@x1 1.08743218453
@x0 0.00124817615618
@z 0.0550433406797
@t0 57793.2851741
time band flux fluxerr zp zpsys
57777.2851741 kst 124.945870088 10.6649916193 25.47 ab
57777.5351741 kst 143.172349552 11.3869916558 25.47 ab
57777.7851741 kst 145.43195978 12.1133504447 25.47 ab
57778.0351741 kst 146.915027316 12.8416705105 25.47 ab
57778.2851741 kst 208.843475089 13.5646872509 25.47 ab
57778.5351741 kst 190.669215911 14.276696496 25.47 ab
57778.7851741 kst 211.815112759 14.9867979875 25.47 ab
57779.0351741 kst 256.880065594 15.6947422581 25.47 ab
57779.2851741 kst 256.539146392 16.3895143023 25.47 ab
57779.5351741 kst 299.96325663 17.061872752 25.47 ab
57779.7851741 kst 310.081746916 17.714677046 25.47 ab
57780.0351741 kst 347.311772801 18.3574432556 25.47 ab
57780.2851741 kst 334.668986626 18.9820794639 25.47 ab
57780.5351741 kst 390.819046298 19.5812403261 25.47 ab
57780.7851741 kst 407.569071278 20.1508359647 25.47 ab
57781.0351741 kst 453.308112807 20.697930188 25.47 ab
57781.2851741 kst 446.016553817 21.2266474662 25.47 ab
57781.5351741 kst 463.752717502 21.7401612872 25.47 ab
57781.7851741 kst 527.908644397 22.2409084609 25.47 ab
57782.0351741 kst 507.156922956 22.7280319369 25.47 ab
57782.2851741 kst 487.132631712 23.2030446828 25.47 ab
57782.5351741 kst 563.843283755 23.6680181354 25.47 ab
57782.7851741 kst 565.765403641 24.1247895965 25.47 ab
57783.0351741 kst 607.267621521 24.5730621025 25.47 ab
57783.2851741 kst 608.800410853 25.0131700251 25.47 ab
57783.5351741 kst 619.921364297 25.4462504916 25.47 ab
57783.7851741 kst 649.813564464 25.873358101 25.47 ab
57784.0351741 kst 713.087269722 26.2985623844 25.47 ab
57784.2851741 kst 763.948006641 26.7209189701 25.47 ab
57784.5351741 kst 743.434698593 27.1337335598 25.47 ab
57784.7851741 kst 716.738792139 27.5307050053 25.47 ab
57785.0351741 kst 795.102957829 27.9103133351 25.47 ab
57785.2851741 kst 786.780014883 28.2785023076 25.47 ab
57785.5351741 kst 821.027227053 28.6324712863 25.47 ab
57785.7851741 kst 846.524594466 28.9691441504 25.47 ab
57786.0351741 kst 827.595092085 29.2865486538 25.47 ab
57786.2851741 kst 867.936948712 29.5878279675 25.47 ab
57786.5351741 kst 891.32992627 29.8731885678 25.47 ab
57786.7851741 kst 959.180000368 30.1422030876 25.47 ab
57787.0351741 kst 912.812554723 30.3945858238 25.47 ab
57787.2851741 kst 964.275213574 30.6318780119 25.47 ab
57787.5351741 kst 941.93198526 30.853887357 25.47 ab
57787.7851741 kst 934.786636913 31.059708243 25.47 ab
57788.0351741 kst 1046.21693348 31.2484304721 25.47 ab
57788.2851741 kst 1055.92242672 31.419283827 25.47 ab
57788.5351741 kst 995.201321815 31.573680481 25.47 ab
57788.7851741 kst 932.494831288 31.7137194966 25.47 ab
57789.0351741 kst 1045.28568314 31.8414415566 25.47 ab
57789.2851741 kst 1027.99797614 31.9556933584 25.47 ab
57789.5351741 kst 986.929529666 32.0551075857 25.47 ab
57789.7851741 kst 1000.95580861 32.1442015331 25.47 ab
57790.0351741 kst 1012.19938286 32.2274925156 25.47 ab
57790.2851741 kst 1062.59615097 32.3079914706 25.47 ab
57790.5351741 kst 1012.6666976 32.3830826906 25.47 ab
57790.7851741 kst 1065.87615016 32.4520744761 25.47 ab
57791.0351741 kst 1030.60352846 32.5145667721 25.47 ab
57791.2851741 kst 1066.48898966 32.5702700155 25.47 ab
57791.5351741 kst 1047.91934143 32.619659635 25.47 ab
57791.7851741 kst 1026.47806694 32.6625710469 25.47 ab
57792.0351741 kst 1049.28889098 32.6986614565 25.47 ab
