SN1: c:0.00399662105835 t0:0.0315684187985 x0:6.14907112397e-06 x1:0.0381858374819 
SN2: c:0.00251135917805 t0:0.0431132351098 x0:1.37281768477e-05 x1:0.0196297986472 
SN3: c:0.000620799240118 t0:0.00632148103441 x0:0.000101946531488 x1:0.00949463114446 
SN4: c:0.00664995353667 t0:0.105211054822 x0:2.8677979714e-05 x1:0.0601115032558 
SN5: c:0.00289332851686 t0:0.0162860190157 x0:1.1395486504e-05 x1:0.0184150055067 
SN6: c:0.00698851470161 t0:0.0631874361237 x0:1.51841300757e-05 x1:0.0700059148993 
SN7: c:0.00630327695606 t0:0.0314804566537 x0:5.87528563894e-06 x1:0.042676416724 
SN8: c:0.00438446681073 t0:0.0736318043782 x0:9.65889552893e-06 x1:0.0528502802908 
SN9: c:0.00702461564698 t0:0.0668290133786 x0:4.37336481111e-06 x1:0.0700850247402 
SN10: c:0.00163900626542 t0:0.006442396719 x0:2.65988517138e-05 x1:0.00442996768533 
SN11: c:0.00251085344813 t0:0.0184474046268 x0:9.82690623223e-05 x1:0.023736232302 
SN12: c:0.00689605217969 t0:0.0994293783609 x0:2.55081027241e-05 x1:0.0631567850503 
SN13: c:0.00617909118823 t0:0.0762839152454 x0:6.63289068895e-06 x1:0.0896295433485 
SN14: c:0.00847401004064 t0:0.0600411076307 x0:6.84011820952e-06 x1:0.0374046232067 
SN15: c:0.00128070152275 t0:0.020989081987 x0:3.84453948792e-05 x1:0.0128454895234 
SN16: c:0.0082300890147 t0:0.0723176187717 x0:1.02235438667e-05 x1:0.0880680873425 
SN17: c:0.000969643794824 t0:0.0113524242534 x0:5.07183494356e-05 x1:0.010083513657 
SN18: c:0.00471499791176 t0:0.0464638825036 x0:5.16635972792e-06 x1:0.0386772002239 
SN19: c:0.00462843634572 t0:0.045516670798 x0:0.00016323255358 x1:0.0533231096496 
SN20: c:0.00215844113214 t0:0.0103926425384 x0:1.34612847452e-05 x1:0.0105859026304 
SN21: c:0.00497803543255 t0:0.0372202725599 x0:2.20679599854e-05 x1:0.0490885343391 
SN22: c:0.00443475069602 t0:0.0292749949713 x0:7.91665844318e-06 x1:0.0415335700859 
SN23: c:0.00184695777435 t0:0.0141924008561 x0:3.19789519232e-05 x1:0.0187335255336 
