@c -0.269551636933
@x1 -2.53812946724
@x0 0.0117518266814
@z 0.0184246146345
@t0 58019.9550595
time band flux fluxerr zp zpsys
58012.9550595 smg 50062.1263744 225.345067714 27.8767594786 ab
58013.9550595 smg 17658.8760451 134.848990347 26.5421515588 ab
58015.9550595 smg 15736.586391 128.668107486 26.1703790787 ab
58017.9550595 smg 48292.4377127 220.413958035 27.2189172078 ab
58019.9550595 smg 30939.683135 178.257387331 26.7051537633 ab
58021.9550595 smg 24945.8417924 160.387997841 26.5024915031 ab
58023.9550595 smg 4956.87642072 74.4853155515 24.8276668042 ab
58024.9550595 smg 103911.412895 323.806970106 28.200080489 ab
58025.9550595 smg 47837.216876 219.961524979 27.4233003727 ab
58027.9550595 smg 17890.5681409 136.745558533 26.5452840166 ab
58028.9550595 smg 31059.4912235 178.288624729 27.2409082523 ab
58029.9550595 smg 34797.0029103 188.819683544 27.4730869697 ab
58031.9550595 smg 15411.8996221 126.69656035 26.7954572023 ab
58033.9550595 smg 10104.6939322 103.07991667 26.5480481604 ab
58034.9550595 smg 10641.3022281 106.430746603 26.7394377966 ab
58035.9550595 smg 10836.0902711 108.074401093 26.8954154435 ab
58036.9550595 smg 9735.03221431 101.686167321 26.8764581428 ab
58037.9550595 smg 5863.30604618 80.9958802441 26.4597097454 ab
58038.9550595 smg 7096.08605408 88.3502707953 26.7820195848 ab
58039.9550595 smg 10962.504071 107.775744119 27.3502800863 ab
58040.9550595 smg 3766.68462293 66.7108956351 26.2825925883 ab
58041.9550595 smg 4282.9350473 71.0153200254 26.5144323609 ab
58043.9550595 smg 2467.88472456 56.3462571324 26.0960401501 ab
58044.9550595 smg 1378.0786877 45.6543824296 25.6046586067 ab
58045.9550595 smg 1430.94607945 45.9431621993 25.7444521998 ab
58047.9550595 smg 1320.45507295 43.8913131387 25.8167520261 ab
58049.9550595 smg 7611.44101916 92.2500499012 27.9363496074 ab
58012.9551984 smr 5269.57158968 77.0507683986 25.6630832762 ab
58013.9551984 smr 4171.91189459 69.8340591457 25.2632340899 ab
58015.9551984 smr 2734.19459233 58.002641769 24.5930196404 ab
58017.9551984 smr 2991.17887 60.2490374012 24.5862376557 ab
58019.9551984 smr 8423.61747795 95.7901241482 25.6613483805 ab
58021.9551984 smr 3217.71669085 61.4411348267 24.591496258 ab
58023.9551984 smr 5456.62356701 78.3428424143 25.2376455297 ab
58024.9551984 smr 4962.33971991 74.5531455307 25.1623578443 ab
58025.9551984 smr 4832.29513227 73.1374844928 25.1769825969 ab
58027.9551984 smr 3530.15010418 64.4564472727 25.0453544511 ab
58028.9551984 smr 6475.53333921 83.2703236444 25.7772470934 ab
58029.9551984 smr 1172.5928328 42.7872675345 24.1187490013 ab
58031.9551984 smr 3748.38837835 65.5502046098 25.40698917 ab
58033.9551984 smr 2934.619431 59.5187704593 25.2007547658 ab
58034.9551984 smr 2545.08293844 56.7508941708 25.0930698561 ab
58035.9551984 smr 2157.25731951 52.9966364177 24.9277315376 ab
58036.9551984 smr 2306.01856069 54.3910477808 25.0172587797 ab
58037.9551984 smr 3553.72020561 64.4018729285 25.4789085525 ab
58038.9551984 smr 1751.02957829 49.2440582807 24.7878353643 ab
58039.9551984 smr 1391.8977876 44.553793687 24.5226664577 ab
58040.9551984 smr 2508.95627815 56.2236971437 25.2047770497 ab
58041.9551984 smr 3387.82273876 63.3869551745 25.5530005163 ab
58043.9551984 smr 1972.55493646 51.5668471833 25.124747974 ab
58044.9551984 smr 1415.71068598 44.7965167548 24.8028417783 ab
58045.9551984 smr 2960.65109366 60.6901085331 25.7471877767 ab
58047.9551984 smr 2114.94704149 52.5450391197 25.5807160655 ab
58049.9551984 smr 957.419298898 39.8870269351 24.9772214184 ab
58012.9553373 smi 23550.6127882 155.344382048 27.6745976924 ab
58013.9553373 smi 79833.817276 284.039221368 28.876968484 ab
58015.9553373 smi 6548.13758749 84.3168012719 26.0300572929 ab
58017.9553373 smi 7056.67218618 88.5373443576 26.1405323057 ab
58019.9553373 smi 27374.275866 167.946120682 27.6071836689 ab
58021.9553373 smi 38607.4829106 198.514528492 28.0149511641 ab
58023.9553373 smi 13707.125833 120.244714264 26.9710106167 ab
58024.9553373 smi 42963.4145689 209.645978273 28.2717996383 ab
58025.9553373 smi 11146.2917636 108.84748942 26.8719821417 ab
58027.9553373 smi 14987.4884925 124.538063435 27.3746229064 ab
58028.9553373 smi 12196.4939088 113.136494055 27.2610982189 ab
58029.9553373 smi 3418.3989458 64.6745242462 26.0016689739 ab
58031.9553373 smi 3152.86221917 61.7601076393 25.9453103274 ab
58033.9553373 smi 1444.94172503 45.5134276819 25.0477062302 ab
58034.9553373 smi 9881.75603492 103.376824164 27.1135633167 ab
58035.9553373 smi 5838.82094659 81.0226681195 26.5110271487 ab
58036.9553373 smi 9573.05875943 101.101745721 27.0084868148 ab
58037.9553373 smi 2270.34067397 53.9646930024 25.4276064499 ab
58038.9553373 smi 3797.85879721 66.6945541291 25.9551957546 ab
58039.9553373 smi 6855.9458122 86.796178794 26.5709094405 ab
58040.9553373 smi 5871.03468462 80.6482100678 26.3656935651 ab
58041.9553373 smi 10032.5220475 104.497172047 26.959088706 ab
58043.9553373 smi 5430.29099565 78.3949614153 26.3290241205 ab
58044.9553373 smi 12214.4212524 113.384033059 27.2620038705 ab
58045.9553373 smi 13556.8832164 119.154832706 27.4651720075 ab
58047.9553373 smi 5833.01603261 81.3911574845 26.7754495044 ab
58049.9553373 smi 15728.3517231 128.089073159 28.0482166685 ab
