@c 0.121171475615
@x1 -6.74529791313
@x0 0.0107634760416
@z 0.0192403438074
@t0 57926.472596
time band flux fluxerr zp zpsys
57923.472596 smg 50483.4083433 226.125719802 27.3757634351 ab
57925.472596 smg 40749.6304897 203.762191104 26.96736403 ab
57927.472596 smg 19669.4268726 142.807659911 26.1634396437 ab
57929.472596 smg 18184.3473477 135.74899043 26.1285224137 ab
57930.472596 smg 51265.0954378 227.665617778 27.3486119121 ab
57932.472596 smg 34949.2396721 188.913631019 27.1345912091 ab
57933.472596 smg 6581.50093068 84.8903379206 25.4482775392 ab
57935.472596 smg 10822.8946289 107.620610886 26.3382596744 ab
57937.472596 smg 20678.8966291 145.768904409 27.3958530547 ab
57939.472596 smg 8411.13691194 94.9537915299 26.777465647 ab
57940.472596 smg 5742.71333071 80.0409236892 26.5623814262 ab
57941.472596 smg 5739.84473647 79.456006501 26.7674893081 ab
57943.472596 smg 1335.45134465 44.7429127229 25.8375667933 ab
57944.472596 smg 4016.5201641 70.1970787377 27.5231652457 ab
57946.472596 smg 1369.0493716 45.9068263242 27.3517597199 ab
57948.472596 smg 298.86214759 31.2610776918 26.0071607895 ab
57950.472596 smg 129.94523911 29.7703626509 27.2262325177 ab
57951.472596 smg -214.757390179 30.1422149538 26.1511252226 ab
57953.472596 smg -2243.8485259 55.0000710954 27.2910775371 ab
57955.472596 smg -5511.20980965 79.376061334 28.0296059704 ab
57923.4727349 smr 10646.5093472 106.276820753 25.479527155 ab
57925.4727349 smr 11878.6604589 111.61715011 25.4885321938 ab
57927.4727349 smr 10877.369262 108.030170238 25.4013322832 ab
57929.4727349 smr 6595.0025753 85.0330218212 24.8951331346 ab
57930.4727349 smr 6319.95312234 83.3090079914 24.8925575318 ab
57932.4727349 smr 5555.09672953 77.6553602017 24.8834247286 ab
57933.4727349 smr 6057.93023839 82.9248139383 25.1604532753 ab
57935.4727349 smr 8363.0437732 95.5707455284 25.8219459894 ab
57937.4727349 smr 2856.5433583 58.7473019233 24.8522543276 ab
57939.4727349 smr 5130.37354941 75.2886002066 25.4440529257 ab
57940.4727349 smr 3368.62092034 62.5910465798 24.9374405108 ab
57941.4727349 smr 2727.95806018 57.2019837943 24.6785422025 ab
57943.4727349 smr 4053.19435772 68.535710952 25.1557828036 ab
57944.4727349 smr 5182.60099345 77.3899956552 25.491128251 ab
57946.4727349 smr 4605.09367766 73.6147956365 25.4584984911 ab
57948.4727349 smr 3784.9017938 66.9278679115 25.3317430363 ab
57950.4727349 smr 2895.36018337 59.3472976932 25.2970519558 ab
57951.4727349 smr 2502.79266073 55.4130033363 25.3584147651 ab
57953.4727349 smr 1303.17649756 43.1195411529 25.4570662308 ab
57955.4727349 smr 62.0609041193 27.037194482 25.1293219557 ab
57923.4728738 smi 11275.3391788 108.740429519 25.8947805251 ab
57925.4728738 smi 22383.7415727 152.290870004 26.6167126737 ab
57927.4728738 smi 22513.7039284 152.791724401 26.5899917876 ab
57929.4728738 smi 35436.8139866 189.814150451 27.1264561298 ab
57930.4728738 smi 16203.2428583 129.929478027 26.343982332 ab
57932.4728738 smi 15628.2032975 127.904116339 26.4868530296 ab
57933.4728738 smi 9865.52630289 102.338109355 26.0945499192 ab
57935.4728738 smi 10194.0722775 104.035432293 26.4124764751 ab
57937.4728738 smi 12981.9783186 117.300449118 26.8077830035 ab
57939.4728738 smi 7536.89027546 90.2158944866 26.0712846642 ab
57940.4728738 smi 17706.1426803 135.782186351 26.9159016774 ab
57941.4728738 smi 15002.0184136 125.131409208 26.6551811628 ab
57943.4728738 smi 20561.6815483 146.627320076 26.908255102 ab
57944.4728738 smi 9710.3291975 102.532095205 26.0594555006 ab
57946.4728738 smi 35263.3087902 190.289834843 27.3772908388 ab
57948.4728738 smi 25379.1685736 161.680655625 26.956113853 ab
57950.4728738 smi 9312.03864177 99.8925930091 25.9760044598 ab
57951.4728738 smi 5492.29711048 78.6243541366 25.5505038185 ab
57953.4728738 smi 10622.2269782 106.271247065 26.6970254304 ab
57955.4728738 smi 7865.15857077 93.3228825213 26.9669747289 ab
