@c -0.234809451726
@x1 2.656552593
@x0 0.134464218107
@z 0.00549946352188
@t0 58085.2318443
time band flux fluxerr zp zpsys
58078.2318443 smg 142575.338443 378.320118562 25.8746301259 ab
58080.2318443 smg 355152.874012 596.159360442 26.7606109269 ab
58082.2318443 smg 619129.290593 787.072747687 27.3310530018 ab
58083.2318443 smg 342934.073632 585.777788445 26.6823271173 ab
58084.2318443 smg 348398.353028 590.665123169 26.6980569241 ab
58086.2318443 smg 601787.687111 776.220569776 27.3006771458 ab
58087.2318443 smg 280359.43707 530.77905516 26.4853239829 ab
58088.2318443 smg 379073.912786 615.597806588 26.823783085 ab
58089.2318443 smg 549124.609765 742.19534986 27.2506023204 ab
58091.2318443 smg 179119.00942 424.638960175 26.0872450352 ab
58093.2318443 smg 245024.477963 496.458909553 26.49418692 ab
58095.2318443 smg 610379.347239 781.611313948 27.5683502531 ab
58097.2318443 smg 468939.689842 685.216961707 27.3992945969 ab
58099.2318443 smg 466873.402353 684.433611158 27.5432792442 ab
58100.2318443 smg 132670.760664 365.531730597 26.2479475498 ab
58101.2318443 smg 271721.505972 521.584466229 27.0886619053 ab
58103.2318443 smg 265577.588851 516.397329474 27.184788134 ab
58105.2318443 smg 256601.132257 506.435164744 27.2785297315 ab
58107.2318443 smg 74093.5570827 273.417374328 26.0882533148 ab
58109.2318443 smg 283714.084145 533.613512582 27.676542328 ab
58110.2318443 smg 64654.4760887 255.163693966 26.1159387762 ab
58111.2318443 smg 301673.341801 549.848280423 27.835857024 ab
58113.2318443 smg 72589.6214942 271.282435805 26.3968565985 ab
58114.2318443 smg 103250.549183 322.610549968 26.835627404 ab
58115.2318443 smg 57730.490867 241.782442368 26.2695614548 ab
58078.2319832 smr 44270.0885272 211.666942949 25.0885106751 ab
58080.2319832 smr 54277.1493438 235.147459786 25.2116920395 ab
58082.2319832 smr 39855.4835323 201.882991771 24.8237126779 ab
58083.2319832 smr 84500.9608801 291.373221407 25.6089505275 ab
58084.2319832 smr 61537.5987772 249.507049688 25.2516697388 ab
58086.2319832 smr 36412.3194031 192.949062698 24.6605929716 ab
58087.2319832 smr 69226.5624135 264.143588546 25.3461405258 ab
58088.2319832 smr 54089.6940931 233.579964218 25.0783327713 ab
58089.2319832 smr 72219.2354997 269.613680442 25.4003839341 ab
58091.2319832 smr 48328.656162 221.813984477 25.0153336225 ab
58093.2319832 smr 43539.9956158 211.309562422 24.9892587176 ab
58095.2319832 smr 65953.9400516 258.341208309 25.5427401848 ab
58097.2319832 smr 59066.0392579 244.156747175 25.5653282831 ab
58099.2319832 smr 30376.1979732 175.948633826 25.0149457045 ab
58100.2319832 smr 28735.8497574 170.847997938 25.0145943372 ab
58101.2319832 smr 29814.5939651 174.552882717 25.1045316139 ab
58103.2319832 smr 24317.2630815 157.962923855 24.8998962838 ab
58105.2319832 smr 43396.4257587 208.973111363 25.5319169689 ab
58107.2319832 smr 36211.6610574 192.333643166 25.3667361429 ab
58109.2319832 smr 23373.3440537 154.916650171 24.8673317671 ab
58110.2319832 smr 31772.876305 179.770036222 25.1737079752 ab
58111.2319832 smr 36907.6584605 193.35745521 25.3109761031 ab
58113.2319832 smr 29183.5998762 172.816545946 25.0573265041 ab
58114.2319832 smr 41179.7814223 203.972286678 25.4387467672 ab
58115.2319832 smr 18470.3759433 137.690047646 24.59286482 ab
58078.2321221 smi 261864.539303 512.119525934 27.5248422745 ab
58080.2321221 smi 96080.4726874 310.674647289 26.3835726328 ab
58082.2321221 smi 330858.380844 575.883778634 27.7285028296 ab
58083.2321221 smi 106910.371813 327.819417399 26.5190142263 ab
58084.2321221 smi 368191.356316 607.235675992 27.8951644636 ab
58086.2321221 smi 146214.000805 382.812422493 26.9888178223 ab
58087.2321221 smi 111924.025366 336.109910491 26.7450844337 ab
58088.2321221 smi 348637.984743 591.21705386 28.0051690747 ab
58089.2321221 smi 405239.909608 637.354817096 28.1879082073 ab
58091.2321221 smi 52056.7855606 229.568926681 26.0159021249 ab
58093.2321221 smi 99862.7024645 317.347525673 26.8187211564 ab
58095.2321221 smi 48622.3584176 222.662121512 26.1666107511 ab
58097.2321221 smi 23291.8117375 155.505400038 25.5311243285 ab
58099.2321221 smi 35781.5776587 191.390320652 26.1746496026 ab
58100.2321221 smi 50943.7635971 226.529265061 26.6158383602 ab
58101.2321221 smi 46682.6686674 218.148906187 26.5784252033 ab
58103.2321221 smi 46130.6243503 216.832998698 26.5786866836 ab
58105.2321221 smi 22930.4526943 153.524094235 25.8019933098 ab
58107.2321221 smi 95916.5825943 310.618265998 27.3137154709 ab
58109.2321221 smi 32816.5097278 183.301811596 26.0095510861 ab
58110.2321221 smi 63239.0668286 252.883482367 26.6212296815 ab
58111.2321221 smi 60973.735067 248.299191143 26.487840954 ab
58113.2321221 smi 53002.4464476 231.239895257 26.2183867072 ab
58114.2321221 smi 107694.422221 328.736799133 26.9597513754 ab
58115.2321221 smi 98719.4913626 315.365604091 26.8528819171 ab
