@c -0.112696064784
@x1 1.0415603138
@x0 2.65488163172
@z 0.00124160795443
@t0 57791.601516
time band flux fluxerr zp zpsys
57778.601516 smg 1170327.33238 1082.46789844 26.1991015046 ab
57780.601516 smg 7364119.96916 2713.74882278 27.6536019824 ab
57782.601516 smg 2975476.04158 1725.07863682 26.3081364675 ab
57784.601516 smg 10922436.4304 3305.26962695 27.4494446707 ab
57785.601516 smg 6547203.53216 2558.38705999 26.798843857 ab
57786.601516 smg 5852108.79831 2419.35790871 26.6061292033 ab
57788.601516 smg 5366842.84523 2316.11019917 26.4271654239 ab
57789.601516 smg 16136089.0117 4017.57408825 27.5993050871 ab
57791.601516 smg 12106404.3919 3479.72638832 27.2705669561 ab
57793.601516 smg 16860895.5944 4106.47460255 27.6501072133 ab
57795.601516 smg 7760353.86275 2786.05824541 26.8570611879 ab
57796.601516 smg 2427526.80598 1557.41394762 25.6279020055 ab
57797.601516 smg 3031836.60267 1741.12201052 25.9094527545 ab
57799.601516 smg 2741960.40122 1655.41411077 25.8955529801 ab
57801.601516 smg 7252348.80677 2693.91439392 27.0686381057 ab
57802.601516 smg 4004326.66921 2001.04856987 26.4883146623 ab
57804.601516 smg 5810147.1343 2411.23519872 27.0454852465 ab
57806.601516 smg 32268213.5906 5680.3067929 29.0645445156 ab
57808.601516 smg 2592870.52597 1610.87156305 26.4702952833 ab
57810.601516 smg 8033275.05165 2835.10784617 27.8363370799 ab
57811.601516 smg 11613442.0043 3407.74291399 28.3096715369 ab
57812.601516 smg 1294545.50749 1137.9692967 26.0033511162 ab
57813.601516 smg 10499807.7547 3239.9307455 28.3502181792 ab
57814.601516 smg 2531491.46835 1590.93247281 26.8756514953 ab
57815.601516 smg 4018176.7899 2005.1732479 27.4430068648 ab
57816.601516 smg 6529601.57318 2555.94330515 28.0288830266 ab
57818.601516 smg 499388.644895 707.178275368 25.3500659237 ab
57819.601516 smg 984628.689937 993.016217741 26.147454159 ab
57821.601516 smg 854360.888722 924.490806401 26.119142418 ab
57822.601516 smg 944062.376471 972.739339327 26.2978652687 ab
57824.601516 smg 584034.409134 764.584294605 25.9080609742 ab
57826.601516 smg 1101832.26498 1050.26111586 26.7202614112 ab
