@c 0.404200748138
@x1 -5.06372953714
@x0 0.00449792110735
@z 0.0295385441549
@t0 57978.5513979
time band flux fluxerr zp zpsys
57972.5513979 smg 3723.87899764 66.0751105557 25.8685718152 ab
57973.5513979 smg 18174.0278264 137.362361727 27.3615056089 ab
57974.5513979 smg 5551.69182306 79.1536439844 25.9063391224 ab
57975.5513979 smg 114898.654414 340.244299051 29.0536457997 ab
57977.5513979 smg 34856.4729724 189.344092586 27.6227409995 ab
57978.5513979 smg 7216.74885046 88.3735706718 25.8768408002 ab
57979.5513979 smg 2266.64872906 54.1018207121 24.6629151278 ab
57980.5513979 smg 47274.4573217 220.142929448 27.9704545965 ab
57981.5513979 smg 22839.424119 153.828722129 27.2176783559 ab
57983.5513979 smg 9769.89495047 101.320093709 26.403574925 ab
57985.5513979 smg 2500.54319581 56.3543869294 25.1569423248 ab
57987.5513979 smg 7016.21814725 88.227212119 26.5306962961 ab
57988.5513979 smg 9446.45508504 99.7712719237 26.9580625876 ab
57989.5513979 smg 22805.1920041 154.198378245 28.088791282 ab
57990.5513979 smg 5836.7172354 81.4974308336 26.7556309534 ab
57991.5513979 smg 9427.63814088 101.123151957 27.4011656079 ab
57993.5513979 smg 1856.25812682 49.9785986506 25.9099812565 ab
57995.5513979 smg 9086.5855975 99.9703683288 28.0347958501 ab
57996.5513979 smg 3035.44204674 60.4773481798 27.0053304773 ab
57998.5513979 smg 3152.26665622 62.3778224997 27.4756170573 ab
57972.5515368 smr 2856.39722157 59.4489955215 24.9590611194 ab
57973.5515368 smr 2888.858762 58.4559823784 24.761733831 ab
57974.5515368 smr 6145.42038552 81.8795799765 25.4856609115 ab
57975.5515368 smr 5265.24367766 76.9845268911 25.2590920377 ab
57977.5515368 smr 5344.89428631 77.0018826758 25.1670899679 ab
57978.5515368 smr 5263.52099474 75.931928229 25.1183258016 ab
57979.5515368 smr 6902.74442728 87.310779139 25.4514001336 ab
57980.5515368 smr 5658.0236903 78.8432137225 25.2215234311 ab
57981.5515368 smr 8321.96599105 94.8162113652 25.6806496934 ab
57983.5515368 smr 4300.46481709 69.8014837541 25.0378095039 ab
57985.5515368 smr 6455.73805144 84.6112500411 25.6732705276 ab
57987.5515368 smr 3124.51073418 61.8111166764 25.1657124551 ab
57988.5515368 smr 3263.68752192 62.8901651609 25.3225864586 ab
