@c 0.424980576359
@x1 -1.67655728024
@x0 0.00214676733185
@z 0.0423581038397
@t0 57956.4236902
time band flux fluxerr zp zpsys
57940.4236902 kst -2.68693425576 1.2235484549 25.47 ab
57940.6736902 kst 13.1568002473 3.99533545159 25.47 ab
57940.9236902 kst 44.8729091363 5.99189981457 25.47 ab
57941.1736902 kst 57.3607741706 7.67313802563 25.47 ab
57941.4236902 kst 76.2619807088 9.19552319488 25.47 ab
57941.6736902 kst 131.620701018 10.6053639707 25.47 ab
57941.9236902 kst 146.639292521 11.9255344354 25.47 ab
57942.1736902 kst 170.483856876 13.194463844 25.47 ab
57942.4236902 kst 199.650063278 14.425522441 25.47 ab
57942.6736902 kst 243.393066011 15.622327121 25.47 ab
57942.9236902 kst 308.631192962 16.7873601408 25.47 ab
57943.1736902 kst 334.40621977 17.9271896322 25.47 ab
57943.4236902 kst 362.557898893 19.048314064 25.47 ab
57943.6736902 kst 436.528939043 20.1546714069 25.47 ab
57943.9236902 kst 506.170676874 21.2493408462 25.47 ab
57944.1736902 kst 510.502372006 22.3333412057 25.47 ab
57944.4236902 kst 556.061072304 23.4080636555 25.47 ab
57944.6736902 kst 593.570510969 24.4759723837 25.47 ab
57944.9236902 kst 632.318594017 25.5391124188 25.47 ab
57945.1736902 kst 715.86928575 26.5973934587 25.47 ab
57945.4236902 kst 749.689426356 27.6504377632 25.47 ab
57945.6736902 kst 778.034092761 28.7012327268 25.47 ab
57945.9236902 kst 911.27247007 29.7523867666 25.47 ab
57946.1736902 kst 959.194664504 30.8047274801 25.47 ab
57946.4236902 kst 1033.46980182 31.8560995064 25.47 ab
57946.6736902 kst 1053.78011337 32.9081202568 25.47 ab
57946.9236902 kst 1127.65685112 33.962451628 25.47 ab
57947.1736902 kst 1188.52587774 35.0256155518 25.47 ab
57947.4236902 kst 1277.9714769 36.1123512398 25.47 ab
57947.6736902 kst 1410.09048677 37.195215134 25.47 ab
57947.9236902 kst 1459.92670248 38.244886322 25.47 ab
57948.1736902 kst 1478.83376197 39.2390983612 25.47 ab
57948.4236902 kst 1562.55356117 40.2026166103 25.47 ab
57948.6736902 kst 1675.82940982 41.1346821631 25.47 ab
57948.9236902 kst 1704.17761486 42.023226549 25.47 ab
57949.1736902 kst 1886.48624847 42.857463784 25.47 ab
57949.4236902 kst 1820.40748607 43.6441579611 25.47 ab
57949.6736902 kst 1899.30432119 44.3899693027 25.47 ab
57949.9236902 kst 2105.00694456 45.0950963121 25.47 ab
57950.1736902 kst 2056.23679924 45.7596172498 25.47 ab
57950.4236902 kst 2147.84720429 46.3865341069 25.47 ab
57950.6736902 kst 2186.96527619 46.977807933 25.47 ab
57950.9236902 kst 2204.01075899 47.5321646173 25.47 ab
57951.1736902 kst 2272.08837557 48.0483056793 25.47 ab
57951.4236902 kst 2322.61430274 48.5254993284 25.47 ab
57951.6736902 kst 2333.60703588 48.9661567156 25.47 ab
57951.9236902 kst 2471.56020278 49.3735591949 25.47 ab
57952.1736902 kst 2386.60503695 49.7508088933 25.47 ab
57952.4236902 kst 2487.79784642 50.0982998314 25.47 ab
57952.6736902 kst 2543.80195289 50.4128877708 25.47 ab
57952.9236902 kst 2493.80906568 50.7008808551 25.47 ab
57953.1736902 kst 2638.70814069 50.9690343317 25.47 ab
57953.4236902 kst 2685.07757415 51.2229030376 25.47 ab
57953.6736902 kst 2680.3581561 51.4600647884 25.47 ab
57953.9236902 kst 2662.11963595 51.6786348334 25.47 ab
57954.1736902 kst 2704.11450709 51.8773844195 25.47 ab
57954.4236902 kst 2683.02368674 52.0552913495 25.47 ab
57954.6736902 kst 2663.13356485 52.2138431542 25.47 ab
57954.9236902 kst 2735.85681182 52.3528510056 25.47 ab
57955.1736902 kst 2829.32567869 52.4713381062 25.47 ab
57955.4236902 kst 2700.97546621 52.5682912345 25.47 ab
57955.6736902 kst 2730.99603865 52.6425199492 25.47 ab
57955.9236902 kst 2829.34676347 52.6955591968 25.47 ab
57956.1736902 kst 2795.05852571 52.7298380849 25.47 ab
57956.4236902 kst 2700.02945125 52.74775755 25.47 ab
57956.6736902 kst 2783.63905763 52.7484977902 25.47 ab
