@c -0.39059306596
@x1 -1.45297610613
@x0 0.000383679638337
@z 0.0964069833807
@t0 57805.4276826
time band flux fluxerr zp zpsys
57793.4276826 smg 230.563509478 29.8737230621 26.4314767447 ab
57794.4276826 smg 425.784208786 33.2180852822 26.8356955042 ab
57795.4276826 smg 63.21712039 25.612493605 24.4741034547 ab
57796.4276826 smg 533.596128243 35.93308809 26.723354591 ab
57798.4276826 smg 300.901079222 30.8464091039 25.6185975998 ab
57800.4276826 smg 245.868910439 29.518977154 25.160837457 ab
57802.4276826 smg 2171.8493058 53.6693345732 27.4097906642 ab
57804.4276826 smg 8685.56335482 97.2010052731 28.8727138322 ab
57806.4276826 smg 3134.64768601 61.5997196177 27.7503861242 ab
57808.4276826 smg 3076.74818741 62.2978898876 27.8439323999 ab
57809.4276826 smg 706.267471965 37.408901119 26.2896469372 ab
57810.4276826 smg 372.208003574 31.3209818147 25.5195067129 ab
57812.4276826 smg 475.103856364 33.8936431364 26.0473886431 ab
57814.4276826 smg 412.73629866 33.5856332086 26.1619516264 ab
57816.4276826 smg 521.629616491 34.9487070089 26.5298155733 ab
57817.4276826 smg 1424.79685705 46.6233748814 27.7194385779 ab
57793.4278215 smr 41.1513536984 26.5493335634 25.4710644045 ab
57794.4278215 smr 55.2086203382 26.1707068067 25.1296252109 ab
57795.4278215 smr 70.7283418896 25.9816786246 24.9024667785 ab
57796.4278215 smr 90.0672737208 27.5168197222 25.4270057101 ab
57798.4278215 smr 145.37334443 27.7387337178 25.2632358354 ab
57800.4278215 smr 195.2415327 27.3271810622 24.974659305 ab
57802.4278215 smr 137.518475456 27.6276042764 24.975014613 ab
57804.4278215 smr 179.896245801 28.006203931 25.029000105 ab
57806.4278215 smr 183.827029144 28.5519960302 25.1556361971 ab
57808.4278215 smr 223.460900065 29.4578577113 25.3854391196 ab
57809.4278215 smr 225.555425922 29.778389169 25.4724660646 ab
57810.4278215 smr 161.000145836 27.9486370445 25.0317091806 ab
57812.4278215 smr 346.808306192 31.1486755398 25.8442726564 ab
57814.4278215 smr 144.711400554 28.6240269732 25.3767769439 ab
57816.4278215 smr 73.8577902897 26.1792835056 24.6348570553 ab
57817.4278215 smr 139.573219872 28.0953905684 25.3673101439 ab
57793.4279604 smi 32.5674889836 26.4112408228 25.4769751388 ab
57794.4279604 smi 204.743123958 29.6881355772 26.598860894 ab
57795.4279604 smi 795.20228447 38.9804306946 27.9396432394 ab
57796.4279604 smi 443.629540546 35.0862815569 27.2792722068 ab
57798.4279604 smi 120.223609927 28.024687216 25.5677288066 ab
57800.4279604 smi 415.532540623 33.8685111168 26.7112822032 ab
57802.4279604 smi 1108.71383998 43.8945967489 27.7253527899 ab
57804.4279604 smi 597.209706018 36.7875702178 27.0453461698 ab
57806.4279604 smi 264.432210527 30.5786690924 26.1061420647 ab
57808.4279604 smi 436.987707207 33.7782455187 26.7155072875 ab
57809.4279604 smi 570.782545428 36.169466654 27.0615611374 ab
57810.4279604 smi 695.475349849 37.7526338003 27.2751333935 ab
57812.4279604 smi 150.784651821 28.4950834317 25.7380485831 ab
57814.4279604 smi 165.81714801 28.8539157583 25.9769094661 ab
57816.4279604 smi 289.291011449 31.4507994912 26.7437013024 ab
57817.4279604 smi 409.278217296 34.5549623408 27.3274236524 ab
