@c 0.3648285908
@x1 1.52080077379
@x0 0.00153764387268
@z 0.0497810502599
@t0 57990.1228351
time band flux fluxerr zp zpsys
57976.1228351 smg 4020.56577535 68.7208456005 27.8637425671 ab
57977.1228351 smg 1461.19680202 46.3504886077 26.4650189291 ab
57978.1228351 smg 7442.86242168 91.3105071236 28.0214206813 ab
57980.1228351 smg 2005.51583651 52.0673275052 26.245770734 ab
57982.1228351 smg 1695.19886778 49.0134006107 25.823631768 ab
57983.1228351 smg 4804.21347211 74.6517910163 26.8450554063 ab
57984.1228351 smg 7296.6762883 89.2143562819 27.2036259258 ab
57986.1228351 smg 2506.03553821 56.814105998 25.9863307685 ab
57988.1228351 smg 4397.44754811 71.937245937 26.5571265318 ab
57989.1228351 smg 2221.66228819 52.525203995 25.7277606757 ab
57991.1228351 smg 10013.5283636 103.9041191 27.4363880718 ab
57993.1228351 smg 1205.08034601 43.3223383563 25.2010736979 ab
57994.1228351 smg 3915.00628907 67.3757448878 26.4529535341 ab
57995.1228351 smg 1493.50930227 46.6457366888 25.4823313503 ab
57997.1228351 smg 11554.5190222 111.071752258 27.755439149 ab
57999.1228351 smg 7505.62823866 91.2605169122 27.3881934691 ab
58000.1228351 smg 17151.6629837 134.217469916 28.331425686 ab
58002.1228351 smg 3170.20173417 62.0878372981 26.6086450583 ab
58004.1228351 smg 4255.42514146 70.3369388974 27.0758074678 ab
58005.1228351 smg 2748.13965988 59.8706582566 26.7359052941 ab
58006.1228351 smg 1026.21461579 40.9679935241 25.6865448282 ab
58008.1228351 smg 1898.14747517 51.0005049216 26.50164148 ab
57976.122974 smr 414.351321095 32.0381394089 25.1025216832 ab
57977.122974 smr 685.185747978 36.0230741142 25.3607621593 ab
57978.122974 smr 725.33157206 37.7148129856 25.3281453878 ab
57980.122974 smr 1115.97335309 41.6928503588 25.3584035608 ab
57982.122974 smr 937.894692412 39.6402056542 24.9449614079 ab
57983.122974 smr 1427.72547955 45.3406112337 25.2823613665 ab
57984.122974 smr 983.626355337 40.2380632987 24.8308961072 ab
57986.122974 smr 2006.73386915 50.8134751201 25.4464527469 ab
57988.122974 smr 2069.82044786 52.7387075598 25.49653526 ab
57989.122974 smr 1200.58441975 43.5004106373 24.9147618718 ab
57991.122974 smr 989.253289858 41.177368735 24.7165501716 ab
57993.122974 smr 1941.7635115 50.3527268828 25.3251976984 ab
57994.122974 smr 905.684716625 38.0306820442 24.4645443656 ab
57995.122974 smr 1765.37737895 48.4616652601 25.2470138522 ab
57997.122974 smr 1783.05832173 48.9318038961 25.3376008718 ab
57999.122974 smr 1763.85820615 49.766184594 25.4795528206 ab
58000.122974 smr 843.934645713 38.0648244779 24.6886972665 ab
58002.122974 smr 974.819950269 40.0957859745 24.9757404694 ab
58004.122974 smr 1825.98599525 48.9126062847 25.7141725821 ab
58005.122974 smr 1568.82146783 47.4492956212 25.6781584901 ab
58006.122974 smr 1196.85279674 42.989358787 25.4177266927 ab
58008.122974 smr 460.840110492 32.9163481994 24.4804234122 ab
57976.1231129 smi 4010.64148545 68.9336885911 27.7177127479 ab
57977.1231129 smi 2774.83333045 58.9702489642 26.9646004912 ab
57978.1231129 smi 1274.86443494 42.9645772632 25.8005915219 ab
57980.1231129 smi 2961.63062452 60.514048874 26.4877462684 ab
57982.1231129 smi 7466.94997335 90.1496802477 27.2893882625 ab
57983.1231129 smi 6861.37105008 87.4030922912 27.1561458754 ab
57984.1231129 smi 3193.15118961 61.7874597812 26.2592333712 ab
57986.1231129 smi 6139.27112518 83.9368976052 27.0139052519 ab
57988.1231129 smi 2737.671084 59.1122899188 26.1781571831 ab
57989.1231129 smi 5199.0676994 76.5880254821 26.8593714928 ab
57991.1231129 smi 5373.81550588 78.194530808 26.9600065451 ab
57993.1231129 smi 8272.99445417 94.4909406608 27.4502448496 ab
57994.1231129 smi 2987.62597406 61.3893126892 26.4003173002 ab
57995.1231129 smi 6950.71233854 87.4955726522 27.3000357622 ab
57997.1231129 smi 3986.59722193 68.5002417733 26.7706926226 ab
57999.1231129 smi 4608.47125466 72.8758178965 27.0373799073 ab
58000.1231129 smi 1783.15625597 49.9501489774 26.0959245926 ab
58002.1231129 smi 6138.38735093 83.1242578337 27.558501857 ab
58004.1231129 smi 5621.0044265 78.9623056625 27.5808759043 ab
58005.1231129 smi 3741.11341527 67.7412284132 27.2571930007 ab
58006.1231129 smi 1285.88670562 44.2854066112 26.1030461454 ab
58008.1231129 smi 2354.0157676 54.8550501151 26.7465858317 ab
