@c 0.372273200282
@x1 3.03877254376
@x0 0.114979905924
@z 0.00594522292757
@t0 57887.443679
time band flux fluxerr zp zpsys
57870.443679 kst 11625.5742693 107.828784036 25.47 ab
57870.693679 kst 13487.510717 116.562126665 25.47 ab
57870.943679 kst 15708.6216086 125.263734142 25.47 ab
57871.193679 kst 18012.3594303 133.913115487 25.47 ab
57871.443679 kst 20328.8415559 142.507305851 25.47 ab
57871.693679 kst 22810.9315723 151.126489588 25.47 ab
57871.943679 kst 25359.4930272 159.700637878 25.47 ab
57872.193679 kst 28459.0317545 168.140914293 25.47 ab
57872.443679 kst 30817.222396 176.387760253 25.47 ab
57872.693679 kst 34075.0647226 184.52838926 25.47 ab
57872.943679 kst 37169.1568516 192.563757109 25.47 ab
57873.193679 kst 40028.0749801 200.461182641 25.47 ab
57873.443679 kst 43361.8400011 208.205999581 25.47 ab
57873.693679 kst 46365.0498371 215.911074337 25.47 ab
57873.943679 kst 49723.9822485 223.503537915 25.47 ab
57874.193679 kst 52951.5300295 230.865201647 25.47 ab
57874.443679 kst 56872.88904 237.908529416 25.47 ab
57874.693679 kst 59871.7272684 244.776828032 25.47 ab
57874.943679 kst 63064.6192809 251.437362259 25.47 ab
57875.193679 kst 66427.046366 257.783647133 25.47 ab
57875.443679 kst 70018.8837458 263.724091606 25.47 ab
57875.693679 kst 72973.425627 269.302297714 25.47 ab
57875.943679 kst 75407.8806756 274.58918751 25.47 ab
57876.193679 kst 78343.3996745 279.628303023 25.47 ab
57876.443679 kst 80757.9178486 284.45737952 25.47 ab
57876.693679 kst 84190.367357 289.07066144 25.47 ab
57876.943679 kst 86255.4257491 293.479527529 25.47 ab
57877.193679 kst 88310.5262581 297.708505246 25.47 ab
57877.443679 kst 91331.8020377 301.779551452 25.47 ab
57877.693679 kst 93453.5158134 305.691760825 25.47 ab
57877.943679 kst 95570.7812766 309.449850302 25.47 ab
57878.193679 kst 97745.0006722 313.065605471 25.47 ab
57878.443679 kst 100129.542139 316.550696492 25.47 ab
57878.693679 kst 102456.977962 319.925171113 25.47 ab
57878.943679 kst 104515.307106 323.176446527 25.47 ab
57879.193679 kst 106698.476973 326.280668481 25.47 ab
57879.443679 kst 108229.344388 329.215851272 25.47 ab
57879.693679 kst 110333.294562 332.0023058 25.47 ab
57879.943679 kst 112204.590708 334.644095678 25.47 ab
57880.193679 kst 113514.593084 337.12551245 25.47 ab
57880.443679 kst 114573.58049 339.431664778 25.47 ab
57880.693679 kst 116844.838055 341.575100195 25.47 ab
57880.943679 kst 118351.526962 343.560849718 25.47 ab
57881.193679 kst 119304.941854 345.380398302 25.47 ab
57881.443679 kst 121001.510923 347.025536597 25.47 ab
57881.693679 kst 121142.634021 348.508525398 25.47 ab
57881.943679 kst 122566.264222 349.829675741 25.47 ab
57882.193679 kst 122491.095444 350.975808816 25.47 ab
57882.443679 kst 123915.112341 351.93340892 25.47 ab
57882.693679 kst 124203.181715 352.679183121 25.47 ab
57882.943679 kst 124419.794143 353.236605488 25.47 ab
57883.193679 kst 124399.849896 353.650497356 25.47 ab
57883.443679 kst 125284.628765 353.96442583 25.47 ab
57883.693679 kst 125240.299934 354.125281334 25.47 ab
57883.943679 kst 125240.099553 354.145274583 25.47 ab
57884.193679 kst 125296.135311 354.118134299 25.47 ab
57884.443679 kst 124717.521356 354.137217312 25.47 ab
57884.693679 kst 125278.538377 354.204774531 25.47 ab
57884.943679 kst 125942.746679 354.279684264 25.47 ab
57885.193679 kst 125139.377502 354.363905717 25.47 ab
57885.443679 kst 125818.02079 354.459392518 25.47 ab
57885.693679 kst 125167.158059 354.566265791 25.47 ab
