@c 0.149805214778
@x1 4.74878163788
@x0 0.0018913943446
@z 0.0450393719662
@t0 58098.1259443
time band flux fluxerr zp zpsys
58090.1259443 smg 10599.3158857 219.031701264 27.3026970967 ab
58092.1259443 smg 4536.58923303 225.408152148 26.3804002029 ab
58094.1259443 smg 6337.93546484 1194.15946358 26.8805978568 ab
58096.1259443 smg 7943.74117684 677.537643418 27.0796372573 ab
58097.1259443 smg 11420.995333 316.551139188 27.4436960251 ab
58098.1259443 smg 2624.79145803 5081.57980231 25.77879176 ab
58099.1259443 smg 4407.51735645 660.482509747 26.2536271916 ab
58100.1259443 smg 6959.85439064 151.06711684 26.9214224016 ab
58102.1259443 smg 3498.20916923 1438.67082678 26.2853431642 ab
58103.1259443 smg 8155.79441871 2187.8560127 27.014320704 ab
58104.1259443 smg 7376.77225841 183.002332443 26.9952081153 ab
58105.1259443 smg 14270.5094566 2459.0848579 27.7497895067 ab
58107.1259443 smg 5696.90455228 1758.39341211 26.6262177293 ab
58108.1259443 smg 7328.24825821 1532.41571673 26.8164763948 ab
58109.1259443 smg 2050.95980171 878.629228048 25.8146574914 ab
58111.1259443 smg 15325.7221311 306.823533268 27.9783713017 ab
58112.1259443 smg 785.549981783 552.45359627 24.6417558792 ab
58113.1259443 smg 2615.76562788 2754.32157747 26.4229524123 ab
58115.1259443 smg 6322.17289184 392.462301263 27.3226975719 ab
58116.1259443 smg 5638.62559641 116.320272746 27.2261673777 ab
58118.1259443 smg 1224.72228433 2493.02658488 26.8391352033 ab
58119.1259443 smg 3772.71103775 1735.68673642 26.5015256239 ab
58120.1259443 smg 676.739979353 1746.98470398 23.8535875432 ab
58122.1259443 smg -2366.29703078 1639.56238369 26.4484903503 ab
58124.1259443 smg 3834.90866261 1804.71467927 26.7343013452 ab
58126.1259443 smg 448.869804382 1341.15095847 26.8171613638 ab
58128.1259443 smg -2551.8294611 4572.84565894 27.1385940796 ab
58130.1259443 smg 1037.6597824 1397.90176847 26.0313718088 ab
58131.1259443 smg -205.917977262 2398.34699258 25.7067810764 ab
