@c 0.0841446068744
@x1 -5.43524044037
@x0 0.00250523349569
@z 0.0392981382967
@t0 57829.0280106
time band flux fluxerr zp zpsys
57824.0280106 smg -3791.43399809 7172.7974207 27.3703431998 ab
57825.0280106 smg 8815.22937428 4979.23073101 27.1847902935 ab
57827.0280106 smg 3372.78164103 3314.32614987 26.3226832279 ab
57829.0280106 smg 17662.2945232 1607.89338533 27.5777155265 ab
57830.0280106 smg 8056.78736516 272.122443832 26.7190313077 ab
57831.0280106 smg 6738.06188174 228.384106196 26.6114430783 ab
57833.0280106 smg 27340.4328048 995.315250574 28.2036729361 ab
57834.0280106 smg 4068.43211393 1284.67267921 25.9566482418 ab
57836.0280106 smg 2178.28089042 2556.58541857 25.3966499553 ab
57837.0280106 smg 4223.83904683 773.309440783 26.6100433122 ab
57838.0280106 smg 5390.73932341 1491.50891813 27.2698523683 ab
57839.0280106 smg 4564.14497052 132.692624593 27.0122547067 ab
57840.0280106 smg 7517.75537923 2562.2608833 27.5256035059 ab
57841.0280106 smg 563.07006001 780.785922894 26.4304907681 ab
57843.0280106 smg 6589.17944228 397.782341343 28.2395975419 ab
57845.0280106 smg 1319.41364189 454.091201456 26.7678557295 ab
57846.0280106 smg 2569.38265726 71.55474891 27.8280156127 ab
57848.0280106 smg 369.278975407 66.8828972094 26.4128699794 ab
57849.0280106 smg 896.763430462 2089.61860254 27.5028770416 ab
57850.0280106 smg 127.552325585 273.893865937 26.2676677666 ab
57852.0280106 smg 2664.76793924 4579.43117251 26.3473103816 ab
57854.0280106 smg 1017.35234212 1543.32201002 27.9910245683 ab
57856.0280106 smg -2.82242180769 43.1583583541 27.1930403259 ab
57857.0280106 smg -1983.00582226 2879.5515589 27.962122986 ab
57858.0280106 smg -3773.4245045 2415.60645282 26.6513098459 ab
57824.0281495 smr 4906.43936268 7172.27988305 25.3275968707 ab
57825.0281495 smr 6612.64517252 4978.55853507 25.5897812093 ab
57827.0281495 smr 1974.56485927 3313.9106152 25.4006667357 ab
57829.0281495 smr 615.024849549 1603.17369776 25.144200994 ab
57830.0281495 smr 2735.57151287 263.441796108 25.6337106801 ab
57831.0281495 smr 1017.93951933 215.936286969 24.6661102777 ab
57833.0281495 smr 2519.65730614 982.959455297 25.1693214349 ab
57834.0281495 smr -459.836432639 1284.11812445 25.0886571671 ab
57836.0281495 smr -2673.57951889 2556.63700794 25.3327761195 ab
57837.0281495 smr 3123.43943426 771.772938529 25.4032247472 ab
57838.0281495 smr 2421.31932824 1489.80372027 25.3174853889 ab
57839.0281495 smr 1221.46170252 119.435739597 25.141625054 ab
57840.0281495 smr -955.267270853 2561.19837492 24.6334071441 ab
57841.0281495 smr 215.701614629 780.006738105 24.7983133478 ab
57843.0281495 smr 887.077061117 389.223355313 24.6371979932 ab
57845.0281495 smr 877.905065726 453.894435756 25.3033043261 ab
57846.0281495 smr 1147.63274196 58.8298704468 25.2648027158 ab
57848.0281495 smr 911.666541834 70.6028680309 25.2046500282 ab
57849.0281495 smr -2152.59876174 2089.65711229 25.3870856587 ab
