@c -0.057781755471
@x1 0.624461739654
@x0 0.00110333369882
@z 0.0584035770055
@t0 57821.8917655
time band flux fluxerr zp zpsys
57805.8917655 kst 92.8195233794 8.87064406697 25.47 ab
57806.1417655 kst 97.6955517787 9.50489087134 25.47 ab
57806.3917655 kst 98.8739334499 10.145037321 25.47 ab
57806.6417655 kst 116.177985012 10.7859033664 25.47 ab
57806.8917655 kst 114.06703341 11.4209731927 25.47 ab
57807.1417655 kst 122.492695501 12.0459260521 25.47 ab
57807.3917655 kst 163.501295157 12.6704058901 25.47 ab
57807.6417655 kst 184.641369413 13.2910144493 25.47 ab
57807.8917655 kst 206.762926483 13.8994380231 25.47 ab
57808.1417655 kst 221.377421171 14.4887535972 25.47 ab
57808.3917655 kst 206.82243996 15.0649917451 25.47 ab
57808.6417655 kst 232.953777 15.6321523646 25.47 ab
57808.8917655 kst 264.965971034 16.1842309334 25.47 ab
57809.1417655 kst 288.81364152 16.7159840464 25.47 ab
57809.3917655 kst 284.965095284 17.225711518 25.47 ab
57809.6417655 kst 315.609292486 17.7191015802 25.47 ab
57809.8917655 kst 298.84455812 18.199105665 25.47 ab
57810.1417655 kst 366.848427549 18.6682230674 25.47 ab
57810.3917655 kst 356.145439341 19.1280617099 25.47 ab
57810.6417655 kst 383.844562065 19.5778097516 25.47 ab
57810.8917655 kst 402.575169608 20.0190287454 25.47 ab
57811.1417655 kst 438.746620093 20.4534618675 25.47 ab
57811.3917655 kst 443.718705455 20.8825461549 25.47 ab
57811.6417655 kst 418.077474411 21.305695896 25.47 ab
57811.8917655 kst 472.421583525 21.7234065117 25.47 ab
57812.1417655 kst 546.452268917 22.1366644092 25.47 ab
57812.3917655 kst 506.858918062 22.5464329121 25.47 ab
57812.6417655 kst 553.892401499 22.9576301431 25.47 ab
57812.8917655 kst 565.114536534 23.3675130774 25.47 ab
57813.1417655 kst 561.914329992 23.7686321907 25.47 ab
57813.3917655 kst 586.41464932 24.1540263807 25.47 ab
57813.6417655 kst 595.372565539 24.5235221333 25.47 ab
57813.8917655 kst 603.571540501 24.8827457552 25.47 ab
57814.1417655 kst 611.177568025 25.2283803261 25.47 ab
57814.3917655 kst 715.647574297 25.5571396493 25.47 ab
57814.6417655 kst 634.954458583 25.8673142824 25.47 ab
57814.8917655 kst 676.764426075 26.1622868235 25.47 ab
57815.1417655 kst 666.683682641 26.4421693742 25.47 ab
57815.3917655 kst 719.046547651 26.7066483312 25.47 ab
57815.6417655 kst 728.619171687 26.9556114813 25.47 ab
57815.8917655 kst 731.819483404 27.1905505282 25.47 ab
57816.1417655 kst 721.481067068 27.4111924449 25.47 ab
57816.3917655 kst 800.904067544 27.6167640227 25.47 ab
57816.6417655 kst 812.316074023 27.8064861702 25.47 ab
57816.8917655 kst 811.648992606 27.9799334093 25.47 ab
57817.1417655 kst 808.883374526 28.138438005 25.47 ab
57817.3917655 kst 794.456982247 28.2836908727 25.47 ab
57817.6417655 kst 880.538735674 28.4173281393 25.47 ab
57817.8917655 kst 797.541180122 28.5381395304 25.47 ab
57818.1417655 kst 838.996091277 28.6454710972 25.47 ab
57818.3917655 kst 853.749679703 28.7430303492 25.47 ab
57818.6417655 kst 815.847233442 28.8344768669 25.47 ab
57818.8917655 kst 837.57382925 28.9221253563 25.47 ab
57819.1417655 kst 825.024950788 29.0038837558 25.47 ab
57819.3917655 kst 838.873128804 29.0791423361 25.47 ab
57819.6417655 kst 889.778700561 29.1474675467 25.47 ab
57819.8917655 kst 823.578313907 29.2085617909 25.47 ab
57820.1417655 kst 897.924026996 29.2629558268 25.47 ab
57820.3917655 kst 894.165570354 29.3104668141 25.47 ab
57820.6417655 kst 855.556213289 29.3507357084 25.47 ab
57820.8917655 kst 863.866952675 29.383393311 25.47 ab
57821.1417655 kst 918.407893911 29.408159357 25.47 ab
57821.3917655 kst 856.331799703 29.4255071087 25.47 ab
57821.6417655 kst 874.983218653 29.4360771498 25.47 ab
57821.8917655 kst 872.112715109 29.4405041541 25.47 ab
57822.1417655 kst 864.558175542 29.4385257077 25.47 ab
57822.3917655 kst 822.638465001 29.4298841557 25.47 ab
57822.6417655 kst 865.062783229 29.4152148962 25.47 ab
57822.8917655 kst 828.990695116 29.3951506131 25.47 ab
57823.1417655 kst 863.451967832 29.3699132077 25.47 ab
57823.3917655 kst 830.647364997 29.3389961633 25.47 ab
57823.6417655 kst 876.007174752 29.3026270547 25.47 ab
57823.8917655 kst 891.224286985 29.261066317 25.47 ab
57824.1417655 kst 851.021613992 29.2144564408 25.47 ab
57824.3917655 kst 821.862150676 29.1624475097 25.47 ab
57824.6417655 kst 833.800601453 29.1052245258 25.47 ab
57824.8917655 kst 839.441666965 29.0430620709 25.47 ab
57825.1417655 kst 897.9136285 28.97624486 25.47 ab
57825.3917655 kst 853.042721695 28.9049770693 25.47 ab
57825.6417655 kst 820.708222683 28.8288192791 25.47 ab
57825.8917655 kst 819.772937898 28.7471985499 25.47 ab
57826.1417655 kst 842.008603064 28.6595335408 25.47 ab
57826.3917655 kst 821.240995811 28.5656446775 25.47 ab
57826.6417655 kst 782.984984159 28.4657800791 25.47 ab
57826.8917655 kst 692.396919314 28.3600820583 25.47 ab
57827.1417655 kst 769.480398592 28.2486913845 25.47 ab
57827.3917655 kst 751.167691968 28.1314769202 25.47 ab
57827.6417655 kst 834.63367245 28.0081688488 25.47 ab
57827.8917655 kst 811.930994922 27.8790590701 25.47 ab
57828.1417655 kst 818.152986304 27.7444531834 25.47 ab
57828.3917655 kst 753.830466937 27.6044900156 25.47 ab
57828.6417655 kst 691.349347976 27.4587209718 25.47 ab
57828.8917655 kst 741.226097418 27.3072464115 25.47 ab
57829.1417655 kst 750.586198921 27.1502394919 25.47 ab
57829.3917655 kst 739.594243582 26.987587382 25.47 ab
57829.6417655 kst 744.934180045 26.8171456034 25.47 ab
57829.8917655 kst 746.658777811 26.6407556504 25.47 ab
57830.1417655 kst 703.27912844 26.4613786204 25.47 ab
57830.3917655 kst 707.355289123 26.2819949643 25.47 ab
57830.6417655 kst 697.618216467 26.1011613924 25.47 ab
57830.8917655 kst 662.94289356 25.918155628 25.47 ab
57831.1417655 kst 692.391492958 25.7347305779 25.47 ab
57831.3917655 kst 646.676082043 25.5526892817 25.47 ab
57831.6417655 kst 628.338208165 25.3727604521 25.47 ab
57831.8917655 kst 582.335167059 25.1938806502 25.47 ab
57832.1417655 kst 581.452883129 25.0157644665 25.47 ab
57832.3917655 kst 608.9044856 24.8381294345 25.47 ab
57832.6417655 kst 580.082066197 24.6608616033 25.47 ab
57832.8917655 kst 589.415426893 24.4842684603 25.47 ab
57833.1417655 kst 575.378387305 24.3081452412 25.47 ab
57833.3917655 kst 595.412260551 24.1322356445 25.47 ab
57833.6417655 kst 558.617038206 23.9563050251 25.47 ab
57833.8917655 kst 568.763684903 23.7804390558 25.47 ab
57834.1417655 kst 526.97768968 23.60475366 25.47 ab
57834.3917655 kst 557.095131609 23.4293351887 25.47 ab
57834.6417655 kst 539.572474746 23.2542187746 25.47 ab
57834.8917655 kst 517.684385784 23.0781048599 25.47 ab
57835.1417655 kst 518.060764762 22.9018595274 25.47 ab
57835.3917655 kst 512.786272451 22.7275034543 25.47 ab
57835.6417655 kst 497.503102903 22.5571194767 25.47 ab
57835.8917655 kst 514.583569349 22.3909393793 25.47 ab
57836.1417655 kst 520.92975407 22.2279085552 25.47 ab
57836.3917655 kst 514.062618866 22.0686223266 25.47 ab
57836.6417655 kst 459.639191089 21.9136941182 25.47 ab
57836.8917655 kst 434.700837455 21.7634250252 25.47 ab
57837.1417655 kst 474.040092917 21.6174666594 25.47 ab
57837.3917655 kst 445.240674148 21.4761635465 25.47 ab
57837.6417655 kst 467.123838595 21.3399094052 25.47 ab
57837.8917655 kst 443.632187409 21.2089843862 25.47 ab
57838.1417655 kst 468.318576859 21.0830914816 25.47 ab
57838.3917655 kst 429.348624188 20.9625978475 25.47 ab
57838.6417655 kst 456.859750552 20.8480059115 25.47 ab
57838.8917655 kst 451.262401198 20.739930298 25.47 ab
57839.1417655 kst 438.491119676 20.640178107 25.47 ab
