SN1: c:-0.146109830377 t0:57836.4403675 x0:0.000881947475821 x1:0.0422749593096 z:0.0903838311851 
SN2: c:-0.205159495688 t0:58006.4297403 x0:0.0597922255411 x1:-2.34998414894 z:0.0110153868761 
SN3: c:-1.15949353943 t0:58046.1570898 x0:0.0849889283289 x1:0.287765453904 z:0.0886204589785 
SN4: c:0.310087806472 t0:57794.8324909 x0:0.0016424428133 x1:0.124109812793 z:0.0496714844107 
SN5: c:0.34605749561 t0:57805.6342444 x0:0.00207664974833 x1:2.57113920839 z:0.0476381706878 
SN6: c:-0.061895295465 t0:58102.9276304 x0:0.2617127408 x1:1.04403877601 z:0.00466386005212 
SN7: c:-1.6598520336 t0:58022.6795178 x0:-0.00714180060377 x1:0.53752312358 z:0.145028164152 
SN8: c:-0.101694132831 t0:57852.481645 x0:0.0209842019626 x1:1.91963343724 z:0.021224602333 
SN9: c:0.0707157109468 t0:58088.0843622 x0:0.0440580693454 x1:-1.75785794092 z:0.0129017100674 
SN10: c:0.0770007363852 t0:57833.1421073 x0:0.00078767730852 x1:0.193206650171 z:0.0757353208048 
SN11: c:-0.191900318242 t0:57762.7977596 x0:0.000525693888404 x1:-3.09894661442 z:0.096138525206 
SN12: c:-1.07078573845 t0:57999.4227138 x0:0.756022590241 x1:-1.03037843055 z:0.148577494463 
SN13: c:0.25848860913 t0:57773.6675131 x0:0.000209115108363 x1:-0.249620535482 z:0.14029391977 
SN14: c:0.257141330696 t0:57768.4473316 x0:0.000268737383532 x1:-1.63512251403 z:0.135002858026 
SN15: c:-1.88450130649 t0:57889.936587 x0:0.0355446128501 x1:0.901572640719 z:0.107606322388 
SN16: c:0.77499556174 t0:57892.8552112 x0:0.00483032281051 x1:-4.20092243065 z:0.0310433886307 
SN17: c:0.113128310898 t0:57928.7326438 x0:0.00113317206591 x1:-0.456248537126 z:0.0577718221806 
SN18: c:-0.363233822225 t0:57866.7357381 x0:0.00164261111146 x1:-1.02701481189 z:0.0559260391969 
SN19: c:-0.282239519605 t0:57980.1986424 x0:0.00193813433679 x1:-7.95480121065 z:0.05449494151 
SN20: c:0.0559738019338 t0:58066.6555173 x0:0.000656840756072 x1:-4.3291277339 z:0.0751895502499 
SN21: c:-0.700204460492 t0:57822.2664767 x0:0.00403358922541 x1:-0.154198547866 z:0.040898706076 
