@c 0.135711674546
@x1 1.47020446118
@x0 0.000161166117474
@z 0.14396138514
@t0 57831.9238751
time band flux fluxerr zp zpsys
57819.9238751 smg 25.3512001267 2050.24281909 26.4712036229 ab
57820.9238751 smg 570.62064563 1298.22893245 26.8617396959 ab
57822.9238751 smg 244.711042727 944.887152866 26.6138367278 ab
57823.9238751 smg -916.01783105 1392.77499829 26.7023384386 ab
57824.9238751 smg 775.540878639 928.958239026 27.0004564198 ab
57826.9238751 smg 432.108867106 554.609641755 27.0894266248 ab
57828.9238751 smg -1124.45250384 895.16489895 27.7116249144 ab
57829.9238751 smg -68.9126592306 723.470779706 25.8262083679 ab
57830.9238751 smg 3606.32666043 1870.49386462 26.6095662673 ab
57832.9238751 smg 610.650986573 939.729130681 27.4805193128 ab
57834.9238751 smg 1318.23944593 1457.00019874 26.9318026112 ab
57835.9238751 smg 5831.52170128 2285.16709673 28.1849744286 ab
57836.9238751 smg 379.894984989 1439.65066011 27.0081884071 ab
57837.9238751 smg 1418.83472841 1308.41756578 26.9593831367 ab
57839.9238751 smg -480.546171602 3402.59681618 26.7462643023 ab
57840.9238751 smg 4035.58135089 3998.30606158 26.2026226754 ab
57841.9238751 smg 603.425253948 399.73765262 25.3123677522 ab
57842.9238751 smg 2034.42806002 2256.48632283 27.4256196991 ab
57843.9238751 smg 1727.09295446 1067.3551459 26.6073954824 ab
57845.9238751 smg -2114.59975391 2250.82091751 26.9913167452 ab
57847.9238751 smg -729.835061117 2704.00631649 26.7943125364 ab
57849.9238751 smg 174.633893444 220.972504245 26.3213296725 ab
57851.9238751 smg 11603.9604819 6868.67624874 27.3716350144 ab
57853.9238751 smg 3999.72624229 1887.58631968 27.2108596795 ab
57855.9238751 smg -963.899266813 4411.46642427 27.4625752701 ab
57857.9238751 smg -3082.35057903 6721.28203577 26.7046105591 ab
57859.9238751 smg 588.013600404 747.399304725 26.8560928431 ab
57819.924014 smr 1075.58955929 2050.20199062 24.8452804011 ab
57820.924014 smr 3344.80510647 1298.11409845 24.8873498828 ab
57822.924014 smr 341.443194737 944.735523492 24.819694809 ab
57823.924014 smr 417.842482414 1392.67468474 25.4890663714 ab
57824.924014 smr 104.052975636 928.688052561 24.9487555169 ab
57826.924014 smr -949.6429513 554.062927511 24.9144495495 ab
57828.924014 smr 1187.17731387 894.49829087 24.9415696677 ab
57829.924014 smr 969.004037358 723.368017748 24.6110984768 ab
57830.924014 smr -1217.26099489 1870.39648098 24.9218051875 ab
57832.924014 smr -1681.17281971 939.234798664 24.8862935272 ab
57834.924014 smr 1490.28714 1456.8378432 25.0710785516 ab
57835.924014 smr 1944.02330985 2284.79956669 25.4208534467 ab
57836.924014 smr 85.6015088116 1439.51425806 25.6697973591 ab
57837.924014 smr -88.7095072121 1308.25812339 25.2567613245 ab
57839.924014 smr 2558.18068517 3402.56167296 25.5930918274 ab
57840.924014 smr -5455.35031592 3998.30086328 25.7290201283 ab
57841.924014 smr 249.27191545 399.708635578 24.7474500256 ab
57842.924014 smr -981.187576454 2256.36992334 25.5396854065 ab
57843.924014 smr -1634.04564934 1067.29067485 25.6306038014 ab
57845.924014 smr 353.98048187 2250.75708893 25.0757346874 ab
57847.924014 smr 814.693506046 2703.98237643 25.6656855669 ab
57849.924014 smr 427.854399199 220.833560762 25.2532467762 ab
57851.924014 smr 61.138986214 6868.65614587 24.890978959 ab
57853.924014 smr -128.242905422 1887.5376142 25.0251247548 ab
57855.924014 smr 837.996413722 4411.44639846 25.4379918403 ab
57857.924014 smr 6970.8859762 6721.27997766 25.481257229 ab
57859.924014 smr -839.28766127 747.349213565 24.6092916293 ab
57819.9241528 smi -190.759813478 2050.20364222 25.0231038763 ab
57820.9241528 smi 836.926097073 1298.25769229 27.0917808182 ab
57822.9241528 smi 1127.92467014 944.939832213 26.939628595 ab
57823.9241528 smi 399.820637491 1392.92266516 27.5158585839 ab
57824.9241528 smi -363.493706227 928.73219414 25.7680993404 ab
57826.9241528 smi 1339.46551921 554.416359835 26.8308337565 ab
57828.9241528 smi 242.878255314 894.535789265 25.7148961998 ab
57829.9241528 smi -158.201151055 723.436259539 25.7377668475 ab
57830.9241528 smi 2259.28893984 1870.41082392 25.6275167617 ab
57832.9241528 smi 147.988052892 939.418464721 26.7044430149 ab
57834.9241528 smi 568.654441743 1457.00710161 27.0400280036 ab
57835.9241528 smi 337.819307518 2284.7935213 25.4742677592 ab
57836.9241528 smi 2241.06417869 1439.59827157 26.7244842925 ab
57837.9241528 smi 44.0344646936 1308.40341367 26.8961672054 ab
57839.9241528 smi 6847.08478431 3402.64726322 27.3895838166 ab
57840.9241528 smi -5879.25933387 3998.29716204 25.8399575247 ab
57841.9241528 smi 699.245897468 400.056901059 26.678754126 ab
57842.9241528 smi 3255.83328287 2256.41330997 26.7324070534 ab
57843.9241528 smi 1029.63238685 1067.2550023 25.307493753 ab
57845.9241528 smi 2142.68637998 2250.76375379 25.7529341795 ab
57847.9241528 smi -1693.00615705 2704.00643233 26.7486934867 ab
57849.9241528 smi -33.5766338232 221.190482757 26.7003354897 ab
57851.9241528 smi 6192.85618023 6868.66488023 26.3337161257 ab
57853.9241528 smi -1894.09249171 1887.62521683 27.1753795704 ab
57855.9241528 smi 3716.23152275 4411.45162538 26.00247355 ab
57857.9241528 smi -9436.1938468 6721.28027723 25.5668135807 ab
57859.9241528 smi -1300.57420223 747.37804166 25.4242378713 ab
