@c -0.0831248336656
@x1 -2.84640193602
@x0 0.25053648672
@z 0.00403333270552
@t0 57754.1932459
time band flux fluxerr zp zpsys
57749.1932459 smg 627333.864539 5145.29707172 26.9371246845 ab
57751.1932459 smg 1479771.38016 1272.32336407 27.6556549197 ab
57752.1932459 smg 781150.130464 4874.47828544 26.9011681198 ab
57753.1932459 smg 741307.796035 1298.74642575 26.7995457623 ab
57755.1932459 smg 1268140.95413 3289.77613215 27.3748058869 ab
57756.1932459 smg 716531.640646 1412.59630408 26.7760052729 ab
57757.1932459 smg 142625.519679 6230.56226254 25.1104803661 ab
57759.1932459 smg 1313251.63943 1236.18872952 27.5767312089 ab
57761.1932459 smg 369624.409861 696.912995483 26.3590795832 ab
57763.1932459 smg 545227.962605 1290.00370734 26.9804842746 ab
57764.1932459 smg 500195.052523 2026.34411244 26.9955119769 ab
57766.1932459 smg 1285127.65872 2436.48593839 28.2244448048 ab
57767.1932459 smg 520466.483718 2797.1365281 27.3527008163 ab
57769.1932459 smg 316789.182313 3388.1666653 27.0447327491 ab
57770.1932459 smg 151503.243808 2441.58155107 26.3656165262 ab
57771.1932459 smg 68438.289533 405.518104077 25.6048119145 ab
57772.1932459 smg 183531.059889 1304.76474529 26.8102804489 ab
57774.1932459 smg 172163.499681 8649.19933503 26.9155622286 ab
57775.1932459 smg 160628.345179 5164.85316135 26.959694385 ab
57776.1932459 smg 112256.885394 1417.45023834 26.6461750023 ab
57778.1932459 smg 219075.819616 607.928109541 27.5671392414 ab
57779.1932459 smg 100835.982413 2274.82948754 26.8915699664 ab
57780.1932459 smg 54888.5880355 1273.57806636 26.3762089391 ab
57781.1932459 smg 25541.6460706 246.2527561 25.6389205012 ab
57783.1932459 smg 65407.4561808 3601.69732675 26.851637112 ab
57784.1932459 smg 166902.887608 1271.73496335 27.9188603512 ab
57785.1932459 smg 132078.853541 382.544595831 27.7067615697 ab
57787.1932459 smg 63004.7695497 610.061473915 26.9553015592 ab
57788.1932459 smg 11356.9071984 639.044044769 25.1887007552 ab
57790.1932459 smg 52770.8552992 487.875269085 26.820786185 ab
57792.1932459 smg 207568.966895 813.677794059 28.2988347928 ab
57793.1932459 smg 106884.529872 2549.67513034 27.4985116239 ab
57795.1932459 smg 58865.2664365 266.182794749 26.9491271548 ab
57749.1933848 smr 187089.581046 5103.10803832 25.6826444746 ab
57751.1933848 smr 79542.8915027 469.995237697 24.6186741964 ab
57752.1933848 smr 113688.184456 4804.33633814 24.886389319 ab
57753.1933848 smr 95238.4780739 1019.71230823 24.7342246548 ab
57755.1933848 smr 120604.889738 3109.81520518 24.9378561568 ab
57756.1933848 smr 117524.515905 1180.79964365 24.9352696732 ab
57757.1933848 smr 165021.933503 6231.95510218 25.35606269 ab
57759.1933848 smr 89686.5794324 553.23388342 24.7677420803 ab
57761.1933848 smr 233254.270963 590.607821147 25.9698629263 ab
57763.1933848 smr 41284.763484 1077.41529312 24.3293011149 ab
57764.1933848 smr 94027.8991892 1922.31857371 25.265995722 ab
57766.1933848 smr 127671.04907 2186.14245087 25.7210922199 ab
57767.1933848 smr 55096.251803 2712.16067061 24.7957354526 ab
57769.1933848 smr 60251.8524857 3349.82003618 24.9792399647 ab
57770.1933848 smr 49158.8984091 2419.53803886 24.7001661482 ab
57771.1933848 smr 92866.8396983 434.763661878 25.486154454 ab
57772.1933848 smr 83811.1990304 1265.07356955 25.3993226434 ab
57774.1933848 smr 39997.1130715 8641.52872366 24.5256233906 ab
57775.1933848 smr 26482.7407906 5152.55466439 24.557370394 ab
57776.1933848 smr 62735.0200531 1399.76080486 25.2143425682 ab
57778.1933848 smr 50156.7990506 447.590124495 25.098527542 ab
57779.1933848 smr 59699.5050137 2264.54106312 25.3604800307 ab
57780.1933848 smr 41353.491928 1266.50786227 25.0650703735 ab
57781.1933848 smr 54364.58983 298.609274306 25.5468511708 ab
57783.1933848 smr 43812.3038549 3597.69606392 25.41973413 ab
57784.1933848 smr 18548.4447561 1212.75192961 24.9039327985 ab
57785.1933848 smr 34728.7674792 222.132616561 25.6580642632 ab
57787.1933848 smr 16604.2150338 570.637556514 25.1436616571 ab
57788.1933848 smr 11017.5603332 638.130391906 24.8332537263 ab
57790.1933848 smr 6684.77404999 437.413277542 24.4627520731 ab
57792.1933848 smr 11388.1554495 682.444212253 25.0277097589 ab
57793.1933848 smr 13426.4675472 2532.56676087 25.0857168628 ab
57795.1933848 smr 9645.63373581 145.668153851 24.726778247 ab
57749.1935237 smi 154006.053465 5100.03951247 25.8709272922 ab
57751.1935237 smi 239261.318089 616.291296659 26.3038864735 ab
57752.1935237 smi 487911.120329 4844.41064062 27.0937601113 ab
57753.1935237 smi 293197.299211 1113.38147692 26.5449190898 ab
