@c 0.21714618535
@x1 -2.33138079742
@x0 0.000972773447628
@z 0.0620375342813
@t0 58107.1833488
time band flux fluxerr zp zpsys
58101.1833488 smg 1814.66230156 1366.82319683 26.1173850087 ab
58102.1833488 smg 3520.60543872 763.97269777 27.0015460222 ab
58104.1833488 smg 1683.08080541 1482.8536022 26.6123140374 ab
58105.1833488 smg 5232.54779359 2081.63278311 26.2177501952 ab
58107.1833488 smg 1381.46791545 3410.38592051 26.0736893355 ab
58108.1833488 smg 10002.9752022 292.276658779 27.9724921357 ab
58110.1833488 smg 3080.08744001 126.771030056 26.7471779844 ab
58111.1833488 smg 5165.1118285 77.8257619933 27.3635658419 ab
58112.1833488 smg 665.701227949 188.003977573 25.4145588655 ab
58113.1833488 smg 6401.19971729 3148.88008346 27.5212655169 ab
58114.1833488 smg -314.095799162 1834.55206547 25.4543422171 ab
58116.1833488 smg 5355.65717661 670.222024571 27.671274457 ab
58117.1833488 smg 1672.44272431 1327.91388988 26.5355245393 ab
58119.1833488 smg 578.57057904 497.266786336 24.938495067 ab
58120.1833488 smg 1247.37836904 397.0275717 26.9154670586 ab
58121.1833488 smg 3627.43546533 1757.80128884 27.3860927674 ab
58122.1833488 smg 4145.39635159 4584.80246405 27.2215962635 ab
58123.1833488 smg 7940.33245873 3681.26111511 27.7501199401 ab
58124.1833488 smg 1121.28006523 3235.5241547 26.5350123433 ab
58125.1833488 smg 384.324707491 404.915435889 26.231123624 ab
58126.1833488 smg 2287.33309785 654.262687314 26.8666969296 ab
58127.1833488 smg -113.179202501 4502.21761615 25.8110880429 ab
58128.1833488 smg 1214.25310649 4517.10613877 26.8686725391 ab
58130.1833488 smg -492.22419883 2027.67269674 26.8838942852 ab
58132.1833488 smg 4301.90468425 1469.40277141 27.0833092211 ab
58133.1833488 smg 378.573498816 801.547896811 26.8430336312 ab
58134.1833488 smg 232.488162305 1254.40629537 26.5677196919 ab
58136.1833488 smg 475.644453984 61.960635426 27.3060401298 ab
58101.1834877 smr 2848.02839968 1366.58112264 25.1072675547 ab
58102.1834877 smr 480.354835343 762.410542979 25.345227403 ab
58104.1834877 smr 882.395489993 1482.34249423 25.5272571076 ab
58105.1834877 smr -3849.1242459 2081.35010217 25.0348741759 ab
58107.1834877 smr 3299.84409913 3410.23144465 24.8851661164 ab
58108.1834877 smr 1291.58433785 276.791200385 25.3870949784 ab
58110.1834877 smr 1608.75044262 120.910491958 25.7903803233 ab
58111.1834877 smr 691.464667993 41.2357356132 25.0050667925 ab
58112.1834877 smr 694.464362393 187.957545967 25.0850068626 ab
58113.1834877 smr -908.727344035 3148.15208458 24.9476722532 ab
58114.1834877 smr 1097.00011572 1834.61001368 25.3877398888 ab
58116.1834877 smr 1113.96464576 667.228015725 25.2521817529 ab
58117.1834877 smr 877.31000332 1327.67715807 25.5601761748 ab
58119.1834877 smr 249.96327121 497.282127844 24.5173187879 ab
58120.1834877 smr 765.504960757 395.973874334 25.5587923399 ab
58121.1834877 smr -1298.0305679 1757.38288113 25.5594136932 ab
58122.1834877 smr -1353.35507444 4584.66325304 24.9855013399 ab
58123.1834877 smr 894.575238883 3680.96437949 24.5842007053 ab
58124.1834877 smr 2694.60437989 3235.50236578 25.3784505107 ab
58125.1834877 smr 758.201981712 404.945488018 25.2708369443 ab
58126.1834877 smr 708.902849901 654.145731727 25.5237677945 ab
58127.1834877 smr -7003.49151321 4502.22089686 24.7445122425 ab
58128.1834877 smr -5476.72559505 4517.06562864 24.6821731144 ab
58130.1834877 smr -1155.94489813 2027.62585263 25.1259701986 ab
58132.1834877 smr -1191.99370337 1469.31745876 25.1132404168 ab
58133.1834877 smr 1237.63555943 801.552575061 25.505559961 ab
58134.1834877 smr 245.168807714 1254.49814423 25.8318729285 ab
58136.1834877 smr 137.516920882 59.9748024491 25.1372302148 ab
58101.1836266 smi 808.925365066 1367.34723532 26.7941248484 ab
58102.1836266 smi 2446.04568303 763.77031035 26.7954910936 ab
58104.1836266 smi -1601.1548711 1482.55362333 26.1774024352 ab
58105.1836266 smi 5422.21352706 2081.7439857 26.5038356549 ab
58107.1836266 smi 6947.61226232 3410.64355133 26.9398958578 ab
58108.1836266 smi 1756.62546234 277.511313816 26.046683412 ab
58110.1836266 smi 2068.8717374 123.232272086 26.4884322316 ab
58111.1836266 smi 1845.40994078 52.8749671828 26.3527541764 ab
58112.1836266 smi 2975.85848935 193.630148206 26.902087965 ab
58113.1836266 smi 5584.60072019 3148.51644353 26.9661720049 ab
58114.1836266 smi 2708.3874792 1834.80509489 26.4205878513 ab
58116.1836266 smi 4484.78443561 670.230073052 27.7981925438 ab
58117.1836266 smi 3594.5837857 1328.04170832 26.8890855059 ab
58119.1836266 smi 1704.82301467 498.350818147 26.6728162414 ab
58120.1836266 smi 2468.35532531 398.664274276 27.4827772637 ab
58121.1836266 smi 1075.5239101 1757.34562945 25.749003622 ab
58122.1836266 smi 1682.22466446 4584.85293734 27.0910883247 ab
58123.1836266 smi 3941.24091135 3681.1009082 26.4974380086 ab
58124.1836266 smi 2500.29185685 3235.57777441 26.2599290644 ab
58125.1836266 smi 150.175851165 404.973117395 25.4762999636 ab
58126.1836266 smi 1376.2228921 654.051582439 25.3853850126 ab
58127.1836266 smi -7910.62401641 4502.35725588 26.5832858013 ab
58128.1836266 smi 668.814093227 4517.15857619 26.2241461842 ab
58130.1836266 smi -632.284732059 2027.76291478 26.0193757412 ab
58132.1836266 smi 2246.92137937 1469.72485032 26.6193822288 ab
58133.1836266 smi 1840.56339083 802.154944575 26.5803927424 ab
58134.1836266 smi 1511.40877328 1254.67641607 26.2608614706 ab
