@c -0.057781755471
@x1 0.624461739654
@x0 0.00110333369882
@z 0.0584035770055
@t0 57821.8917655
time band flux fluxerr zp zpsys
57812.8917655 smg 737.11541576 397.732600926 25.0289700029 ab
57814.8917655 smg 940.283453373 814.38114056 25.6099679747 ab
57816.8917655 smg 861.151674242 206.98556399 25.4284507509 ab
57817.8917655 smg 4001.06469695 2511.19752477 27.2186250269 ab
57819.8917655 smg 1825.20879409 705.230986337 26.3802653887 ab
57821.8917655 smg 2292.97672895 1104.7324666 26.2526982407 ab
57822.8917655 smg 3590.9225218 539.850321647 26.7204001954 ab
57824.8917655 smg 2802.80236786 1700.99453273 26.4544654124 ab
57825.8917655 smg -616.068694558 3155.11592956 26.3834363377 ab
57827.8917655 smg 1038.87930153 693.408254685 26.0376707215 ab
57829.8917655 smg 4584.96550871 4704.34801353 27.2678836866 ab
57830.8917655 smg 2774.30409376 3803.93297363 26.1674017213 ab
57831.8917655 smg 2031.84386421 870.805776777 27.2665553663 ab
57832.8917655 smg 6102.41212593 5035.27077462 27.130837831 ab
57834.8917655 smg 518.5422592 591.41415308 25.8740804962 ab
57836.8917655 smg 680.699751309 725.838866974 26.8655113949 ab
57837.8917655 smg 2286.10440949 404.991106862 27.0761657905 ab
57839.8917655 smg 1561.39664473 1581.60621313 25.807017774 ab
57841.8917655 smg 1813.40647276 1887.40860831 27.0450619334 ab
57843.8917655 smg 1135.0276724 90.3328930538 26.776299635 ab
57845.8917655 smg -451.046121713 500.26812385 26.572606849 ab
57846.8917655 smg 1414.04865998 658.769864644 27.5549321154 ab
57847.8917655 smg 753.490878805 1338.52859252 26.0043412217 ab
57848.8917655 smg 1192.29106522 426.679805528 27.2211152138 ab
57850.8917655 smg 1156.83581749 695.370231326 27.4323895504 ab
57851.8917655 smg -147.849524722 756.968240311 26.2199446001 ab
57853.8917655 smg 9718.7422709 9015.57288503 27.9060887139 ab
57855.8917655 smg 1577.21192769 546.779492775 27.7684001318 ab
57857.8917655 smg 416.217756365 599.994504965 27.3603076754 ab
57858.8917655 smg -2825.57041273 15831.7516166 25.9748360268 ab
57859.8917655 smg -772.010690398 2279.49246919 28.2134079322 ab
57861.8917655 smg 2007.37515893 1824.84190877 27.9112058515 ab
57863.8917655 smg -321.780333197 759.129847565 25.3967832959 ab
57812.8919043 smr 484.805218127 397.809520274 25.3703927295 ab
57814.8919043 smr 1209.86116356 813.984460875 24.5620444626 ab
57816.8919043 smr 1283.84738737 208.267090338 26.118821497 ab
57817.8919043 smr 1838.24147409 2510.2964405 24.9003076771 ab
57819.8919043 smr 125.236523308 703.761813208 24.5164517049 ab
57821.8919043 smr 1432.58360654 1104.27367275 25.7312902649 ab
57822.8919043 smr 276.695251728 537.48430303 25.2929657974 ab
57824.8919043 smr 3463.38542718 1700.50255097 25.3593970273 ab
57825.8919043 smr 908.219297095 3154.8472824 24.9846133675 ab
57827.8919043 smr 1069.10912623 692.763996327 25.1371383876 ab
57829.8919043 smr 1240.24104777 4703.94081652 24.9637908642 ab
57830.8919043 smr 4381.45526597 3803.82645156 25.3385679247 ab
57831.8919043 smr 979.847149103 868.958802953 25.3495810337 ab
57832.8919043 smr 6741.49858281 5035.00414747 25.1554724255 ab
57834.8919043 smr 1348.21690657 590.983690886 24.8825625026 ab
57836.8919043 smr 378.548088245 724.766019416 24.7522969399 ab
57837.8919043 smr 523.532452947 402.897582815 25.0777048423 ab
57839.8919043 smr 10.7688310641 1581.53436245 24.9665309035 ab
57841.8919043 smr 2988.63823252 1887.11415076 25.1552102829 ab
57843.8919043 smr 36.2020210145 85.4358856045 24.0238527176 ab
57845.8919043 smr 572.957621029 499.81523804 24.802425906 ab
57846.8919043 smr 819.332950854 657.785042271 25.084651855 ab
57847.8919043 smr -459.101519128 1338.55302406 25.443796642 ab
57848.8919043 smr -139.970228753 425.982055153 25.518691195 ab
57850.8919043 smr 1182.166405 694.746296546 24.976578336 ab
57851.8919043 smr 1477.48183706 756.846688089 24.5266753481 ab
57853.8919043 smr 3463.05772668 9015.51013426 25.3537742181 ab
57855.8919043 smr -297.414353142 545.906571349 24.8348400656 ab
57857.8919043 smr -328.575642385 599.605723749 25.2413274134 ab
57858.8919043 smr -11799.9846322 15831.7542802 25.4703810169 ab
57859.8919043 smr -1643.95721317 2279.24957944 25.5804376095 ab
57861.8919043 smr -2918.21687188 1824.61531562 24.9744376761 ab
57863.8919043 smr 645.291713474 759.252941657 25.7560625835 ab
57812.8920432 smi -376.159385424 397.440451388 24.6594575642 ab
57814.8920432 smi 2329.18991794 814.794377002 26.7070173244 ab
57816.8920432 smi 5057.823812 216.681761513 27.8531928716 ab
57817.8920432 smi 13341.6531612 2512.79390171 28.882876587 ab
57819.8920432 smi 761.937104417 703.894521835 25.4849562919 ab
57821.8920432 smi 5718.85481347 1104.9491566 27.2179356348 ab
57822.8920432 smi 1927.00051238 539.086125245 27.1723554411 ab
57824.8920432 smi 2246.19688241 1701.29578997 27.5766270985 ab
57825.8920432 smi 4939.28721012 3154.80688517 25.0251401589 ab
57827.8920432 smi 1000.18162083 693.321448928 26.6616889137 ab
57829.8920432 smi 1300.31054262 4704.1654876 27.4453530123 ab
57830.8920432 smi -5161.50005341 3803.96706655 27.0811767127 ab
57831.8920432 smi -132.637467253 868.765231302 25.2933972226 ab
57832.8920432 smi -2816.39920892 5035.14905631 27.3567482707 ab
57834.8920432 smi 2177.36333547 591.974528834 27.2048988389 ab
57836.8920432 smi -675.418479693 724.808894647 25.7040941782 ab
57837.8920432 smi 825.55444252 403.555340245 26.7489200115 ab
57839.8920432 smi 3295.71851546 1581.68319464 26.5934611962 ab
57841.8920432 smi -564.354344971 1887.1911584 26.3595219011 ab
57843.8920432 smi 490.332218873 86.8488903155 25.7075829062 ab
57845.8920432 smi 1663.73375797 501.217639181 27.3133591368 ab
57846.8920432 smi 379.836580907 657.662819912 24.7114536323 ab
57847.8920432 smi -290.022581307 1339.00099939 27.2595912505 ab
57848.8920432 smi 1115.46683076 426.304762355 26.3566896272 ab
57850.8920432 smi 1087.37083833 695.09002901 26.364725799 ab
57851.8920432 smi 2685.38295781 758.797376836 27.9511695172 ab
57853.8920432 smi 8078.2243893 9015.52586793 26.216484214 ab
57855.8920432 smi 798.076338102 546.46565902 26.596505293 ab
57857.8920432 smi 1916.03372906 600.739600345 27.458472449 ab
57858.8920432 smi -12267.7550522 15831.758867 26.0511590437 ab
57859.8920432 smi -3545.33386103 2279.42377431 27.1436378471 ab
57861.8920432 smi -120.609261291 1824.80524751 26.9938639375 ab
57863.8920432 smi 1731.03133928 759.315999425 26.2403710248 ab
