@c -0.252731403539
@x1 3.05591921112
@x0 0.000252973130861
@z 0.117039679933
@t0 58043.665323
time band flux fluxerr zp zpsys
58037.665323 smg 278.74700257 101.298534218 25.4759857214 ab
58039.665323 smg 82.4258414566 101.369335702 25.5048598308 ab
58040.665323 smg 953.740670075 103.972728027 26.675423168 ab
58042.665323 smg 442.803001568 102.69489503 26.2584449873 ab
58043.665323 smg 845.668680104 104.344415362 26.7978554158 ab
58044.665323 smg 1951.61246686 109.213899544 27.654705189 ab
58046.665323 smg 980.542802308 105.131417041 27.0325749483 ab
58047.665323 smg 2212.05025252 110.299019799 27.8353978019 ab
58048.665323 smg 1219.5271614 106.318616477 27.3058385411 ab
58050.665323 smg 624.703002178 103.553300195 26.7185227089 ab
58052.665323 smg 295.93242929 101.709127276 25.9788046268 ab
58054.665323 smg 535.646541256 103.211939825 26.7559742997 ab
58055.665323 smg 716.008687705 103.586238833 26.9300234775 ab
58056.665323 smg 626.59916852 102.417824849 26.5567744313 ab
58058.665323 smg 1906.17274517 109.067069322 28.1757532255 ab
58059.665323 smg 408.253934522 101.868564593 26.5010957994 ab
58060.665323 smg 283.582911193 101.146980717 26.0454399816 ab
58062.665323 smg 1281.57066275 106.505885975 28.1105662945 ab
58064.665323 smg 320.773833614 101.738987385 26.8134712649 ab
58066.665323 smg 826.717825514 103.468220231 27.7574690159 ab
58067.665323 smg 175.204827753 100.690583437 26.087897759 ab
58068.665323 smg 458.899162785 101.412796347 26.9621015221 ab
58069.665323 smg 426.751743847 101.053103815 26.7259257864 ab
58071.665323 smg 150.400491481 101.041874315 26.8539720748 ab
58072.665323 smg 54.3206363309 100.594725519 26.3012429649 ab
58073.665323 smg 389.406883832 101.612107345 27.4511812944 ab
58074.665323 smg 157.185514117 100.991985129 26.9857984955 ab
58075.665323 smg 135.393395628 100.384712339 26.0230165976 ab
58077.665323 smg 197.691887886 101.164348424 27.3809287713 ab
58079.665323 smg 180.842208442 100.643064176 26.8934567182 ab
58080.665323 smg 61.2408036512 101.436332212 27.8426097301 ab
58081.665323 smg 349.922794134 101.215183848 27.7259488402 ab
58082.665323 smg 454.836348411 102.018204684 28.3403923043 ab
58083.665323 smg -72.909600589 100.439139937 26.7281274801 ab
58085.665323 smg 213.610076589 100.755943202 27.4011865147 ab
58087.665323 smg 298.57260266 100.146654747 25.671719882 ab
58089.665323 smg 111.02190397 100.796341635 27.5607799752 ab
58091.665323 smg 162.010419781 100.576514798 27.2557966977 ab
58092.665323 smg -110.881240593 100.061641616 24.8483635098 ab
58037.6654619 smr 122.886476089 100.658950392 25.1457692475 ab
