@c -0.261880657788
@x1 -1.68807920528
@x0 0.00271117765781
@z 0.0378169066241
@t0 57927.7383926
time band flux fluxerr zp zpsys
57920.7383926 smg 2565.24757546 5000.55311213 26.8890234828 ab
57922.7383926 smg 883.88502994 5000.39825039 26.2579536552 ab
57923.7383926 smg 5679.84976748 5000.53386772 26.4833729221 ab
57925.7383926 smg 7490.1127367 5000.83045384 26.8463702306 ab
57926.7383926 smg 1368.66624521 5000.22386077 25.3964183544 ab
57928.7383926 smg 10019.0533641 5001.26671143 27.2830898871 ab
57930.7383926 smg 31890.7254147 5002.75442336 28.185045901 ab
57931.7383926 smg 7820.28896947 5000.52724832 26.4374965762 ab
57933.7383926 smg -4376.65250277 5000.55633644 26.6177859666 ab
57934.7383926 smg 18242.5223973 5001.05538065 27.3870864044 ab
57935.7383926 smg 7178.51289078 5000.39983163 26.418087026 ab
57936.7383926 smg -2526.87330037 5000.39071558 26.4851933962 ab
57938.7383926 smg 1211.74302492 5000.20936673 26.0000377599 ab
57939.7383926 smg 4444.72877568 5000.39022025 26.7767292667 ab
57940.7383926 smg 8187.05724915 5000.51653 27.1861592015 ab
57942.7383926 smg 4413.41871893 5000.59112731 27.5526337337 ab
57944.7383926 smg 8909.37412544 5000.22928208 26.7496678528 ab
57945.7383926 smg -720.497375141 5000.49483454 27.6950715309 ab
57946.7383926 smg -2992.34969229 5000.22918493 26.9666045183 ab
57948.7383926 smg -5357.51870115 5000.30177573 27.4583519464 ab
57950.7383926 smg -11293.1153739 5000.03714259 25.3418112499 ab
57951.7383926 smg 6714.22207819 5000.18964493 27.198078602 ab
57952.7383926 smg 3222.4390254 5000.05554363 25.9571197736 ab
57953.7383926 smg -531.489474446 5000.2392549 27.6412087842 ab
57955.7383926 smg 2699.12310673 5000.05434782 26.2212690346 ab
57957.7383926 smg 3003.1385805 5000.05269181 26.3348615326 ab
57959.7383926 smg -4263.92747252 5000.15343748 27.5982556725 ab
57920.7385315 smr -3075.12595879 5000.12721925 25.6098562457 ab
57922.7385315 smr 8233.31752995 5000.08961842 24.9878611099 ab
57923.7385315 smr -575.617239542 5000.22005748 25.8866516206 ab
57925.7385315 smr 1127.4310548 5000.18479694 25.5968481675 ab
57926.7385315 smr 10532.5672948 5000.10071138 24.9068886154 ab
57928.7385315 smr 9441.17905169 5000.1145471 25.0216944695 ab
57930.7385315 smr -6067.90551259 5000.13147689 25.1867825634 ab
57931.7385315 smr 495.260344369 5000.18807034 25.5969023962 ab
57933.7385315 smr 9757.83093533 5000.11029477 25.1008693524 ab
57934.7385315 smr -7379.84032811 5000.09996323 25.0582811831 ab
57935.7385315 smr -2329.75796395 5000.10077759 25.1493413489 ab
57936.7385315 smr 3315.47908971 5000.04745577 24.4205189128 ab
57938.7385315 smr 8577.12462164 5000.06317427 24.8811910121 ab
57939.7385315 smr 854.623280544 5000.09007512 25.3209497552 ab
57940.7385315 smr -3716.6692092 5000.0861395 25.3109803538 ab
57942.7385315 smr -5121.70948969 5000.04493834 24.6608685024 ab
57944.7385315 smr -268.917267522 5000.05426904 24.9146521477 ab
57945.7385315 smr 11099.8572408 5000.07427367 25.2773576104 ab
57946.7385315 smr 12963.6513812 5000.10107921 25.6358811512 ab
57948.7385315 smr 1208.88723939 5000.06361753 25.191549744 ab
57950.7385315 smr -2468.433921 5000.02611066 24.3025880317 ab
57951.7385315 smr 1403.4384315 5000.10447266 25.8612638371 ab
57952.7385315 smr 11536.6716358 5000.07566516 25.5738028629 ab
57953.7385315 smr -3935.18083695 5000.0632509 25.4513693316 ab
57955.7385315 smr -2820.73748699 5000.03744355 25.0416210753 ab
57957.7385315 smr 1971.4223503 5000.03963679 25.2708683248 ab
57959.7385315 smr 2946.66577628 5000.03289162 25.2482519746 ab
57920.7386704 smi 1085.22797678 5000.36441538 27.1255527838 ab
57922.7386704 smi -1529.84140823 5000.34812285 26.8969266125 ab
57923.7386704 smi 7846.23377911 5000.36350659 26.9121397547 ab
57925.7386704 smi 2867.40128766 5000.27415723 26.593906107 ab
57926.7386704 smi 7447.08904373 5000.38045562 26.9519760007 ab
57928.7386704 smi 3912.03742694 5000.33365245 26.8336667124 ab
57930.7386704 smi -244.188836673 5000.44114647 27.1896349712 ab
57931.7386704 smi 8829.15977634 5000.2347329 26.5415050267 ab
57933.7386704 smi 326.941078141 5000.48579588 27.4453833673 ab
57934.7386704 smi -535.06057296 5000.05109961 25.0816039777 ab
57935.7386704 smi -2960.11698168 5000.35485846 27.288135269 ab
57936.7386704 smi 4109.18946471 5000.19871629 26.7659064761 ab
57938.7386704 smi -4271.55168962 5000.15199252 26.6303671871 ab
57939.7386704 smi 297.457589608 5000.28010184 27.3294493354 ab
57940.7386704 smi -2906.67859862 5000.28778793 27.3620884833 ab
57942.7386704 smi 2039.94619706 5000.33803598 27.505063914 ab
57944.7386704 smi 6335.63358779 5000.14414756 26.5378294236 ab
57945.7386704 smi -1969.6466422 5000.08864222 25.9859159784 ab
57946.7386704 smi 5831.03222675 5000.2491881 27.0848959141 ab
57948.7386704 smi -1846.62955024 5000.09777911 26.0283835711 ab
57950.7386704 smi -2230.08530968 5000.81166291 28.3116118918 ab
57951.7386704 smi 6198.21807763 5000.30057884 27.2529894008 ab
57952.7386704 smi 4933.07767811 5000.10062149 26.102217013 ab
57953.7386704 smi 10040.2201553 5000.51720452 27.9332972357 ab
57955.7386704 smi -1868.20942221 5000.06831332 25.870750635 ab
57957.7386704 smi -3154.53829447 5000.20997294 27.2440093671 ab
57959.7386704 smi -6673.13276091 5000.05498247 25.967176627 ab
57910.7383926 kst -18.9837495287 4.81459968687 25.47 ab
57910.9883926 kst -25.2346833214 4.76930703102 25.47 ab
57911.2383926 kst -20.4908946437 4.4148371249 25.47 ab
57911.4883926 kst -13.0536715293 3.71051458451 25.47 ab
57911.7383926 kst -3.87836286629 2.45439305463 25.47 ab
57911.9883926 kst 2.38001518812 1.86041132315 25.47 ab
57912.2383926 kst 20.8362804626 3.79167111343 25.47 ab
57912.4883926 kst 28.5238666368 5.19667821578 25.47 ab
57912.7383926 kst 33.0364298013 6.42518252389 25.47 ab
57912.9883926 kst 67.1299774605 7.54546932034 25.47 ab
57913.2383926 kst 74.6549893007 8.58410953623 25.47 ab
57913.4883926 kst 93.6981648696 9.57048724594 25.47 ab
