@c 0.670965580606
@x1 -2.88297711042
@x0 0.000360000559401
@z 0.0993244101
@t0 57915.1415756
time band flux fluxerr zp zpsys
57903.1415756 smg 5060.34371535 5000.00843246 26.4956636978 ab
57905.1415756 smg 2387.86092865 5000.06575346 27.5326715493 ab
57907.1415756 smg 916.066289746 5000.12607682 27.5316486722 ab
57909.1415756 smg -4494.19627248 5000.0490188 26.1130229456 ab
57911.1415756 smg 3933.04951479 5000.05055961 25.9102052222 ab
57912.1415756 smg 3224.96253541 5000.21337316 27.3962163639 ab
57914.1415756 smg 3341.7939737 5000.15501619 26.9677566069 ab
57915.1415756 smg 9260.59997829 5000.03985628 25.4870411245 ab
57917.1415756 smg -2884.13442722 5000.03554056 25.3994640208 ab
57918.1415756 smg 4100.1747151 5000.17926373 27.1956075771 ab
57919.1415756 smg 7193.89222877 5000.13538586 26.9441500307 ab
57920.1415756 smg 949.011027236 5000.10941663 26.7771139749 ab
57921.1415756 smg -12011.8858994 5000.14409956 27.1490148218 ab
57922.1415756 smg 5181.05047914 5000.23546016 27.7643790841 ab
57923.1415756 smg 1320.52896196 5000.13617292 27.2632031422 ab
57925.1415756 smg 714.517335423 5000.10719211 27.2196485677 ab
57926.1415756 smg -7685.87787972 5000.07588555 26.9579125758 ab
57928.1415756 smg -978.190151727 5000.02858758 26.1351376344 ab
57930.1415756 smg 7525.73504573 5000.03956822 26.7443254502 ab
57932.1415756 smg 2825.71193039 5000.0294707 26.7050585686 ab
57934.1415756 smg 2375.22697142 5000.00898525 25.7124407546 ab
57935.1415756 smg 1231.99033617 5000.02427465 26.9354202727 ab
57937.1415756 smg -704.884425215 5000.01130038 26.3389827584 ab
57939.1415756 smg 2309.25762679 5000.04354503 27.93352433 ab
57940.1415756 smg -946.483126023 5000.01764313 27.0313984653 ab
57942.1415756 smg -5397.24777067 5000.01638829 27.1704896809 ab
57943.1415756 smg 4391.62810882 5000.02049832 27.5528684636 ab
57944.1415756 smg -2512.60898014 5000.01676553 27.4714437912 ab
57946.1415756 smg 10627.8865923 5000.01330137 27.4158695349 ab
57947.1415756 smg 1883.3563311 5000.00320433 25.925941174 ab
57948.1415756 smg 447.679061826 5000.00211233 25.4998920252 ab
57949.1415756 smg -1187.00599138 5000.00339837 26.0146847878 ab
57951.1415756 smg -6160.81816569 5000.00945166 27.1072141247 ab
57953.1415756 smg -2266.90641884 5000.01767639 27.7816398713 ab
57954.1415756 smg 3570.20558612 5000.01379839 27.5142174054 ab
57956.1415756 smg -2009.34637483 5000.00506608 26.436335973 ab
57958.1415756 smg -192.278901489 5000.01240363 27.4270484876 ab
57959.1415756 smg 821.421836495 5000.00455197 26.3525924395 ab
57961.1415756 smg -1243.91934638 5000.00228653 25.6428860001 ab
57903.1417145 smr 2381.65134625 5000.00660153 25.0324099271 ab
57905.1417145 smr -12476.6695082 5000.01546775 25.1119710292 ab
57907.1417145 smr -12173.4459602 5000.02935056 25.2190414202 ab
57909.1417145 smr 927.226574529 5000.05086425 25.4721543374 ab
57911.1417145 smr 12038.4382778 5000.04477773 25.1265104349 ab
57912.1417145 smr 4335.09843527 5000.03865526 24.8955364603 ab
57914.1417145 smr -7072.72573225 5000.04632558 24.9940833936 ab
57915.1417145 smr 6779.45030736 5000.05986179 25.2448558308 ab
57917.1417145 smr -5168.72999332 5000.06614503 25.3383176789 ab
57918.1417145 smr 8927.58880887 5000.12369229 26.0293340158 ab
57919.1417145 smr 7790.98534238 5000.06295881 25.3192660811 ab
57920.1417145 smr 4611.05408352 5000.06096253 25.3192297523 ab
57921.1417145 smr 9881.90938859 5000.04964423 25.1432228095 ab
57922.1417145 smr -2691.34470953 5000.08027092 25.7244517187 ab
57923.1417145 smr 2222.36725619 5000.04496129 25.1687176593 ab
57925.1417145 smr -783.739969592 5000.04717966 25.3930383998 ab
57926.1417145 smr -476.760327912 5000.04394454 25.391551914 ab
57928.1417145 smr -2739.67998986 5000.03084878 25.1241367559 ab
57930.1417145 smr 1700.79727138 5000.04013355 25.4834140712 ab
57932.1417145 smr 3436.97330096 5000.04803203 25.7607007838 ab
57934.1417145 smr -7908.76656946 5000.04036714 25.6737978435 ab
57935.1417145 smr 7379.63010667 5000.02356553 25.1459410744 ab
57937.1417145 smr 1594.69578354 5000.01933706 25.0487641817 ab
