@c -0.585268882617
@x1 -3.95006299942
@x0 0.000152726375602
@z 0.147529285934
@t0 57804.2182783
time band flux fluxerr zp zpsys
57794.2182783 smg 2830.97714515 5000.00728518 26.5292484595 ab
57795.2182783 smg -3268.61481116 5000.01453119 26.6568292545 ab
57796.2182783 smg 569.866682354 5000.00981332 25.8379049678 ab
57798.2182783 smg -4904.13985261 5000.0522348 27.1848684657 ab
57799.2182783 smg -5490.72793163 5000.11143262 27.8536903974 ab
57800.2182783 smg -4035.65334963 5000.05236722 26.9154479363 ab
57802.2182783 smg 823.960294166 5000.0308043 26.1940028431 ab
57804.2182783 smg 6479.8689771 5000.04302738 26.5193978665 ab
57806.2182783 smg 3269.38170202 5000.07618399 27.191568268 ab
57808.2182783 smg 3936.74324412 5000.03118128 26.3562040166 ab
57810.2182783 smg 4079.0311792 5000.03190151 26.5850260629 ab
57811.2182783 smg 11579.574119 5000.01890037 26.1363770556 ab
57813.2182783 smg -1386.93672016 5000.13534255 28.5649937797 ab
57815.2182783 smg -6831.60423659 5000.02150037 26.9173279172 ab
57817.2182783 smg -7394.81919845 5000.02830521 27.5944535096 ab
57819.2182783 smg 246.237307386 5000.02549692 27.8816123841 ab
57821.2182783 smg 2758.00909403 5000.00489742 26.5465834182 ab
57822.2182783 smg -6179.73055994 5000.01142991 27.721481003 ab
57824.2182783 smg 4847.85588583 5000.00211205 26.4117032546 ab
57826.2182783 smg 5221.69709097 5000.00040686 25.0773125489 ab
57827.2182783 smg 4885.35040152 5000.00195926 26.9015660823 ab
57828.2182783 smg -1380.84588426 5000.0018381 26.8244726502 ab
57829.2182783 smg -7119.47354948 5000.00893411 28.5125507498 ab
57831.2182783 smg -7617.36203933 5000.00276927 27.2907452839 ab
57832.2182783 smg 606.563639723 5000.00087373 26.1204258223 ab
57834.2182783 smg -9059.49779848 5000.00246178 27.4812044893 ab
57835.2182783 smg -630.274348829 5000.00091867 26.4884535695 ab
57836.2182783 smg -70.8800865591 5000.00188437 27.3036607172 ab
57837.2182783 smg -9667.16976345 5000.00185384 27.2810825246 ab
57838.2182783 smg 431.028160282 5000.00266902 27.6373308685 ab
57840.2182783 smg 2632.04474602 5000.0017663 27.0432844134 ab
57842.2182783 smg -4697.69112358 5000.00100122 26.3132021404 ab
57844.2182783 smg 3822.34562428 5000.00251657 27.2563617637 ab
57846.2182783 smg 998.974982037 5000.00449917 27.8684911287 ab
57848.2182783 smg -1570.6869256 5000.00285158 27.3853271806 ab
57849.2182783 smg 2831.96760721 5000.00582185 28.1737022514 ab
57794.2184171 smr 3565.40008382 5000.00116069 24.8542071719 ab
57795.2184171 smr 6950.7088889 5000.00244753 25.2358173154 ab
57796.2184171 smr 416.05948257 5000.00343179 25.299327548 ab
57798.2184171 smr -6519.51124043 5000.00491586 25.302333687 ab
57799.2184171 smr 3937.72193161 5000.00255108 24.4597213992 ab
57800.2184171 smr 4794.26363825 5000.00628506 25.3363964427 ab
57802.2184171 smr 6066.39089799 5000.00436461 24.7970675447 ab
57804.2184171 smr 6558.6613715 5000.00764672 25.330137435 ab
57806.2184171 smr 1595.87248201 5000.00911229 25.5038999067 ab
57808.2184171 smr -59.564442141 5000.00562803 25.0163779319 ab
57810.2184171 smr -833.008280864 5000.00674392 25.2939575101 ab
57811.2184171 smr -6399.35314544 5000.00744624 25.457657233 ab
57813.2184171 smr -2321.90268734 5000.0066232 25.4787744782 ab
57815.2184171 smr -2028.1313104 5000.00569814 25.4826135244 ab
57817.2184171 smr -3363.06379804 5000.00328004 25.0297052809 ab
57819.2184171 smr -13811.3281199 5000.00420105 25.4181047464 ab
57821.2184171 smr -5223.34963432 5000.00297207 25.1656618384 ab
57822.2184171 smr -5848.95892369 5000.00248909 25.042365215 ab
57824.2184171 smr -8514.764695 5000.00306748 25.4257087141 ab
57826.2184171 smr 2203.95907363 5000.00144021 24.7702210555 ab
57827.2184171 smr -6423.87187892 5000.00169132 25.0252873795 ab
57828.2184171 smr 3730.55347967 5000.00134654 24.8542085214 ab
57829.2184171 smr 5011.46814243 5000.00110879 24.7263817927 ab
57831.2184171 smr 4098.82161519 5000.00131078 25.1185893053 ab
57832.2184171 smr 2827.21218836 5000.00096842 24.922536868 ab
57834.2184171 smr 1964.80837031 5000.0013066 25.566135173 ab
57835.2184171 smr 2047.96394699 5000.00088511 25.3050233074 ab
57836.2184171 smr -2141.68810021 5000.00051261 24.8696433377 ab
57837.2184171 smr -135.307031838 5000.00067975 25.3280097731 ab
57838.2184171 smr 4917.35069019 5000.00066071 25.4412521226 ab
57840.2184171 smr -2221.25502802 5000.00032071 24.9083393644 ab
57842.2184171 smr -4430.54807229 5000.0004074 25.3239153723 ab
57844.2184171 smr 5368.04421099 5000.00062095 25.8085107832 ab
57846.2184171 smr -4161.32604081 5000.00051646 25.5211011687 ab
57848.2184171 smr 10045.6585412 5000.00032821 24.8677139367 ab
57849.2184171 smr -553.236369897 5000.00045192 25.1309246178 ab
57794.218556 smi 1456.72184814 5000.00372835 25.9784905059 ab
57795.218556 smi -2675.72316918 5000.02144169 27.5909579878 ab
57796.218556 smi 2110.79358492 5000.03051608 27.7592121567 ab
57798.218556 smi -5947.88076223 5000.01971591 27.0139754461 ab
57799.218556 smi 9936.42357066 5000.03532265 27.5661041705 ab
57800.218556 smi 6682.82477342 5000.01844358 26.8058409108 ab
57802.218556 smi -515.356776086 5000.009118 25.9786274676 ab
57804.218556 smi -5758.48338185 5000.03334333 27.3766339034 ab
57806.218556 smi -953.515892712 5000.02023793 26.8693808334 ab
57808.218556 smi 1780.7258683 5000.01996592 26.9256458752 ab
57810.218556 smi -7798.04657664 5000.01145692 26.433848009 ab
57811.218556 smi 2653.70090913 5000.0159734 26.8686564269 ab
57813.218556 smi -1779.98648741 5000.01549112 27.030308853 ab
57815.218556 smi 815.869263369 5000.00869623 26.5907747144 ab
57817.218556 smi 3035.01273734 5000.01775398 27.4378099744 ab
57819.218556 smi -2478.05278356 5000.0136586 27.0980750163 ab
57821.218556 smi 163.364315194 5000.0046681 25.9025991881 ab
57822.218556 smi 4214.23119137 5000.00944863 26.6835047338 ab
57824.218556 smi 2577.41677335 5000.00436624 25.9385968472 ab
57826.218556 smi -3277.96446914 5000.00691392 26.5033334684 ab
57827.218556 smi -1452.40934546 5000.01161446 27.0657748437 ab
57828.218556 smi 10429.2624829 5000.01850944 27.5476784639 ab
57829.218556 smi 5057.49086917 5000.00437338 25.9755857085 ab
57831.218556 smi -4574.47669885 5000.00703026 26.5955242071 ab
57832.218556 smi -4649.76570897 5000.00875789 26.949415607 ab
57834.218556 smi 7356.11660713 5000.00425057 26.5152151459 ab
57835.218556 smi 3880.26268144 5000.00354826 26.5061116877 ab
57836.218556 smi 1959.96626037 5000.00491577 27.0438959703 ab
57837.218556 smi -3349.77403987 5000.00247071 26.4752425043 ab
57838.218556 smi 8299.79972137 5000.00153352 26.1264717084 ab
57840.218556 smi 2359.61906672 5000.00140616 26.3258308667 ab
57842.218556 smi -12817.2795429 5000.00047211 25.3842978919 ab
57844.218556 smi -5871.51585889 5000.00094208 26.3226185161 ab
57846.218556 smi -698.054562413 5000.00360526 27.8911704861 ab
57848.218556 smi -188.244392737 5000.00104719 26.5742976704 ab
57849.218556 smi -2042.5357881 5000.0023361 27.4357630686 ab
57787.2182783 kst -7.83427229986 3.10975938205 25.47 ab
57787.4682783 kst -4.98246663229 3.11057836291 25.47 ab
57787.7182783 kst -9.36155939809 3.1001601087 25.47 ab
57787.9682783 kst -15.7066885421 3.08014649037 25.47 ab
57788.2182783 kst -3.64758125926 3.05219499257 25.47 ab
57788.4682783 kst -11.8038349362 3.01798651693 25.47 ab
57788.7182783 kst -12.9573638985 2.97482358767 25.47 ab
57788.9682783 kst -7.36187372458 2.91866283436 25.47 ab
57789.2182783 kst -8.87226632791 2.84499470807 25.47 ab
57789.4682783 kst -10.7303552023 2.75174971951 25.47 ab
57789.7182783 kst -9.03070658325 2.64261529079 25.47 ab
57789.9682783 kst -6.88945636388 2.51016983634 25.47 ab
57790.2182783 kst -5.93378001177 2.34380594826 25.47 ab
57790.4682783 kst -9.65113165044 2.12830277933 25.47 ab
57790.7182783 kst -1.45559406294 1.84677875483 25.47 ab
57790.9682783 kst -2.53502914275 1.467309195 25.47 ab
57791.2182783 kst 0.114528789193 0.871636751156 25.47 ab
57791.4682783 kst 0.442693678355 0.886724749781 25.47 ab
57791.7182783 kst 0.696912175345 1.5627981543 25.47 ab
57791.9682783 kst 1.30881132743 2.05629503832 25.47 ab
57792.2182783 kst 8.043908265 2.47933343992 25.47 ab
57792.4682783 kst 7.20184545306 2.86382442359 25.47 ab
57792.7182783 kst 13.7458045899 3.22404319853 25.47 ab
57792.9682783 kst 13.7877748687 3.56717938059 25.47 ab
57793.2182783 kst 13.3741763817 3.89743081173 25.47 ab
57793.4682783 kst 27.3800579305 4.21828609932 25.47 ab
57793.7182783 kst 22.2657173724 4.53217615028 25.47 ab
57793.9682783 kst 23.8351953285 4.84148188823 25.47 ab
57794.2182783 kst 18.9547240435 5.15335032818 25.47 ab
57794.4682783 kst 34.4151902605 5.46236500754 25.47 ab
57794.7182783 kst 29.1128789499 5.76106315596 25.47 ab
57794.9682783 kst 38.9261932498 6.0434210047 25.47 ab
57795.2182783 kst 36.7845057845 6.30895612326 25.47 ab
57795.4682783 kst 46.6592878598 6.56627689258 25.47 ab
57795.7182783 kst 40.5467759777 6.81350117968 25.47 ab
57795.9682783 kst 42.6840683046 7.0484019849 25.47 ab
57796.2182783 kst 52.9217793797 7.26903060852 25.47 ab
57796.4682783 kst 54.2255382 7.47738089862 25.47 ab
57796.7182783 kst 69.4094465166 7.67579191338 25.47 ab
57796.9682783 kst 62.1038945751 7.86477721844 25.47 ab
57797.2182783 kst 66.2314541636 8.04476775442 25.47 ab
57797.4682783 kst 73.7360345294 8.21625892818 25.47 ab
57797.7182783 kst 74.5625686463 8.38015477529 25.47 ab
57797.9682783 kst 68.0962469672 8.53662135251 25.47 ab
57798.2182783 kst 92.2121770246 8.68569765517 25.47 ab
57798.4682783 kst 85.7233256511 8.82740141764 25.47 ab
57798.7182783 kst 71.4131882889 8.96223799734 25.47 ab
57798.9682783 kst 99.266145619 9.0907474674 25.47 ab
57799.2182783 kst 75.7941420033 9.2128164956 25.47 ab
57799.4682783 kst 86.3253453172 9.32832316592 25.47 ab
57799.7182783 kst 77.503137108 9.43721144972 25.47 ab
57799.9682783 kst 101.419206096 9.54015911663 25.47 ab
57800.2182783 kst 97.0987281429 9.63722221026 25.47 ab
57800.4682783 kst 97.7198032162 9.72821969101 25.47 ab
57800.7182783 kst 91.7627338483 9.81296620711 25.47 ab
57800.9682783 kst 99.8333624214 9.8916208812 25.47 ab
57801.2182783 kst 109.013430156 9.96472903885 25.47 ab
57801.4682783 kst 105.755676907 10.0320166063 25.47 ab
57801.7182783 kst 113.596985311 10.0931758953 25.47 ab
57801.9682783 kst 107.752717533 10.1479139653 25.47 ab
57802.2182783 kst 88.2756914899 10.1966596616 25.47 ab
57802.4682783 kst 107.931191284 10.2395577161 25.47 ab
57802.7182783 kst 95.7096822177 10.2763845605 25.47 ab
57802.9682783 kst 95.3799121566 10.3069093517 25.47 ab
57803.2182783 kst 100.282005974 10.3307881912 25.47 ab
57803.4682783 kst 106.234699472 10.3478022034 25.47 ab
57803.7182783 kst 121.510481215 10.3587338046 25.47 ab
57803.9682783 kst 98.4975026283 10.3644321671 25.47 ab
57804.2182783 kst 107.029076735 10.3657357426 25.47 ab
57804.4682783 kst 89.8339451761 10.362270449 25.47 ab
57804.7182783 kst 100.633241172 10.353583834 25.47 ab
57804.9682783 kst 111.658983711 10.3403870307 25.47 ab
57805.2182783 kst 92.8625915567 10.3233882263 25.47 ab
57805.4682783 kst 96.7776320106 10.3031725981 25.47 ab
57805.7182783 kst 112.972352127 10.2791803701 25.47 ab
57805.9682783 kst 112.475661016 10.2513423559 25.47 ab
57806.2182783 kst 105.445327409 10.2198091962 25.47 ab
57806.4682783 kst 102.323263777 10.1847292642 25.47 ab
57806.7182783 kst 94.5475221191 10.146019755 25.47 ab
57806.9682783 kst 77.6643571459 10.1034326119 25.47 ab
57807.2182783 kst 93.3699682698 10.0571894449 25.47 ab
57807.4682783 kst 111.942314738 10.00752356 25.47 ab
57807.7182783 kst 109.424379343 9.95463378835 25.47 ab
57807.9682783 kst 87.9481724961 9.89792274771 25.47 ab
57808.2182783 kst 100.321251045 9.83750470935 25.47 ab
57808.4682783 kst 106.956737919 9.77393115705 25.47 ab
57808.7182783 kst 102.775151083 9.70776455373 25.47 ab
57808.9682783 kst 75.2456855792 9.63927831773 25.47 ab
57809.2182783 kst 87.4673962187 9.5678157955 25.47 ab
57809.4682783 kst 71.3810164692 9.4935134329 25.47 ab
57809.7182783 kst 87.2074164814 9.4166000326 25.47 ab
57809.9682783 kst 97.8992982323 9.33730881953 25.47 ab
57810.2182783 kst 80.1759766888 9.25548929875 25.47 ab
57810.4682783 kst 84.5042435614 9.17092807842 25.47 ab
57810.7182783 kst 88.9871706855 9.08367591454 25.47 ab
57810.9682783 kst 73.5436002318 8.9937830867 25.47 ab
57811.2182783 kst 74.2715039637 8.90126421207 25.47 ab
57811.4682783 kst 87.5692615688 8.80589824148 25.47 ab
57811.7182783 kst 75.8391222747 8.70763006645 25.47 ab
57811.9682783 kst 71.3383842275 8.60644748049 25.47 ab
57812.2182783 kst 59.9337465484 8.50233470744 25.47 ab
57812.4682783 kst 64.3626389433 8.3941615731 25.47 ab
57812.7182783 kst 64.4903471272 8.28129958664 25.47 ab
57812.9682783 kst 71.0419995518 8.16582441647 25.47 ab
57813.2182783 kst 67.6709341083 8.04995903464 25.47 ab
57813.4682783 kst 79.6026410591 7.93582882869 25.47 ab
57813.7182783 kst 76.2277179589 7.82149922133 25.47 ab
