@c -0.0437531639467
@x1 2.80272336415
@x0 0.00110216848087
@z 0.0584331974854
@t0 58035.6908322
time band flux fluxerr zp zpsys
58018.6908322 kst 97.1857611452 9.58663314525 25.47 ab
58018.9408322 kst 100.611873703 10.2550758917 25.47 ab
58019.1908322 kst 113.571146716 10.9452218539 25.47 ab
58019.4408322 kst 128.515387331 11.6433981288 25.47 ab
58019.6908322 kst 140.54245856 12.3390209476 25.47 ab
58019.9408322 kst 177.189537666 13.0264936057 25.47 ab
58020.1908322 kst 197.630454932 13.7149047273 25.47 ab
58020.4408322 kst 194.053579096 14.4008945994 25.47 ab
58020.6908322 kst 230.22951873 15.0795591616 25.47 ab
58020.9408322 kst 207.67669426 15.7478163301 25.47 ab
58021.1908322 kst 294.484615066 16.4174777242 25.47 ab
58021.4408322 kst 277.855028792 17.0823495676 25.47 ab
58021.6908322 kst 321.911094149 17.7301873851 25.47 ab
58021.9408322 kst 349.934765305 18.3504694085 25.47 ab
58022.1908322 kst 377.593939766 18.9523527267 25.47 ab
58022.4408322 kst 377.240403213 19.5409777432 25.47 ab
58022.6908322 kst 404.744842191 20.1057748714 25.47 ab
58022.9408322 kst 440.900974518 20.6372680789 25.47 ab
58023.1908322 kst 444.493367224 21.1320628238 25.47 ab
58023.4408322 kst 483.755662364 21.5992979452 25.47 ab
58023.6908322 kst 450.818834753 22.0430511768 25.47 ab
58023.9408322 kst 499.157325938 22.4667840267 25.47 ab
58024.1908322 kst 487.369820101 22.8728648386 25.47 ab
58024.4408322 kst 524.873375897 23.2604028914 25.47 ab
58024.6908322 kst 570.233020758 23.6311084609 25.47 ab
58024.9408322 kst 572.369433807 23.9869432149 25.47 ab
58025.1908322 kst 594.400519648 24.3295852544 25.47 ab
58025.4408322 kst 634.783193439 24.6587985423 25.47 ab
58025.6908322 kst 686.010339258 24.9751392817 25.47 ab
58025.9408322 kst 623.579303228 25.2795860118 25.47 ab
58026.1908322 kst 649.536369307 25.5730597207 25.47 ab
58026.4408322 kst 685.050229669 25.8567577972 25.47 ab
58026.6908322 kst 712.563996947 26.1303538008 25.47 ab
58026.9408322 kst 715.975343453 26.3927993816 25.47 ab
58027.1908322 kst 758.168838893 26.6430743329 25.47 ab
58027.4408322 kst 756.728111211 26.8814914828 25.47 ab
58027.6908322 kst 746.50713024 27.1093041964 25.47 ab
58027.9408322 kst 750.211184733 27.3257630812 25.47 ab
58028.1908322 kst 746.884711276 27.5301009853 25.47 ab
58028.4408322 kst 762.489588293 27.7220757194 25.47 ab
58028.6908322 kst 758.233393789 27.9029071364 25.47 ab
58028.9408322 kst 759.983417021 28.0722389288 25.47 ab
58029.1908322 kst 759.100698179 28.2295494597 25.47 ab
58029.4408322 kst 761.780488761 28.3745083141 25.47 ab
