@c 0.267918817165
@x1 -2.86624624141
@x0 0.000427493591993
@z 0.0916386937719
@t0 57939.0295198
time band flux fluxerr zp zpsys
57934.0295198 smg 9763.9449634 5000.16214658 27.1518695591 ab
57936.0295198 smg 2526.58280249 5000.1836553 27.1068889695 ab
57938.0295198 smg 1766.80688578 5000.07461744 26.0484747618 ab
57940.0295198 smg -2734.4013042 5000.13990189 26.7382262317 ab
57942.0295198 smg 2893.55081564 5000.12445048 26.6788927096 ab
57944.0295198 smg -10735.9080389 5000.05024035 25.8163699568 ab
57945.0295198 smg 1071.8130407 5000.10674529 26.7105797179 ab
57947.0295198 smg 5560.78565887 5000.0666117 26.3824069998 ab
57948.0295198 smg 4477.05852715 5000.24332082 27.8991935132 ab
57950.0295198 smg -661.310381187 5000.05178722 26.4539330769 ab
57952.0295198 smg -3471.11774099 5000.04451611 26.5371202698 ab
57953.0295198 smg -3850.4055275 5000.03273193 26.3334224101 ab
57955.0295198 smg -1394.20261034 5000.02202936 26.1812449399 ab
57957.0295198 smg -319.110216678 5000.00890884 25.4953553535 ab
57958.0295198 smg -5685.5843943 5000.05290665 27.5784459198 ab
57959.0295198 smg 613.236795572 5000.01327687 26.219328307 ab
57961.0295198 smg 2269.30970488 5000.00844394 25.9528779449 ab
57962.0295198 smg -1258.12971159 5000.00513196 25.4770616743 ab
57963.0295198 smg 2352.22639455 5000.06426145 28.2843352742 ab
57964.0295198 smg -2846.88663986 5000.02403648 27.298152959 ab
57966.0295198 smg -2383.18007403 5000.00601134 26.0162066472 ab
57968.0295198 smg -4.96601234032 5000.00447049 25.9597372975 ab
57969.0295198 smg 1703.1837265 5000.00554958 26.2965657993 ab
57970.0295198 smg -936.31611924 5000.00109598 24.6105441484 ab
57971.0295198 smg 5276.59471932 5000.01030976 27.0910774362 ab
57934.0296587 smr 1184.90234215 5000.0435988 25.4943947552 ab
57936.0296587 smr -1246.4478602 5000.02219712 24.5949083665 ab
57938.0296587 smr 2647.5674221 5000.03848455 25.0940433358 ab
57940.0296587 smr 4049.84341853 5000.03862057 25.0588570082 ab
57942.0296587 smr -1921.88822048 5000.03715159 25.0276787567 ab
57944.0296587 smr -3250.18762016 5000.0306679 24.8760753366 ab
57945.0296587 smr 5705.91761765 5000.03157848 24.9542647481 ab
57947.0296587 smr -3474.77004781 5000.01950557 24.5640456473 ab
57948.0296587 smr 40.1496319318 5000.05568316 25.788700675 ab
57950.0296587 smr -4738.38978081 5000.03884702 25.5563201978 ab
57952.0296587 smr -2072.7858123 5000.02918553 25.3590311686 ab
57953.0296587 smr -5247.17497045 5000.02467501 25.213127186 ab
57955.0296587 smr -307.136240426 5000.03693259 25.7250725742 ab
57957.0296587 smr 12313.7034567 5000.02010736 25.1559556775 ab
57958.0296587 smr -378.283873846 5000.01685957 25.0173258115 ab
57959.0296587 smr 5941.38584953 5000.0143072 24.8947122434 ab
57961.0296587 smr 2854.14885337 5000.02178564 25.4674725325 ab
57962.0296587 smr -5014.85022451 5000.01201755 24.8816997241 ab
57963.0296587 smr 4436.2338973 5000.03948061 26.241915343 ab
57964.0296587 smr 5960.35606623 5000.01266706 25.0896570639 ab
57966.0296587 smr 9713.96895102 5000.00786068 24.7787067852 ab
57968.0296587 smr 8962.4777421 5000.01564771 25.77291525 ab
57969.0296587 smr -2559.41657447 5000.01139081 25.5444613205 ab
57970.0296587 smr -3666.25760753 5000.00790519 25.2570098812 ab
57971.0296587 smr 519.604618499 5000.00858106 25.4473204095 ab
57934.0297976 smi 8520.24269673 5000.08063966 26.0647018076 ab
57936.0297976 smi -2977.35215585 5000.09689361 26.1822816225 ab
57938.0297976 smi -4375.43087983 5000.30816494 27.4304139216 ab
57940.0297976 smi 1113.27461454 5000.18329184 26.9220502636 ab
57942.0297976 smi 1623.70555068 5000.15143825 26.7745066771 ab
57944.0297976 smi -3329.94902125 5000.07446973 26.0684612417 ab
57945.0297976 smi -5148.32871005 5000.28500602 27.5813986117 ab
57947.0297976 smi 4928.14895162 5000.04192932 25.6781922788 ab
57948.0297976 smi -3214.80157725 5000.07053149 26.3641112257 ab
57950.0297976 smi 2453.64599703 5000.01183539 24.6158818066 ab
57952.0297976 smi 5767.2556821 5000.29847712 28.159500468 ab
57953.0297976 smi 5477.28918993 5000.05881781 26.3549642007 ab
57955.0297976 smi -3148.61282481 5000.10076223 26.8638160372 ab
57957.0297976 smi -1002.67563531 5000.04840434 26.0294804794 ab
57958.0297976 smi -7427.47565946 5000.05557451 26.1714453398 ab
57959.0297976 smi -469.592026422 5000.04363615 25.9009865329 ab
57961.0297976 smi 3382.03022719 5000.1854022 27.4483540656 ab
57962.0297976 smi 12022.7728696 5000.07808791 26.4964476544 ab
57963.0297976 smi 7524.46314825 5000.21297367 27.5909683937 ab
57964.0297976 smi 3039.80892938 5000.06243456 26.2904138387 ab
57966.0297976 smi -150.351105827 5000.05594091 26.310434225 ab
57968.0297976 smi 4969.77491336 5000.14802383 27.5821408924 ab
57969.0297976 smi -3168.41606895 5000.02827461 25.8977866046 ab
57970.0297976 smi 5210.25226949 5000.07496735 27.0724663517 ab
57971.0297976 smi -2663.55233653 5000.03995865 26.5092295366 ab
