@c -0.279592207033
@x1 -3.86276463906
@x0 0.000512608227484
@z 0.0841289988447
@t0 57993.0331333
time band flux fluxerr zp zpsys
57988.0331333 smg 5737.7153102 5000.04677494 25.7299705125 ab
57990.0331333 smg 941.791147634 5000.39119638 27.8227369297 ab
57992.0331333 smg -14.5037672657 5000.28761144 27.3949485935 ab
57993.0331333 smg 230.305729562 5000.20719235 27.0326257311 ab
57994.0331333 smg 4598.455336 5000.03888062 25.2305557837 ab
57996.0331333 smg -677.585155533 5000.16622166 26.8879481915 ab
57997.0331333 smg 2486.52092946 5000.50238014 28.1553437208 ab
57999.0331333 smg 4459.59202438 5000.22491272 27.4552638786 ab
58001.0331333 smg -1332.74493921 5000.1888317 27.4937052173 ab
58003.0331333 smg 569.429931471 5000.08447341 26.9093507876 ab
58004.0331333 smg -10274.389121 5000.16442724 27.7849675049 ab
58006.0331333 smg -308.268939828 5000.03080706 26.2853413754 ab
58007.0331333 smg -7606.05321431 5000.07890165 27.4721888721 ab
58009.0331333 smg 9194.13752916 5000.07905677 27.8375682196 ab
58011.0331333 smg 1248.09887924 5000.0576529 27.8992028708 ab
58012.0331333 smg 6577.68776521 5000.04181623 27.7560678459 ab
58014.0331333 smg -2345.50070724 5000.02016667 27.3135376594 ab
58015.0331333 smg -7348.7221498 5000.00546299 25.9893202439 ab
58016.0331333 smg 1558.2221739 5000.0218462 27.5257653365 ab
58017.0331333 smg -1889.97599974 5000.00517083 25.9992744976 ab
58019.0331333 smg -3182.44050497 5000.00720639 26.5625956915 ab
58021.0331333 smg 317.059784842 5000.00293269 25.9725644262 ab
58023.0331333 smg 5707.91564356 5000.01188928 27.7990365364 ab
58024.0331333 smg -2133.52408889 5000.00833316 27.4723212402 ab
58026.0331333 smg -1905.33331206 5000.00972162 27.5642055021 ab
58027.0331333 smg 2877.2982275 5000.00292872 26.166237466 ab
58029.0331333 smg -1749.34553359 5000.00457289 26.5055921755 ab
58031.0331333 smg -2184.63118227 5000.00507901 26.5439263157 ab
58033.0331333 smg 3693.5294465 5000.01259774 27.4996183346 ab
58034.0331333 smg 1226.46184385 5000.00626168 26.7385634715 ab
58036.0331333 smg 2855.16379789 5000.03149732 28.5087538252 ab
58037.0331333 smg 4208.45087169 5000.0179898 27.9156791642 ab
58038.0331333 smg 3268.18154679 5000.00447072 26.422963675 ab
