@c 0.445089528412
@x1 3.00640629809
@x0 0.000428734562588
@z 0.0915139828676
@t0 57757.8036551
time band flux fluxerr zp zpsys
57751.8036551 smg 3988.24857799 5000.23194449 27.2530447593 ab
57753.8036551 smg 6652.5280832 5000.14117111 26.6785061099 ab
57754.8036551 smg -1663.08576511 5000.2209164 27.1627804952 ab
57755.8036551 smg 819.14194755 5000.11593068 26.4628678334 ab
57757.8036551 smg 9333.49627177 5000.09537183 26.260377448 ab
57758.8036551 smg -1707.30656287 5000.13745558 26.6668955149 ab
57759.8036551 smg 3916.31399184 5000.32918902 27.6281674087 ab
57761.8036551 smg 764.617032771 5000.08493609 26.1927723436 ab
57762.8036551 smg 1476.6699741 5000.19549192 27.1200327847 ab
57763.8036551 smg 1058.91999243 5000.21639725 27.2553172628 ab
57765.8036551 smg 15419.7639884 5000.25759802 27.5027681901 ab
57767.8036551 smg 1629.01137448 5000.49386 28.2817775671 ab
57769.8036551 smg 5808.56976853 5000.12903864 26.9206475176 ab
57771.8036551 smg -1285.08248195 5000.16180146 27.2954575901 ab
57773.8036551 smg 7532.43540483 5000.05506119 26.2665666082 ab
57775.8036551 smg -4050.99360275 5000.10141799 27.0624423597 ab
57776.8036551 smg 7744.56501136 5000.09697684 27.0768733997 ab
57778.8036551 smg 821.324017608 5000.07399307 26.9272661381 ab
57779.8036551 smg -7027.7039193 5000.0375124 26.2746615431 ab
57780.8036551 smg 7159.67158692 5000.07937047 27.1815790157 ab
57782.8036551 smg 762.06134953 5000.05153954 26.8866347724 ab
57783.8036551 smg -3702.72590112 5000.04853914 26.8933270224 ab
57784.8036551 smg 1279.41234149 5000.06693788 27.3020239006 ab
57786.8036551 smg -4705.19535256 5000.04776771 27.0391696076 ab
57751.803794 smr 11673.1332909 5000.08525417 25.8286937148 ab
57753.803794 smr 3325.63370776 5000.06053167 25.3969646685 ab
57754.803794 smr -4982.87882885 5000.03881641 24.8984243052 ab
57755.803794 smr 4679.66021124 5000.02549975 24.4286129024 ab
57757.803794 smr 2571.60780711 5000.07953081 25.646370243 ab
57758.803794 smr -3465.945515 5000.04887748 25.1146088859 ab
57759.803794 smr 5091.5635964 5000.05517173 25.2466926638 ab
57761.803794 smr -3893.22445871 5000.03470231 24.7548802965 ab
57762.803794 smr -9972.25712901 5000.03936673 24.9031344378 ab
57763.803794 smr 5574.16167141 5000.05369726 25.2556406297 ab
57765.803794 smr 1868.51908125 5000.06268544 25.4663230359 ab
57767.803794 smr -5575.48341828 5000.04878237 25.2549754576 ab
57769.803794 smr 3993.98085504 5000.05359035 25.446399235 ab
57771.803794 smr 4569.32560676 5000.05566236 25.6149281497 ab
57773.803794 smr -6111.73057845 5000.03645453 25.2803475596 ab
57775.803794 smr -6366.19727562 5000.03513279 25.3207921988 ab
57776.803794 smr 4325.36573931 5000.01503038 24.4204363211 ab
57778.803794 smr 3060.0573802 5000.02356147 24.9437331912 ab
57779.803794 smr -477.952200042 5000.05762778 25.9313999108 ab
57780.803794 smr 5156.48120157 5000.02139674 24.8709546783 ab
57782.803794 smr -403.859626321 5000.03060892 25.2810429268 ab
57783.803794 smr 6570.60495219 5000.04969923 25.8129214932 ab
57784.803794 smr 10477.5753706 5000.02112322 24.8862681774 ab
57786.803794 smr -2222.00776522 5000.02564376 25.1092348444 ab
57751.8039329 smi 16304.1654365 5000.13952208 26.5343946395 ab
57753.8039329 smi 3630.69422141 5000.11642898 26.3977418649 ab
57754.8039329 smi -797.812582997 5000.20554785 27.0587759463 ab
57755.8039329 smi -7.7746384502 5000.13216261 26.603943336 ab
57757.8039329 smi 4450.62938675 5000.06602103 25.8375024236 ab
57758.8039329 smi -3676.33962844 5000.05552003 25.6280380825 ab
57759.8039329 smi -4521.76833627 5000.08859331 26.1212054826 ab
57761.8039329 smi -2808.62792769 5000.11652434 26.4101839007 ab
57762.8039329 smi 1196.00094282 5000.22303367 27.1215808348 ab
57763.8039329 smi 1009.99894031 5000.08693706 26.1134937939 ab
57765.8039329 smi -2961.4159487 5000.08896235 26.1920868447 ab
57767.8039329 smi -5191.94487346 5000.34746066 27.7603305367 ab
57769.8039329 smi -6100.04013107 5000.0228412 24.9458569548 ab
57771.8039329 smi -227.088138035 5000.12584383 27.0171376107 ab
57773.8039329 smi 6537.80551557 5000.05803602 26.3800769881 ab
57775.8039329 smi -7087.90022421 5000.02462094 25.510986211 ab
57776.8039329 smi -6437.68246695 5000.02894128 25.6616170531 ab
57778.8039329 smi 16880.5249887 5000.20967049 27.7693860662 ab
57779.8039329 smi -135.297699505 5000.12008843 27.1588033959 ab
57780.8039329 smi -10680.9713638 5000.07847088 26.6982387808 ab
57782.8039329 smi -1363.94703747 5000.0600533 26.3347163152 ab
57783.8039329 smi 8200.1271183 5000.16414822 27.3502355915 ab
57784.8039329 smi 2901.26045201 5000.11481103 26.8696615121 ab
57786.8039329 smi 12175.1253944 5000.06992976 26.1726750385 ab
