@c -0.284429237791
@x1 -2.02054237301
@x0 0.000183631377193
@z 0.135632822086
@t0 58568.7072517
time band flux fluxerr zp zpsys
58553.7072517 smg -327.980021855 521.628239139 27.3360904143 ab
58558.7072517 smg 2039.13265714 914.805090476 27.0885829702 ab
58563.7072517 smg 115.5067589 908.17457161 25.6207933912 ab
58567.7072517 smg 1119.4983962 608.967057603 26.2710382834 ab
58572.7072517 smg -409.535117025 1322.32697011 25.8637470888 ab
58577.7072517 smg 5562.17960308 2390.888988 26.9253678253 ab
58582.7072517 smg 1683.95225454 663.039780403 27.9743073571 ab
58587.7072517 smg 558.606517047 292.557177226 26.9706106944 ab
58591.7072517 smg -43.3748320702 351.876241987 27.975436241 ab
58596.7072517 smg -13362.842632 6426.01054385 27.1315389029 ab
58600.7072517 smg 1035.1766277 892.067545506 27.0121845084 ab
58605.7072517 smg -443.424565183 1238.7242394 26.5179344105 ab
58609.7072517 smg 4489.22503155 2347.12542814 26.3770677277 ab
58613.7072517 smg 859.151820079 1230.59941067 26.5681343215 ab
58553.7073906 smr 136.212755147 521.607885676 24.901702389 ab
58558.7073906 smr -479.732062564 914.65652142 24.7532773484 ab
58563.7073906 smr -93.1677978458 908.107084936 24.7937492939 ab
58567.7073906 smr 155.734151682 608.780546818 25.7191691247 ab
58572.7073906 smr 841.504492973 1322.25716216 24.4616528138 ab
58577.7073906 smr -841.813804785 2390.81526149 25.0641101914 ab
58582.7073906 smr -163.355220198 662.572467725 24.4333038158 ab
58587.7073906 smr 61.5906884221 292.395052268 25.1149766497 ab
58591.7073906 smr 599.290650679 351.624877709 25.6105849854 ab
58596.7073906 smr -7142.25473678 6426.00623487 24.8040867514 ab
58600.7073906 smr -245.398452286 892.058133137 25.7050330367 ab
58605.7073906 smr 72.7815029834 1238.7167904 24.6855644502 ab
58609.7073906 smr 2554.26419995 2347.1237051 25.3230881976 ab
58613.7073906 smr 844.920737273 1230.59398865 25.0840134919 ab
58553.7075295 smi 120.760966765 521.647047026 27.1378093184 ab
58558.7075295 smi -411.21615081 914.754777866 27.0007030772 ab
58563.7075295 smi 1921.83620526 908.192955208 26.3828191419 ab
58567.7075295 smi 841.857272125 608.962942714 26.9419412053 ab
58572.7075295 smi 803.031635859 1322.32658965 26.4862986169 ab
58577.7075295 smi -1754.14692676 2390.8915072 27.4699198724 ab
58582.7075295 smi 58.4733853184 662.801479101 27.4375212979 ab
58587.7075295 smi 623.935357346 292.742331295 27.1382726008 ab
58591.7075295 smi -183.286569123 351.704729448 26.3257401459 ab
58596.7075295 smi -10451.3205104 6426.03075127 27.6472806114 ab
58600.7075295 smi -1082.65257444 892.134287384 27.2774348298 ab
58605.7075295 smi -3.05980956016 1238.73024433 26.186279421 ab
58609.7075295 smi 565.3412277 2347.13256402 26.737197412 ab
58613.7075295 smi -9.31013984878 1230.62931442 27.5205340236 ab
58551.7072517 kst -2.31329214002 1.19724413227 25.47 ab
58551.9572517 kst -0.174008467385 0.811157031875 25.47 ab
58552.2072517 kst 0.441071931988 0.507018979973 25.47 ab
58552.4572517 kst 1.34774835216 1.11994351453 25.47 ab
58552.7072517 kst 2.49740918347 1.52845510808 25.47 ab
58552.9572517 kst 3.3383282728 1.86818555881 25.47 ab
58553.2072517 kst 9.13111093687 2.17417609295 25.47 ab
58553.4572517 kst 3.74748722667 2.45982695161 25.47 ab
58553.7072517 kst 2.90900128903 2.73191370196 25.47 ab
58553.9572517 kst 10.9528301011 2.99448481692 25.47 ab
58554.2072517 kst 7.31513812733 3.24872653937 25.47 ab
58554.4572517 kst 15.4749319674 3.49658405729 25.47 ab
58554.7072517 kst 12.2852172405 3.74084029264 25.47 ab
58554.9572517 kst 16.0253542067 3.98357893782 25.47 ab
58555.2072517 kst 15.5889208771 4.22608728824 25.47 ab
58555.4572517 kst 22.4344795301 4.46752086027 25.47 ab
58555.7072517 kst 22.8395438826 4.70793149844 25.47 ab
58555.9572517 kst 28.6680697886 4.94756498922 25.47 ab
