@c -0.147918271715
@x1 1.45628815623
@x0 0.000282123164351
@z 0.11127094199
@t0 58397.2187586
time band flux fluxerr zp zpsys
58386.2187586 smg 852.519827455 511.689744583 27.3669884895 ab
58390.2187586 smg 5485.09659099 2498.60606137 27.3319823507 ab
58395.2187586 smg 313.599990145 1045.71197979 27.6322830487 ab
58400.2187586 smg 5237.35054454 1035.38146855 28.2604743901 ab
58404.2187586 smg -89.4407109765 1106.27248102 26.6279241128 ab
58408.2187586 smg -1143.37436953 1255.71832694 26.3114947051 ab
58412.2187586 smg 193.634493901 379.075555152 26.8719077038 ab
58386.2188975 smr 1145.40710384 510.86394519 25.2156609228 ab
58390.2188975 smr 1751.62166057 2498.36219109 25.2654892749 ab
58395.2188975 smr 1117.19333726 1044.79290004 25.2516465305 ab
58400.2188975 smr 1384.10240242 1033.82300543 25.8223921458 ab
58404.2188975 smr -881.457076329 1106.09723834 25.8242987522 ab
58408.2188975 smr 288.577353444 1255.59261826 24.8628434664 ab
58412.2188975 smr 35.7754285832 378.602295786 25.6228355433 ab
58386.2190364 smi 1212.03472815 511.476664385 27.6448938135 ab
58390.2190364 smi 3945.53673351 2498.36176187 25.6105188245 ab
58395.2190364 smi -1089.30177078 1044.85870763 26.3881580795 ab
58400.2190364 smi -916.461102118 1033.97800369 27.0949380966 ab
58404.2190364 smi 1484.86568667 1106.57429133 27.9805663246 ab
58408.2190364 smi 2566.49134534 1255.63500784 26.2190655056 ab
58412.2190364 smi 681.148974805 378.739124386 26.7842244481 ab
58381.2187586 kst 41.4468841827 6.36296091498 25.47 ab
58381.4687586 kst 49.3610706606 6.6745970646 25.47 ab
58381.7187586 kst 57.7272073686 6.9816391743 25.47 ab
58381.9687586 kst 64.2926740478 7.28867180577 25.47 ab
58382.2187586 kst 48.2800732773 7.5942778244 25.47 ab
58382.4687586 kst 55.3481715772 7.89426285226 25.47 ab
58382.7187586 kst 64.9971447671 8.18503946761 25.47 ab
58382.9687586 kst 70.9650113345 8.46717446572 25.47 ab
58383.2187586 kst 76.2396409675 8.74533530189 25.47 ab
58383.4687586 kst 83.9411867179 9.01642385164 25.47 ab
58383.7187586 kst 93.7376141549 9.2774433476 25.47 ab
58383.9687586 kst 97.2149728252 9.52596189846 25.47 ab
58384.2187586 kst 89.1422973048 9.76395961376 25.47 ab
58384.4687586 kst 86.1039091822 9.99359095373 25.47 ab
58384.7187586 kst 98.5188700016 10.216168455 25.47 ab
58384.9687586 kst 102.925494552 10.4328763996 25.47 ab
58385.2187586 kst 123.57338372 10.6440171801 25.47 ab
58385.4687586 kst 129.549009596 10.849398667 25.47 ab
58385.7187586 kst 133.978036871 11.0498620874 25.47 ab
58385.9687586 kst 124.284233237 11.2461910406 25.47 ab
58386.2187586 kst 127.47051588 11.4389870684 25.47 ab
58386.4687586 kst 136.266504272 11.6279591284 25.47 ab
58386.7187586 kst 135.113636794 11.813398841 25.47 ab
58386.9687586 kst 117.528280799 11.9957397811 25.47 ab
58387.2187586 kst 145.775924476 12.1753870037 25.47 ab
58387.4687586 kst 160.376300684 12.3539355176 25.47 ab
58387.7187586 kst 190.442630576 12.5310283413 25.47 ab
58387.9687586 kst 137.404372624 12.704284218 25.47 ab
58388.2187586 kst 178.797108941 12.8714476506 25.47 ab
58388.4687586 kst 146.25730429 13.0312726794 25.47 ab
58388.7187586 kst 176.171779011 13.18631023 25.47 ab
58388.9687586 kst 190.352038165 13.3359095862 25.47 ab
58389.2187586 kst 185.387911032 13.478940098 25.47 ab
58389.4687586 kst 170.268369996 13.6143267562 25.47 ab
58389.7187586 kst 194.275601697 13.7426881661 25.47 ab
58389.9687586 kst 177.028611211 13.8647042083 25.47 ab
58390.2187586 kst 216.987347655 13.9801926435 25.47 ab
58390.4687586 kst 192.46420386 14.0889683011 25.47 ab
58390.7187586 kst 196.519530598 14.1911131331 25.47 ab
58390.9687586 kst 193.617896501 14.2872222289 25.47 ab
58391.2187586 kst 222.433201222 14.3769978857 25.47 ab
58391.4687586 kst 209.548669632 14.4600748994 25.47 ab
58391.7187586 kst 196.537952348 14.5360776894 25.47 ab
58391.9687586 kst 207.803519929 14.6047000367 25.47 ab
58392.2187586 kst 213.770881355 14.6666022855 25.47 ab
58392.4687586 kst 231.917869896 14.7226650276 25.47 ab
58392.7187586 kst 226.83436713 14.7737478149 25.47 ab
58392.9687586 kst 218.230501027 14.8195755706 25.47 ab
58393.2187586 kst 209.479985823 14.8591004683 25.47 ab
58393.4687586 kst 206.06915188 14.8941431097 25.47 ab
58393.7187586 kst 205.174574696 14.9265982101 25.47 ab
58393.9687586 kst 233.580024785 14.9581868618 25.47 ab
58394.2187586 kst 256.540344334 14.9881851604 25.47 ab
58394.4687586 kst 212.664936006 15.0159939674 25.47 ab
58394.7187586 kst 225.039311688 15.0414764444 25.47 ab
58394.9687586 kst 203.592162217 15.0644956422 25.47 ab
58395.2187586 kst 232.478948811 15.0850803287 25.47 ab
58395.4687586 kst 197.480449907 15.1033529063 25.47 ab
58395.7187586 kst 236.392637679 15.1191938166 25.47 ab
58395.9687586 kst 227.829269714 15.1324803829 25.47 ab
58396.2187586 kst 223.399990836 15.1431066356 25.47 ab
58396.4687586 kst 214.193135979 15.151134651 25.47 ab
58396.7187586 kst 221.167714307 15.1566141975 25.47 ab
58396.9687586 kst 214.892513657 15.1595744854 25.47 ab
58397.2187586 kst 234.979345584 15.1600434364 25.47 ab
58397.4687586 kst 226.368571432 15.1579695239 25.47 ab
58397.7187586 kst 225.439691918 15.1533452461 25.47 ab
58397.9687586 kst 233.873014532 15.1462627427 25.47 ab
58398.2187586 kst 229.184794897 15.1368130974 25.47 ab
58398.4687586 kst 230.46771736 15.1250389873 25.47 ab
58398.7187586 kst 229.294719759 15.1108077791 25.47 ab
58398.9687586 kst 251.61680249 15.094197715 25.47 ab
58399.2187586 kst 247.106213461 15.0753176039 25.47 ab
58399.4687586 kst 214.260335799 15.0542734152 25.47 ab
58399.7187586 kst 227.437305901 15.0309478819 25.47 ab
58399.9687586 kst 220.245451878 15.0053180056 25.47 ab
58400.2187586 kst 245.394730044 14.9775166828 25.47 ab
58400.4687586 kst 235.29555699 14.9476768124 25.47 ab
58400.7187586 kst 211.941609472 14.9158796833 25.47 ab
58400.9687586 kst 245.885427392 14.8820164634 25.47 ab
58401.2187586 kst 255.797381965 14.8460522813 25.47 ab
58401.4687586 kst 236.003878639 14.8079613754 25.47 ab
58401.7187586 kst 202.266844035 14.7677132412 25.47 ab
58401.9687586 kst 223.528256355 14.7252117341 25.47 ab
58402.2187586 kst 211.478383109 14.680496251 25.47 ab
58402.4687586 kst 223.441016317 14.6336640697 25.47 ab
58402.7187586 kst 199.451267518 14.5848127672 25.47 ab
58402.9687586 kst 211.442966674 14.5339314091 25.47 ab
58403.2187586 kst 207.462196279 14.4808768343 25.47 ab
58403.4687586 kst 186.514398419 14.4257451517 25.47 ab
58403.7187586 kst 194.642836629 14.3686424368 25.47 ab
58403.9687586 kst 213.49393663 14.3096583196 25.47 ab
58404.2187586 kst 197.707161039 14.2486551481 25.47 ab
58404.4687586 kst 202.164264537 14.1856199064 25.47 ab
58404.7187586 kst 211.883988225 14.1206072701 25.47 ab
58404.9687586 kst 202.255079427 14.053672076 25.47 ab
58405.2187586 kst 199.800204975 13.9845425655 25.47 ab
58405.4687586 kst 204.800445711 13.9130593217 25.47 ab
58405.7187586 kst 201.21177186 13.8397655498 25.47 ab
58405.9687586 kst 202.49617328 13.7652219428 25.47 ab
58406.2187586 kst 176.824592073 13.6898672313 25.47 ab
58406.4687586 kst 185.48390763 13.6131477298 25.47 ab
58406.7187586 kst 181.649831935 13.5351530524 25.47 ab
58406.9687586 kst 187.548235049 13.4561812365 25.47 ab
58407.2187586 kst 179.878338466 13.3765370938 25.47 ab
58407.4687586 kst 160.898683582 13.296297802 25.47 ab
58407.7187586 kst 166.607755577 13.2152555105 25.47 ab
58407.9687586 kst 143.692281132 13.1332963289 25.47 ab
58408.2187586 kst 175.929868918 13.050303333 25.47 ab
58408.4687586 kst 187.713932689 12.9662040668 25.47 ab
58408.7187586 kst 170.006764782 12.8811079994 25.47 ab
58408.9687586 kst 157.066673517 12.794911807 25.47 ab
58409.2187586 kst 160.572325836 12.7074757898 25.47 ab
58409.4687586 kst 132.138863538 12.6186558631 25.47 ab
58409.7187586 kst 144.372614057 12.5283385304 25.47 ab
58409.9687586 kst 151.993147805 12.4365903437 25.47 ab
58410.2187586 kst 145.069709253 12.3435285471 25.47 ab
58410.4687586 kst 156.181161908 12.2492734985 25.47 ab
58410.7187586 kst 148.687061795 12.1533898539 25.47 ab
58410.9687586 kst 152.232616829 12.0548892911 25.47 ab
58411.2187586 kst 141.185041725 11.9553882197 25.47 ab
58411.4687586 kst 124.64399708 11.8567434741 25.47 ab
58411.7187586 kst 140.792641806 11.7607927641 25.47 ab
58411.9687586 kst 131.925724342 11.6667604696 25.47 ab
58412.2187586 kst 138.519115055 11.5741673456 25.47 ab
58412.4687586 kst 136.62865206 11.4834862599 25.47 ab
58412.7187586 kst 105.459940414 11.3952043088 25.47 ab
58412.9687586 kst 153.489310531 11.3095374131 25.47 ab
58413.2187586 kst 126.091575251 11.2261834395 25.47 ab
58413.4687586 kst 129.864448902 11.1453292747 25.47 ab
58413.7187586 kst 121.868828568 11.0671893632 25.47 ab
58413.9687586 kst 128.244026147 10.9919537428 25.47 ab
