@c 0.19221768053
@x1 -1.43516612608
@x0 0.00404726105631
@z 0.03110397111
@t0 58467.1759243
time band flux fluxerr zp zpsys
58460.1759243 smg 533.526874177 2141.67442657 25.678825452 ab
58461.1759243 smg 15273.3309319 299.930094495 27.2789539897 ab
58463.1759243 smg 34378.3250419 4385.06671505 27.5991752355 ab
58464.1759243 smg 4932.65069533 1965.91644789 25.5159451954 ab
58466.1759243 smg 20686.6727163 559.063044718 27.2272700596 ab
58468.1759243 smg 15419.1525592 554.201149246 26.7933280482 ab
58470.1759243 smg 11889.0488123 397.596863311 26.705250095 ab
58472.1759243 smg 29208.3692024 688.468534696 27.7430138715 ab
58473.1759243 smg 11385.1942456 1725.99803741 26.7823569751 ab
58474.1759243 smg 7381.14633219 127.660722289 26.4225211797 ab
58476.1759243 smg 5217.05775449 94.8172486286 26.1545060588 ab
58478.1759243 smg 8782.09415597 3344.91877663 27.3957551532 ab
58480.1759243 smg 11905.3476403 2819.5843652 26.9410094796 ab
58482.1759243 smg 5298.6908908 182.056725229 26.7507128344 ab
58483.1759243 smg 2252.67321777 472.54604622 25.9721830432 ab
58485.1759243 smg 2558.34469342 792.180431388 26.1744381963 ab
58487.1759243 smg 4268.55744942 1413.61943754 27.6013617988 ab
58488.1759243 smg -307.740337895 1418.42457887 24.7655200689 ab
58490.1759243 smg 3220.15888575 1627.54162673 26.805607097 ab
58492.1759243 smg 2884.69270848 3598.92728255 26.3529914294 ab
58493.1759243 smg 3299.94673532 1623.9639597 27.4101246627 ab
58495.1759243 smg 3273.83420796 203.904621887 27.3901370541 ab
58496.1759243 smg 1325.90699057 950.303807442 25.9591457183 ab
58498.1759243 smg 671.709259094 1600.15716416 26.6168494674 ab
58499.1759243 smg 7133.64430658 154.456203125 28.5214771553 ab
58501.1759243 smg 3744.81998121 1019.50544563 27.7540410795 ab
58503.1759243 smg 323.071023999 1234.4680587 26.3707605692 ab
58505.1759243 smg 826.803986114 365.592763968 25.3372250128 ab
58506.1759243 smg 1085.63195691 3952.98310467 26.8897291664 ab
58507.1759243 smg 4379.67337634 3600.77148543 27.0248287282 ab
58460.1760632 smr 4342.12382438 2141.63084294 25.4244207419 ab
58461.1760632 smr 1896.41874369 276.379158989 24.8820574919 ab
58463.1760632 smr 11556.735394 4382.95471632 26.0371708434 ab
58464.1760632 smr -410.524233995 1965.46592483 24.7513886259 ab
58466.1760632 smr 3393.05318841 544.201050505 25.367746571 ab
58468.1760632 smr 4905.28705938 545.580114465 25.3847920042 ab
58470.1760632 smr 4868.36255044 388.626556414 25.5853591021 ab
58472.1760632 smr 966.939582813 668.88361126 24.7978018199 ab
58473.1760632 smr 5048.75599409 1723.50044402 25.0097579667 ab
58474.1760632 smr 3789.54445888 112.152997612 25.4821478005 ab
58476.1760632 smr 2078.69343382 77.1552782746 24.9833802306 ab
58478.1760632 smr 6612.34006584 3343.28684498 25.4599265163 ab
58480.1760632 smr -49.2346816635 2818.74456139 25.5702380223 ab
58482.1760632 smr 1646.66605672 171.512791119 24.9882267688 ab
58483.1760632 smr 1694.72578406 472.368052504 25.3590790762 ab
58485.1760632 smr 3194.8253114 791.554849674 24.8987353754 ab
58487.1760632 smr 1292.77787125 1411.3314073 24.544353116 ab
58488.1760632 smr 1721.46791598 1418.98279809 25.4152237036 ab
58490.1760632 smr 1043.74125337 1627.18887087 25.2641303104 ab
58492.1760632 smr -2302.18862175 3598.88329119 25.0634170025 ab
58493.1760632 smr 3725.44022297 1623.08069237 24.8932853111 ab
58495.1760632 smr 1002.72324913 198.680255911 25.1613354391 ab
58496.1760632 smr 2086.62302606 950.674093151 25.5322721863 ab
58498.1760632 smr 1018.27091597 1600.02069906 25.1222868616 ab
58499.1760632 smr 864.334300401 132.165806651 25.263293268 ab
58501.1760632 smr 624.496400404 1018.39540865 25.5770885703 ab
58503.1760632 smr 28.3483492879 1234.35359061 25.0623155625 ab
58505.1760632 smr 489.661755315 365.743760005 24.8141007399 ab
58506.1760632 smr 2369.5101439 3952.85748248 24.4559880725 ab
58507.1760632 smr -798.073124171 3600.67364881 25.4453481381 ab
58460.1762021 smi 12948.7418313 2143.28651158 26.9576071202 ab
58461.1762021 smi 7938.2047001 287.797365772 26.6665458855 ab
58463.1762021 smi 3776.21565533 4383.24506575 26.6857281912 ab
58464.1762021 smi 4313.58052844 1965.9262256 25.7588235183 ab
58466.1762021 smi 8673.6816853 548.118820372 26.5693691321 ab
58468.1762021 smi 7109.61831533 548.294372517 26.4343623301 ab
58470.1762021 smi 12598.0245494 398.189006006 27.0880451172 ab
58472.1762021 smi 8091.45411871 673.633685011 26.7740572819 ab
58473.1762021 smi 39760.4147807 1733.90243988 28.4571294677 ab
58474.1762021 smi 4415.57111825 114.374897822 26.179822904 ab
58476.1762021 smi 10698.2963945 120.551496189 27.3372450814 ab
58478.1762021 smi 29825.1350508 3347.39368459 28.6152984443 ab
58480.1762021 smi 9968.28047864 2819.50019639 27.0895111133 ab
58482.1762021 smi 1833.19630339 172.889258761 25.7272384771 ab
58483.1762021 smi 9011.43799006 479.404226802 27.2909157141 ab
58485.1762021 smi 3173.46995786 792.626994422 26.0951763058 ab
58487.1762021 smi 11843.4198052 1415.0307131 27.4696469523 ab
58488.1762021 smi 10323.3535377 1420.89551328 26.9950077347 ab
58490.1762021 smi 11222.342342 1630.49014178 27.5271322078 ab
58492.1762021 smi 4003.36455991 3599.31273483 26.4439130251 ab
58493.1762021 smi 10028.8292993 1625.84643855 27.3910529608 ab
58495.1762021 smi 16480.3969556 233.200905125 28.0248381687 ab
58496.1762021 smi 5287.90894846 952.574341387 26.8539245167 ab
58498.1762021 smi 5414.12381437 1601.2236561 26.9189525585 ab
58499.1762021 smi 2254.20824344 137.293128913 26.2253462787 ab
58501.1762021 smi 1758.05407385 1019.79913233 26.9657264141 ab
58503.1762021 smi 3201.56717409 1235.29003181 26.7850339522 ab
58505.1762021 smi 2103.97346682 368.375466628 26.6897479844 ab
58506.1762021 smi 3296.66824569 3953.03114236 26.3708575943 ab
58507.1762021 smi 12468.4529567 3602.04417279 28.4258735987 ab
58451.1759243 kst 9.20586468257 2.91804077131 25.47 ab
58451.4259243 kst 29.0360063251 5.78170286616 25.47 ab
58451.6759243 kst 59.520228713 7.88943093198 25.47 ab
58451.9259243 kst 109.288062631 9.74438985512 25.47 ab
58452.1759243 kst 144.959079457 11.4931454715 25.47 ab
58452.4259243 kst 149.323696332 13.152044049 25.47 ab
58452.6759243 kst 201.329243137 14.7275896302 25.47 ab
58452.9259243 kst 281.34933728 16.2355159659 25.47 ab
58453.1759243 kst 283.389035323 17.7083664997 25.47 ab
