@c -0.322080143598
@x1 -1.45075064111
@x0 0.000169043707872
@z 0.140862487369
@t0 58454.206219
time band flux fluxerr zp zpsys
58441.206219 smg 116.900845218 368.895458649 25.8732006351 ab
58443.206219 smg 2858.18308459 1812.97985199 26.8494135749 ab
58444.206219 smg 3753.45084401 1275.14103935 26.0731855234 ab
58446.206219 smg -1320.31784673 1093.62701141 27.0436437014 ab
58448.206219 smg 554.368287487 1934.89692064 28.206007789 ab
58449.206219 smg 327.780421711 844.470120538 26.6724011931 ab
58450.206219 smg -1323.59368473 1259.5534348 26.6889450177 ab
58451.206219 smg 1928.92432812 1361.1125631 25.7228608723 ab
58452.206219 smg 171.060519507 610.142392899 26.7328231742 ab
58453.206219 smg 424.294770923 842.609055167 26.6099468757 ab
58454.206219 smg 4525.34356738 7985.60599987 26.6754348291 ab
58456.206219 smg -5986.58878216 5172.25211787 26.7504760982 ab
58458.206219 smg 1327.69684328 1519.0277357 25.774650246 ab
58460.206219 smg -4149.30378335 2118.4250145 26.9905779776 ab
58462.206219 smg -3640.80788729 1888.98078421 25.6826043147 ab
58463.206219 smg 1219.6971855 1078.14952524 25.9504051937 ab
58464.206219 smg 2196.59634666 1096.47030425 27.0482797977 ab
58465.206219 smg -773.941493582 11821.4454305 28.2735548374 ab
58467.206219 smg 61.9082357436 425.266894257 26.3883564661 ab
58468.206219 smg -464.883094395 1106.85447292 26.1630449154 ab
58470.206219 smg 828.48152475 199.244374762 27.2860209277 ab
58441.2063579 smr -241.034622796 368.881032076 25.8200242653 ab
58443.2063579 smr 372.940198345 1812.93828671 25.6931887486 ab
58444.2063579 smr -545.115224168 1275.10993062 25.3904563748 ab
58446.2063579 smr 1027.92464441 1093.46132537 25.8198640953 ab
58448.2063579 smr 1048.99483906 1934.4739431 25.4690160437 ab
58449.2063579 smr 38.536061777 844.230986092 24.7989641408 ab
58450.2063579 smr -209.704221313 1259.40139041 25.5261754373 ab
58451.2063579 smr 85.0937240138 1361.0693699 25.2948550804 ab
58452.2063579 smr 581.708870349 609.733166786 24.7092172077 ab
58453.2063579 smr 2079.79069152 842.358895752 25.069980952 ab
58454.2063579 smr 5255.1876127 7985.57884784 25.2647586192 ab
58456.2063579 smr 8504.77757615 5172.20952854 25.3404552867 ab
58458.2063579 smr 1402.60249742 1518.99438056 25.3122314553 ab
58460.2063579 smr -1748.25910816 2118.32304365 25.5761096028 ab
58462.2063579 smr 1666.16202277 1888.98306542 25.8824887191 ab
58463.2063579 smr 571.374411339 1078.11071576 25.3093069216 ab
58464.2063579 smr -552.324576238 1096.29777615 24.6782081026 ab
58465.2063579 smr 6120.42671177 11821.4037257 26.3781651213 ab
58467.2063579 smr 580.919741986 425.094072712 24.2027862361 ab
58468.2063579 smr 328.373544033 1106.82156644 25.0855349073 ab
58470.2063579 smr 210.727101923 198.788954007 25.9032171209 ab
58441.2064968 smi -618.586893527 368.884178219 25.9162829783 ab
58443.2064968 smi -1460.61083056 1812.96359739 26.9083533404 ab
58444.2064968 smi -34.5200321488 1275.27065685 27.9659593949 ab
58446.2064968 smi 907.41794788 1093.52764894 26.9556738664 ab
58448.2064968 smi -1365.85594052 1934.47165319 25.5875968283 ab
58449.2064968 smi 1228.58419574 844.249742837 25.5579884925 ab
58450.2064968 smi -1280.57480526 1259.82084127 28.3594131002 ab
58451.2064968 smi -49.058921606 1361.16049221 27.0076341303 ab
58452.2064968 smi 36.5301368469 609.813991168 26.1383111338 ab
58453.2064968 smi 469.133990921 842.392980642 26.0141873509 ab
58454.2064968 smi -3514.4215236 7985.60658232 27.4831670656 ab
58456.2064968 smi 4093.83823581 5172.22712416 26.8262366185 ab
58458.2064968 smi -2483.39900523 1519.09272286 27.2201777081 ab
58460.2064968 smi 2397.6824185 2118.35542708 26.8325308641 ab
58462.2064968 smi -285.976353048 1889.11922843 27.9707257888 ab
58463.2064968 smi 34.4664254476 1078.12509689 26.1591472053 ab
58464.2064968 smi 350.606204177 1096.32769379 26.1905452799 ab
58465.2064968 smi -9842.51531958 11821.4008971 26.4932432169 ab
58467.2064968 smi 95.9269630708 425.404818578 27.4030047995 ab
58468.2064968 smi 537.78192052 1106.86289339 26.6661991348 ab
58470.2064968 smi 298.991194877 199.199686601 27.3340808839 ab
58438.206219 kst 1.99669073132 2.52920693943 25.47 ab
58438.456219 kst 5.84886342504 2.76997456576 25.47 ab
58438.706219 kst 7.7004195742 3.00485023679 25.47 ab
58438.956219 kst 8.56841336706 3.23453844751 25.47 ab
58439.206219 kst 14.9786571197 3.45950424494 25.47 ab
58439.456219 kst 16.4963348482 3.68009322057 25.47 ab
58439.706219 kst 21.7600035588 3.89698750655 25.47 ab
58439.956219 kst 18.2502748075 4.1111462576 25.47 ab
58440.206219 kst 18.1921136453 4.32334413931 25.47 ab
58440.456219 kst 24.7837158826 4.53420745796 25.47 ab
58440.706219 kst 18.9424439185 4.74400016739 25.47 ab
58440.956219 kst 26.5383003287 4.95255520644 25.47 ab
58441.206219 kst 24.5031844093 5.1601936016 25.47 ab
58441.456219 kst 23.2886734737 5.3672066972 25.47 ab
58441.706219 kst 20.0046901587 5.57382415304 25.47 ab
58441.956219 kst 25.0970068954 5.77973351951 25.47 ab
58442.206219 kst 43.7120713222 5.98511544646 25.47 ab
58442.456219 kst 45.2489536059 6.19041954705 25.47 ab
58442.706219 kst 45.9285463535 6.39603766143 25.47 ab
58442.956219 kst 39.412456105 6.60209761234 25.47 ab
58443.206219 kst 43.5306793766 6.8081406231 25.47 ab
58443.456219 kst 53.6315253424 7.0144066084 25.47 ab
58443.706219 kst 63.8267486813 7.22117234649 25.47 ab
58443.956219 kst 46.3999435851 7.42870196859 25.47 ab
58444.206219 kst 54.8009871665 7.6401850982 25.47 ab
58444.456219 kst 57.3684377584 7.85414248479 25.47 ab
58444.706219 kst 65.7158030433 8.0656602934 25.47 ab
58444.956219 kst 69.1284686737 8.27032522011 25.47 ab
58445.206219 kst 76.2522354112 8.46552550881 25.47 ab
58445.456219 kst 62.0832352421 8.65619783953 25.47 ab
58445.706219 kst 89.6049420747 8.84156130434 25.47 ab
58445.956219 kst 88.826053548 9.01974809911 25.47 ab
58446.206219 kst 88.4746650087 9.18902101982 25.47 ab
58446.456219 kst 100.486399081 9.34962052239 25.47 ab
58446.706219 kst 91.2131677309 9.50333930438 25.47 ab
58446.956219 kst 97.6129421038 9.65025719586 25.47 ab
58447.206219 kst 93.0826482931 9.79042960921 25.47 ab
58447.456219 kst 97.2356623849 9.92396355596 25.47 ab
58447.706219 kst 91.0690669564 10.0515231345 25.47 ab
58447.956219 kst 81.2469456035 10.1731420183 25.47 ab
58448.206219 kst 120.181984426 10.2886584044 25.47 ab
58448.456219 kst 112.07794072 10.3979071231 25.47 ab
58448.706219 kst 117.981853918 10.5009192103 25.47 ab
58448.956219 kst 105.546537302 10.5981238134 25.47 ab
58449.206219 kst 115.587237285 10.6897299073 25.47 ab
58449.456219 kst 104.729338923 10.7759228677 25.47 ab
58449.706219 kst 122.097815944 10.856853095 25.47 ab
58449.956219 kst 115.024931947 10.9323309316 25.47 ab
58450.206219 kst 124.30675874 11.0026552165 25.47 ab
58450.456219 kst 107.316095924 11.0683188855 25.47 ab
58450.706219 kst 116.207805656 11.1297969521 25.47 ab
58450.956219 kst 132.994132171 11.18748096 25.47 ab
58451.206219 kst 124.768587322 11.2412839429 25.47 ab
58451.456219 kst 139.438435197 11.2909529383 25.47 ab
58451.706219 kst 124.954086987 11.3362375374 25.47 ab
58451.956219 kst 129.768704627 11.3768929293 25.47 ab
58452.206219 kst 131.780958314 11.4131735973 25.47 ab
58452.456219 kst 132.136854074 11.4451937374 25.47 ab
58452.706219 kst 123.710087114 11.4727666801 25.47 ab
58452.956219 kst 123.593527967 11.4957025269 25.47 ab
58453.206219 kst 139.646478013 11.5137525889 25.47 ab
58453.456219 kst 123.041002929 11.5267722164 25.47 ab
58453.706219 kst 139.855451349 11.535263461 25.47 ab
58453.956219 kst 124.237893762 11.5397782353 25.47 ab
58454.206219 kst 150.439884219 11.5408630711 25.47 ab
58454.456219 kst 121.829547522 11.5382680903 25.47 ab
58454.706219 kst 136.989492121 11.5317043282 25.47 ab
58454.956219 kst 118.318483073 11.5216544813 25.47 ab
58455.206219 kst 116.594170921 11.5085994515 25.47 ab
58455.456219 kst 136.33115167 11.4929229234 25.47 ab
58455.706219 kst 137.35235117 11.4742272915 25.47 ab
58455.956219 kst 120.93910196 11.4524986862 25.47 ab
58456.206219 kst 123.472661518 11.4278643954 25.47 ab
58456.456219 kst 132.463215994 11.4004505194 25.47 ab
58456.706219 kst 113.852711456 11.3701852639 25.47 ab
58456.956219 kst 117.328178497 11.3369105531 25.47 ab
58457.206219 kst 118.938817495 11.3008028237 25.47 ab
58457.456219 kst 115.84578933 11.2620429124 25.47 ab
58457.706219 kst 123.08807808 11.2207756528 25.47 ab
58457.956219 kst 134.493151799 11.1766625291 25.47 ab
58458.206219 kst 142.648702702 11.1297800825 25.47 ab
58458.456219 kst 129.202046933 11.0803951044 25.47 ab
58458.706219 kst 116.110220167 11.0287773335 25.47 ab
58458.956219 kst 139.320149772 10.9749802538 25.47 ab
58459.206219 kst 117.015029482 10.9186755742 25.47 ab
58459.456219 kst 121.463510074 10.8599984375 25.47 ab
58459.706219 kst 124.78143015 10.7991099656 25.47 ab
58459.956219 kst 106.788736848 10.7361652528 25.47 ab
58460.206219 kst 100.383507013 10.6709885566 25.47 ab
58460.456219 kst 103.953731865 10.6035027969 25.47 ab
58460.706219 kst 107.240208217 10.533786411 25.47 ab
58460.956219 kst 124.195025929 10.4619184664 25.47 ab
58461.206219 kst 110.901967542 10.3879171235 25.47 ab
58461.456219 kst 104.093287613 10.3116042444 25.47 ab
58461.706219 kst 109.503056228 10.2329879016 25.47 ab
58461.956219 kst 94.8300211243 10.1520976409 25.47 ab
58462.206219 kst 114.812751579 10.0689585904 25.47 ab
58462.456219 kst 101.412069383 9.98250913329 25.47 ab
58462.706219 kst 88.1035566512 9.89290177882 25.47 ab
58462.956219 kst 74.7587448079 9.80163352629 25.47 ab
58463.206219 kst 104.450860078 9.7102560621 25.47 ab
58463.456219 kst 111.037625227 9.61989759288 25.47 ab
58463.706219 kst 111.250900082 9.52894771562 25.47 ab
58463.956219 kst 78.3362596034 9.43784216806 25.47 ab
58464.206219 kst 81.6964336516 9.34753063085 25.47 ab
58464.456219 kst 83.5521333614 9.25899969834 25.47 ab
58464.706219 kst 92.2701757327 9.17257899931 25.47 ab
58464.956219 kst 80.2605874243 9.08769388728 25.47 ab
58465.206219 kst 85.8019413498 9.00424076865 25.47 ab
58465.456219 kst 99.1874616383 8.9221146624 25.47 ab
58465.706219 kst 68.1225017629 8.8412313938 25.47 ab
58465.956219 kst 75.0155790353 8.76177258203 25.47 ab
58466.206219 kst 87.4031477503 8.68375095648 25.47 ab
58466.456219 kst 70.7535667721 8.60710382723 25.47 ab
58466.706219 kst 61.0120043941 8.53176556665 25.47 ab
58466.956219 kst 73.93841643 8.45777483566 25.47 ab
58467.206219 kst 78.0947790712 8.38527641467 25.47 ab
58467.456219 kst 81.7318151257 8.31419582423 25.47 ab
58467.706219 kst 69.1296349206 8.24444845827 25.47 ab
58467.956219 kst 70.4640588159 8.17597091121 25.47 ab
58468.206219 kst 50.6491466745 8.10918101768 25.47 ab
58468.456219 kst 73.1949070421 8.04393564012 25.47 ab
58468.706219 kst 54.7350956048 7.97979338916 25.47 ab
58468.956219 kst 55.9156481254 7.91629796113 25.47 ab
58469.206219 kst 53.180477322 7.85319457114 25.47 ab
58469.456219 kst 59.9814051134 7.79088406815 25.47 ab
58469.706219 kst 55.0017595115 7.72935111493 25.47 ab
58469.956219 kst 70.9937280209 7.66853569311 25.47 ab
58470.206219 kst 79.5398824575 7.60837593702 25.47 ab
58470.456219 kst 53.4028209721 7.54886262322 25.47 ab
58470.706219 kst 63.5542192738 7.49006518738 25.47 ab
58470.956219 kst 55.8962183991 7.43205426083 25.47 ab
58471.206219 kst 54.0916709592 7.37490245999 25.47 ab
58471.456219 kst 54.6713684283 7.31865193955 25.47 ab
58471.706219 kst 51.5421197353 7.26323097746 25.47 ab
58471.956219 kst 45.2253422758 7.20872839859 25.47 ab
58472.206219 kst 60.3672659038 7.15525923674 25.47 ab
58472.456219 kst 50.4699443642 7.10294157003 25.47 ab
58472.706219 kst 50.1668784726 7.05194473603 25.47 ab
58472.956219 kst 52.6802262904 7.0022292184 25.47 ab
58473.206219 kst 47.8553303956 6.95358784127 25.47 ab
58473.456219 kst 53.9071166528 6.90580699526 25.47 ab
58473.706219 kst 43.1485925358 6.8587168212 25.47 ab
58473.956219 kst 54.2876263811 6.81255382473 25.47 ab
58474.206219 kst 38.3226824933 6.76730220535 25.47 ab
58474.456219 kst 39.7216298541 6.72285557218 25.47 ab
58474.706219 kst 47.789972125 6.67910438401 25.47 ab
58474.956219 kst 46.5573604738 6.63597515475 25.47 ab
58475.206219 kst 43.7892559477 6.59354988252 25.47 ab
