@c -0.324555438056
@x1 5.5489468916
@x0 0.00159767112912
@z 0.0488691375966
@t0 58496.6574464
time band flux fluxerr zp zpsys
58488.6574464 smg 21488.7931826 1270.96943896 28.3728287756 ab
58489.6574464 smg 4001.95955456 709.715132038 26.4113670993 ab
58490.6574464 smg 1614.36331414 409.638804522 25.7654087082 ab
58492.6574464 smg 1891.65840297 328.849949337 26.0462214179 ab
58493.6574464 smg 6833.37670923 1101.78658135 27.1334969379 ab
58494.6574464 smg -1104.83820861 1930.7159685 25.6123374186 ab
58496.6574464 smg 2880.66037034 256.123834832 26.131489617 ab
58497.6574464 smg 5433.8403629 680.836632244 26.7185683379 ab
58498.6574464 smg 21392.8095596 1754.38338605 28.2842756699 ab
58499.6574464 smg 4140.91576957 404.276197364 26.5567059468 ab
58500.6574464 smg 15146.5105288 267.58731388 28.0469099276 ab
58502.6574464 smg 3355.97188294 1041.07705348 25.5745698196 ab
58503.6574464 smg 6186.48068353 1216.47802167 26.8212181835 ab
58505.6574464 smg 4638.80281259 786.894114558 27.0577037512 ab
58506.6574464 smg 6604.94465885 689.232652289 27.2901077692 ab
58507.6574464 smg 1614.94614174 1420.81627619 25.5628012707 ab
58508.6574464 smg 9334.3275476 288.713134581 27.6790619626 ab
58510.6574464 smg 13491.5124936 1140.41114368 28.155647993 ab
58511.6574464 smg 4581.33634371 870.464235405 26.7280313353 ab
58512.6574464 smg 5171.38526468 1149.9116512 27.2419529038 ab
58514.6574464 smg 2546.74806005 1534.89817546 25.922594992 ab
58515.6574464 smg 704.320059979 3219.51143398 27.7046712011 ab
58517.6574464 smg 2392.3758875 841.915251509 26.393062186 ab
58519.6574464 smg 3081.85431015 1709.12374917 26.9627879959 ab
58521.6574464 smg 1595.3844972 784.012719193 26.8427061623 ab
58522.6574464 smg -472.063598555 1442.66461617 26.7625412295 ab
58523.6574464 smg 2626.34618367 2692.38911916 26.7331596232 ab
58524.6574464 smg 3640.68790686 1840.62396718 27.1069201413 ab
58526.6574464 smg -25.8592225669 453.581125104 25.999377482 ab
58528.6574464 smg 2796.14919557 371.020795899 27.6735957801 ab
58529.6574464 smg 1797.9074504 977.741164816 28.1629887893 ab
58531.6574464 smg 1365.07411631 540.023512175 26.9978545458 ab
58532.6574464 smg -588.626104992 994.162964041 25.3256019045 ab
58533.6574464 smg -1002.46490545 1157.09731252 26.3348881158 ab
58534.6574464 smg 1429.97548191 695.958962272 27.3623978442 ab
58536.6574464 smg 846.523672518 1393.79907795 26.9821474061 ab
58538.6574464 smg 840.33984909 1322.22456379 27.4400833263 ab
58539.6574464 smg 4581.37324462 4101.61493 28.1171566887 ab
58540.6574464 smg 560.118801477 1087.17729356 27.8894250458 ab
58542.6574464 smg 551.03728403 619.618304423 25.9959790357 ab
58544.6574464 smg 1134.60810624 1382.98319785 26.3623677759 ab
58488.6575853 smr 2703.94945299 1262.90279601 26.0687733347 ab
58489.6575853 smr 1102.4658845 707.475673199 24.8983478086 ab
58490.6575853 smr 771.679050843 407.718007509 24.8220336356 ab
58492.6575853 smr -131.238935302 325.682873705 24.9309999102 ab
58493.6575853 smr 568.068464244 1098.84440158 24.8260338433 ab
58494.6575853 smr 1237.06260996 1930.44966694 25.1286322758 ab
58496.6575853 smr 531.192747487 252.433255051 25.2981299753 ab
58497.6575853 smr 1740.17906723 678.602395454 25.9965288275 ab
58498.6575853 smr 5352.77753966 1749.16233095 25.2383698764 ab
58499.6575853 smr 1256.0330637 401.044848026 25.804188283 ab
58500.6575853 smr 1139.09764425 239.304707142 25.3395553139 ab
58502.6575853 smr -726.321555213 1041.07045275 26.0248228219 ab
58503.6575853 smr -160.36122586 1214.86465804 25.4437934746 ab
58505.6575853 smr -78.4762682555 783.651185628 25.3059317898 ab
58506.6575853 smr 277.863366328 684.682572677 25.462046653 ab
58507.6575853 smr -1017.27980184 1420.4597798 24.656018088 ab
58508.6575853 smr 1547.64594133 273.878301521 25.8840792873 ab
58510.6575853 smr 580.92578188 1134.88656526 25.40431531 ab
58511.6575853 smr -382.564160921 868.940028841 25.5885162061 ab
58512.6575853 smr 1136.61101121 1147.89533617 25.167870871 ab
58514.6575853 smr -1213.13336161 1534.6039597 25.2525758828 ab
58515.6575853 smr 1709.8572921 3218.53420542 24.98813653 ab
58517.6575853 smr 308.144406976 841.104666134 25.0018232896 ab
58519.6575853 smr 258.52510591 1708.51142214 24.9840181656 ab
58521.6575853 smr 434.309226 783.168349446 25.448954357 ab
58522.6575853 smr 2640.54987906 1442.15200029 24.3439891969 ab
58523.6575853 smr 5809.84917278 2692.16571508 24.9113787586 ab
58524.6575853 smr -1339.25777675 1840.15002522 24.9422197519 ab
58526.6575853 smr 578.311630798 453.236174429 24.8739175576 ab
58528.6575853 smr 516.681708941 367.61669475 24.7112957268 ab
58529.6575853 smr 298.214737511 975.765121959 24.4343033905 ab
58531.6575853 smr 1389.64188395 539.363679318 25.3215141201 ab
58532.6575853 smr 203.73773088 994.248876162 25.1902842772 ab
58533.6575853 smr 1180.29962597 1157.00468576 25.0840417684 ab
58534.6575853 smr 934.055070788 695.23519028 25.1872837009 ab
58536.6575853 smr 573.502188787 1393.61860543 25.3285590884 ab
58538.6575853 smr 138.727771052 1321.85027537 24.9693769221 ab
58539.6575853 smr -5311.79952784 4101.39997975 25.7299267813 ab
58540.6575853 smr 490.462808091 1086.4538048 24.6877939063 ab
58542.6575853 smr 491.839992388 619.735197105 25.9036350343 ab
58544.6575853 smr 696.686073969 1382.94164806 25.5105444554 ab
58488.6577242 smi 1725.27320271 1263.32596287 27.2098066488 ab
58489.6577242 smi 1217.29454959 707.654092684 25.9504146522 ab
58490.6577242 smi 1940.24596275 408.474042751 26.3965502171 ab
58492.6577242 smi 1808.86109505 326.903263413 26.7418046206 ab
58493.6577242 smi 450.498461857 1099.04728558 26.4367887984 ab
58494.6577242 smi 3632.24597564 1930.69058359 27.076890446 ab
58496.6577242 smi 750.297287578 252.399096464 26.3932911996 ab
58497.6577242 smi 2232.86885508 678.673643041 27.2248406193 ab
58498.6577242 smi -2563.13395622 1749.13665979 26.2745702527 ab
58499.6577242 smi 3706.03881033 403.790833617 28.0735318879 ab
58500.6577242 smi 682.376398231 239.966965342 26.8323120298 ab
58502.6577242 smi -68.7647379857 1040.82653921 26.655852761 ab
58503.6577242 smi -590.170738399 1214.66992962 25.6589197581 ab
58505.6577242 smi 664.831321572 783.533090069 26.0053262989 ab
58506.6577242 smi 191.156965266 684.864211004 26.7373411371 ab
58507.6577242 smi 2059.72306326 1421.03269895 27.4524654842 ab
58508.6577242 smi 159.646184344 272.530785437 25.8551855404 ab
58510.6577242 smi 1061.53505547 1134.83311378 26.4556186356 ab
58511.6577242 smi 1782.86629955 869.758667365 28.2160965099 ab
58512.6577242 smi 593.715342977 1147.93670681 26.9138782382 ab
58514.6577242 smi 1481.72579756 1534.5840456 26.7292255972 ab
58515.6577242 smi 2197.60554675 3218.79132531 28.4972450494 ab
58517.6577242 smi 370.240382093 841.007864312 26.0273579005 ab
58519.6577242 smi 2730.31385915 1708.42875422 25.0668976089 ab
58521.6577242 smi -139.05055668 783.495150542 27.4324340542 ab
58522.6577242 smi 4170.50315778 1443.5681223 28.6648515703 ab
58523.6577242 smi 2794.6532872 2692.37840608 27.333198812 ab
58524.6577242 smi 2711.34108585 1840.66643382 27.6243066991 ab
58526.6577242 smi 1475.7463682 454.137363329 26.7361152335 ab
58528.6577242 smi 669.873599633 368.237463554 26.1720998662 ab
58529.6577242 smi -897.16424384 975.860114574 25.4950898519 ab
58531.6577242 smi 1793.84903596 541.31193203 27.4809985477 ab
58532.6577242 smi 1836.19087838 994.660003917 26.6949439246 ab
58533.6577242 smi 3222.87443851 1157.59964674 27.1047059054 ab
58534.6577242 smi 2752.04022966 696.694607708 27.5093853944 ab
58536.6577242 smi 1503.0598401 1393.70176017 26.142218603 ab
58538.6577242 smi 2968.42275114 1323.46288415 28.5054828703 ab
58539.6577242 smi 2932.93141169 4101.44484607 26.7108465752 ab
58540.6577242 smi 63.8672031119 1087.14732607 27.5730618425 ab
58542.6577242 smi 342.522687695 620.272841292 27.2360395075 ab
58544.6577242 smi 1090.8055632 1382.99470485 26.2802608351 ab
58480.6574464 kst 260.104723462 15.9116641146 25.47 ab
58480.9074464 kst 265.234723433 16.734650066 25.47 ab
58481.1574464 kst 322.804028075 17.5466179675 25.47 ab
58481.4074464 kst 336.342653614 18.3539828567 25.47 ab
58481.6574464 kst 352.766480277 19.1522847413 25.47 ab
58481.9074464 kst 382.424884642 19.9377277323 25.47 ab
58482.1574464 kst 440.33679191 20.71521242 25.47 ab
58482.4074464 kst 458.222763579 21.494056941 25.47 ab
58482.6574464 kst 518.02623598 22.2572762503 25.47 ab
58482.9074464 kst 531.791678427 22.9890303385 25.47 ab
58483.1574464 kst 544.762421947 23.6825447183 25.47 ab
58483.4074464 kst 588.01326157 24.359834159 25.47 ab
58483.6574464 kst 601.719631026 25.0096851284 25.47 ab
58483.9074464 kst 674.91205206 25.6171182553 25.47 ab
58484.1574464 kst 669.181893032 26.1696582157 25.47 ab
58484.4074464 kst 680.559507443 26.6754206643 25.47 ab
58484.6574464 kst 749.866578931 27.1430026741 25.47 ab
58484.9074464 kst 751.692007434 27.5772213906 25.47 ab
58485.1574464 kst 737.357918198 27.9823964726 25.47 ab
58485.4074464 kst 845.67131106 28.3585774978 25.47 ab
58485.6574464 kst 833.882603133 28.7063086633 25.47 ab
58485.9074464 kst 850.360758615 29.0279122373 25.47 ab
58486.1574464 kst 849.581106152 29.3255344609 25.47 ab
58486.4074464 kst 897.966108092 29.5999995792 25.47 ab
58486.6574464 kst 896.440011187 29.8512445053 25.47 ab
58486.9074464 kst 885.30311685 30.0802013962 25.47 ab
58487.1574464 kst 880.289981691 30.2877258878 25.47 ab
58487.4074464 kst 958.433766821 30.472827498 25.47 ab
58487.6574464 kst 1020.15779042 30.6343981707 25.47 ab
58487.9074464 kst 920.509092657 30.7774189549 25.47 ab
58488.1574464 kst 951.46642951 30.9069576816 25.47 ab
58488.4074464 kst 947.859909091 31.0263988055 25.47 ab
58488.6574464 kst 936.453844367 31.1320930707 25.47 ab
58488.9074464 kst 956.812245007 31.2252331209 25.47 ab
58489.1574464 kst 953.699261301 31.307825594 25.47 ab
58489.4074464 kst 949.582234029 31.3817151698 25.47 ab
58489.6574464 kst 1062.08826864 31.4466346974 25.47 ab
58489.9074464 kst 998.511460783 31.5016749909 25.47 ab
58490.1574464 kst 990.457725896 31.5461253218 25.47 ab
58490.4074464 kst 1012.62794989 31.5793048471 25.47 ab
58490.6574464 kst 1017.45617113 31.6019909113 25.47 ab
58490.9074464 kst 1018.00255106 31.614082684 25.47 ab
58491.1574464 kst 1022.49932093 31.6146196267 25.47 ab
58491.4074464 kst 1049.57447824 31.6026292646 25.47 ab
58491.6574464 kst 967.97199114 31.5760986756 25.47 ab
58491.9074464 kst 1014.85737774 31.535856459 25.47 ab
58492.1574464 kst 1041.9704287 31.4854252225 25.47 ab
58492.4074464 kst 1008.62914886 31.4283385352 25.47 ab
58492.6574464 kst 975.140549552 31.3637359734 25.47 ab
58492.9074464 kst 1041.91653251 31.2875150055 25.47 ab
58493.1574464 kst 994.896508093 31.2067083376 25.47 ab
58493.4074464 kst 945.551004228 31.1287928828 25.47 ab
58493.6574464 kst 966.051779631 31.0591612157 25.47 ab
58493.9074464 kst 933.571625551 30.9931023679 25.47 ab
58494.1574464 kst 926.459190473 30.9302238004 25.47 ab
58494.4074464 kst 963.880863509 30.8710058814 25.47 ab
58494.6574464 kst 930.571965299 30.8158515895 25.47 ab
58494.9074464 kst 930.893920282 30.7644097613 25.47 ab
58495.1574464 kst 900.064884741 30.7167850593 25.47 ab
58495.4074464 kst 909.565539656 30.6732641104 25.47 ab
58495.6574464 kst 880.548562136 30.6341516302 25.47 ab
58495.9074464 kst 955.493871624 30.6000516599 25.47 ab
58496.1574464 kst 936.026417819 30.5704191258 25.47 ab
58496.4074464 kst 970.283539398 30.5442606313 25.47 ab
58496.6574464 kst 932.041356344 30.5205779291 25.47 ab
58496.9074464 kst 920.346253179 30.4996587919 25.47 ab
58497.1574464 kst 892.507601197 30.4819409181 25.47 ab
58497.4074464 kst 960.881614454 30.4666457927 25.47 ab
58497.6574464 kst 946.06078804 30.4529926146 25.47 ab
58497.9074464 kst 901.622931686 30.4406407619 25.47 ab
58498.1574464 kst 940.685911746 30.430103023 25.47 ab
58498.4074464 kst 935.215625654 30.4213516957 25.47 ab
58498.6574464 kst 909.824127532 30.4143372919 25.47 ab
58498.9074464 kst 906.43074787 30.40909913 25.47 ab
58499.1574464 kst 976.614555224 30.4058199387 25.47 ab
58499.4074464 kst 931.664023618 30.4042105165 25.47 ab
58499.6574464 kst 921.744861013 30.4039373463 25.47 ab
58499.9074464 kst 987.513796285 30.4050041066 25.47 ab
58500.1574464 kst 945.961919328 30.4092106267 25.47 ab
58500.4074464 kst 915.634273356 30.4146486746 25.47 ab
58500.6574464 kst 927.609441156 30.4185959768 25.47 ab
58500.9074464 kst 913.66429969 30.4184433798 25.47 ab
58501.1574464 kst 929.958680793 30.4151665131 25.47 ab
58501.4074464 kst 879.765852825 30.4094506872 25.47 ab
58501.6574464 kst 895.227445353 30.400765443 25.47 ab
58501.9074464 kst 831.995347318 30.3885790443 25.47 ab
58502.1574464 kst 921.028486858 30.3727074378 25.47 ab
58502.4074464 kst 938.045182457 30.3534583529 25.47 ab
58502.6574464 kst 921.334339109 30.3310636212 25.47 ab
58502.9074464 kst 905.591623353 30.30575473 25.47 ab
58503.1574464 kst 877.799278474 30.2775722369 25.47 ab
58503.4074464 kst 923.001570937 30.2463335487 25.47 ab
58503.6574464 kst 919.039336074 30.2121625349 25.47 ab
58503.9074464 kst 864.587701471 30.1751906199 25.47 ab
58504.1574464 kst 876.897060321 30.1361915409 25.47 ab
58504.4074464 kst 918.721312097 30.0963092068 25.47 ab
58504.6574464 kst 924.063996887 30.0529176016 25.47 ab
58504.9074464 kst 910.010651397 30.0030861051 25.47 ab
58505.1574464 kst 877.253244192 29.9445062936 25.47 ab
58505.4074464 kst 894.056122524 29.8796494414 25.47 ab
58505.6574464 kst 872.359199656 29.8076789593 25.47 ab
58505.9074464 kst 918.028148363 29.7267193649 25.47 ab
58506.1574464 kst 894.296686146 29.6349451813 25.47 ab
58506.4074464 kst 872.936771126 29.5327321705 25.47 ab
58506.6574464 kst 885.163378471 29.4205898905 25.47 ab
58506.9074464 kst 907.604589317 29.2984232934 25.47 ab
58507.1574464 kst 817.035827913 29.1661257659 25.47 ab
58507.4074464 kst 829.874525769 29.0236914386 25.47 ab
