@c -0.0728555080136
@x1 -5.93150571414
@x0 0.00025739425192
@z 0.116104986609
@t0 58439.8071028
time band flux fluxerr zp zpsys
58422.8071028 kst -26.2689204182 6.04159787225 25.47 ab
58423.0571028 kst -33.4586252085 6.15838490152 25.47 ab
58423.3071028 kst -42.714356159 6.25823180549 25.47 ab
58423.5571028 kst -35.001787526 6.34117674975 25.47 ab
58423.8071028 kst -37.5627893722 6.40995398482 25.47 ab
58424.0571028 kst -38.3530633526 6.46707805282 25.47 ab
58424.3071028 kst -45.5650716905 6.51545305798 25.47 ab
58424.5571028 kst -46.3374313251 6.55760413914 25.47 ab
58424.8071028 kst -56.2401583751 6.58870482166 25.47 ab
58425.0571028 kst -33.9038705525 6.60311878012 25.47 ab
58425.3071028 kst -40.5941749638 6.59517045939 25.47 ab
58425.5571028 kst -56.6457065105 6.56963419968 25.47 ab
58425.8071028 kst -43.3479895517 6.52815443242 25.47 ab
58426.0571028 kst -39.9626547035 6.46220549435 25.47 ab
58426.3071028 kst -35.6203023097 6.3626801213 25.47 ab
58426.5571028 kst -39.3367802238 6.22157134022 25.47 ab
58426.8071028 kst -40.3310419528 6.04122531829 25.47 ab
58427.0571028 kst -44.8587350289 5.82002729351 25.47 ab
58427.3071028 kst -32.4700829854 5.55422065277 25.47 ab
58427.5571028 kst -20.2527856317 5.23820225489 25.47 ab
58427.8071028 kst -30.9643880181 4.86243789949 25.47 ab
58428.0571028 kst -14.769257778 4.41082777853 25.47 ab
58428.3071028 kst -20.694260845 3.85607024916 25.47 ab
58428.5571028 kst -10.3217371367 3.1431110952 25.47 ab
58428.8071028 kst -5.38154543215 2.11754155584 25.47 ab
58429.0571028 kst 2.45093846559 1.1520887101 25.47 ab
58429.3071028 kst 6.68864434042 2.7428892933 25.47 ab
58429.5571028 kst 14.0166921042 3.7596116461 25.47 ab
58429.8071028 kst 19.9170298694 4.60183857574 25.47 ab
58430.0571028 kst 32.2399948632 5.36884936145 25.47 ab
58430.3071028 kst 42.8857118457 6.08024485488 25.47 ab
58430.5571028 kst 44.5638600303 6.73470206204 25.47 ab
58430.8071028 kst 48.5236839188 7.3300639883 25.47 ab
