@c 0.30607051561
@x1 0.540424188441
@x0 0.0102072171449
@z 0.0197502112073
@t0 58634.4167439
time band flux fluxerr zp zpsys
58617.4167439 kst 371.592777409 18.6744306311 25.47 ab
58617.6667439 kst 412.818382324 20.2693033736 25.47 ab
58617.9167439 kst 479.618633248 22.0456765795 25.47 ab
58618.1667439 kst 600.831772735 24.0814670871 25.47 ab
58618.4167439 kst 678.89316775 26.3176150445 25.47 ab
58618.6667439 kst 814.47227214 28.6501937256 25.47 ab
58618.9167439 kst 931.596361722 31.0144623011 25.47 ab
58619.1667439 kst 1105.89690393 33.3653625457 25.47 ab
58619.4167439 kst 1335.69832485 35.729252126 25.47 ab
58619.6667439 kst 1467.20843008 38.1038743393 25.47 ab
58619.9167439 kst 1621.71626448 40.4616585023 25.47 ab
58620.1667439 kst 1826.92024568 42.7815853981 25.47 ab
58620.4167439 kst 2058.13050722 45.0925009674 25.47 ab
58620.6667439 kst 2227.27910227 47.392803781 25.47 ab
58620.9167439 kst 2427.2193372 49.6494131974 25.47 ab
58621.1667439 kst 2739.74693472 51.8349650572 25.47 ab
58621.4167439 kst 2849.09910279 53.9703037499 25.47 ab
58621.6667439 kst 3132.12883959 56.0705071989 25.47 ab
58621.9167439 kst 3304.5109517 58.1124637834 25.47 ab
58622.1667439 kst 3567.29382136 60.0760706737 25.47 ab
58622.4167439 kst 3846.26825927 61.9596029172 25.47 ab
58622.6667439 kst 3978.56367313 63.7840806255 25.47 ab
58622.9167439 kst 4281.74543364 65.5603836911 25.47 ab
58623.1667439 kst 4473.85199341 67.2980910948 25.47 ab
58623.4167439 kst 4750.50074172 69.0001947265 25.47 ab
58623.6667439 kst 5066.50273427 70.6656348403 25.47 ab
58623.9167439 kst 5324.58297217 72.3016565998 25.47 ab
58624.1667439 kst 5413.84239493 73.9149382436 25.47 ab
58624.4167439 kst 5575.2318864 75.5082574646 25.47 ab
58624.6667439 kst 5933.58830067 77.0795267907 25.47 ab
58624.9167439 kst 6127.94449657 78.6325580709 25.47 ab
58625.1667439 kst 6434.85782052 80.1710608024 25.47 ab
58625.4167439 kst 6630.32255352 81.7069736321 25.47 ab
58625.6667439 kst 6917.79598742 83.2489344504 25.47 ab
58625.9167439 kst 7336.76779207 84.7659667491 25.47 ab
58626.1667439 kst 7437.79733446 86.2274468177 25.47 ab
58626.4167439 kst 7515.34786039 87.6185436125 25.47 ab
58626.6667439 kst 7888.91986867 88.9677344453 25.47 ab
58626.9167439 kst 8259.92821063 90.264362314 25.47 ab
58627.1667439 kst 8380.92160435 91.4941120341 25.47 ab
58627.4167439 kst 8641.87176234 92.6477999055 25.47 ab
58627.6667439 kst 8867.64367677 93.7388844065 25.47 ab
58627.9167439 kst 9058.25500485 94.7685092869 25.47 ab
58628.1667439 kst 9236.05909075 95.7352176986 25.47 ab
58628.4167439 kst 9447.9565488 96.6387348008 25.47 ab
58628.6667439 kst 9445.47129241 97.4851283701 25.47 ab
58628.9167439 kst 9779.09196457 98.2726151823 25.47 ab
58629.1667439 kst 9780.88282023 98.9978015667 25.47 ab
58629.4167439 kst 9977.54841586 99.6570835564 25.47 ab
58629.6667439 kst 9996.22635635 100.249237786 25.47 ab
58629.9167439 kst 9980.65360106 100.781984091 25.47 ab
58630.1667439 kst 10246.6011093 101.26397588 25.47 ab
58630.4167439 kst 10363.642213 101.701908351 25.47 ab
58630.6667439 kst 10356.2995788 102.082641328 25.47 ab
58630.9167439 kst 10414.3629524 102.416225084 25.47 ab
58631.1667439 kst 10478.4670768 102.721251945 25.47 ab
58631.4167439 kst 10625.3671123 103.015382904 25.47 ab
58631.6667439 kst 10567.9331492 103.29545387 25.47 ab
58631.9167439 kst 10626.3731051 103.554959749 25.47 ab
58632.1667439 kst 10601.184167 103.79248781 25.47 ab
58632.4167439 kst 10646.6575137 104.00667489 25.47 ab
58632.6667439 kst 10784.3115031 104.198677887 25.47 ab
58632.9167439 kst 10780.3276067 104.368641336 25.47 ab
58633.1667439 kst 10944.308408 104.515303382 25.47 ab
58633.4167439 kst 10983.9269399 104.63739633 25.47 ab
58633.6667439 kst 11023.0671581 104.734468742 25.47 ab
58633.9167439 kst 11096.0789082 104.807467632 25.47 ab
58634.1667439 kst 10794.4893842 104.857356488 25.47 ab
58634.4167439 kst 10996.2201089 104.885081254 25.47 ab
58634.6667439 kst 10968.9675519 104.890099213 25.47 ab
58634.9167439 kst 10944.9735528 104.872154614 25.47 ab
58635.1667439 kst 11052.0067819 104.832601336 25.47 ab
58635.4167439 kst 10899.6371071 104.772781358 25.47 ab
58635.6667439 kst 11022.1974523 104.692588484 25.47 ab
58635.9167439 kst 10950.4839094 104.591208956 25.47 ab
58636.1667439 kst 10771.3500541 104.469630978 25.47 ab
58636.4167439 kst 11009.8570341 104.328845538 25.47 ab
58636.6667439 kst 10728.3218469 104.168837611 25.47 ab
58636.9167439 kst 10925.3928923 103.988757633 25.47 ab
58637.1667439 kst 10740.9843576 103.78946881 25.47 ab
58637.4167439 kst 10765.999243 103.571865137 25.47 ab
58637.6667439 kst 10798.2377696 103.337607168 25.47 ab
58637.9167439 kst 10671.1758389 103.086866238 25.47 ab
58638.1667439 kst 10416.5214147 102.815761617 25.47 ab
58638.4167439 kst 10454.45632 102.52024005 25.47 ab
58638.6667439 kst 10419.9910741 102.197502741 25.47 ab
58638.9167439 kst 10450.1522337 101.849509037 25.47 ab
58639.1667439 kst 10315.8325709 101.476713955 25.47 ab
58639.4167439 kst 10254.6830497 101.079350662 25.47 ab
58639.6667439 kst 9985.56182523 100.657127998 25.47 ab
58639.9167439 kst 9991.19841998 100.208697004 25.47 ab
58640.1667439 kst 9827.82341733 99.7351877746 25.47 ab
58640.4167439 kst 9850.7398747 99.2379847422 25.47 ab
58640.6667439 kst 9656.35952209 98.717907116 25.47 ab
58640.9167439 kst 9734.71722136 98.1730198688 25.47 ab
58641.1667439 kst 9624.96629503 97.603708854 25.47 ab
58641.4167439 kst 9375.12620584 97.0108062977 25.47 ab
58641.6667439 kst 9177.61667239 96.3931427255 25.47 ab
58641.9167439 kst 9120.48976382 95.7412446697 25.47 ab
58642.1667439 kst 9113.65237221 95.0657878138 25.47 ab
58642.4167439 kst 8825.92320375 94.3815769212 25.47 ab
58642.6667439 kst 8750.76715165 93.701551659 25.47 ab
58642.9167439 kst 8673.46925665 93.0143191042 25.47 ab
58643.1667439 kst 8505.49015522 92.3223003994 25.47 ab
58643.4167439 kst 8315.10400885 91.6344494126 25.47 ab
58643.6667439 kst 8319.16947307 90.9595006495 25.47 ab
58643.9167439 kst 8270.44661946 90.2957151025 25.47 ab
58644.1667439 kst 8014.47252717 89.6399609469 25.47 ab
58644.4167439 kst 7993.49725898 88.9911470987 25.47 ab
58644.6667439 kst 7688.83758154 88.3482173592 25.47 ab
58644.9167439 kst 7703.38711735 87.7121735609 25.47 ab
58645.1667439 kst 7550.68614402 87.083108687 25.47 ab
58645.4167439 kst 7368.15613427 86.4601517467 25.47 ab
58645.6667439 kst 7502.58611594 85.8424161646 25.47 ab
58645.9167439 kst 7150.47220566 85.2300253388 25.47 ab
58646.1667439 kst 7315.25326696 84.6235608989 25.47 ab
58646.4167439 kst 7017.00603565 84.0232664479 25.47 ab
58646.6667439 kst 6954.71959394 83.429380962 25.47 ab
58646.9167439 kst 6954.28194196 82.8389527214 25.47 ab
58647.1667439 kst 6791.59547285 82.2533942911 25.47 ab
58647.4167439 kst 6580.32867326 81.6784909082 25.47 ab
58647.6667439 kst 6545.69271537 81.1201887195 25.47 ab
58647.9167439 kst 6477.24560239 80.5791678909 25.47 ab
58648.1667439 kst 6489.25308469 80.0528557243 25.47 ab
58648.4167439 kst 6175.39058244 79.5432623587 25.47 ab
58648.6667439 kst 6140.79526062 79.052443713 25.47 ab
58648.9167439 kst 6062.15233079 78.5808079191 25.47 ab
58649.1667439 kst 6120.22372002 78.1276365711 25.47 ab
58649.4167439 kst 5999.79537948 77.6944981693 25.47 ab
58649.6667439 kst 5953.89643713 77.2830047647 25.47 ab
58649.9167439 kst 5942.05077931 76.8935072765 25.47 ab
58650.1667439 kst 5736.69477743 76.5252969214 25.47 ab
58650.4167439 kst 5753.5296834 76.1802450269 25.47 ab
58650.6667439 kst 5717.98934879 75.8603055588 25.47 ab
58650.9167439 kst 5570.98297438 75.570272289 25.47 ab
58651.1667439 kst 5623.84995028 75.3126725967 25.47 ab
58651.4167439 kst 5680.53649819 75.0765405053 25.47 ab
58651.6667439 kst 5610.66154992 74.8502205074 25.47 ab
58651.9167439 kst 5652.7557785 74.6279327486 25.47 ab
58652.1667439 kst 5477.76460672 74.4198750771 25.47 ab
58652.4167439 kst 5711.94862086 74.2196838288 25.47 ab
58652.6667439 kst 5329.87751389 74.0193427995 25.47 ab
58652.9167439 kst 5461.61920447 73.8127574944 25.47 ab
58653.1667439 kst 5326.18271265 73.6042924647 25.47 ab
