@c -0.614050979435
@x1 0.592955471779
@x0 0.000254839613511
@z 0.116642246832
@t0 58491.9539443
time band flux fluxerr zp zpsys
58475.9539443 kst 21.7678735586 4.64334803185 25.47 ab
58476.2039443 kst 21.5970282997 4.8940191211 25.47 ab
58476.4539443 kst 35.7594656405 5.14123323669 25.47 ab
58476.7039443 kst 29.3742303752 5.38860704268 25.47 ab
58476.9539443 kst 37.6672873366 5.6339509254 25.47 ab
58477.2039443 kst 48.9126935865 5.8746524304 25.47 ab
58477.4539443 kst 31.5484330963 6.10851976732 25.47 ab
58477.7039443 kst 46.1545794826 6.33790874744 25.47 ab
58477.9539443 kst 28.9079103143 6.56412004335 25.47 ab
58478.2039443 kst 51.9477424556 6.78526048188 25.47 ab
58478.4539443 kst 49.3244878329 6.99966734802 25.47 ab
58478.7039443 kst 48.0189222968 7.20636274678 25.47 ab
58478.9539443 kst 60.3625107406 7.40707861943 25.47 ab
58479.2039443 kst 58.5555681207 7.60295747541 25.47 ab
58479.4539443 kst 64.9688443471 7.79487294947 25.47 ab
58479.7039443 kst 51.5103941872 7.9835952516 25.47 ab
58479.9539443 kst 73.5746923315 8.1689624608 25.47 ab
58480.2039443 kst 65.6745300019 8.35113083106 25.47 ab
58480.4539443 kst 80.1645593891 8.53074176983 25.47 ab
58480.7039443 kst 74.4670380869 8.70838109132 25.47 ab
58480.9539443 kst 75.6633648576 8.88435195995 25.47 ab
58481.2039443 kst 85.0183070638 9.05834526438 25.47 ab
58481.4539443 kst 91.6303660077 9.23067698418 25.47 ab
58481.7039443 kst 83.2487568379 9.40169208924 25.47 ab
58481.9539443 kst 99.2999830507 9.57178932093 25.47 ab
58482.2039443 kst 100.06625812 9.74306298273 25.47 ab
58482.4539443 kst 99.1639325282 9.91406027445 25.47 ab
58482.7039443 kst 78.1362069726 10.0818749039 25.47 ab
58482.9539443 kst 111.092214597 10.2437890402 25.47 ab
58483.2039443 kst 122.573055865 10.3990776177 25.47 ab
58483.4539443 kst 117.959635527 10.5505603225 25.47 ab
58483.7039443 kst 107.602947661 10.6971242888 25.47 ab
58483.9539443 kst 106.261868445 10.8374916486 25.47 ab
58484.2039443 kst 129.178054459 10.9705365768 25.47 ab
58484.4539443 kst 131.220491376 11.0972505055 25.47 ab
58484.7039443 kst 145.768238829 11.2181748675 25.47 ab
58484.9539443 kst 109.26169757 11.3332135847 25.47 ab
58485.2039443 kst 128.536058475 11.4422654585 25.47 ab
58485.4539443 kst 147.601241131 11.5455384921 25.47 ab
58485.7039443 kst 138.463330911 11.6434863028 25.47 ab
58485.9539443 kst 130.085870673 11.7358604657 25.47 ab
58486.2039443 kst 127.568946402 11.8223924567 25.47 ab
58486.4539443 kst 125.889000577 11.9028178211 25.47 ab
58486.7039443 kst 134.269505454 11.97715958 25.47 ab
58486.9539443 kst 136.376216379 12.0458855097 25.47 ab
58487.2039443 kst 157.936017996 12.1094843861 25.47 ab
58487.4539443 kst 151.335481675 12.1684278545 25.47 ab
58487.7039443 kst 176.475463846 12.2224326784 25.47 ab
58487.9539443 kst 155.562255269 12.2711336298 25.47 ab
58488.2039443 kst 130.000831543 12.3156327427 25.47 ab
58488.4539443 kst 138.997480879 12.3570304832 25.47 ab
58488.7039443 kst 152.415482313 12.3962964631 25.47 ab
58488.9539443 kst 176.315219434 12.4330423787 25.47 ab
58489.2039443 kst 175.71199573 12.4669001669 25.47 ab
58489.4539443 kst 145.851106419 12.4976817596 25.47 ab
58489.7039443 kst 163.80080086 12.5251987607 25.47 ab
58489.9539443 kst 158.216026989 12.5495108111 25.47 ab
58490.2039443 kst 141.970086329 12.5707765226 25.47 ab
58490.4539443 kst 158.69244251 12.5888497622 25.47 ab
58490.7039443 kst 182.030480146 12.6035816443 25.47 ab
58490.9539443 kst 159.34386143 12.6148088439 25.47 ab
58491.2039443 kst 155.409403808 12.6224529833 25.47 ab
58491.4539443 kst 149.156217901 12.6267695154 25.47 ab
58491.7039443 kst 161.296902804 12.6280484594 25.47 ab
58491.9539443 kst 160.576980302 12.6265773787 25.47 ab
58492.2039443 kst 150.437015891 12.622213758 25.47 ab
58492.4539443 kst 155.222934214 12.6148145541 25.47 ab
58492.7039443 kst 139.024853485 12.6046639548 25.47 ab
58492.9539443 kst 159.809060588 12.5920451302 25.47 ab
58493.2039443 kst 164.502955402 12.5771486472 25.47 ab
58493.4539443 kst 164.90316249 12.5597064348 25.47 ab
58493.7039443 kst 151.654067728 12.539768782 25.47 ab
58493.9539443 kst 155.469998366 12.5174496221 25.47 ab
58494.2039443 kst 151.435507624 12.4928612937 25.47 ab
58494.4539443 kst 149.08868277 12.4658734714 25.47 ab
58494.7039443 kst 155.561878139 12.4364437898 25.47 ab
58494.9539443 kst 144.599301484 12.4047319354 25.47 ab
58495.2039443 kst 145.744168045 12.3708979082 25.47 ab
58495.4539443 kst 152.526600538 12.3349907985 25.47 ab
58495.7039443 kst 163.472739659 12.2967411477 25.47 ab
58495.9539443 kst 164.092590113 12.2563238861 25.47 ab
58496.2039443 kst 144.295057112 12.2139668216 25.47 ab
58496.4539443 kst 126.232661726 12.1698943882 25.47 ab
58496.7039443 kst 140.271896272 12.1239372791 25.47 ab
58496.9539443 kst 154.995639766 12.0760152717 25.47 ab
58497.2039443 kst 138.398469079 12.0262702606 25.47 ab
58497.4539443 kst 141.548077641 11.9748456206 25.47 ab
58497.7039443 kst 149.874163841 11.921794613 25.47 ab
58497.9539443 kst 144.67074023 11.8669327796 25.47 ab
58498.2039443 kst 150.42601878 11.8103144069 25.47 ab
58498.4539443 kst 143.429196906 11.7520159682 25.47 ab
58498.7039443 kst 145.512900763 11.6921097867 25.47 ab
58498.9539443 kst 149.829115255 11.6305011456 25.47 ab
58499.2039443 kst 130.342081481 11.5671491705 25.47 ab
58499.4539443 kst 131.153160389 11.5020863164 25.47 ab
58499.7039443 kst 107.620477078 11.4353449995 25.47 ab
58499.9539443 kst 117.861189622 11.3666833871 25.47 ab
58500.2039443 kst 120.720009634 11.2957544204 25.47 ab
58500.4539443 kst 128.011981472 11.2232119098 25.47 ab
58500.7039443 kst 125.304465742 11.149770519 25.47 ab
58500.9539443 kst 117.646029634 11.0761004537 25.47 ab
58501.2039443 kst 129.331163791 11.0016272032 25.47 ab
58501.4539443 kst 125.267503674 10.9263037023 25.47 ab
58501.7039443 kst 111.579041845 10.8505331872 25.47 ab
58501.9539443 kst 103.374318636 10.774730133 25.47 ab
58502.2039443 kst 95.7159837448 10.6991206231 25.47 ab
58502.4539443 kst 110.891419666 10.6234359607 25.47 ab
58502.7039443 kst 118.349439179 10.5475613103 25.47 ab
58502.9539443 kst 122.855518444 10.4713875643 25.47 ab
58503.2039443 kst 132.660251891 10.3948197145 25.47 ab
58503.4539443 kst 123.0589617 10.3179691263 25.47 ab
58503.7039443 kst 104.183158373 10.2407951939 25.47 ab
58503.9539443 kst 107.529504803 10.1631860902 25.47 ab
58504.2039443 kst 107.410298277 10.0850264976 25.47 ab
58504.4539443 kst 117.474812439 10.0062473762 25.47 ab
58504.7039443 kst 89.6935623073 9.92689877801 25.47 ab
58504.9539443 kst 100.807850665 9.84701506366 25.47 ab
58505.2039443 kst 99.9757924432 9.76663089323 25.47 ab
58505.4539443 kst 102.100207387 9.68567182604 25.47 ab
58505.7039443 kst 82.3345976217 9.60344829218 25.47 ab
58505.9539443 kst 85.3829524827 9.52059195148 25.47 ab
58506.2039443 kst 99.2435849833 9.43806378352 25.47 ab
58506.4539443 kst 120.787340133 9.35685860575 25.47 ab
58506.7039443 kst 90.0139372257 9.27710713744 25.47 ab
58506.9539443 kst 84.0416822207 9.19820281333 25.47 ab
58507.2039443 kst 76.272037719 9.12039427894 25.47 ab
58507.4539443 kst 75.1149005585 9.04394234329 25.47 ab
58507.7039443 kst 95.7234570625 8.96905928388 25.47 ab
58507.9539443 kst 75.5438522178 8.89558035657 25.47 ab
58508.2039443 kst 81.5336496506 8.82357431411 25.47 ab
58508.4539443 kst 74.832458354 8.75318025864 25.47 ab
58508.7039443 kst 64.1812686743 8.68454095376 25.47 ab
58508.9539443 kst 67.2715566698 8.61762055422 25.47 ab
58509.2039443 kst 77.7277681134 8.55241265911 25.47 ab
58509.4539443 kst 91.5061336713 8.48910877507 25.47 ab
58509.7039443 kst 87.4803819884 8.42790495422 25.47 ab
58509.9539443 kst 62.3561282157 8.36913363793 25.47 ab
58510.2039443 kst 77.8717924258 8.31328086341 25.47 ab
58510.4539443 kst 67.5322173736 8.25963271308 25.47 ab
58510.7039443 kst 67.0245985861 8.20731371118 25.47 ab
58510.9539443 kst 79.196942204 8.15543018481 25.47 ab
58511.2039443 kst 69.8109361091 8.10441049113 25.47 ab
58511.4539443 kst 59.4297686395 8.05461792232 25.47 ab
58511.7039443 kst 69.8791496321 8.00546962227 25.47 ab
58511.9539443 kst 69.0187145348 7.95636803953 25.47 ab
58512.2039443 kst 65.5377304934 7.90686452825 25.47 ab
58512.4539443 kst 77.3522708732 7.85731551059 25.47 ab
58512.7039443 kst 66.5420181364 7.80787698502 25.47 ab
58512.9539443 kst 45.5562748332 7.75865508313 25.47 ab
58513.2039443 kst 64.1032935016 7.70975582539 25.47 ab
58513.4539443 kst 66.1681783368 7.66109931662 25.47 ab
58513.7039443 kst 64.5210975171 7.61267713005 25.47 ab
58513.9539443 kst 57.8546867074 7.56459731056 25.47 ab
58514.2039443 kst 45.2393482586 7.51697062884 25.47 ab
58514.4539443 kst 51.323354607 7.46983441519 25.47 ab
58514.7039443 kst 45.7342186617 7.42306658144 25.47 ab
58514.9539443 kst 50.0832455942 7.3767838524 25.47 ab
58515.2039443 kst 41.1021256943 7.33112531016 25.47 ab
58515.4539443 kst 49.0876359843 7.28622735975 25.47 ab
58515.7039443 kst 44.4786781926 7.24202327915 25.47 ab
58515.9539443 kst 58.4691466332 7.19850317545 25.47 ab
58516.2039443 kst 52.1073313214 7.15574523437 25.47 ab
58516.4539443 kst 54.8561086422 7.11382929231 25.47 ab
58516.7039443 kst 45.2184262991 7.07280880778 25.47 ab
58516.9539443 kst 50.9765721218 7.03265567697 25.47 ab
58517.2039443 kst 56.7033159496 6.99337248596 25.47 ab
58517.4539443 kst 47.0687145306 6.95496433428 25.47 ab
58517.7039443 kst 54.0650945368 6.91743898604 25.47 ab
58517.9539443 kst 48.5268875741 6.88084715834 25.47 ab
58518.2039443 kst 53.6037481368 6.8451821015 25.47 ab
58518.4539443 kst 57.4176630631 6.81041161892 25.47 ab
58518.7039443 kst 53.8695418088 6.77650249028 25.47 ab
58518.9539443 kst 44.7671549561 6.74357906824 25.47 ab
58519.2039443 kst 31.3246164231 6.7117776225 25.47 ab
58519.4539443 kst 47.9763640824 6.68078717961 25.47 ab
58519.7039443 kst 41.4527288951 6.65027892067 25.47 ab
58519.9539443 kst 43.5687360375 6.61999221702 25.47 ab
58520.2039443 kst 33.6512835175 6.59048003718 25.47 ab
58520.4539443 kst 44.7484039119 6.56149645949 25.47 ab
58520.7039443 kst 43.2864717476 6.53247952529 25.47 ab
58520.9539443 kst 51.0091169315 6.50285720233 25.47 ab
58521.2039443 kst 30.9064077491 6.4724172987 25.47 ab
58521.4539443 kst 38.4593977637 6.44153180342 25.47 ab
58521.7039443 kst 39.7504339603 6.4102354192 25.47 ab
58521.9539443 kst 35.6512075046 6.37855669528 25.47 ab
58522.2039443 kst 33.6542548698 6.34651614821 25.47 ab
58522.4539443 kst 32.3786383354 6.31406530456 25.47 ab
58522.7039443 kst 29.8190785703 6.28121515478 25.47 ab
58522.9539443 kst 37.1983692796 6.2479959899 25.47 ab
58523.2039443 kst 29.0426384893 6.21443867913 25.47 ab
