@c 0.541636788236
@x1 -9.32672185703
@x0 0.000190862157546
@z 0.133254544265
@t0 58332.5516643
time band flux fluxerr zp zpsys
58316.5516643 kst -90.7244545373 9.92630284323 25.47 ab
58316.8016643 kst -112.724945791 10.0795917548 25.47 ab
58317.0516643 kst -103.37878446 10.2281886036 25.47 ab
58317.3016643 kst -98.2766358698 10.3660068639 25.47 ab
58317.5516643 kst -108.926350282 10.4856442732 25.47 ab
58317.8016643 kst -95.8015495694 10.5799599234 25.47 ab
58318.0516643 kst -108.771217529 10.6532334266 25.47 ab
58318.3016643 kst -123.100660424 10.7114811971 25.47 ab
58318.5516643 kst -114.864884904 10.7449736323 25.47 ab
58318.8016643 kst -104.322160915 10.7439002996 25.47 ab
58319.0516643 kst -133.217117636 10.6993225842 25.47 ab
58319.3016643 kst -145.622932042 10.615242852 25.47 ab
58319.5516643 kst -93.7139251639 10.494105524 25.47 ab
58319.8016643 kst -93.1631604649 10.3359922314 25.47 ab
58320.0516643 kst -110.017408991 10.1405846286 25.47 ab
58320.3016643 kst -124.977670069 9.90626939233 25.47 ab
58320.5516643 kst -90.7079848401 9.62922783227 25.47 ab
58320.8016643 kst -80.8665364428 9.3053543254 25.47 ab
58321.0516643 kst -63.4522499066 8.92926981842 25.47 ab
58321.3016643 kst -74.6368425122 8.49383652186 25.47 ab
58321.5516643 kst -55.0508249744 7.99017539459 25.47 ab
58321.8016643 kst -42.0209038846 7.40385712007 25.47 ab
58322.0516643 kst -50.4938900286 6.71214256961 25.47 ab
58322.3016643 kst -41.6223119515 5.87666422876 25.47 ab
58322.5516643 kst -18.9799906727 4.80491967028 25.47 ab
58322.8016643 kst -10.2629789049 3.25527466087 25.47 ab
58323.0516643 kst 5.00746048705 1.59351203255 25.47 ab
58323.3016643 kst 14.8469011678 3.9812862329 25.47 ab
58323.5516643 kst 22.7631119144 5.38159629241 25.47 ab
58323.8016643 kst 35.7310429876 6.49535708063 25.47 ab
58324.0516643 kst 50.7686099178 7.45448939737 25.47 ab
58324.3016643 kst 75.5434774259 8.29972528248 25.47 ab
58324.5516643 kst 83.1125348051 9.05109726888 25.47 ab
58324.8016643 kst 99.4435367499 9.7247011045 25.47 ab
58325.0516643 kst 94.1371595639 10.343489685 25.47 ab
58325.3016643 kst 106.248373846 10.916784766 25.47 ab
58325.5516643 kst 131.44206752 11.4509047579 25.47 ab
58325.8016643 kst 150.241819085 11.950649529 25.47 ab
58326.0516643 kst 167.919236404 12.4209219958 25.47 ab
58326.3016643 kst 157.728019513 12.8647785343 25.47 ab
58326.5516643 kst 169.84930514 13.2840534371 25.47 ab
58326.8016643 kst 206.001637695 13.680216782 25.47 ab
58327.0516643 kst 211.12111324 14.0552982319 25.47 ab
58327.3016643 kst 191.365700743 14.4123628052 25.47 ab
58327.5516643 kst 226.74007327 14.7511070945 25.47 ab
58327.8016643 kst 240.829625123 15.070969039 25.47 ab
58328.0516643 kst 242.095756454 15.3714218678 25.47 ab
58328.3016643 kst 277.077712006 15.6556099098 25.47 ab
58328.5516643 kst 269.827963982 15.9243893798 25.47 ab
58328.8016643 kst 266.108058221 16.1760900786 25.47 ab
58329.0516643 kst 245.894079674 16.4090942635 25.47 ab
58329.3016643 kst 286.260920181 16.6228306524 25.47 ab
58329.5516643 kst 268.240496313 16.8203139296 25.47 ab
58329.8016643 kst 296.663107001 17.0013324712 25.47 ab
58330.0516643 kst 289.031454692 17.1652260788 25.47 ab
58330.3016643 kst 314.918743126 17.3113165525 25.47 ab
58330.5516643 kst 324.260643513 17.4406287987 25.47 ab
58330.8016643 kst 348.041050585 17.5539744296 25.47 ab
58331.0516643 kst 306.436734807 17.6508685983 25.47 ab
58331.3016643 kst 301.696788075 17.7307921488 25.47 ab
58331.5516643 kst 303.43025045 17.7927101445 25.47 ab
58331.8016643 kst 305.847789826 17.8351957861 25.47 ab
58332.0516643 kst 334.670100434 17.8613704254 25.47 ab
58332.3016643 kst 295.143765185 17.8748067724 25.47 ab
58332.5516643 kst 310.365669696 17.8790337657 25.47 ab
58332.8016643 kst 328.596569125 17.8726955695 25.47 ab
58333.0516643 kst 326.741845494 17.8539336042 25.47 ab
58333.3016643 kst 302.475639573 17.8254927206 25.47 ab
58333.5516643 kst 358.182534512 17.7901161142 25.47 ab
58333.8016643 kst 308.143498381 17.7499999837 25.47 ab
58334.0516643 kst 332.751545439 17.7031879402 25.47 ab
58334.3016643 kst 306.900781671 17.6493534358 25.47 ab
58334.5516643 kst 321.318995039 17.5887742595 25.47 ab
58334.8016643 kst 291.498042743 17.5217240353 25.47 ab
58335.0516643 kst 287.246580819 17.4480149802 25.47 ab
58335.3016643 kst 315.423501972 17.3673202417 25.47 ab
58335.5516643 kst 271.635636891 17.2798946843 25.47 ab
58335.8016643 kst 295.738657212 17.1859925773 25.47 ab
58336.0516643 kst 287.732321904 17.0859072807 25.47 ab
58336.3016643 kst 299.606900802 16.9798898734 25.47 ab
58336.5516643 kst 296.161695071 16.8671815417 25.47 ab
58336.8016643 kst 260.504388711 16.746831367 25.47 ab
58337.0516643 kst 263.508489096 16.6178511619 25.47 ab
58337.3016643 kst 315.354325069 16.479670367 25.47 ab
58337.5516643 kst 257.741583754 16.3325935225 25.47 ab
58337.8016643 kst 238.257297663 16.17660946 25.47 ab
58338.0516643 kst 222.529962442 16.011683871 25.47 ab
58338.3016643 kst 254.969284451 15.8377062564 25.47 ab
58338.5516643 kst 250.895852313 15.6539083117 25.47 ab
58338.8016643 kst 241.160895948 15.4601859226 25.47 ab
58339.0516643 kst 228.239181944 15.2566750928 25.47 ab
