@c 0.18668545676
@x1 0.46440892033
@x0 0.000234013966964
@z 0.121329601517
@t0 58300.1315421
time band flux fluxerr zp zpsys
58287.1315421 smg 91.481838007 200.605575311 26.8436786687 ab
58291.1315421 smg 696.013485964 536.976054797 26.3975278991 ab
58295.1315421 smg 715.715020236 78.5654744773 26.8695078624 ab
58300.1315421 smg 5017.37537102 2599.05395562 26.8118900728 ab
58305.1315421 smg 2538.45341911 1075.31873852 26.6596196656 ab
58310.1315421 smg 2283.81716154 1547.86591207 27.8531275251 ab
58315.1315421 smg 9083.33985405 8339.88320454 27.3384123176 ab
58287.1316809 smr 97.9911982502 200.086164936 25.2823307509 ab
58291.1316809 smr -274.08488946 536.73048935 24.9366810082 ab
58295.1316809 smr 349.190750105 75.246140629 25.6522431495 ab
58300.1316809 smr -1955.59900244 2598.94000162 25.2695801195 ab
58305.1316809 smr -106.222106447 1075.15458315 25.5016723573 ab
58310.1316809 smr -308.243332105 1547.44949696 25.1536130884 ab
58315.1316809 smr -4620.48538262 8339.85547532 25.3942875735 ab
58287.1318198 smi 512.088260112 201.181940159 27.3134518628 ab
58291.1318198 smi 674.477093361 537.283253843 26.9977144889 ab
58295.1318198 smi 415.914736853 75.6398651508 25.9666315428 ab
58300.1318198 smi 2242.54645953 2599.00755267 26.5046696284 ab
58305.1318198 smi 680.712439345 1075.29175309 26.5226181004 ab
58310.1318198 smi -2580.08765381 1547.5674262 26.7202956399 ab
58315.1318198 smi 12139.0765648 8339.89282479 27.4213383337 ab
