@c -0.421672492349
@x1 -4.78006381778
@x0 0.000303967954903
@z 0.107480174184
@t0 58506.2638507
time band flux fluxerr zp zpsys
58500.2638507 smg 780.197329678 1113.5974114 26.1015074678 ab
58504.2638507 smg -253.607342849 1296.67369617 26.7927840516 ab
58509.2638507 smg 1813.77932137 1041.02565582 26.1614303821 ab
58514.2638507 smg -1532.2717492 1922.13237957 26.8832888879 ab
58519.2638507 smg 2434.70345217 1941.49897501 26.0266801191 ab
58523.2638507 smg 11596.0348341 8467.36294054 28.7046498772 ab
58528.2638507 smg 75.0221465753 673.524799625 24.9182390205 ab
58533.2638507 smg 233.890993332 378.073285838 26.637577871 ab
58538.2638507 smg 5205.41621341 8057.15355061 26.6918810586 ab
58542.2638507 smg -153.524888163 121.912356487 26.2305479335 ab
58547.2638507 smg -1078.2798678 1541.26591871 25.6327166472 ab
58551.2638507 smg 1066.17903698 1347.76586589 27.4558337379 ab
58556.2638507 smg -11.914640746 1069.73330343 26.1616453153 ab
58560.2638507 smg 821.831042477 708.273656331 26.0436938989 ab
58500.2639896 smr 1061.59229589 1113.50432445 25.5124835513 ab
58504.2639896 smr -265.96190142 1296.37396646 25.5538005766 ab
58509.2639896 smr 341.268374855 1040.84760342 25.1485815058 ab
58514.2639896 smr -780.041334738 1922.00051882 24.938470211 ab
58519.2639896 smr -822.301598752 1941.48601295 24.9356823522 ab
58523.2639896 smr -11768.1743733 8467.33957749 25.5268813718 ab
58528.2639896 smr -432.644560362 673.562820833 25.4322561628 ab
58533.2639896 smr 80.4588146411 378.094544691 25.4257877049 ab
58538.2639896 smr -1958.37123473 8057.1537208 25.0273868403 ab
58542.2639896 smr -11.455683019 121.883316439 25.6849460626 ab
58547.2639896 smr 2648.02827751 1541.26424392 25.1395959608 ab
58551.2639896 smr -409.944285339 1347.75104632 25.1942060669 ab
58556.2639896 smr -283.674866307 1069.73497827 25.7763918487 ab
58560.2639896 smr 170.809541061 708.271580703 25.2057403978 ab
58500.2641285 smi 522.001866214 1113.75577054 27.4261728643 ab
58504.2641285 smi -63.0839999819 1296.67800373 27.5706595119 ab
58509.2641285 smi 239.073792679 1040.90940486 26.3363551522 ab
58514.2641285 smi 152.448745329 1922.04892606 26.7074398057 ab
58519.2641285 smi -2685.15141468 1941.51697309 26.5978373156 ab
58523.2641285 smi -18940.5997993 8467.34615492 26.482674749 ab
58528.2641285 smi 818.392277575 673.765778378 27.0373792997 ab
58533.2641285 smi 519.23277648 378.176283656 25.8662304958 ab
58538.2641285 smi 12826.4550967 8057.16177259 27.2935462645 ab
58542.2641285 smi -54.3001256343 121.978325679 26.4077813018 ab
58547.2641285 smi 641.081548527 1541.26901911 26.6187211947 ab
58551.2641285 smi 880.168814814 1347.80701462 28.7478895173 ab
58556.2641285 smi 259.307692256 1069.73474293 26.3185191196 ab
58560.2641285 smi -312.228227705 708.281918953 26.8554785719 ab
